game	M1_v0.7.8a6	10yard	\N	\N	\N	\N	\N	10-Yard Fight (World) [sound only]	1983	Irem	\N	\N	Irem M62	
game	M1_v0.7.8a6	7ordi	\N	\N	\N	\N	\N	7 Ordi (Korea) [sound only]	2002	Yun Sung	\N	\N	Yun Sun (alt)	
game_rom	M1_v0.7.8a6	7ordi	4.u128	\N	\N	65536	ed73b565	cb473b2b4ca9b9facf3bcb033f1ca9667bb5c587	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	7ordi	3.u137	\N	\N	131072	669ed310	f93dc3c20f86bd6a0bff9947d805358c82a04c97	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	88games	\N	\N	\N	\N	\N	'88 Games [sound only]	1988	Konami	\N	\N	'88 Games	
game_rom	M1_v0.7.8a6	88games	861d01.d9	\N	\N	32768	0ff1dec0	749dc98f8740beee1383f85effc9336081315f4b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	88games	861a07.a	\N	\N	65536	5d035d69	9df63e004a4f52768331dfb3c3889301ac174ea1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	88games	861a07.b	\N	\N	65536	6337dd91	74ba58f1664abd1491598c1a9467f470304fa430	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	88games	861a07.c	\N	\N	65536	5067a38b	b5a8f7122356dd72a97e71b480835ba500116aaf	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	88games	861a07.d	\N	\N	65536	86731451	c1410f6c7a23aa0c213878a6531d3e7eb966b0a4	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	abcop	\N	\N	\N	\N	\N	A.B. Cop (FD1094 317-0169b) [sound only]	1990	Sega	\N	\N	Turbo OutRun + X Board	
game_rom	M1_v0.7.8a6	abcop	epr-13560.ic17	\N	\N	65536	83050925	118710e5789c7999bb7326df4d7bd207cbffdfd4	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	abcop	opr-13563.ic11	\N	\N	131072	4083e74f	e48c7ce0aa3406af0bbf79c169a8157693c97041	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	abcop	opr-13562.ic12	\N	\N	131072	3cc3968f	d25647f6a3fa939ba30e03e7334362ef0749b23a	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	abcop	opr-13561.ic13	\N	\N	131072	80a7c02a	7e8c1b9ba270d8657dbe90ed8be2e4b6463e5928	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	aburner2	\N	\N	\N	\N	\N	After Burner II [sound only]	1987	Sega	\N	\N	Turbo OutRun + X Board	
game_rom	M1_v0.7.8a6	aburner2	epr-11112.ic17	\N	\N	65536	d777fc6d	46ce1c3875437044c0a172960d560d6acd6eaa92	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aburner2	10931.11	\N	\N	131072	9209068f	01f3dda1c066d00080c55f2c86c506b6b2407f98	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aburner2	10930.12	\N	\N	131072	6493368b	328aff19ff1d1344e9115f519d3962390c4e5ba4	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aburner2	11102.13	\N	\N	131072	6c07c78d	3868b1824f43e4f2b4fbcd9274bfb3000c889d12	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	aceattaa	\N	\N	\N	\N	\N	Ace Attacker (Japan, System 16A, FD1094 317-0060) [sound only]	1988	Sega	\N	\N	System 16 (sound type 2)	
game_rom	M1_v0.7.8a6	aceattaa	epr-11578.12	\N	\N	32768	3d58e39a	3e3591ac96903376698cf95d1b1a5f5db590db3c	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aceattaa	7751.bin	\N	\N	1024	6a9534fc	67ad94674db5c2aab75785668f610f6f4eccd158	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aceattaa	epr-11579.1	\N	\N	32768	1a994135	f42444521a878d32b189876f8854f6363e1b353b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aceattaa	epr-11580.2	\N	\N	32768	961646ed	4c8f87a10ffd7035145dedba86deb373368b0e49	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aceattaa	epr-11581.4	\N	\N	32768	d271a6e5	de303f70abfa28e599e5eb0c2b314f43faa1b484	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aceattaa	epr-11582.5	\N	\N	32768	bcbe3d8a	2e4bb0ebffdd594b192c5b854ea425029d92fdb1	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	aceattac	\N	\N	\N	\N	\N	Ace Attacker (FD1094 317-0059) [sound only]	1988	Sega	\N	\N	System 16 (sound type 3)	
game_rom	M1_v0.7.8a6	aceattac	epr11496.a7	\N	\N	32768	82cb40a9	daf2233438331ba6e6ff8bda4015e92d23e616c5	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aceattac	epr11497.a8	\N	\N	32768	b04f62cc	29b468e5a565dc14e00c371913663eca66ccb44d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aceattac	epr11498.a9	\N	\N	32768	97baf52b	97800014250b0099c7e53d597b0ef02ae14e6dba	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aceattac	epr11499.a10	\N	\N	32768	ea332866	eba0b422b39f7f3f81af1059043a87d944c4aff7	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aceattac	epr11500.a11	\N	\N	32768	2ddf1c31	77b20edbbd801072b20d9dc5e8fa2f468e53d79e	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	acedrvrw	\N	\N	\N	\N	\N	Ace Driver (Rev. AD2, World) [sound only]	1994	Namco	\N	\N	Namco System 22	
game_rom	M1_v0.7.8a6	acedrvrw	ad1data.6r	\N	\N	524288	82024f74	711ab0c4f027716aeab18e3a5d3d06fa82af8007	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	acedrvrw	c74.bin	\N	\N	16384	a3dce360	8f3248b1890abb2e649927240ae46f73bb171e3b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	acedrvrw	ad1wave0.10r	\N	\N	1048576	c7879a72	ae04d664858b0944583590ed0003a9420032d5ca	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	acedrvrw	ad1wave2.10n	\N	\N	1048576	365a6831	ddaa44a4436d6de120b64a5d130b1ee18f872e19	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	acedrvrw	ad1wave1.10p	\N	\N	1048576	69c1d41e	b5cdfe7b75075c585dfd842347f8e4e692bb2781	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	acedrvrw	ad1wave3.10l	\N	\N	1048576	cd8ecb0b	7950b5a3a81f5554f57accabc7a623b8265a21a1	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	actfancr	\N	\N	\N	\N	\N	Act-Fancer Cybernetick Hyper Weapon (World revision 2) [sound only]	1989	Data East Corporation	\N	\N	Robocop	
game_rom	M1_v0.7.8a6	actfancr	17-1	\N	\N	32768	289ad106	cf1b32ac41d3d92860fab04d82a08efe57b6ecf3	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	actfancr	18	\N	\N	65536	5c55b242	62ba60b2f02483875da12aefe849f7e2fd137ef1	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	aerofgt	\N	\N	\N	\N	\N	Aero Fighters [sound only]	1992	Video System Co.	\N	\N	Sonic Wings	
game_rom	M1_v0.7.8a6	aerofgt	2.153	\N	\N	131072	a1ef64ec	fa3e434738bf4e742ad68882c1e914100ce0f761	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aerofgt	it-19-01	\N	\N	262144	6d42723d	57c59234e9925430a4c687733682efed06d7eed1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aerofgt	it-19-06	\N	\N	1048576	cdbbdb1d	067c816545f246ff1fd4c821d70df1e7eb47938c	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	afighter	\N	\N	\N	\N	\N	Action Fighter, FD1089A 317-0018 [sound only]	1986	Sega	\N	\N	System 16 (sound type 1)	
game_rom	M1_v0.7.8a6	afighter	10284	\N	\N	32768	8ff09116	8b99b6d2499897cfbd037a7e7cf5bc53bce8a63a	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	afm_113	\N	\N	\N	\N	\N	Attack From Mars (1.13) (pinball) [sound only]	1995	Bally	\N	\N	Midway DCS95	
game_rom	M1_v0.7.8a6	afm_113	afm_s2.l1	\N	\N	1048576	6e39d96e	b34e31bb1734c86614f153f7201163aaa9943cec	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	afm_113	afm_s3.l1	\N	\N	1048576	1cbce9b1	7f258bfe1904a879a2cb007419483f4fee91e072	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	afm_113	afm_s4.l1	\N	\N	1048576	5ff7fbb7	ebaf825d3b90b6acee1920e6703801a4bcddfc5b	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	agallet	\N	\N	\N	\N	\N	Air Gallet (JUEHTK) [sound only]	1996	Banpresto / Gazelle	\N	\N	Air Gallet	
game_rom	M1_v0.7.8a6	agallet	bp962a.u9	\N	\N	524288	06caddbe	6a3cc50558ba19a31b21b7f3ec6c6e2846244ff1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	agallet	bp962a.u48	\N	\N	2097152	ae00a1ce	5e8c74df0ac77efb3080406870856f958be14f79	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	agallet	bp962a.u47	\N	\N	2097152	6d4e9737	81c7ecdfc2d38d0b35e26745866f6672f566f936	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	agress	\N	\N	\N	\N	\N	Agress [sound only]	1991	Palco	\N	\N	Double Dragon 2	
game_rom	M1_v0.7.8a6	agress	palco3.73	\N	\N	32768	2a21c97d	7f71bf18db3e6ff9c69c589268450e66c6585cdd	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	agress	palco4.78	\N	\N	131072	9dfd9cfe	5ea8f98bc0cd117cde81c04f02aa33199afe8231	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	ainferno	\N	\N	\N	\N	\N	Air Inferno (US) [sound only]	1990	Taito America Corporation	\N	\N	Taito AIR/B/Dual68k/H/F2 Systems	
game_rom	M1_v0.7.8a6	ainferno	c45-23.34	\N	\N	65536	d0750c78	63232c2acef86e8c8ffaad36ab0b6c4cc1eb48f8	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ainferno	c45-06.31	\N	\N	131072	6a7976d4	a465f9bb874b1eff08742b33cc3c364703b281ca	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ainferno	c45-01.5	\N	\N	131072	052997b2	3aa8b4f759a1c196de39754a9ccdf4fabdbab388	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ainferno	c45-02.4	\N	\N	131072	2fc0a88e	6a635671fa2518f74015429ce580d7b7f00299ad	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ainferno	c45-03.3	\N	\N	131072	0e1e5b5f	a53d5ba01825f825e31a014cb4808f59ef86f0c9	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ainferno	c45-04.2	\N	\N	131072	6d081044	2d98bde55621762509dfc645d9ca5e267b1757ae	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ainferno	c45-05.1	\N	\N	131072	6c59a808	6264bbe4d7ad3070c6441859eb704a42910a82f0	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	airbustr	\N	\N	\N	\N	\N	Air Buster: Trouble Specialty Raid Unit (World) [sound only]	1990	Kaneko (Namco license)	\N	\N	Air Buster	
game_rom	M1_v0.7.8a6	airbustr	pr-21.bin	\N	\N	131072	6e0a5df0	616b7c7aaf52a9a55b63c60717c1866940635cd4	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	airbustr	pr-200.bin	\N	\N	262144	a4dd3390	2d72b46b4979857f6b66489bebda9f48799f59cf	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	airco22b	\N	\N	\N	\N	\N	Air Combat 22 (Rev. ACS1 Ver.B) [sound only]	1995	Namco	\N	\N	Namco Super System 22	
game_rom	M1_v0.7.8a6	airco22b	acs1data.8k	\N	\N	524288	33824bc9	80ec63883770e5eec1f5f1ddc16a85ef8f22a48b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	airco22b	acs1wav0.1	\N	\N	4194304	52fb9762	125c163e62d701c2e17ba0b572ed27c944ca0412	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	airco22b	acs1wav1.2	\N	\N	4194304	b568dca2	503deb277691d801acac1380ded2868a5d5ac501	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	aircombj	\N	\N	\N	\N	\N	Air Combat (Japan) [sound only]	1992	Namco	\N	\N	Namco System 21 (type B)	
game_rom	M1_v0.7.8a6	aircombj	ac1-snd0.8j	\N	\N	131072	5c1fb84b	20e4d81289dbe58ffcfc947251a6ff1cc1e36436	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aircombj	ac1-voi0.12b	\N	\N	524288	f427b119	bd45bbe41c8be26d6c997fcdc226d080b416a2cf	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aircombj	ac1-voi1.12c	\N	\N	524288	c9490667	4b6fbe635c32469870a8e6f82742be6a9d4918c9	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aircombj	ac1-voi2.12d	\N	\N	524288	1fcb51ba	80fc815e5fad76d20c3795ab1d89b57d9abc3efd	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	aircombj	ac1-voi3.12e	\N	\N	524288	cd202e06	72a18f5ba402caefef14b8d1304f337eaaa3eb1d	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	airduel	\N	\N	\N	\N	\N	Air Duel (Japan) [sound only]	1990	Irem	\N	\N	Irem M72/M81/M83/M97/M99	
game_rom	M1_v0.7.8a6	airduel	ad-c-h3.bin	\N	\N	131072	9f7cfca3	becf827aa7749c54f1c435ea224e1fd9c8b3f5f9	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	airduel	ad-c-l3.bin	\N	\N	131072	9dd343f7	9f499936b6d3807aa5b5c18e9811c73c9a2c99f9	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	airduel	ad-v0.bin	\N	\N	131072	339f474d	a81bb52598a0e31b2ed6a538755237c5d14d1844	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	ajax	\N	\N	\N	\N	\N	Ajax [sound only]	1987	Konami	\N	\N	Ajax	
game_rom	M1_v0.7.8a6	ajax	770_h03.f16	\N	\N	32768	2ffd2afc	ca2ef684f87bcf9b70b3ec66ec80685edaf04b9b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ajax	770c10	\N	\N	262144	7fac825f	581522d7a02dad16d2803ff344b4db133f767e6b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ajax	770c11	\N	\N	524288	299a615a	29cdcc21998c72f4cf311792b904b79bde236bab	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	ajaxj	\N	\N	ajax	ajax	\N	Ajax (Japan) [sound only]	1987	Konami	\N	\N	Ajax	
game_rom	M1_v0.7.8a6	ajaxj	770_f03.f16	\N	\N	32768	3fe914fd	c691920402bd859e2bf765084704a8bfad302cfa	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ajaxj	770c10	770c10	\N	262144	7fac825f	581522d7a02dad16d2803ff344b4db133f767e6b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ajaxj	770c11	770c11	\N	524288	299a615a	29cdcc21998c72f4cf311792b904b79bde236bab	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	akiss	\N	\N	\N	\N	\N	Mahjong Angel Kiss [sound only]	1995	Jaleco	\N	\N	Jaleco Mega System 32	
game_rom	M1_v0.7.8a6	akiss	93166.21	\N	\N	262144	01a03687	2340c4ed19f434e8c23709edfc93259313aefaf9	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	akiss	95008-11.22	\N	\N	2097152	23b9af76	98b4087c142500dc759bda94d71c77634452a7ad	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	akiss	95008-12.23	\N	\N	2097152	780a2f45	770cbf04e34ae7d72e6eb2304bcdfaff483cd8c1	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	alexkidd	\N	\N	\N	\N	\N	Alex Kidd: The Lost Stars (set 2, unprotected) [sound only]	1986	Sega	\N	\N	System 16 (sound type 2)	
game_rom	M1_v0.7.8a6	alexkidd	10434.12	\N	\N	32768	77141cce	6c5e83527f7e11a5ff5cc4fa75d55618a55e1a58	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	alexkidd	7751.bin	\N	\N	1024	6a9534fc	67ad94674db5c2aab75785668f610f6f4eccd158	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	alexkidd	10435.1	\N	\N	32768	ad89f6e3	812a132142065b0fe13b5f0ac534b6d8830ba102	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	alexkidd	10436.2	\N	\N	32768	96c76613	fe3e4e649fd2cb2453eec0c92015bd54b3b9a1b5	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	alien3	\N	\N	\N	\N	\N	Alien3: The Gun (World) [sound only]	1993	Sega	\N	\N	System 32	
game_rom	M1_v0.7.8a6	alien3	15859.bin	\N	\N	262144	91b55bd0	23b85a006a91c2a5eb1cee14172fd0d8b7732518	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	alien3	15858.bin	\N	\N	1048576	2eb64c10	b2dbe86b82e889f4a9850cf4aa6596a139c1c3d6	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	alien3	15857.bin	\N	\N	1048576	915c56df	7031f937c826af17caf7ec8cbb6155d0a55bd38a	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	alien3	15856.bin	\N	\N	1048576	a5ef4f1f	e8da7a995955e80872a25bd75465c590b649cfab	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	aliens	\N	\N	\N	\N	\N	Aliens (World set 1) [sound only]	1990	Konami	\N	\N	Aliens	
game_rom	M1_v0.7.8a6	aliens	g04_b03.bin	\N	\N	32768	1ac4d283	2253f1f39c7edb6cef438b3d97f3af67a1f491ff	\N	\N	\N	\N	\N	\N	
