game	RCPS	ffight	\N	\N	\N	\N	\N	Final Fight (World)	1989	Capcom	\N	\N	\N	
game_rom	RCPS	3wonders	rte.31a	\N	\N	131072	32835e5e	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	rte.36a	\N	\N	131072	7637975f	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.28	\N	\N	131072	054137c8	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.33	\N	\N	131072	7264cb1b	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	rte.29a	\N	\N	131072	cddaa919	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	rte.34a	\N	\N	131072	ed52e7e5	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.05	\N	\N	524288	86aef804	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.07	\N	\N	524288	4f057110	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.01	\N	\N	524288	902489d0	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.03	\N	\N	524288	e35ce720	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.06	\N	\N	524288	13cb0e7c	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.08	\N	\N	524288	1f055014	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.02	\N	\N	524288	e9a034f4	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.04	\N	\N	524288	df0eea8b	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.09	\N	\N	65536	abfca165	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.18	\N	\N	131072	26b211ab	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	3wonders.19	\N	\N	131072	dbe64ad0	\N	\N	\N	\N	\N	\N	\N	
game	RCPS	wonder3	\N	\N	3wonders	3wonders	\N	Wonder 3 (Japan)	1991	Capcom	\N	\N	\N	
game_rom	RCPS	wonder3	rtj36.bin	\N	\N	131072	e3741247	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	rtj42.bin	\N	\N	131072	b4baa117	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	rtj37.bin	\N	\N	131072	a1f677b0	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	rtj43.bin	\N	\N	131072	85337a47	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.28	3wonders.28	\N	131072	054137c8	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.33	3wonders.33	\N	131072	7264cb1b	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	rtj35.bin	\N	\N	131072	e72f9ea3	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	rtj41.bin	\N	\N	131072	a11ee998	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.05	3wonders.05	\N	524288	86aef804	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.07	3wonders.07	\N	524288	4f057110	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.01	3wonders.01	\N	524288	902489d0	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.03	3wonders.03	\N	524288	e35ce720	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.06	3wonders.06	\N	524288	13cb0e7c	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.08	3wonders.08	\N	524288	1f055014	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.02	3wonders.02	\N	524288	e9a034f4	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.04	3wonders.04	\N	524288	df0eea8b	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	rt23.bin	\N	\N	65536	7d5a77a7	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.18	3wonders.18	\N	131072	26b211ab	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	wonder3	3wonders.19	3wonders.19	\N	131072	dbe64ad0	\N	\N	\N	\N	\N	\N	\N	
game	RCPS	megaman	\N	\N	\N	\N	\N	Mega Man - The Power Battle (Asia)	1995	Capcom	\N	\N	\N	
game_rom	RCPS	megaman	rcma_23b.rom	\N	\N	524288	61e4a397	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcma_22b.rom	\N	\N	524288	708268c4	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcma_21a.rom	\N	\N	524288	4376ea95	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_01.rom	\N	\N	524288	6ecdf13f	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_02.rom	\N	\N	524288	944d4f0f	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_03.rom	\N	\N	524288	36f3073c	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_04.rom	\N	\N	524288	54e622ff	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_05.rom	\N	\N	524288	5dd131fd	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_06.rom	\N	\N	524288	f0faf813	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_07.rom	\N	\N	524288	826de013	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_08.rom	\N	\N	524288	fbff64cf	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_10.rom	\N	\N	524288	4dc8ada9	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_11.rom	\N	\N	524288	f2b9ee06	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_12.rom	\N	\N	524288	fed5f203	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_13.rom	\N	\N	524288	5069d4a9	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_14.rom	\N	\N	524288	303be3bd	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_15.rom	\N	\N	524288	4f2d372f	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_16.rom	\N	\N	524288	93d97fde	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_17.rom	\N	\N	524288	92371042	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_09.rom	\N	\N	131072	9632d6ef	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_18.rom	\N	\N	131072	80f1f8aa	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	megaman	rcm_19.rom	\N	\N	131072	f257dbe1	\N	\N	\N	\N	\N	\N	\N	
game	RCPS	rockmanj	\N	\N	megaman	megaman	\N	Rockman - The Power Battle (Japan)	1995	Capcom	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm23a.bin	\N	\N	524288	efd96cb2	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm22a.bin	\N	\N	524288	8729a689	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm21a.bin	\N	\N	524288	517ccde2	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_01.rom	rcm_01.rom	\N	524288	6ecdf13f	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_02.rom	rcm_02.rom	\N	524288	944d4f0f	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_03.rom	rcm_03.rom	\N	524288	36f3073c	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_04.rom	rcm_04.rom	\N	524288	54e622ff	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_05.rom	rcm_05.rom	\N	524288	5dd131fd	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_06.rom	rcm_06.rom	\N	524288	f0faf813	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_07.rom	rcm_07.rom	\N	524288	826de013	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_08.rom	rcm_08.rom	\N	524288	fbff64cf	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_10.rom	rcm_10.rom	\N	524288	4dc8ada9	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_11.rom	rcm_11.rom	\N	524288	f2b9ee06	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_12.rom	rcm_12.rom	\N	524288	fed5f203	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_13.rom	rcm_13.rom	\N	524288	5069d4a9	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_14.rom	rcm_14.rom	\N	524288	303be3bd	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_15.rom	rcm_15.rom	\N	524288	4f2d372f	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_16.rom	rcm_16.rom	\N	524288	93d97fde	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_17.rom	rcm_17.rom	\N	524288	92371042	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_09.rom	rcm_09.rom	\N	131072	9632d6ef	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_18.rom	rcm_18.rom	\N	131072	80f1f8aa	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	rockmanj	rcm_19.rom	rcm_19.rom	\N	131072	f257dbe1	\N	\N	\N	\N	\N	\N	\N	
game	RCPS	sf2	\N	\N	\N	\N	\N	Street Fighter II - The World Warrior (World 910214)	1991	Capcom	\N	\N	\N	
game_rom	RCPS	sf2	sf2_30a.bin	\N	\N	131072	57bd7051	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2e_37b.rom	\N	\N	131072	62691cdd	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_31a.bin	\N	\N	131072	a673143d	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_38a.bin	\N	\N	131072	4c2ccef7	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_28a.bin	\N	\N	131072	4009955e	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_35a.bin	\N	\N	131072	8c1f3994	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_29a.bin	\N	\N	131072	bb4af315	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_36a.bin	\N	\N	131072	c02a13eb	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_06.bin	\N	\N	524288	22c9cc8e	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_08.bin	\N	\N	524288	57213be8	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_05.bin	\N	\N	524288	ba529b4f	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_07.bin	\N	\N	524288	4b1b33a8	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_15.bin	\N	\N	524288	2c7e2229	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_17.bin	\N	\N	524288	b5548f17	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_14.bin	\N	\N	524288	14b84312	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_16.bin	\N	\N	524288	5e9cd89a	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_25.bin	\N	\N	524288	994bfa58	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_27.bin	\N	\N	524288	3e66ad9d	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_24.bin	\N	\N	524288	c1befaa8	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_26.bin	\N	\N	524288	0627c831	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_09.bin	\N	\N	65536	a4823a1b	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_18.bin	\N	\N	131072	7f162009	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2	sf2_19.bin	\N	\N	131072	beade53f	\N	\N	\N	\N	\N	\N	\N	
game	RCPS	sf2ue	\N	\N	sf2	sf2	\N	Street Fighter II - The World Warrior (US 910228)	1991	Capcom	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2u.30e	\N	\N	131072	f37cd088	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2u.37e	\N	\N	131072	6c61a513	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2u.31e	\N	\N	131072	7c4771b4	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2u.38e	\N	\N	131072	a4bd0cd9	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2u.28e	\N	\N	131072	e3b95625	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2u.35e	\N	\N	131072	3648769a	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_29a.bin	sf2_29a.bin	\N	131072	bb4af315	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_36a.bin	sf2_36a.bin	\N	131072	c02a13eb	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_06.bin	sf2_06.bin	\N	524288	22c9cc8e	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_08.bin	sf2_08.bin	\N	524288	57213be8	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_05.bin	sf2_05.bin	\N	524288	ba529b4f	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_07.bin	sf2_07.bin	\N	524288	4b1b33a8	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_15.bin	sf2_15.bin	\N	524288	2c7e2229	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_17.bin	sf2_17.bin	\N	524288	b5548f17	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_14.bin	sf2_14.bin	\N	524288	14b84312	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_16.bin	sf2_16.bin	\N	524288	5e9cd89a	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_25.bin	sf2_25.bin	\N	524288	994bfa58	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_27.bin	sf2_27.bin	\N	524288	3e66ad9d	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_24.bin	sf2_24.bin	\N	524288	c1befaa8	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_26.bin	sf2_26.bin	\N	524288	0627c831	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_09.bin	sf2_09.bin	\N	65536	a4823a1b	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_18.bin	sf2_18.bin	\N	131072	7f162009	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ue	sf2_19.bin	sf2_19.bin	\N	131072	beade53f	\N	\N	\N	\N	\N	\N	\N	
game	RCPS	sf2ui	\N	\N	sf2	sf2	\N	Street Fighter II - The World Warrior (US 910522)	1991	Capcom	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2u.30i	\N	\N	131072	fe39ee33	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2u.37i	\N	\N	131072	9df707dd	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2u.31i	\N	\N	131072	69a0a301	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2u.38i	\N	\N	131072	4cb46daf	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2u.28i	\N	\N	131072	1580be4c	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2u.35i	\N	\N	131072	1468d185	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_29a.bin	sf2_29a.bin	\N	131072	bb4af315	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_36a.bin	sf2_36a.bin	\N	131072	c02a13eb	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_06.bin	sf2_06.bin	\N	524288	22c9cc8e	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_08.bin	sf2_08.bin	\N	524288	57213be8	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_05.bin	sf2_05.bin	\N	524288	ba529b4f	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_07.bin	sf2_07.bin	\N	524288	4b1b33a8	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_15.bin	sf2_15.bin	\N	524288	2c7e2229	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_17.bin	sf2_17.bin	\N	524288	b5548f17	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_14.bin	sf2_14.bin	\N	524288	14b84312	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_16.bin	sf2_16.bin	\N	524288	5e9cd89a	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_25.bin	sf2_25.bin	\N	524288	994bfa58	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_27.bin	sf2_27.bin	\N	524288	3e66ad9d	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_24.bin	sf2_24.bin	\N	524288	c1befaa8	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_26.bin	sf2_26.bin	\N	524288	0627c831	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_09.bin	sf2_09.bin	\N	65536	a4823a1b	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_18.bin	sf2_18.bin	\N	131072	7f162009	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2ui	sf2_19.bin	sf2_19.bin	\N	131072	beade53f	\N	\N	\N	\N	\N	\N	\N	
game	RCPS	sf2j	\N	\N	sf2	sf2	\N	Street Fighter II - The World Warrior (Japan 911210)	1991	Capcom	\N	\N	\N	
game_rom	RCPS	sf2j	sf2j30.bin	\N	\N	131072	79022b31	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2j	sf2j37.bin	\N	\N	131072	516776ec	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2j	sf2j31.bin	\N	\N	131072	fe15cb39	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2j	sf2j38.bin	\N	\N	131072	38614d70	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2j	sf2j28.bin	\N	\N	131072	d283187a	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2j	sf2j35.bin	\N	\N	131072	d28158e4	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2j	sf2_29a.bin	sf2_29a.bin	\N	131072	bb4af315	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2j	sf2_36a.bin	sf2_36a.bin	\N	131072	c02a13eb	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2j	sf2_06.bin	sf2_06.bin	\N	524288	22c9cc8e	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	sf2j	sf2_08.bin	sf2_08.bin	\N	524288	57213be8	\N	\N	\N	\N	\N	\N	\N	
