game	SNAME_v0.2	pontoon	\N	\N	\N	\N	\N	Pontoon	1985	Tehkan	\N	\N	\N	
game	SNAME_v0.2	goldstbl	\N	\N	goldstar	goldstar	\N	Golden Star (Blue version)	\N	IGS	\N	\N	\N	
game_rom	SNAME_v0.2	goldstbl	gsb-cpu.bin	\N	\N	65536	82b238c3	1306e700e213f423bdd79b182aa11335796f7f38	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	goldstbl	gs2.bin	gs2.bin	\N	131072	a2d5b898	84cca22c91628cfefb67013652b151f034a06159	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	goldstbl	gsb-spr.bin	\N	\N	32768	52ecd4c7	7ef013020521a0c19ecd67db1c00047e78a3c736	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	goldstbl	gs1-snd.bin	gs1-snd.bin	\N	131072	9d58960f	c68edf95743e146398aabf6b9617d18e1f9bf25b	\N	\N	\N	\N	\N	\N	
game	SNAME_v0.2	csk227it	\N	\N	\N	\N	\N	Champion Skill (with Ability)	\N	IGS	\N	\N	\N	
game_rom	SNAME_v0.2	csk227it	v227i.bin	\N	\N	65536	df1ebf49	829c7575d3d3780557405b3a61859901df6dbe4f	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk227it	6.227	\N	\N	131072	e9aad93b	72116759cd8ddd9828f534e8f8a3f9f96ad2e002	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk227it	5.227	\N	\N	131072	e4c4c8da	0442b0de68f3b69e613506348e00c3cf9139edcf	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk227it	4.227	\N	\N	131072	afb365dd	930a4cd516258e703a75afc25ef6b2655b8b696a	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk227it	3.bin	\N	\N	65536	fcb115ac	a9f2b9762413840669cd44f8e54b47a7c4350d11	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk227it	2.bin	\N	\N	65536	848343a3	b12f9bc2feb470d2fa8b085621fa60c0895109d4	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk227it	1.bin	\N	\N	65536	921ad5de	b06ab2e63b31361dcb0367110f47bf2453ecdca6	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk227it	7.227	\N	\N	65536	a10786ad	82f5f81808ca70d67a2710cc66fbbf78588b33b5	\N	\N	\N	\N	\N	\N	
game	SNAME_v0.2	csk234it	\N	\N	csk227it	csk227it	\N	Champion Skill (Ability, Poker & Symbols)	\N	IGS	\N	\N	\N	
game_rom	SNAME_v0.2	csk234it	v234it.bin	\N	\N	65536	344b7059	990cb84e35c0c50d3be9fbb76a11395114dc6c9b	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk234it	6.234	\N	\N	131072	23b855a4	8217bac61ad09483d8789113cf394d0e525ab28a	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk234it	5.234	\N	\N	131072	189039d7	146fd1ddb23ceaa4192e0382b0ab82f5cfbdabfe	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk234it	4.234	\N	\N	131072	c82b0ffc	5ebd7da76d402b7111cbe9012cfa3b8a8ff1a86e	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk234it	3.bin	3.bin	\N	65536	fcb115ac	a9f2b9762413840669cd44f8e54b47a7c4350d11	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk234it	2.bin	2.bin	\N	65536	848343a3	b12f9bc2feb470d2fa8b085621fa60c0895109d4	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk234it	1.bin	1.bin	\N	65536	921ad5de	b06ab2e63b31361dcb0367110f47bf2453ecdca6	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	csk234it	7.234	\N	\N	65536	ae6dd4ad	4772d5c150d64d1ef3b68e16214f594eea0b3c1b	\N	\N	\N	\N	\N	\N	
game	SNAME_v0.2	pong	\N	\N	\N	\N	\N	Pong	1972	Atari	\N	\N	\N	
game	SNAME_v0.2	monaco	\N	\N	\N	\N	\N	Monaco GP	1979	Sega	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr125	\N	\N	512	7a66ed4c	514e129c334a551b931c90b063b073a9b4bdffc3	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr126	\N	\N	512	5d7a8f12	b4f0d21b91a7cf7002f99c08788669c7c38be51d	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr127	\N	\N	512	8ffdc2f0	05cc3330c067965b8b90b5d27119fe9f26580a13	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr128	\N	\N	512	dde29dea	34c413edff991297471bd0bc193c4bd8ede4e468	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr129	\N	\N	512	7b18af26	3d1ff2610813544c3b9b65182f081272a9537640	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr130	\N	\N	512	9ef1913b	58830121781b8a13532eaf8ea13ec07f10522320	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr131	\N	\N	512	ff31eb01	fd6bcd92c4bd919bb1a96ca97688d46cb310b39d	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr132	\N	\N	512	6b8ad9bc	be36e3b6b647d3a9565bc45903027c791dc889e5	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr133	\N	\N	512	d50641d9	bf399e9830c88e4d8f8fb386305f54ef766946d9	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr134	\N	\N	512	8ebd50bb	98d51f503753d4d7191a09b509d26c1e049e981a	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr135	\N	\N	512	986eda32	73fa539d4c83748952d9339985208520fec955f3	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr136	\N	\N	512	ecc5d1a2	33bff7381785557a85e4c8bdd74679b59e0ed9d5	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr137	\N	\N	512	ddd9004e	5229c34578e66d9c51a05439a516513946ba69ed	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr138	\N	\N	512	058e53cf	7c3aaaca5a9e9ce3a3badd0dcc8360342673a397	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr139	\N	\N	512	e8ba0794	eadd7425134f26b1c126bbcd3d3dabf4b2e1fe70	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr140	\N	\N	512	48e9971b	c0c265cdc08727e3caaf49cdfe728a91c4c46ba2	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	pr141	\N	\N	512	99934236	ec271f3e690d5c57ead9132b22b9b1b966e4d170	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	prm38	\N	\N	32	82dd0a0f	3e7e475c3270853d70c1fe90a773172532b60cfb	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	monaco	prm39	\N	\N	32	6acfa0da	1e56da4cdf71a095eac29878969b831babac222b	\N	\N	\N	\N	\N	\N	
game_sample	SNAME_v0.2	monaco	6car1.wav	
game_sample	SNAME_v0.2	monaco	6car2.wav	
game_sample	SNAME_v0.2	monaco	6crash.wav	
game_sample	SNAME_v0.2	monaco	6engine.wav	
game_sample	SNAME_v0.2	monaco	6extend.wav	
game_sample	SNAME_v0.2	monaco	6fanfare.wav	
game_sample	SNAME_v0.2	monaco	6siren.wav	
game_sample	SNAME_v0.2	monaco	6slip.wav	
