game	Mimic_v2.11	bombjack	\N	\N	\N	\N	\N	Bomb Jack (set 2)	1984	Tehkan	\N	\N	\N	
game_rom	Mimic_v2.11	mrdo	h5-05.bin	\N	\N	4096	e1218cc5	d946613a1cf1c97f7533a4f8c2d0078d1b7daaa8	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mrdo	k5-06.bin	\N	\N	4096	b1f68b04	25709cd81c03df51f27cd730fecf86a1daa9e27e	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mrdo	u02--2.bin	\N	\N	32	238a65d7	a5b20184a1989db23544296331462ec4d7be7516	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mrdo	t02--3.bin	\N	\N	32	ae263dc0	7072c100b9d692f5bb12b0c9e304425f534481e2	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	pacman	\N	\N	\N	\N	\N	Pac-Man (Midway)	1980	[Namco] (Midway license)	\N	\N	\N	
game_rom	Mimic_v2.11	pacman	pacman.6e	\N	\N	4096	c1e6ab10	e87e059c5be45753f7e9f33dff851f16d6751181	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacman	pacman.6f	\N	\N	4096	1a6fb2d4	674d3a7f00d8be5e38b1fdc208ebef5a92d38329	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacman	pacman.6h	\N	\N	4096	bcdd1beb	8e47e8c2c4d6117d174cdac150392042d3e0a881	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacman	pacman.6j	\N	\N	4096	817d94e3	d4a70d56bb01d27d094d73db8667ffb00ca69cb9	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacman	pacman.5e	\N	\N	4096	0c944964	06ef227747a440831c9a3a613b76693d52a2f0a9	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacman	pacman.5f	\N	\N	4096	958fedf9	4a937ac02216ea8c96477d4a15522070507fb599	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacman	82s123.7f	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacman	82s126.4a	\N	\N	256	3eb3a8e4	19097b5f60d1030f8b82d9f1d3a241f93e5c75d6	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	pbaction	\N	\N	\N	\N	\N	Pinball Action (set 1)	1985	Tehkan	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	b-p7.bin	\N	\N	16384	8d6dcaae	c9e605f9d291cb8c7163655ea96c605b7d30365f	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	b-n7.bin	\N	\N	16384	d54d5402	a4c3205bfe5fba8bb1ff3ad15941a77c35b44a27	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	b-l7.bin	\N	\N	8192	e7412d68	e75731d9bea80e0dc09798dd46e3b947fdb54aaa	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	a-s6.bin	\N	\N	8192	9a74a8e1	bd27439b91f41db3fd7eedb44e828d61b793bda0	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	a-s7.bin	\N	\N	8192	5ca6ad3c	7c8eff087f18cc2ff0572ea45e681a3a1ec94fad	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	a-s8.bin	\N	\N	8192	9f00b757	74b6d926b8f456c8d0101f0232c5d3662423b396	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	a-j5.bin	\N	\N	16384	21efe866	0c0a05a26d793ba98b0f421d464ff4b1d301ff9e	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	a-j6.bin	\N	\N	16384	7f984c80	18795ecbcd2da94f1cfcce5559d652388d1b8bc0	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	a-j7.bin	\N	\N	16384	df69e51b	52ab15c63332f0fa98884fa9adc8d35b93c939c4	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	a-j8.bin	\N	\N	16384	0094cb8b	58f48d24903b797e8451bf231f9e8df621685d9f	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	b-c7.bin	\N	\N	8192	d1795ef5	69ad8e419e340d2f548468ed7838102789b978da	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	b-d7.bin	\N	\N	8192	f28df203	060f70ed6386c808303a488c97691257681bd8f3	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pbaction	b-f7.bin	\N	\N	8192	af6e9817	56f47d25761b3850c49a3a81b5ea35f12bd77b14	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	rallyx	\N	\N	\N	\N	\N	Rally X	1980	Namco	\N	\N	\N	
game_rom	Mimic_v2.11	rallyx	1b	\N	\N	4096	5882700d	b6029e9730f1694894fe8b729ac0ba8d6712dea9	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	rallyx	rallyxn.1e	\N	\N	4096	ed1eba2b	82d3a4b34b0ff5cfdb8ca7c18ad5c63d943b8484	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	rallyx	rallyxn.1h	\N	\N	4096	4f98dd1c	8a20fadcea76802d1c412ba62086abb846ad54a8	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	rallyx	rallyxn.1k	\N	\N	4096	9aacccf0	9b22079972c0f9970d62d62751db4783a87796d5	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	rallyx	8e	\N	\N	4096	277c1de5	30bc57263e8dad870c501c76bce6f42d69ab9e00	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	rallyx	m3-7603.11n	\N	\N	32	c7865434	70c1c9610ba6f1ead77f347e7132958958bccb31	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	rallyx	im5623.8p	\N	\N	256	834d4fda	617864d3df0917a513e8255ad8d96ae7a04da5a1	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	solomon	\N	\N	\N	\N	\N	Solomon's Key (Japan)	1986	Tecmo	\N	\N	\N	
game_rom	Mimic_v2.11	solomon	slmn_06.bin	\N	\N	16384	e4d421ff	9599fa6e2d42bf0cfe77d62c6b162f56eae5efff	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	solomon	slmn_07.bin	\N	\N	32768	d52d7e38	8439eeeedd1e47d2b9719a05c85a05283c11d7a8	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	solomon	slmn_08.bin	\N	\N	4096	b924d162	6299b791ec874bc3ef0424b277ec8a736c8cdd9a	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	solomon	slmn_12.bin	\N	\N	32768	aa26dfcb	71748eaceeca878ae9f871e30d5951ca4dde37d6	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	solomon	slmn_11.bin	\N	\N	32768	6f94d2af	2e070c0fd5b9d7eb9b7e0d53f25b1a5063ef3095	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	solomon	slmn_10.bin	\N	\N	32768	8310c2a1	8cc87ab8faacdb1973791d207bb25ea9b444b66d	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	solomon	slmn_09.bin	\N	\N	32768	ab7e6c42	0fc3b4a0bd2b17b79e2d1f7d4fe445c09ce4e730	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	solomon	slmn_02.bin	\N	\N	16384	80fa2be3	8e7a78186473a6b5c42577ac9e4591ee2d1151f2	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	solomon	slmn_03.bin	\N	\N	16384	236106b4	8eaf3150568c407bd8dc1cdf874b8417e5cca3d2	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	solomon	slmn_04.bin	\N	\N	16384	088fe5d9	e29ffb9fcff50ce982d5e502e10a8e29a4c47390	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	solomon	slmn_05.bin	\N	\N	16384	8366232a	1c7a01dab056ec7d787a6f55772b9fa6fe67305a	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	mspacman	\N	\N	\N	\N	\N	Ms. Pac-Man	1981	bootleg	\N	\N	\N	
game_rom	Mimic_v2.11	mspacman	boot1	\N	\N	4096	d16b31b7	bc2247ec946b639dd1f00bfc603fa157d0baaa97	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mspacman	boot2	\N	\N	4096	0d32de5e	13ea0c343de072508908be885e6a2a217bbb3047	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mspacman	boot3	\N	\N	4096	1821ee0b	5ea4d907dbb2690698db72c4e0b5be4d3e9a7786	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mspacman	boot4	\N	\N	4096	165a9dd8	3022a408118fa7420060e32a760aeef15b8a96cf	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mspacman	boot5	\N	\N	4096	8c3e6de6	fed6e9a2b210b07e7189a18574f6b8c4ec5bb49b	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mspacman	boot6	\N	\N	4096	368cb165	387010a0c76319a1eab61b54c9bcb5c66c4b67a1	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mspacman	5e	\N	\N	4096	5c281d01	5e8b472b615f12efca3fe792410c23619f067845	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mspacman	5f	\N	\N	4096	615af909	fd6a1dde780b39aea76bf1c4befa5882573c2ef4	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mspacman	82s123.7f	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	mspacman	82s126.4a	\N	\N	256	3eb3a8e4	19097b5f60d1030f8b82d9f1d3a241f93e5c75d6	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	pacgal	\N	\N	pacman	pacman	\N	Pac-Man (bootleg on Galaxian hardware)	1981	bootleg	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpac1b	\N	\N	2048	6718df42	ee15c3f583d381fba4878f824f83d04479a0cee5	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpac2b	\N	\N	2048	33be3648	50175889cf37fe8a81c931e009b55d10f8d0444a	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpac3b	\N	\N	2048	f98c0ceb	4faf8b2fb3f109d1196a9ea256328485074a31b9	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpac4b	\N	\N	2048	a9cd0082	f44ff1ad15d5ee3096f8f44f9c605f32ae2737d9	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpac5b	\N	\N	2048	6d475afc	4fe6bde352c7dd9572fefaae4b59640b4f4eb8ba	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpac6b	\N	\N	2048	cbe863d3	97a2ffa6ab33e6061c664dcd1ee57c86a456782f	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpac7b	\N	\N	2048	7daef758	4dc8ec0ea8fc04d5bffc1c1335407729309c17f0	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpac12b	\N	\N	2048	b2ed320b	680a6fdcb65cc2d88d10bc85e0b2628f43375c5c	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpac11b	\N	\N	2048	ab88b2c4	d0c829ea8021eae81a2b82d36c35ad8258b115e0	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpac10b	\N	\N	2048	44a45b72	8abd0684a01d6c23ef5cf5f0765458f982316acf	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpac9b	\N	\N	2048	fa84659f	20c212723f9062f052539190dfe3fc41577543eb	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	pacgal	blpaccp	\N	\N	32	24652bc4	d89575f3749c75dc963317fe451ffeffd9856e4d	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	bankp	\N	\N	\N	\N	\N	Bank Panic	1984	Sega	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6175.bin	\N	\N	16384	044552b8	8d50ba062483d4789cfd3ed86cea53dff0ff6968	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6174.bin	\N	\N	16384	d29b1598	8c1ee4d23d8d6f93af3e22f2cba189b0055994fb	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6173.bin	\N	\N	16384	b8405d38	0f62a972f38b4ddcea77eb0e1d76c70ddbcb7b11	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6176.bin	\N	\N	8192	c98ac200	1bdb87868deebe03da18280e617530c24118da1c	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6165.bin	\N	\N	8192	aef34a93	513895cd3144977b3d9b5ac7f2bf40384d69e157	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6166.bin	\N	\N	8192	ca13cb11	3aca0b0d3f052a742e1cd0b96bfad834e78fcd7d	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6172.bin	\N	\N	8192	c4c4878b	423143d81408eda96f87bdc3a306517c473cbe00	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6171.bin	\N	\N	8192	a18165a1	9a7513ea84f9231edba4e637df28a1705c8cdeb0	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6170.bin	\N	\N	8192	b58aa8fa	432b43cd9af4e3dab579cfd191b731aa11ceb121	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6169.bin	\N	\N	8192	1aa37fce	6e2402683145de8972a53c9ec01da9a422392bed	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6168.bin	\N	\N	8192	05f3a867	9da11c3cea967c5f0d7397c0ff4f87b4b1446c4c	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	epr6167.bin	\N	\N	8192	3fa337e1	5fdc45436be27cceb5157bd6201c30e3de28fd7b	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	pr6177.clr	\N	\N	32	eb70c5ae	13613dad6c14004278f777d6f3f62712a2a85773	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	bankp	pr6178.clr	\N	\N	256	0acca001	54c354d825a24a9085867b114a2cd6835baebe55	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	dkong	\N	\N	\N	\N	\N	Donkey Kong (US)	1981	Nintendo of America	\N	\N	\N	
game_rom	Mimic_v2.11	dkong	dk.5e	\N	\N	4096	ba70b88b	d76ebecfea1af098d843ee7e578e480cd658ac1a	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	dkong	dk.5c	\N	\N	4096	5ec461ec	acb11a8fbdbb3ab46068385fe465f681e3c824bd	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	dkong	dk.5b	\N	\N	4096	1c97d324	c7966261f3a1d3296927e0b6ee1c58039fc53c1f	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	dkong	dk.5a	\N	\N	4096	b9005ac0	3fe3599f6fa7c496f782053ddf7bacb453d197c4	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	dkong	dk.3n	\N	\N	2048	12c8c95d	a57ff5a231c45252a63b354137c920a1379b70a3	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	dkong	dk.3p	\N	\N	2048	15e9c5e9	976eb1e18c74018193a35aa86cff482ebfc5cc4e	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	luc2day	\N	\N	\N	\N	\N	Lucky Today	????	????	\N	\N	\N	
game_rom	Mimic_v2.11	luc2day	ltprog1.bin	\N	\N	2048	59c389b9	1e158ced3b56db2c51e422fb4c0b8893565f1956	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	luc2day	ltprog2.bin	\N	\N	2048	ac3893b1	f6b9cd8111b367ff7030cba52fe965959d92568f	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	luc2day	ltchar1.bin	\N	\N	2048	b5ba9946	7222cbe8c41ca74b214f4dd5439bf69d90f4644e	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	luc2day	ltchar2.bin	\N	\N	2048	8cd73bdc	6174f7347d2c96f9c5074bc0da5a370c9b07461b	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	luc2day	galaxian.clr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	invaders	\N	\N	\N	\N	\N	Space Invaders	1978	Midway	\N	\N	\N	
game_rom	Mimic_v2.11	invaders	invaders.h	\N	\N	2048	734f5ad8	ff6200af4c9110d8181249cbcef1a8a40fa40b7f	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	invaders	invaders.g	\N	\N	2048	6bfaca4a	16f48649b531bdef8c2d1446c429b5f414524350	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	invaders	invaders.f	\N	\N	2048	0ccead96	537aef03468f63c5b9e11dd61e253f7ae17d9743	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	invaders	invaders.e	\N	\N	2048	14e538b0	1d6ca0c99f9df71e2990b610deb9d7da0125e2d8	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	earthinv	\N	\N	invaders	invaders	\N	Super Earth Invasion	1980	bootleg	\N	\N	\N	
game_rom	Mimic_v2.11	earthinv	earthinv.h	\N	\N	2048	58a750c8	90bfa4ea06f38e67fe4286d37d151632439249d2	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	earthinv	earthinv.g	\N	\N	2048	b91742f1	8d9ca92405fbaf1d5a7138d400986616378d061e	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	earthinv	earthinv.f	\N	\N	2048	4acbbc60	b8c1efb4251a1e690ff6936ec956d6f66136a085	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	earthinv	earthinv.e	\N	\N	2048	df397b12	e7e8c080cb6baf342ec637532e05d38129ae73cf	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	spaceatt	\N	\N	invaders	invaders	\N	Space Attack II	1980	Zenitone-Microsec Ltd	\N	\N	\N	
game_rom	Mimic_v2.11	spaceatt	spaceatt.h	\N	\N	2048	a31d0756	2b76929654ed0b180091348546dac29fc6e5438e	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	spaceatt	spaceatt.g	\N	\N	2048	f41241f7	d93cead75922510075433849c4f7099279eafc18	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	spaceatt	spaceatt.f	\N	\N	2048	4c060223	957e75a978aa600627399061cae0a6525e92ad11	\N	\N	\N	\N	\N	\N	
game_rom	Mimic_v2.11	spaceatt	spaceatt.e	\N	\N	2048	7cf6f604	469557de15178c4b2d686e5724e1006f7c20d7a4	\N	\N	\N	\N	\N	\N	
game	Mimic_v2.11	time_plt	\N	\N	\N	\N	\N	Time Pilot	1982	Konami	\N	\N	\N	
game_rom	Mimic_v2.11	time_plt	tm1	\N	\N	8192	1551f1b9	c72f30988ac00cbe6549b71c3bcb414511e8b997	\N	\N	\N	\N	\N	\N	
