game	Sparcade_v2.33b	frogger	\N	\N	\N	\N	\N	Frogger (Sega set 2)	1981	[Konami] (Sega license)	\N	\N	\N	
game_rom	Sparcade_v2.33b	bombjack	bombjack.5	\N	\N	4096	e87ec8b1	a66808ef2d62fca2854396898b86bac9be5f17a3	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	bombjack	bombjack.6	\N	\N	8192	51eebd89	515128a3971fcb97b60c5b6bdd2b03026aec1921	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	bombjack	bombjack.7	\N	\N	8192	9dd98e9d	6db6006a6e20ff7c243d88293ca53681c4703ea5	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	bombjack	bombjack.8	\N	\N	8192	3155ee7d	e7897dca4c145f10b7d975b8ef0e4d8aa9354c25	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	bombjack	bombjack.14	\N	\N	8192	101c858d	ed1746c15cdb04fae888601d940183d5c7702282	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	bombjack	bombjack.15	\N	\N	8192	013f58f2	20c64593ab9fcb04cefbce0cd5d17ce3ff26441b	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	bombjack	bombjack.16	\N	\N	8192	94694097	de71bcd67f97d05527f2504fc8430be333fb9ec2	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	bombjack	bombjack.1	\N	\N	8192	8407917d	318face9f7a7ab6c7eeac773995040425e780aaf	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	bombjack	bombjack.2	\N	\N	4096	398d4a02	ac18a8219f99ba9178b96c9564de3978e39c59fd	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	commando	\N	\N	\N	\N	\N	Commando (World)	1985	Capcom	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.4	\N	\N	32768	8438b694	e154478d8f1b635355bd777370acabe49cb9d309	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.3	\N	\N	16384	35486542	531a85c9e03970ce037be84f2240c2df6f6e3ec1	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.2	\N	\N	16384	f9cc4a74	ee8dd73919c6f47f62cc6d999de9510db9f79b8f	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.1	\N	\N	16384	505726e0	2435c87c9c9d78a6e703cf0e1f6a0288207fcd4c	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.5	\N	\N	16384	79f16e3d	04e1f03a4d6b4cc2b81bce3a290bbb95de900d35	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.6	\N	\N	16384	26fee521	2fbfc73ee860f72a20229a01d4da9f5cc2e858d3	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.7	\N	\N	16384	ca88bdfd	548b05460bc7983cc81f15c70e87f47d10db2812	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.8	\N	\N	16384	2019c883	883c0156ceab99f4849fe36972c4162b4ac8c216	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.9	\N	\N	16384	98703982	ba9a9b0dcadd4f52502828408c4a19b0bd518351	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.10	\N	\N	16384	f069d2f8	2c92300a9407470b34965021de882f1f7a84730c	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.11	\N	\N	16384	7b2e1b48	5d49e1d8146e4ef744445b68f35677302e875a85	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.12	\N	\N	16384	81b417d3	5ec7e3f0c8069384a5f6eb39232c228b9d7b8c0c	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.13	\N	\N	16384	5612dbd2	9e4e1a22b6cbf60607b9a81dae34482ae55f7c47	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.14	\N	\N	16384	2b2dee36	8792278464fa3da47176582025f6673a15a581e2	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.15	\N	\N	16384	de70babf	6717e23baf55f84d3143fb432140a7c3e102ac26	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	commando	commando.16	\N	\N	16384	14178237	f896e71c7004349c9a46155edfd9f0aaa186065d	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	galaxian	\N	\N	\N	\N	\N	Galaxian (Midway)	1979	[Namco] (Midway license)	\N	\N	\N	
game_rom	Sparcade_v2.33b	galaxian	galaxian.u	\N	\N	2048	745e2d61	e65f74e35b1bfaccd407e168ea55678ae9b68edf	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	galaxian	galaxian.v	\N	\N	2048	9c999a40	02fdcd95d8511e64c0d2b007b874112d53e41045	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	galaxian	galaxian.w	\N	\N	2048	b5894925	0046b9ed697a34d088de1aead8bd7cbe526a2396	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	galaxian	galaxian.y	\N	\N	2048	6b3ca10b	18d8714e5ef52f63ba8888ecc5a25b17b3bf17d1	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	galaxian	galaxian.z	\N	\N	2048	cb24f797	e6bb977ded0654c2c7388aad188059e1e0647908	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	galaxian	galaxian.1j	\N	\N	2048	84decf98	2e565cb6057b1816a6b4541e6dfadd3c3762fa36	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	galaxian	galaxian.1k	\N	\N	2048	c31ada9e	237ebb48549b34ca59a13cc2706512d957413ec4	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	domino	\N	\N	\N	\N	\N	Domino Man	1982	Bally Midway	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmanpg0.bin	\N	\N	8192	3bf3bb1c	0dc38b47fc1f6828cd1dc2e14f43448d878ccd8a	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmanpg1.bin	\N	\N	8192	85cf1d69	32198a2b8fbfb5b9593f083034ef4762b7ab1a27	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmanpg2.bin	\N	\N	8192	7dd2177a	b4b17e2580679fbe340d8b8d8cb7171c49ae0a21	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmanpg3.bin	\N	\N	8192	f2e0aa44	2f04dc74c69dfe3847d5e4330e560b0a9f18c33a	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmansnda.bin	\N	\N	4096	fa982dcc	970340bfa0ac13ad8c2bf5adc21d7ca7aa9e525a	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmansndb.bin	\N	\N	4096	72839019	4aa278cfb00fac76cba88600bb300ee88ec3f7ee	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmansndc.bin	\N	\N	4096	ad760da7	024fce0f5d46e82b66c4283925556130735b863e	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmansndd.bin	\N	\N	4096	958c7287	0dd1ae1b6073f19925d0ec1ba1090d736e0a7cf6	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmanbg0.bin	\N	\N	8192	9163007f	a7b2e3ed68105ff99841776e8114279f557c90ed	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmanbg1.bin	\N	\N	8192	28615c56	d4b91c092f594b1216d9a135345ba8955e5e5ec5	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmanfg0.bin	\N	\N	8192	0b1f9f9e	051d0b126d060300283a5572e1179c7624cedbbf	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmanfg1.bin	\N	\N	8192	16aa4b9b	700f7dc3ce20dacce38dc40783b28fc9b4c1443a	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmanfg2.bin	\N	\N	8192	4a8e76b8	563b9db39940060265b771f3b0c4a2055963cf2b	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	domino	dmanfg3.bin	\N	\N	8192	1f39257e	645f9b7e8bd2254167d15567c3bd577d3a574f7d	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	nam_gal	\N	\N	\N	\N	\N	Galaxian (Namco)	1979	Namco	\N	\N	\N	
game_rom	Sparcade_v2.33b	nam_gal	galaxian.1j	\N	\N	2048	39fb43a4	4755609bd974976f04855d51e08ec0d62ab4bc07	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nam_gal	galaxian.1k	\N	\N	2048	7e3f56a2	a9795d8b7388f404f3b0e2c6ce15d713a4c5bafa	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nam_gal	galaxian.7f	\N	\N	4096	b10533fd	ea8653e80000d607cd37a41f2de27ffe6e190f0f	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nam_gal	galaxian.7j	\N	\N	4096	9163454d	683ce43c0e24fd5110b860e424e5de30d59e5223	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nam_gal	galaxian.7l	\N	\N	4096	952c6135	e0989d5dce37ae421c34833d48b09e76d178680d	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	hangly	\N	\N	\N	\N	\N	Hangly-Man (set 1)	1981	hack	\N	\N	\N	
game_rom	Sparcade_v2.33b	hangly	hangly.5f	\N	\N	4096	958fedf9	4a937ac02216ea8c96477d4a15522070507fb599	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	hangly	hangly.6f	\N	\N	4096	73726586	cedddc5194589039dd8b64f07ab6320d7d4f55f9	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	hangly	hangly.6h	\N	\N	4096	4e7ef99f	bd42e68b29b4d654dc817782ba00db69b7d2dfe2	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	hangly	hangly.6j	\N	\N	4096	7f4147e6	0a7ac0e59d4d26fe52a2f4196c9f19e5ab677c87	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	hangly	hangly.5e	\N	\N	4096	0c944964	06ef227747a440831c9a3a613b76693d52a2f0a9	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	hangly	hangly.6e	\N	\N	4096	5fe8610a	d63eaebd85e10aa6c27bb7f47642dd403eeb6934	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	lrescue	\N	\N	\N	\N	\N	Lunar Rescue	1979	Taito	\N	\N	\N	
game_rom	Sparcade_v2.33b	lrescue	lrescue.1	\N	\N	2048	2bbc4778	0167f1ac1501ab0b4c4e555023fa5efed59d56ae	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	lrescue	lrescue.2	\N	\N	2048	49e79706	bed675bb97d59ae0132c007ccead0d096ed2ddf1	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	lrescue	lrescue.3	\N	\N	2048	1ac969be	67ac47f45b9fa5c530bf6047bb7d5776b52847be	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	lrescue	lrescue.4	\N	\N	2048	782fee3c	668295e9d6d99084bb4e7c5491f00fe75f4f5a88	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	lrescue	lrescue.5	\N	\N	2048	58fde8bc	663665ac5254204c1eba18357d9867034eae55eb	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	lrescue	lrescue.6	\N	\N	2048	bfb0f65d	ea0943d764a16094b6e2289f62ef117c9f838c98	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	mspacman	\N	\N	\N	\N	\N	Ms. Pac-Man	1981	bootleg	\N	\N	\N	
game_rom	Sparcade_v2.33b	mspacman	boot1	\N	\N	4096	d16b31b7	bc2247ec946b639dd1f00bfc603fa157d0baaa97	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	mspacman	boot2	\N	\N	4096	0d32de5e	13ea0c343de072508908be885e6a2a217bbb3047	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	mspacman	boot3	\N	\N	4096	1821ee0b	5ea4d907dbb2690698db72c4e0b5be4d3e9a7786	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	mspacman	boot4	\N	\N	4096	165a9dd8	3022a408118fa7420060e32a760aeef15b8a96cf	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	mspacman	boot5	\N	\N	4096	8c3e6de6	fed6e9a2b210b07e7189a18574f6b8c4ec5bb49b	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	mspacman	boot6	\N	\N	4096	368cb165	387010a0c76319a1eab61b54c9bcb5c66c4b67a1	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	mspacman	mspacman.5e	\N	\N	4096	5c281d01	5e8b472b615f12efca3fe792410c23619f067845	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	mspacman	mspacman.5f	\N	\N	4096	615af909	fd6a1dde780b39aea76bf1c4befa5882573c2ef4	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	nemesis	\N	\N	\N	\N	\N	Nemesis (hacked?)	1985	Konami	\N	\N	\N	
game_rom	Sparcade_v2.33b	nemesis	nemesis.1	\N	\N	32768	35ff1aaa	2879a5d2ff7dca217fe5cd40be871878294c491f	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nemesis	nemesis.2	\N	\N	32768	ac0cf163	8b1a46c3ad102fe78cf099425e108d09dafd0955	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nemesis	nemesis.3	\N	\N	32768	8cefb25f	876b1974ca76ca89f8b8ea45b4ba9ec82d7c7228	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nemesis	nemesis.4	\N	\N	32768	9ca75592	04388f2874faa54dd2cabfec4d6ce3e8d164cbcc	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nemesis	nemesis.5	\N	\N	32768	23155faa	08c73c669b3a5275353cbfcbe58ced92d93244a7	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nemesis	nemesis.6	\N	\N	32768	023f22a9	0b9096b9cfcc3ed273de04c93227ab24c63513e8	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nemesis	nemesis.7	\N	\N	32768	d50b82cb	71e9fbe51272788e2ef6f150c7bff59ac8c28f1d	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nemesis	nemesis.8	\N	\N	32768	03c0b7f5	4eb31bcbd2ee66afe4158308351a57589c5a1e4e	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	nemesis	nemesis.9	\N	\N	16384	26bf9636	009dcbf18ea6230fc75a72232bd4fc29ad28dbf0	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	pacman	\N	\N	\N	\N	\N	Pac-Man (Midway)	1980	[Namco] (Midway license)	\N	\N	\N	
game_rom	Sparcade_v2.33b	pacman	pacman.6e	\N	\N	4096	c1e6ab10	e87e059c5be45753f7e9f33dff851f16d6751181	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pacman	pacman.6f	\N	\N	4096	1a6fb2d4	674d3a7f00d8be5e38b1fdc208ebef5a92d38329	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pacman	pacman.6h	\N	\N	4096	bcdd1beb	8e47e8c2c4d6117d174cdac150392042d3e0a881	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pacman	pacman.6j	\N	\N	4096	817d94e3	d4a70d56bb01d27d094d73db8667ffb00ca69cb9	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pacman	pacman.5e	\N	\N	4096	0c944964	06ef227747a440831c9a3a613b76693d52a2f0a9	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pacman	pacman.5f	\N	\N	4096	958fedf9	4a937ac02216ea8c96477d4a15522070507fb599	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	pengo	\N	\N	\N	\N	\N	Pengo (set 2 not encrypted)	1982	Sega	\N	\N	\N	
game_rom	Sparcade_v2.33b	pengo	pengo.u8	\N	\N	4096	3dfeb20e	a387b72501da77bf38b58619d2099083a0463e1f	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pengo	pengo.u7	\N	\N	4096	1db341bd	d1c66bb9cf479e6960dbcd35c820097a81eaa555	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pengo	pengo.u15	\N	\N	4096	7c2842d5	a8a568da68babd0ccb9f2cee4182fc01c3138494	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pengo	pengo.u14	\N	\N	4096	6e3c1f2f	2ee821b0f6e0f3cfeae7f5ff25a6e9bd977efce0	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pengo	pengo.u21	\N	\N	4096	95f354ff	fdebc68a6d87f8ecdf52a57a34ae5ae844a13510	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pengo	pengo.u20	\N	\N	4096	0fdb04b8	ed814d58318c1055e475ff678609d189727bf9b4	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pengo	pengo.u32	\N	\N	4096	e5920728	0ac5ffdad7bdcb32e630b9582e1b1aaece5198c9	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pengo	pengo.u31	\N	\N	4096	13de47ed	332b484d47c9921ed93432755bb2d7a9d4628939	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pengo	pengo.u92	\N	\N	8192	d7eec6cd	e542bcc28f292be9a0a29d949de726e0b55e654a	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pengo	pengo.105	\N	\N	8192	5bfd26e9	bdec535e486b43a8f5550334beff423eeace10b2	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	pisces	\N	\N	\N	\N	\N	Pisces	1979	<unknown>	\N	\N	\N	
game_rom	Sparcade_v2.33b	pisces	pisces.a1	\N	\N	2048	856b8e1f	24d468b5f06f54c3fa1cb54ceec8a0c8e285430e	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pisces	pisces.a2	\N	\N	2048	055f9762	9d821874dd48a80651adc58a2f7fe5d2b3ed67bc	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pisces	pisces.b2	\N	\N	2048	5540f2e4	b069a7e46fa2c1f732371ef056caaf8f343e11a8	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pisces	pisces.c1	\N	\N	2048	44aaf525	667bf4c3a36169c3ddddd22b2f1f90bcc9308548	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pisces	pisces.d1	\N	\N	2048	fade512b	ccef2650f1d9dc3fdde2d441774246d47febc2cc	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pisces	pisces.e2	\N	\N	2048	5ab2822f	bbcac3aab943dd9b173de11ddf02ff75d16b1582	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pisces	pisces.1j	\N	\N	4096	2dba9e0e	edfb974766b57327ac846426a3a9583b33a4b7c9	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	pisces	pisces.1k	\N	\N	4096	cdc5aa26	72a396d142a775bb39231d700308b8bd7aff7f75	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	salamand	\N	\N	\N	\N	\N	Salamander	1986	Konami	\N	\N	\N	
game_rom	Sparcade_v2.33b	salamand	salamand.18c	\N	\N	65536	f9130b0a	925ea65c13fc87fc59f893cc0ead2c82fd0bed6f	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	salamand	salamand.18b	\N	\N	65536	a42297f9	7c974779e438eae649b39b36f6f6d24847099a6e	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	salamand	salamand.17b	\N	\N	131072	e5caf6e6	f5df4fbc43cfa6e2866558c99dd95ba8dc89dc7a	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	salamand	salamand.17c	\N	\N	131072	c2f567ea	0c38fea53f3d4a9ae0deada5669deca4be8c9fd3	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	salamand	salamand.11j	\N	\N	32768	5020972c	04c752c3b7fd850a8a51ecd230b39e6edde9dd7e	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	salamand	salamand.10a	\N	\N	131072	09fe0632	4c3b29c623d70bbe8a938a0beb4638912c46fb6a	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	shollow	\N	\N	\N	\N	\N	Satan's Hollow (set 1)	1981	Bally Midway	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-pro.00	\N	\N	8192	95e2b800	8781295e21e5202288293fb9eb558cb1835b11ea	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-pro.01	\N	\N	8192	b99f6ff8	575cdba5bf9965c7765ce913a3376c7ba36b8291	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-pro.02	\N	\N	8192	1202c7b2	ebae4711f124a34f19305da16657ece805e1da26	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-pro.03	\N	\N	8192	0a64afb9	3ac6660d2b0166c58ec4fecfe37ce36e545064df	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-pro.04	\N	\N	8192	22fa9175	fd8ea76b3a7ffaf48fc11dd3b7c58e548e3e57c5	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-pro.05	\N	\N	8192	1716e2bb	771e4c20d63e4e1d99723e6355db67064a278ae5	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-snd.01	\N	\N	4096	55a297cc	b34f37fca61cdba26b5671feee991d133b8697a4	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-snd.02	\N	\N	4096	46fc31f6	9b1a56962b2d210b1013bc35de780c6d5b3eb4bc	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-snd.03	\N	\N	4096	b1f4a6a8	ba724f9cc0cc35dd31d4ad8b36a51da9d6cbfbcf	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-bg.00	\N	\N	8192	3e2b333c	b4347d0b3d6149e94da4a38684c0fab931e76cc5	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-bg.01	\N	\N	8192	d1d70cc4	550e2e8c0bcbf7913b218fe48cd3324622c8d0f4	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-fg.00	\N	\N	8192	33f4554e	88dd803158d3c65429b79d2aaf8334130315aa93	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-fg.01	\N	\N	8192	ba1a38b4	cee5f0a66e40c779f1bfbb4bfafe5301385e7dae	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-fg.02	\N	\N	8192	6b57f6da	71165df59dd5ca037116dc0f46fd4f6aac6dbfd1	\N	\N	\N	\N	\N	\N	
game_rom	Sparcade_v2.33b	shollow	sh-fg.03	\N	\N	8192	37ea9d07	82e006b01ee12390308be530d4b68fc2404b6b91	\N	\N	\N	\N	\N	\N	
game	Sparcade_v2.33b	scramble	\N	\N	\N	\N	\N	Scramble (Stern)	1981	[Konami] (Stern license)	\N	\N	\N	
game_rom	Sparcade_v2.33b	scramble	scramble.2d	\N	\N	2048	b89207a1	5422df979e82bcc73df49f50515fe76c126c037b	\N	\N	\N	\N	\N	\N	
