game	EMU_v2.3	asteroid	\N	\N	\N	\N	\N	Asteroids (rev 2)	1979	Atari	\N	\N	\N	
game_rom	EMU_v2.3	spacduel	136006.201	\N	\N	4096	f4037b6e	9bacb64d257edd31f53db878477604f50681d78f	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	spacduel	136006.102	\N	\N	4096	4c451e8a	c05c52bb08acccb60950a15f05c960c3bc163d3e	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	spacduel	136006.103	\N	\N	4096	ee72da63	d36d62cdf7fe76ee9cdbfc2e76ac5d90f22986ba	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	spacduel	136006.104	\N	\N	4096	e41b38a3	9e8773e78d65d74db824cfd7108e7038f26757db	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	spacduel	136006.105	\N	\N	4096	5652710f	b15891d22a47ac3448d2ced40c04d0ab80606c7d	\N	\N	\N	\N	\N	\N	
game	EMU_v2.3	invaders	\N	\N	\N	\N	\N	Space Invaders	1978	Midway	\N	\N	\N	
game_rom	EMU_v2.3	invaders	invaders.h	\N	\N	2048	734f5ad8	ff6200af4c9110d8181249cbcef1a8a40fa40b7f	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	invaders	invaders.g	\N	\N	2048	6bfaca4a	16f48649b531bdef8c2d1446c429b5f414524350	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	invaders	invaders.f	\N	\N	2048	0ccead96	537aef03468f63c5b9e11dd61e253f7ae17d9743	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	invaders	invaders.e	\N	\N	2048	14e538b0	1d6ca0c99f9df71e2990b610deb9d7da0125e2d8	\N	\N	\N	\N	\N	\N	
game	EMU_v2.3	invadpt2	\N	\N	\N	\N	\N	Space Invaders Part II (Taito)	1980	Taito	\N	\N	\N	
game_rom	EMU_v2.3	invadpt2	sidh.bin	\N	\N	2048	7288a511	ff617872784c28ed03591aefa9f0519e5651701f	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	invadpt2	sidg.bin	\N	\N	2048	097dd8d5	8d68654d54d075c0f0d7f63c87ff4551ce8b7fbf	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	invadpt2	sidf.bin	\N	\N	2048	1766337e	ea959bf06c9930d83a07559e191a28641efb07ac	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	invadpt2	side.bin	\N	\N	2048	8f0e62e0	a967b155f15f8432222fcc78b23121b00c405c5c	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	invadpt2	sidd.bin	\N	\N	2048	19b505e9	6a31a37586782ce421a7d2cffd8f958c00b7b415	\N	\N	\N	\N	\N	\N	
game	EMU_v2.3	missile	\N	\N	\N	\N	\N	Missile Command (set 1)	1980	Atari	\N	\N	\N	
game_rom	EMU_v2.3	missile	035820.02	\N	\N	2048	7a62ce6a	9a39978138dc28fdefe193bfae1b226391e471db	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	missile	035821.02	\N	\N	2048	df3bd57f	0916925d3c94d766d33f0e4badf6b0add835d748	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	missile	035822.02	\N	\N	2048	a1cd384a	a1dd0953423750a0fbc6e3dccbf2ca64ef5a1f54	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	missile	035823.02	\N	\N	2048	82e552bb	d0f22894f779c74ceef644c9f03d840d9545efea	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	missile	035824.02	\N	\N	2048	606e42e0	9718f84a73c66b4e8ef7805a7ab638a7380624e1	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	missile	035825.02	\N	\N	2048	f752eaeb	0339a6ce6744d2091cc7e07675e509b202b0f380	\N	\N	\N	\N	\N	\N	
game	EMU_v2.3	tempest1	\N	\N	\N	\N	\N	Tempest (rev 1)	1980	Atari	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.113	\N	\N	2048	65d61fe7	38a1e8a8f65b7887cf3e190269fe4ce2c6f818aa	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.114	\N	\N	2048	11077375	ed8ff0ca969da6672a7683b93d4fcf2935a0d903	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.115	\N	\N	2048	f3e2827a	bd04fcfbbba995e08c3144c1474fcddaaeb1c700	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.116	\N	\N	2048	7356896c	a013ede292189a8f5a907de882ee1a573d784b3c	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.117	\N	\N	2048	55952119	470d914fa52fce3786cb6330889876d3547dca65	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.118	\N	\N	2048	beb352ab	f213166d3970e0bd0f29d8dea8d6afa6990cce38	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.119	\N	\N	2048	a4de050f	ea302e43a313a5a18115e74ddbaaedde0fbecda7	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.120	\N	\N	2048	35619648	48f1e8bed7ec6afa0b4c549a30e5ec331c071e40	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.121	\N	\N	2048	73d38e47	9980606376a79ba94f8e2a325871a6c8d10d83fc	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.122	\N	\N	2048	796a9918	c862a0d4ea330161e4c3cc8e5e9ad38893fffbd4	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.123	\N	\N	2048	29f7e937	686c8b9b8901262e743497cee7f2f7dd5cb3af7e	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	tempest1	136002.124	\N	\N	2048	c16ec351	a30a3662c740810c0f20e3712679606921b8ca06	\N	\N	\N	\N	\N	\N	
