game	SEGA_Model_2_Emulator_v0.9	bel	\N	\N	\N	\N	\N	Behind Enemy Lines	1998	Sega/EPL Productions	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20242.19	\N	\N	2097152	e7f86ac7	7b7724127b27834eaaa228050ceb779d8a027882	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20238.23	\N	\N	2097152	0a480c7c	239d2c9c49cb8ddc0d6aa956a497b494217f38d7	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20241.20	\N	\N	2097152	51974b98	7d6ab9c0ccec77676222611bf200d2e067e20520	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20237.24	\N	\N	2097152	89b5d8b6	6e0a0323d6a804f1f1e4404694cc1ea7dfbf2d95	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20247.27	\N	\N	2097152	00b0417d	5e9d38509c1e5273079a342a64ca2c956cd47e6d	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20245.25	\N	\N	2097152	36490a08	a462e094c9a9ec4743e4bf2c4ce23357257a2a54	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20248.28	\N	\N	2097152	0ace6bef	a231aeb7b984f5b927144f0eec4ef2282429494f	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20246.26	\N	\N	2097152	250d6ca1	cd1d4bc0fcf89e47884b87863a09bb263bce72cc	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20249.31	\N	\N	131072	dc24f13d	66ab8e843319d07663ef13f3d2299c6c7414071f	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20250.32	\N	\N	2097152	91b735d3	b0e7e493fb20ebf30c17378199e49d529ffb3f20	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20251.33	\N	\N	2097152	703a947b	95b8d3dc29e87e6537b288d8e946728e0b345dd0	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20252.34	\N	\N	2097152	8f48f375	9e511e89e99c77f06a5fba033ca8f9b98bd86f91	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	bel	mpr-20253.35	\N	\N	2097152	ca6aa17c	f6df2483ca75573449ba36638dbbed4be7843a44	\N	\N	\N	\N	\N	\N	
game	SEGA_Model_2_Emulator_v0.9	dayton93	\N	\N	daytona	daytona	\N	Daytona USA Deluxe '93	1993	Sega	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	opr-14742a.45	opr-14742a.45	\N	131072	90c6b117	f46429fffcee17d056f56d5fe035a33f1fd6c27e	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	opr-14743a.46	opr-14743a.46	\N	131072	ae7f446b	5b9f1fc47caf21e061e930c0d72804e4ec8c7bca	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	opr-14744.58	opr-14744.58	\N	131072	730ea9e0	651f1db4089a400d073b19ada299b4b08b08f372	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	opr-14745.59	opr-14745.59	\N	131072	4c934d96	e3349ece0e47f684d61ad11bfea4a90602287350	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	opr-14746.62	opr-14746.62	\N	131072	2a266cbd	34e047a93459406c22acf4c25089d1a4955f94ca	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	opr-14747.63	opr-14747.63	\N	131072	a4ad5e19	7d7ec300eeb9a8de1590011e37108688c092f329	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16310.15	mpr-16310.15	\N	524288	c078a780	0ad5b49774172743e2708b7ca4c061acfe10957a	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16311.16	mpr-16311.16	\N	524288	452a492b	88c2f6c2dbfd0c1b39a7bf15c74455fb68c7274e	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16312.14	mpr-16312.14	\N	524288	a25fef5b	c6a37856b97f5bc4996cb6b66209f47af392cc38	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16530a.12	\N	\N	131072	39e962b5	b98a1faabb4f1eff707a94c32224c7820f259874	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16531a.13	\N	\N	131072	693126eb	779734ba536db67e14760d52e8d8d7db07816481	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16528.10	mpr-16528.10	\N	2097152	9ce591f6	e22fc8a70b533f7a6191f5952c581fb8f9627906	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16529.11	mpr-16529.11	\N	2097152	f7095eaf	da3c922f950dd730ea348eae12aa1cb69cee9a58	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16526.8	\N	\N	2097152	5273b8b5	f505910394d41a9ffecfdea7b45ef25b21469b7a	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16527.9	\N	\N	2097152	fc4cb0ef	1bf3aec88ef9fb40bde054f5f0b884bf715cbcc8	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16534a.6	\N	\N	1048576	1bb0d72d	814004e3426b5638e9c8b226594f4f2a9138ffed	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16535.7	\N	\N	1048576	459a8bfb	607bc0f6c478c3d83ce81f34b7f69997361f906f	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16537.28	mpr-16537.28	\N	2097152	36b7c35a	b32fd1d3fc8983fb5f2a7b236b665a8c9b52769f	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16536.29	mpr-16536.29	\N	2097152	6d6afed9	2018468d7d849854b3d0cfbcd217317e2fc93555	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16523.16	mpr-16523.16	\N	2097152	2f484d42	0b83a3fc92b7d913a14cfb01d688c63555c17c41	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16518.20	mpr-16518.20	\N	2097152	df683bf7	16afe5029591f3536b5b75d9cf50a34d0ea72c3d	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16524.17	mpr-16524.17	\N	2097152	34658bd7	71b47626ffe5b26d1140afe1b830a9a2be86c88f	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16519.21	mpr-16519.21	\N	2097152	facd1c81	dac8c281a5e9a6c4b60197e6676f3727264ee420	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16525.18	mpr-16525.18	\N	2097152	fb517521	33f5f37ea2e09fc73eed5388b46fdf1fa9e285e6	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16520.22	mpr-16520.22	\N	2097152	d66bd9bd	660171674484375a27595630e5e2d2ad76a06d1a	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16646.19	\N	\N	524288	7ba9fd6b	6bcae009e8264bf038fe5d4bc436ec4fc1674831	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16645.23	\N	\N	524288	78fe0b8a	488fd6c0246752b7d9c25d7ba6cdc5b3911d1836	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16522.25	mpr-16522.25	\N	2097152	55d39a57	abf7b0fc0f111f90da42463d600db9fa32e95efe	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16521.24	mpr-16521.24	\N	2097152	af1934fb	a6a21a23cd34d0de6d3e6a5c3c2687f905d0dc2a	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16517.27	\N	\N	2097152	4705d3dd	99be9c5d9d99f7016199ffa8404fc471d09e360d	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16516.26	\N	\N	2097152	a260d45d	a2ed7c586dfcb7980190b7057fa5366239035fe8	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16720.7	epr-16720.7	\N	131072	8e73cffd	9933ccc0757e8c86e0adb938d1c89210b26841ea	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	epr-16721.8	epr-16721.8	\N	131072	1bb3b7b7	ee2fd1480e535fc37e9932e6fe4e31344559fc87	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16491.32	mpr-16491.32	\N	2097152	89920903	06d1d55470ae99f8de0f8c88c694f34c4eb13668	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16492.33	mpr-16492.33	\N	2097152	459e701b	2054f69cecad677eb00c6a3051f5b5d90885e19b	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16493.4	mpr-16493.4	\N	2097152	9990db15	ea9a8b45a07dccaae62be7cf095532ce7596a70c	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	dayton93	mpr-16494.5	mpr-16494.5	\N	2097152	600e1d6c	d4e246fc57a16ff562bbcbccf6a739b706f58696	\N	\N	\N	\N	\N	\N	
game	SEGA_Model_2_Emulator_v0.9	daytona	\N	\N	\N	model2	\N	Daytona USA (Japan, Revision A)	1993	Sega	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	opr-14742a.45	opr-14742a.45	\N	131072	90c6b117	f46429fffcee17d056f56d5fe035a33f1fd6c27e	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	opr-14743a.46	opr-14743a.46	\N	131072	ae7f446b	5b9f1fc47caf21e061e930c0d72804e4ec8c7bca	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	opr-14744.58	opr-14744.58	\N	131072	730ea9e0	651f1db4089a400d073b19ada299b4b08b08f372	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	opr-14745.59	opr-14745.59	\N	131072	4c934d96	e3349ece0e47f684d61ad11bfea4a90602287350	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	opr-14746.62	opr-14746.62	\N	131072	2a266cbd	34e047a93459406c22acf4c25089d1a4955f94ca	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	opr-14747.63	opr-14747.63	\N	131072	a4ad5e19	7d7ec300eeb9a8de1590011e37108688c092f329	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16310.15	mpr-16310.15	\N	524288	c078a780	0ad5b49774172743e2708b7ca4c061acfe10957a	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16311.16	mpr-16311.16	\N	524288	452a492b	88c2f6c2dbfd0c1b39a7bf15c74455fb68c7274e	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16312.14	mpr-16312.14	\N	524288	a25fef5b	c6a37856b97f5bc4996cb6b66209f47af392cc38	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	epr-16722a.12	\N	\N	131072	48b94318	a476a9a3531beef760c88c9634ed4a7d270e8ee7	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	epr-16723a.13	\N	\N	131072	8af8b32d	2039ec1f8da524176fcf85473c10a8b6e49e139a	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16528.10	\N	\N	2097152	9ce591f6	e22fc8a70b533f7a6191f5952c581fb8f9627906	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16529.11	\N	\N	2097152	f7095eaf	da3c922f950dd730ea348eae12aa1cb69cee9a58	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16808.8	\N	\N	2097152	44f1f5a0	343866a6e2187a8ebc17f6727080f9f2f9ac9200	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16809.9	\N	\N	2097152	37a2dd12	8192d8698d6bd52ee11cc28917aff5840c447627	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	epr-16724a.6	\N	\N	524288	469f10fd	7fad3b8d03960e5e1f7a6cb36509238977e00fcc	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	epr-16725a.7	\N	\N	524288	ba0df8db	d0c5581c56500b5266cab8e8151db24fcbdea0d7	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16537.28	\N	\N	2097152	36b7c35a	b32fd1d3fc8983fb5f2a7b236b665a8c9b52769f	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16536.29	\N	\N	2097152	6d6afed9	2018468d7d849854b3d0cfbcd217317e2fc93555	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16523.16	\N	\N	2097152	2f484d42	0b83a3fc92b7d913a14cfb01d688c63555c17c41	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16518.20	\N	\N	2097152	df683bf7	16afe5029591f3536b5b75d9cf50a34d0ea72c3d	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16524.17	\N	\N	2097152	34658bd7	71b47626ffe5b26d1140afe1b830a9a2be86c88f	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16519.21	\N	\N	2097152	facd1c81	dac8c281a5e9a6c4b60197e6676f3727264ee420	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16525.18	\N	\N	2097152	fb517521	33f5f37ea2e09fc73eed5388b46fdf1fa9e285e6	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16520.22	\N	\N	2097152	d66bd9bd	660171674484375a27595630e5e2d2ad76a06d1a	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16772.19	\N	\N	2097152	770ed912	1789f35dd403f73f8be18495a0fe4ad1e6841417	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16771.23	\N	\N	2097152	a2205124	257a3675e4ef6adbf61285a5daa5954223c28cb2	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16522.25	\N	\N	2097152	55d39a57	abf7b0fc0f111f90da42463d600db9fa32e95efe	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16521.24	\N	\N	2097152	af1934fb	a6a21a23cd34d0de6d3e6a5c3c2687f905d0dc2a	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16770.27	\N	\N	2097152	f9fa7bfb	8aa933b74d4e05dc49987238705e50b00e5dae73	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16769.26	\N	\N	2097152	e57429e9	8c712ab09e61ef510741a55f29b3c4e497471372	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	epr-16720.7	\N	\N	131072	8e73cffd	9933ccc0757e8c86e0adb938d1c89210b26841ea	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	epr-16721.8	\N	\N	131072	1bb3b7b7	ee2fd1480e535fc37e9932e6fe4e31344559fc87	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16491.32	\N	\N	2097152	89920903	06d1d55470ae99f8de0f8c88c694f34c4eb13668	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16492.33	\N	\N	2097152	459e701b	2054f69cecad677eb00c6a3051f5b5d90885e19b	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16493.4	\N	\N	2097152	9990db15	ea9a8b45a07dccaae62be7cf095532ce7596a70c	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytona	mpr-16494.5	\N	\N	2097152	600e1d6c	d4e246fc57a16ff562bbcbccf6a739b706f58696	\N	\N	\N	\N	\N	\N	
game	SEGA_Model_2_Emulator_v0.9	daytonagtx	\N	\N	daytona	daytona	\N	Daytona USA : GTX 2004 Edition	2003	Hack	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	opr-14742a.45	opr-14742a.45	\N	131072	90c6b117	f46429fffcee17d056f56d5fe035a33f1fd6c27e	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	opr-14743a.46	opr-14743a.46	\N	131072	ae7f446b	5b9f1fc47caf21e061e930c0d72804e4ec8c7bca	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	opr-14744.58	opr-14744.58	\N	131072	730ea9e0	651f1db4089a400d073b19ada299b4b08b08f372	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	opr-14745.59	opr-14745.59	\N	131072	4c934d96	e3349ece0e47f684d61ad11bfea4a90602287350	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	opr-14746.62	opr-14746.62	\N	131072	2a266cbd	34e047a93459406c22acf4c25089d1a4955f94ca	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	opr-14747.63	opr-14747.63	\N	131072	a4ad5e19	7d7ec300eeb9a8de1590011e37108688c092f329	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	mpr-16310.15	mpr-16310.15	\N	524288	c078a780	0ad5b49774172743e2708b7ca4c061acfe10957a	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	mpr-16311.16	mpr-16311.16	\N	524288	452a492b	88c2f6c2dbfd0c1b39a7bf15c74455fb68c7274e	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	mpr-16312.14	mpr-16312.14	\N	524288	a25fef5b	c6a37856b97f5bc4996cb6b66209f47af392cc38	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	gtx.12	\N	\N	131072	08283a6f	643110a3ea5fb6092c469b6b49a396084e985a7a	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	gtx.13	\N	\N	131072	f9b356ae	ad635540d64e05c7246c9de6439a4e3b3d1cdf08	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	16528.mpr	\N	\N	2097152	9ce591f6	e22fc8a70b533f7a6191f5952c581fb8f9627906	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	16529.mpr	\N	\N	2097152	f7095eaf	da3c922f950dd730ea348eae12aa1cb69cee9a58	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	16808.mpr	\N	\N	2097152	44f1f5a0	343866a6e2187a8ebc17f6727080f9f2f9ac9200	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	16809.mpr	\N	\N	2097152	37a2dd12	8192d8698d6bd52ee11cc28917aff5840c447627	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	16724a.epr	\N	\N	524288	469f10fd	7fad3b8d03960e5e1f7a6cb36509238977e00fcc	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	16725a.epr	\N	\N	524288	ba0df8db	d0c5581c56500b5266cab8e8151db24fcbdea0d7	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	bank0.bin	\N	\N	524288	c1971f23	3db88552ff2166f6eb2a9200e8609b52c1266274	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	bank1.bin	\N	\N	524288	21b603b4	3f8f83fbf2ce5055fa85075c95da617fe2a8738a	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	mpr-16537.28	mpr-16537.28	\N	2097152	36b7c35a	b32fd1d3fc8983fb5f2a7b236b665a8c9b52769f	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	mpr-16536.29	mpr-16536.29	\N	2097152	6d6afed9	2018468d7d849854b3d0cfbcd217317e2fc93555	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	mpr-16523.16	mpr-16523.16	\N	2097152	2f484d42	0b83a3fc92b7d913a14cfb01d688c63555c17c41	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	mpr-16518.20	mpr-16518.20	\N	2097152	df683bf7	16afe5029591f3536b5b75d9cf50a34d0ea72c3d	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	mpr-16524.17	mpr-16524.17	\N	2097152	34658bd7	71b47626ffe5b26d1140afe1b830a9a2be86c88f	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	mpr-16519.21	mpr-16519.21	\N	2097152	facd1c81	dac8c281a5e9a6c4b60197e6676f3727264ee420	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	mpr-16525.18	mpr-16525.18	\N	2097152	fb517521	33f5f37ea2e09fc73eed5388b46fdf1fa9e285e6	\N	\N	\N	\N	\N	\N	
game_rom	SEGA_Model_2_Emulator_v0.9	daytonagtx	mpr-16520.22	mpr-16520.22	\N	2097152	d66bd9bd	660171674484375a27595630e5e2d2ad76a06d1a	\N	\N	\N	\N	\N	\N	
