game	WinKawaks_v1.60	2020bb	\N	\N	\N	neogeo	\N	2020 Super Baseball	1991	SNK / Pallas	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	030-c3.bin	\N	\N	1048576	47fddfee	297c505a63448c999a2510c27bf4549102134db8	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	030-c4.bin	\N	\N	1048576	780d1c4e	2e2cf9de828e3b48642dd2203637103438c62142	\N	\N	\N	\N	\N	\N	
game	WinKawaks_v1.60	2020bbh	\N	\N	2020bb	2020bb	\N	2020 Super Baseball (alternate set)	1991	SNK / Pallas	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	030-p1h.bin	\N	\N	524288	12d048d7	ee0d03a565b11ca3bee2d24f62ff46a85ef18d90	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	000-lo.lo	000-lo.lo	\N	131072	5a86cff2	5992277debadeb64d1c1c64b0a92d9293eaf7e4a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	sp-s2.sp1	sp-s2.sp1	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	sfix.sfix	sfix.sfix	\N	131072	c2ea0cfd	fd4a618cdcdbf849374f0a50dd8efe9dbab706c3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	030-s1.bin	030-s1.bin	\N	131072	7015b8fc	8c09bc3e6c62e0f7c9557c1e10c901be325bae7f	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	030-m1.bin	030-m1.bin	\N	131072	4cf466ec	6a003b53c7a4af9d7529e2c10f27ffc4e58dcda5	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	030-v1.bin	030-v1.bin	\N	1048576	d4ca364e	b0573744b0ea2ef1e2167a225f0d254883f5af04	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	030-v2.bin	030-v2.bin	\N	1048576	54994455	76eb62b86e8ed51a77f44313d5cc8091b3f58d57	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	030-c1.bin	030-c1.bin	\N	1048576	4f5e19bd	ef7975c4b33a7aea4a25a385f604799f054d3200	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	030-c2.bin	030-c2.bin	\N	1048576	d6314bf0	0920cc580d7997fcb0170dd619af2f305d635577	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	030-c3.bin	030-c3.bin	\N	1048576	47fddfee	297c505a63448c999a2510c27bf4549102134db8	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bbh	030-c4.bin	030-c4.bin	\N	1048576	780d1c4e	2e2cf9de828e3b48642dd2203637103438c62142	\N	\N	\N	\N	\N	\N	
game	WinKawaks_v1.60	2020bba	\N	\N	2020bb	2020bb	\N	2020 Super Baseball (set 2)	1991	SNK / Pallas	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	030-epr.p1	\N	\N	524288	c59be3dd	4fbd462c1c18e85a252c58b04b54fd3b82b46cb0	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	000-lo.lo	000-lo.lo	\N	131072	5a86cff2	5992277debadeb64d1c1c64b0a92d9293eaf7e4a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	sp-s2.sp1	sp-s2.sp1	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	sfix.sfix	sfix.sfix	\N	131072	c2ea0cfd	fd4a618cdcdbf849374f0a50dd8efe9dbab706c3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	030-s1.bin	030-s1.bin	\N	131072	7015b8fc	8c09bc3e6c62e0f7c9557c1e10c901be325bae7f	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	030-m1.bin	030-m1.bin	\N	131072	4cf466ec	6a003b53c7a4af9d7529e2c10f27ffc4e58dcda5	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	030-v1.bin	030-v1.bin	\N	1048576	d4ca364e	b0573744b0ea2ef1e2167a225f0d254883f5af04	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	030-v2.bin	030-v2.bin	\N	1048576	54994455	76eb62b86e8ed51a77f44313d5cc8091b3f58d57	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	030-c1.bin	030-c1.bin	\N	1048576	4f5e19bd	ef7975c4b33a7aea4a25a385f604799f054d3200	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	030-c2.bin	030-c2.bin	\N	1048576	d6314bf0	0920cc580d7997fcb0170dd619af2f305d635577	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	030-c3.bin	030-c3.bin	\N	1048576	47fddfee	297c505a63448c999a2510c27bf4549102134db8	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bba	030-c4.bin	030-c4.bin	\N	1048576	780d1c4e	2e2cf9de828e3b48642dd2203637103438c62142	\N	\N	\N	\N	\N	\N	
game	WinKawaks_v1.60	3countb	\N	\N	\N	neogeo	\N	3 Count Bout	1993	SNK	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	043-p1.bin	\N	\N	1048576	ffbdd928	05b24655ca32723661adc5509b450824deb0c176	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	000-lo.lo	000-lo.lo	\N	131072	5a86cff2	5992277debadeb64d1c1c64b0a92d9293eaf7e4a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	sp-s2.sp1	sp-s2.sp1	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	sfix.sfix	sfix.sfix	\N	131072	c2ea0cfd	fd4a618cdcdbf849374f0a50dd8efe9dbab706c3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	043-s1.bin	\N	\N	131072	c362d484	a3c029292572842feabe9aa8c3372628fb63978d	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	043-m1.bin	\N	\N	131072	7eab59cb	5ae4107457e091f73960bfba39b589ae36d51ca3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	043-v1.bin	\N	\N	2097152	63688ce8	5c6ac29a0cc0655a87cfe3ada8706838b86b86e4	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	043-v2.bin	\N	\N	2097152	c69a827b	f5197ea87bb6573fa6aef3a1713c3679c58c1e74	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	043-c1.bin	\N	\N	2097152	bad2d67f	04928e50ca75b7fbc52b64e816ec5701901f5893	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	043-c2.bin	\N	\N	2097152	a7fbda95	9da3c5faf22592a7eaf8df9fa6454f48c2a927ae	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	043-c3.bin	\N	\N	2097152	f00be011	2721cdba37a511a966a2a53b9bd6240f181d920c	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	3countb	043-c4.bin	\N	\N	2097152	1887e5c0	9b915359add7c10c78d8b281b4084eceea8f0499	\N	\N	\N	\N	\N	\N	
game	WinKawaks_v1.60	sonicwi2	\N	\N	\N	neogeo	\N	Aero Fighters 2	1994	Video System Co.	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	075-p1.bin	\N	\N	2097152	92871738	fed040a7c1ff9e495109813a702d09fb1d2ecf3a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	000-lo.lo	000-lo.lo	\N	131072	5a86cff2	5992277debadeb64d1c1c64b0a92d9293eaf7e4a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	sp-s2.sp1	sp-s2.sp1	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	sfix.sfix	sfix.sfix	\N	131072	c2ea0cfd	fd4a618cdcdbf849374f0a50dd8efe9dbab706c3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	075-s1.bin	\N	\N	131072	c9eec367	574e1afe7e0d54610c145131106e59ba2894eeb7	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	075-m1.bin	\N	\N	131072	bb828df1	eab8e2868173bdaac7c7ed97305a9aa1033fd303	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	075-v1.bin	\N	\N	2097152	7577e949	3ba9f11094dd0cf519f33a16016cfae0d2c6629c	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	075-v2.bin	\N	\N	1048576	021760cd	8a24e38f1d4982c4dcd82718995571ac94cbb390	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	075-c1.bin	\N	\N	2097152	3278e73e	d9e6c8a3a5213690a1b8747d27806d8ac5aac405	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	075-c2.bin	\N	\N	2097152	fe6355d6	ca72fff7a908b6d9325761079ff2a0e28f34cf89	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	075-c3.bin	\N	\N	2097152	c1b438f1	b3751c5b426bca0fcc3a58bdb86712c22ef908ab	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi2	075-c4.bin	\N	\N	2097152	1f777206	e29c5ae65ebdcc1167a894306d2446ce909639da	\N	\N	\N	\N	\N	\N	
game	WinKawaks_v1.60	sonicwi3	\N	\N	\N	neogeo	\N	Aero Fighters 3	1995	Video System Co.	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	097-p1.bin	\N	\N	2097152	0547121d	e0bb6c614f572b74ba9a9f0d3d5b69fbc91ebc52	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	000-lo.lo	000-lo.lo	\N	131072	5a86cff2	5992277debadeb64d1c1c64b0a92d9293eaf7e4a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	sp-s2.sp1	sp-s2.sp1	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	sfix.sfix	sfix.sfix	\N	131072	c2ea0cfd	fd4a618cdcdbf849374f0a50dd8efe9dbab706c3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	097-s1.bin	\N	\N	131072	8dd66743	39214bb25a1d5b44a8524010be05bf5a0211981f	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	097-m1.bin	\N	\N	131072	b20e4291	0e891ab53f9fded510295dfc7818bc59b4a9dd97	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	097-v1.bin	\N	\N	4194304	6f885152	8175804d5c1420c5d37b733d4a8fa2aa81e59f1b	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	097-v2.bin	\N	\N	2097152	3359e868	b7efd9f1a6dab33271fe8356bcc863aeae1d3ed8	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	097-c1.bin	\N	\N	4194304	33d0d589	fe4aa95555e478ceb2d28fd27d83ee06cd09520c	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	097-c2.bin	\N	\N	4194304	186f8b43	f5cced93e21dc841b00ebeaa30786cb0e047bd9a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	097-c3.bin	\N	\N	2097152	c339fff5	58dfd1e30dc0ad3f816a5dbd1cc7e7ccbb792c53	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	sonicwi3	097-c4.bin	\N	\N	2097152	84a40c6e	061a13fba5fed883e5ee9566cedc208df2511bcf	\N	\N	\N	\N	\N	\N	
game	WinKawaks_v1.60	aodk	\N	\N	\N	neogeo	\N	Aggressors of Dark Kombat	1994	ADK / SNK	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-p1.bin	\N	\N	2097152	62369553	ca4d561ee08d16fe6804249d1ba49188eb3bd606	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	000-lo.lo	000-lo.lo	\N	131072	5a86cff2	5992277debadeb64d1c1c64b0a92d9293eaf7e4a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	sp-s2.sp1	sp-s2.sp1	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	sfix.sfix	sfix.sfix	\N	131072	c2ea0cfd	fd4a618cdcdbf849374f0a50dd8efe9dbab706c3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-s1.bin	\N	\N	131072	96148d2b	47725a8059346ebe5639bbdbf62a2ac8028756a9	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-m1.bin	\N	\N	131072	5a52a9d1	ef913a9a55d29d5dd3beab1ce6039d64ce9b1a5b	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-v1.bin	\N	\N	2097152	7675b8fa	29f4facf89d551237b31bf779693cbbbc94e1ede	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-v2.bin	\N	\N	2097152	a9da86e9	ff65af61e42b79a75060a352b24077d1fa28c83f	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-c1.bin	\N	\N	2097152	a0b39344	adfff7b8836347abf030611563e6068a91164d0a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-c2.bin	\N	\N	2097152	203f6074	737f2d707d504df1da1ca5c5cf61cf489a33eb56	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-c3.bin	\N	\N	2097152	7fff4d41	bebd18a75adeb34c3bbd49cfc8fd3d8c2bf9e475	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-c4.bin	\N	\N	2097152	48db3e0a	a88505e001e01bb45fb26beda5af24943d02552a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-c5.bin	\N	\N	2097152	c74c5e51	0399c53e2a3d721901dddc073fda6ec22e02dfd4	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-c6.bin	\N	\N	2097152	73e8e7e0	dd6580227743e6a3db4950456ebe870008e022b2	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-c7.bin	\N	\N	2097152	ac7daa01	78407a464f67d949933ce2ccaa23fbed80dff1ea	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aodk	074-c8.bin	\N	\N	2097152	14e7ad71	d4583fbce361fd1a11ac6c1a27b0b669e8a5c718	\N	\N	\N	\N	\N	\N	
game	WinKawaks_v1.60	alpham2	\N	\N	\N	neogeo	\N	Alpha Mission II	1991	SNK	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	007-p1.bin	\N	\N	524288	5b266f47	8afbf995989f47ad93fea1f31a884afc7228b53a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	007-p2.bin	\N	\N	131072	eb9c1044	65d3416dcd96663bc4e7cefe90ecb7c1eafb2dda	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	000-lo.lo	000-lo.lo	\N	131072	5a86cff2	5992277debadeb64d1c1c64b0a92d9293eaf7e4a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	sp-s2.sp1	sp-s2.sp1	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	sfix.sfix	sfix.sfix	\N	131072	c2ea0cfd	fd4a618cdcdbf849374f0a50dd8efe9dbab706c3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	007-s1.bin	\N	\N	131072	85ec9acf	39a11974438ad36a2cc84307151b31474c3c5518	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	007-m1.bin	\N	\N	131072	28dfe2cd	1a1a99fb917c6c8db591e3be695ce03f843ee1df	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	007-v1.bin	\N	\N	1048576	cd5db931	b59f9f2df29f49470312a6cd20f5669b6aaf51ff	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	007-v2.bin	\N	\N	1048576	63e9b574	1ade4cd0b15c84dd4a0fb7f7abf0885eef3a3f71	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	007-c1.bin	\N	\N	1048576	8fba8ff3	1a682292e99eb91b0edb9771c44bc5e762867e98	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	007-c2.bin	\N	\N	1048576	4dad2945	ac85a146276537fed124bda892bb93ff549f1d93	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	007-c3.bin	\N	\N	524288	68c2994e	4f8dfc6e5188942e03b853a2c9f0ea6138dec791	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	alpham2	007-c4.bin	\N	\N	524288	7d588349	a5ed789d7bbc25be5c5b2d99883b64d379c103a2	\N	\N	\N	\N	\N	\N	
game	WinKawaks_v1.60	androdun	\N	\N	\N	neogeo	\N	Andro Dunos	1992	Visco	\N	\N	\N	
game_rom	WinKawaks_v1.60	androdun	049-p1.bin	\N	\N	524288	3b857da2	4dd86c739944696c16c3cdd85935d6dfa9fdc276	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	androdun	049-p2.bin	\N	\N	524288	2f062209	991cf3e3677929b2cc0b2787b0c7b6ad3700f618	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	androdun	000-lo.lo	000-lo.lo	\N	131072	5a86cff2	5992277debadeb64d1c1c64b0a92d9293eaf7e4a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	androdun	sp-s2.sp1	sp-s2.sp1	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	androdun	sfix.sfix	sfix.sfix	\N	131072	c2ea0cfd	fd4a618cdcdbf849374f0a50dd8efe9dbab706c3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	androdun	049-s1.bin	\N	\N	131072	6349de5d	bcc44b9576d7bedd9a39294530bb66f707690c72	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	androdun	049-m1.bin	\N	\N	131072	1a009f8c	7782dfe48e143417f34fba5353e6deb63efeaa8a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	androdun	049-v1.bin	\N	\N	524288	577c85b3	2c3072401fe73497dca0e9009ae2ba4053fe936d	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	androdun	049-v2.bin	\N	\N	524288	e14551c4	763a9912b9df55defb190af3f29ae034f6dd78d6	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	androdun	049-c1.bin	\N	\N	1048576	7ace6db3	c41cc9de8c0788dcc49ca494fd3bb3124062d9dd	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	androdun	049-c2.bin	\N	\N	1048576	b17024f7	fcf7efae48fcdccaf5255c145de414fb246128f0	\N	\N	\N	\N	\N	\N	
game	WinKawaks_v1.60	aof	\N	\N	\N	neogeo	\N	Art of Fighting	1992	SNK	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	044-p1.bin	\N	\N	524288	ca9f7a6d	4d28ef86696f7e832510a66d3e8eb6c93b5b91a1	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	000-lo.lo	000-lo.lo	\N	131072	5a86cff2	5992277debadeb64d1c1c64b0a92d9293eaf7e4a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	sp-s2.sp1	sp-s2.sp1	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	sfix.sfix	sfix.sfix	\N	131072	c2ea0cfd	fd4a618cdcdbf849374f0a50dd8efe9dbab706c3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	044-s1.bin	\N	\N	131072	89903f39	a04a0c244a5d5c7a595fcf649107969635a6a8b6	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	044-m1.bin	\N	\N	131072	0987e4bb	8fae4b7fac09d46d4727928e609ed9d3711dbded	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	044-v2.bin	\N	\N	2097152	3ec632ea	e3f413f580b57f70d2dae16dbdacb797884d3fce	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	044-v4.bin	\N	\N	2097152	4b0f8e23	105da0cc5ba19869c7147fba8b177500758c232b	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	044-c1.bin	\N	\N	2097152	ddab98a7	f20eb81ec431268798c142c482146c1545af1c24	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	044-c2.bin	\N	\N	2097152	d8ccd575	f697263fe92164e274bf34c55327b3d4a158b332	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	044-c3.bin	\N	\N	2097152	403e898a	dd5888f8b24a33b2c1f483316fe80c17849ccfc4	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof	044-c4.bin	\N	\N	2097152	6235fbaa	9090e337d7beed25ba81ae0708d0aeb57e6cf405	\N	\N	\N	\N	\N	\N	
game	WinKawaks_v1.60	aof2	\N	\N	\N	neogeo	\N	Art of Fighting 2	1994	SNK	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-p1.bin	\N	\N	1048576	a3b1d021	ee42f3ca4516226b0088d0303ed28e3ecdabcd71	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	000-lo.lo	000-lo.lo	\N	131072	5a86cff2	5992277debadeb64d1c1c64b0a92d9293eaf7e4a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	sp-s2.sp1	sp-s2.sp1	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	sfix.sfix	sfix.sfix	\N	131072	c2ea0cfd	fd4a618cdcdbf849374f0a50dd8efe9dbab706c3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-s1.bin	\N	\N	131072	8b02638e	aa4d28804ca602da776948b5f223ea89e427906b	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-m1.bin	\N	\N	131072	f27e9d52	dddae733d87ce7c88ad2580a8f64cb6ff9572e67	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-v1.bin	\N	\N	2097152	4628fde0	ece2a50f5270d844d58401b1447d1d856d78ea45	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-v2.bin	\N	\N	2097152	b710e2f2	df4da585203eea7554d3ce718eb107e9cb6a0254	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-v3.bin	\N	\N	1048576	d168c301	969273d1d11943e81560959359a2c4e69522af0e	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-c1.bin	\N	\N	2097152	17b9cbd2	1eee81e02763d384bd1c10a6012473ca931e4093	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-c2.bin	\N	\N	2097152	5fd76b67	11925a41a53b53c6df4a5ebd28f98300950f743b	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-c3.bin	\N	\N	2097152	d2c88768	22e2d84aa0c095944190e249ce87ef50d3f7b8ce	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-c4.bin	\N	\N	2097152	db39b883	59de86c513dc4e230ae25d9e3b7e84621b657b54	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-c5.bin	\N	\N	2097152	c3074137	9a75e3d63cb98d54f900dcfb3a03e21f3148d32f	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	aof2	056-c6.bin	\N	\N	2097152	31de68d3	13ba7046cdd6863125f8284e60f102d4720af5a4	\N	\N	\N	\N	\N	\N	
