game	JFF_v0.24	airbust	\N	\N	\N	\N	\N	Air Buster (aka Aero Blaster)	1990	Kaneko (Namco license)	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_11.rom	\N	\N	32768	05f9eb9a	a71640a63b259799086d361ef293aa26cec46a0c	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_12.rom	\N	\N	32768	3567da17	29d698606d0bd30abfc3171d79bfad95b0de89fc	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_13.rom	\N	\N	16384	805f8e77	c3ad6eae842d2d10f716998d5a803038fa7b338f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_14.rom	\N	\N	16384	1a57a920	b1e9d5b29c0e3632eec3ad1ee51bf3392e4b816d	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	higemaru	\N	\N	\N	\N	\N	Higemaru	1984	Capcom	\N	\N	\N	
game_rom	JFF_v0.24	higemaru	hg1	\N	\N	8192	ef4c2f5d	247ce819cdc4ed4ec99c25c9006bac1911354bc8	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	higemaru	hg2	\N	\N	8192	9133f804	93661c028709a7134537321e52da85e3c0f917ba	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	higemaru	hg3	\N	\N	8192	b37b88c8	7933270969806154f0774d31fda75a5352cf26ad	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	higemaru	hg4	\N	\N	8192	dc67a7f9	701875e2e85efbe84bf66515117861563f3883c0	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	higemaru	hg5	\N	\N	8192	f65a4b68	687d46406de389c8bad6cc052a2516135db93d4a	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	higemaru	hg6	\N	\N	8192	5f5296aa	410ee1df63492e488b3578b9c4cfbfbd2f41c888	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	higemaru	hg7	\N	\N	8192	dc5d455d	7d253d6680d35943792746da11d91d7be57367cc	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	higemaru	hgb1	\N	\N	256	07c607ce	c048602d62f47129152bbc7ccd38627d78a4392f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	higemaru	hgb3	\N	\N	32	629cebd8	c28cd0f341f4f1c7be97f4d8c289860db8ac0857	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	higemaru	hgb5	\N	\N	256	dbaa4443	cca2f9b187abd735f2309b38570edcd745042b3e	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	mnight	\N	\N	\N	\N	\N	Mutant Night	1987	UPL (Kawakus license)	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn10-b10.bin	\N	\N	32768	37b8221f	ac86e0ae8039fd30a028a893d08ce099f7765615	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn11-b20.bin	\N	\N	65536	4d37e0f4	a6d9aaccd97769197622cda45474e223c2ee1d98	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn12-b22.bin	\N	\N	65536	b22cbbd3	70984f1051fd236730d97011bc87dacb3ca38594	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn13-b23.bin	\N	\N	65536	65714070	48f3c130c97d00e8f0535904dc2237277067c475	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn1-j7.bin	\N	\N	65536	a0782a31	8abd2f0b0c2c2eb876f324f7a095a5cdc773c187	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn2-j12.bin	\N	\N	32768	9c391d1b	06e8c202337e3eba38c479e8b7e29a3f8ffc4ed1	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn3-j14.bin	\N	\N	32768	df6a4f7a	ce3cb84b514220d686b12c03567289fd23da0fe1	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn4-j16.bin	\N	\N	32768	c5e42bb4	1956e737ae393e987cb7e8eae520518f1e0f597f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn5-j17.bin	\N	\N	32768	2a73f88e	0a7b769174f2b976650453d808cb23668dff0260	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn6-j19.bin	\N	\N	32768	56678d14	acf3a97ca29db8ab9cad69599c5567464af3ae44	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn7-e11.bin	\N	\N	65536	4883059c	53d4b9b0f0725c25e302ee1549a306778ec74d85	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn8-e12.bin	\N	\N	65536	02b91445	f0cf85f9e17c40248de16bca8df6d745e359b92d	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	mnight	mn9-e14.bin	\N	\N	65536	9f08d160	1a0041ad138e7e6598d4d03d7cbd52a7244557ac	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	ninjak2a	\N	\N	\N	\N	\N	Ninja Kid II (alternate romset)	1987	UPL	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_01.bin	\N	\N	32768	e6adca65	33d483dde0853f37455cde32b461f4e919601b4b	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_02.bin	\N	\N	32768	d9284bd1	e790fb1a718a1f7997931f2f390fe053655f231d	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_03.bin	\N	\N	32768	ad275654	7d29a17132adb19aeee9b98be5b76bd6e91f308e	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_04.bin	\N	\N	32768	e7692a77	84beb8b02c564bffa9cc00313214e8f109bd40f9	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_05.bin	\N	\N	32768	960725fb	160c8bfaf089cbeeef2023f12379793079bff93b	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_06.bin	\N	\N	65536	7bfe6c9e	aef8cbeb0024939bf65f77113a5cf777f6613722	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_07.bin	\N	\N	65536	0be5cd13	8f94a8fef6668aaf13329715fee81302dbd6c685	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_08.bin	\N	\N	65536	1b79c50a	8954bc51cb9fbbe16b09381f35c84ccc56a803f3	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_09.bin	\N	\N	65536	c1d2d170	0f325815086fde90fd85360d3660042b0b68ba96	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_10.bin	\N	\N	65536	c913c4ab	f822c5621b3e32c1a284f6367bdcace81c1c74b3	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_11.bin	\N	\N	65536	41a714b3	b05f48d71a9837914c12c13e0b479c8a6dc8c25e	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjak2a	nk2_12.bin	\N	\N	32768	db5657a9	abbb033edb9a5a0c66ee5981d1e4df1ab334a82d	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	ninjakd2	\N	\N	\N	\N	\N	Ninja Kid II	1987	UPL	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_01.rom	\N	\N	32768	3cdbb906	f48f82528b5fc581ee3b1ccd0ef9cdecc7249bb3	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_02.rom	\N	\N	32768	b5ce9a1a	295a7e1d41e1a8ee45f1250086a0c9314837eded	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_03.rom	\N	\N	32768	ad275654	7d29a17132adb19aeee9b98be5b76bd6e91f308e	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_04.rom	\N	\N	32768	e7692a77	84beb8b02c564bffa9cc00313214e8f109bd40f9	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_05.rom	\N	\N	32768	5dac9426	0916cddbbe1e93c32b96fe28e145d34b2a892e80	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_06.rom	\N	\N	65536	d3a18a79	e4df713f89d8a8b43ef831b14864c50ec9b53f0b	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_07.rom	\N	\N	65536	0be5cd13	8f94a8fef6668aaf13329715fee81302dbd6c685	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_08.rom	\N	\N	65536	1b79c50a	8954bc51cb9fbbe16b09381f35c84ccc56a803f3	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_09.rom	\N	\N	65536	c1d2d170	0f325815086fde90fd85360d3660042b0b68ba96	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_10.rom	\N	\N	65536	c913c4ab	f822c5621b3e32c1a284f6367bdcace81c1c74b3	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_11.rom	\N	\N	65536	41a714b3	b05f48d71a9837914c12c13e0b479c8a6dc8c25e	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ninjakd2	nk2_12.rom	\N	\N	32768	db5657a9	abbb033edb9a5a0c66ee5981d1e4df1ab334a82d	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	nova2001	\N	\N	\N	\N	\N	Nova 2001	1983	UPL (Universal license)	\N	\N	\N	
game_rom	JFF_v0.24	nova2001	nova2001.1	\N	\N	8192	b79461bd	7fac3313bc76612f66a6518450d0fed32fe70c45	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	nova2001	nova2001.2	\N	\N	8192	fab87144	506703f9d96443839f864ef5bde1a71120f54384	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	nova2001	nova2001.3	\N	\N	8192	b2849038	b56c7c03ef7c677cc6df0280a485f9cda3435b23	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	nova2001	nova2001.4	\N	\N	4096	6b5bb12d	74aee3d08a7ee1f98eaec4a4b3062aa9d17948ec	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	nova2001	nova2001.5	\N	\N	8192	8ea576e8	d8dbcfd43aafe25afad7f947a80737cdc55b23d7	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	nova2001	nova2001.6	\N	\N	8192	0c61656c	41c480799798c95543b5a805694e68282b9f563a	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	nova2001	nova2001.7	\N	\N	8192	9ebd8806	26b6caa0d0a7ae52a182070ecc7bc696c12038b3	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	nova2001	nova2001.8	\N	\N	8192	d1b18389	2d808fee774f1bb4cec42e23cfef36b54eee0efa	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	nova2001	nova2001.clr	\N	\N	32	a2fac5cd	ad14aa2be57722d1f48b47171fe72f96091423b6	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	pkunwar	\N	\N	\N	\N	\N	Penguin-Kun Wars	1985	UPL	\N	\N	\N	
game_rom	JFF_v0.24	pkunwar	pkwar.01r	\N	\N	16384	ce2d2c7b	2ffe2eb339fd668ec4fe90eff66124a334db0693	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	pkunwar	pkwar.01y	\N	\N	16384	428d3b92	7fe11e8d785fe829d34e512f233bb9ccc70cd431	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	pkunwar	pkwar.02r	\N	\N	16384	abc1f661	c4bf4a345efd4271617de9f334303d81c6885aa5	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	pkunwar	pkwar.02y	\N	\N	16384	ce1da7bc	a2357b61703a689ce63aec7dd44702b119894f8e	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	pkunwar	pkwar.03r	\N	\N	8192	56faebea	dd0406c723a08f5d1120655857a115ab8c2d2a11	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	pkunwar	pkwar.03y	\N	\N	16384	63204400	1ba87ad3425c51150cb65408f04ee0147ef332d3	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	pkunwar	pkwar.04y	\N	\N	16384	061dfca8	0a2dd8fc790d607195ca18dfc55575c2b9ddc58a	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	pkunwar	pkwar.col	\N	\N	32	af0fc5e2	480908bf893211b580ae19cfb40dc35ad1bbc343	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	omegaf	\N	\N	\N	\N	\N	Omega Fighter	1990	UPL	\N	\N	\N	
game_rom	JFF_v0.24	omegaf	1back2.15b	\N	\N	524288	6210ddcc	89c091eeafcc92750d0ea303fcde8a8dc3eeba89	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	omegaf	2back1.27b	\N	\N	524288	21f8a32e	26582e06e7381e09443fa99f24ca9edd0b4a2937	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	omegaf	3back3.5f	\N	\N	524288	c31cae56	4cc2d0d70990ca04b0e3abd15e5afe183e98e4ab	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	omegaf	4.18h	\N	\N	32768	9e2d8152	4b50557d171d1b03a870db5891ae67d70858ad37	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	omegaf	5.3l	\N	\N	131072	503a3e63	73420aecb653cd4fd3b6afe67d6f5726f01411dd	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	omegaf	6.4l	\N	\N	131072	6277735c	b0f91f0cc51d424a1a7834c126736f24c2e23c17	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	omegaf	7.7m	\N	\N	65536	d40fc8d5	4f615a0fb786cafc20f82f0b5fa112a9c356378f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	omegaf	8.23m	\N	\N	131072	0bd2a5d1	ef84f1a5554e891fc38d17314e3952ea5c9d2731	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	psychic5	\N	\N	\N	\N	\N	Psychic 5	1987	Jaleco	\N	\N	\N	
game_rom	JFF_v0.24	psychic5	p5a	\N	\N	65536	25bb04e4	29afa9ec5c0aed5324f277d13ca7df923fbf384d	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	psychic5	p5b	\N	\N	65536	7e3f87d4	b8e7fa3f96d2e3937e4cb530f105bb84d5743b43	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	psychic5	p5c	\N	\N	65536	8710fedb	c7e8dc6b733e4ecce37d56fc429c00ade8736ff3	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	psychic5	p5d	\N	\N	32768	90259249	ac2d8dd95f6c04b6ad726136931e37dcd537e977	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	psychic5	p5e	\N	\N	65536	72298f34	725be2fbf5f3622f646c0fb8e6677cbddf0b1fc2	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	psychic5	p5f	\N	\N	32768	04d7e21c	6046c506bdedc233e3730f90c7897e847bec8758	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	psychic5	p5g	\N	\N	65536	f9262f32	bae2dc77be7024bd85f213e4da746c5903db6ea5	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	psychic5	p5h	\N	\N	65536	c411171a	d5893563715ba231e42b084b88f5176bb94a4da9	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	raiders5	\N	\N	\N	\N	\N	Raiders 5	1985	UPL	\N	\N	\N	
game_rom	JFF_v0.24	raiders5	raiders5.1	\N	\N	16384	47cea11f	0499e6627ad9c16775fdc59f2ff56dfdfc23490a	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	raiders5	raiders5.2	\N	\N	16384	eb2ff410	5c995b66b6301cd3cd58efd173481deaa036f842	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	raiders5	raiders5.3	\N	\N	16384	30041d58	a33087de7afb276925879898a96f418128a5a38c	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	raiders5	raiders5.4	\N	\N	16384	e441931c	f39b4c25de779c671a6e2b02df64e7fed726f4da	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	raiders5	raiders5.5	\N	\N	16384	c0895090	a3a1ae57ed66bc095ea9bfb26470290f67aab1fe	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	rdaction	\N	\N	\N	\N	\N	Rad Action (American version of Ninja Kid 2)	1987	UPL (World Games license)	\N	\N	\N	
game_rom	JFF_v0.24	rdaction	1.3u	\N	\N	32768	5c475611	2da88a95b5d68b259c8ae48af1438a82a1d601c1	\N	\N	\N	\N	\N	\N	
