game	S11Emu_v0.2	danceyes	\N	\N	\N	\N	\N	Dancing Eyes (JP) Ver. A	1996	Namco	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1ver-a.6d	\N	\N	262144	96cd7788	68a5a53a5fc50e2b6b684c99d27d81e3a8c56287	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1-wave.bin	\N	\N	4194304	8ba0f6a7	e9868debd808e92b196d1baeeeae9c4855356a01	\N	\N	\N	\N	\N	\N	
game	S11Emu_v0.2	souledge	\N	\N	\N	\N	\N	Soul Edge (JP) Ver. A	1995	Namco	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1rom0l.6	\N	\N	2097152	9c5b0858	f3ac726f1167551beea7edc46e43b826b7baaf62	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1rom0u.5	\N	\N	2097152	e364d673	70fd58fb912939c57e3a5fadd01c1467df08d4ac	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1rom1l.8	\N	\N	2097152	4406ef16	c86f199fdb1db23e5944ca51e6518b9cd0dafb71	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1rom1u.3	\N	\N	2097152	8f9d8c5b	ac1da70854eee344a645749f564366ceac571767	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1rom2l.7	\N	\N	2097152	37c1f66e	13a8a73fce142ea5ebe3f0c1050e44a027ab42a6	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1rom2u.4	\N	\N	2097152	b4baa886	0432692a4d71a3f1b47707efb6858927744940e4	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1rom3l.9	\N	\N	2097152	84465bcc	d8be888d41cfe194c3a1853d9146d3a74ef7bab1	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1rom3u.1	\N	\N	2097152	f11bd521	baf936dec58cebfeef1c74f95e455b2fe74eb982	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1ver-a.2f	\N	\N	1048576	c035b71b	38719a75193774b124d845460c0c03d36849719d	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1ver-a.2j	\N	\N	1048576	abe2d28e	e9d858c8f8651b04bc72eb6de423da4925e94250	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1ver-a.2k	\N	\N	1048576	29bdc6bb	9047792c1a21a0001024939f1c6a8c3d86948973	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1ver-a.2l	\N	\N	1048576	bafb94c8	92461ce74a537a9801a024280e18fc3d0a5e6e5c	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1ver-a.6d	\N	\N	262144	f6f682b7	a64e19be3f6e630b8c34f34b46b95aadfabd3f63	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledge	so1-wave.bin	\N	\N	4194304	0e68836b	c392b370a807803c7ab060105861253e1b407f49	\N	\N	\N	\N	\N	\N	
game	S11Emu_v0.2	souledgc	\N	\N	souledge	souledge	\N	Soul Edge (JP) Ver. C	1995	Namco	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1rom0l.6	so1rom0l.6	\N	2097152	9c5b0858	f3ac726f1167551beea7edc46e43b826b7baaf62	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1rom0u.5	so1rom0u.5	\N	2097152	e364d673	70fd58fb912939c57e3a5fadd01c1467df08d4ac	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1rom1l.8	so1rom1l.8	\N	2097152	4406ef16	c86f199fdb1db23e5944ca51e6518b9cd0dafb71	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1rom1u.3	so1rom1u.3	\N	2097152	8f9d8c5b	ac1da70854eee344a645749f564366ceac571767	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1rom2l.7	so1rom2l.7	\N	2097152	37c1f66e	13a8a73fce142ea5ebe3f0c1050e44a027ab42a6	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1rom2u.4	so1rom2u.4	\N	2097152	b4baa886	0432692a4d71a3f1b47707efb6858927744940e4	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1rom3l.9	so1rom3l.9	\N	2097152	84465bcc	d8be888d41cfe194c3a1853d9146d3a74ef7bab1	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1rom3u.1	so1rom3u.1	\N	2097152	f11bd521	baf936dec58cebfeef1c74f95e455b2fe74eb982	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1ver-c.2f	\N	\N	1048576	8cffe1c3	d54a0b1d55f33db2890bfa70c411cca3e446fccf	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1ver-c.2j	\N	\N	1048576	938262b0	e806883e32c473a3c2bb07849126631f6d66fa66	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1ver-c.2k	\N	\N	1048576	1789e399	2e11869124cdfa7a66107b0e642bdc72ee0c306a	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1ver-c.2l	\N	\N	1048576	12b8ae0d	31571023d5b77ebcd4103b8cac5ba710a3d570a0	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1ver-c.6d	\N	\N	262144	2bbc118c	4168a9aa525f1f0ce6cf6e14cfe4c118c4c0d773	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	souledgc	so1-wave.bin	so1-wave.bin	\N	4194304	0e68836b	c392b370a807803c7ab060105861253e1b407f49	\N	\N	\N	\N	\N	\N	
game	S11Emu_v0.2	tekken	\N	\N	\N	\N	\N	Tekken (JP) Ver. A	1994	Namco	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1rom0l.5	\N	\N	2097152	03786e09	de2b9e19ace43c424d100dc5d3207217f66d6479	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1rom0u.6	\N	\N	2097152	75d91051	1c7958162315576c3881dcc684b85710f7f19cd6	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1rom1l.3	\N	\N	2097152	81416f8e	b42ff08ee84491c57a7c87bb767db7e2ec7a26c2	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1rom1u.8	\N	\N	2097152	fa7ba433	e222c4b1631c09e58546446a1e82c16fca936f1d	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1rom2l.4	\N	\N	2097152	41d77846	eeab049135c02a255899fe37e225c1111b2fbb7d	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1rom2u.7	\N	\N	2097152	a678987e	c62c00ce5cf4d001723c999b2bc3dbb90283def1	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1ver-b.2f	\N	\N	1048576	3dc01aad	266f346fa575c42b635bc469798f5aade9821e20	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1ver-b.2j	\N	\N	1048576	5c534705	2430b5c36de419822de0283c006c5af2e7cd95ef	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1ver-b.2k	\N	\N	1048576	b9860b29	678889fc5c70bf66f0bd9864a20636ffb620ed0d	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1ver-b.2l	\N	\N	1048576	4291afee	2e04a6c786544176e2b7e22b5f469e3548896b19	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1ver-b.6d	\N	\N	262144	849587e9	94c6a757b24758a866a41bd8acd46aa46844f74b	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tekken	te1-wave.bin	\N	\N	2097152	fce6c57a	7fb8c69452c92c59a940a2b69d0d73ef7aefcb82	\N	\N	\N	\N	\N	\N	
game	S11Emu_v0.2	xevi3dg	\N	\N	\N	\N	\N	Xevious 3D/G (JP) Ver. A	1996	Namco	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31-r0l.5	\N	\N	2097152	24e1e262	84df49b22a8a36284da771944a8390672a0c32bf	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31-r0u.6	\N	\N	2097152	cae38ef3	2dfe0b31969091975e8d8c8188ce7dd007e4a0f3	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31-r1l.3	\N	\N	2097152	46b4cb72	c3360c4fdb71ffcbccec3f4ad8d7963b08822e26	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31-r1u.8	\N	\N	2097152	be0eb5d1	f1a0adcb7c65bbba723fe09b07280b0b924d6b19	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31-r2l.4	\N	\N	2097152	8403a277	35193211351494a086d8422e3b0b71a8d3a262a6	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31-r2u.7	\N	\N	2097152	ecf70432	bec128a215e0aef66e9a8707bb0d1eb7b098a356	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31vera.2f	\N	\N	1048576	9e8780a2	83148d55456b2b92969f7ac2bdb2d492bf969895	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31vera.2j	\N	\N	1048576	df95373a	65cf85ad4dcbc8f0376ac46ee0c1037d79099843	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31vera.2k	\N	\N	1048576	3d58138e	9203d6bdc2d968de818d5f465523cc030217dcf8	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31vera.2l	\N	\N	1048576	419e0f13	876ae81c9fde18cdec792f3dfee682761ac99730	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31vera.6d	\N	\N	262144	e50b856a	631da4f60c9ce08387fca26a70481a2fdacf9765	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	xevi3dg	xv31wave.bin	\N	\N	4194304	14f25ddd	4981cf1017432ff85b768ec88c36f535df30b783	\N	\N	\N	\N	\N	\N	
game	S11Emu_v0.2	starswep	\N	\N	\N	\N	\N	Star Sweep (JP) Ver. A	1997	Namco	\N	\N	\N	
game_rom	S11Emu_v0.2	starswep	stp1vera.1j	\N	\N	2097152	ef83e126	f721b43358cedad0f28af5d2b292b44043fd47a0	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	starswep	stp1vera.1l	\N	\N	2097152	0ee7fe1e	8c2f5b0e7b49dbe0e8105bf55c493acd46a4f59d	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	starswep	stp1vera.7e	\N	\N	262144	08aaaf6a	51c913a39ff7c154aef8bb10139cc8b92eb4756a	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	starswep	stp1wave.bin	\N	\N	4194304	18f30e92	b3819455856298527a7224495f541145aecf23dd	\N	\N	\N	\N	\N	\N	
game	S11Emu_v0.2	tk2b	\N	\N	\N	\N	\N	Tekken 2 (JP) Ver. B	1995	Namco	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	6d	\N	\N	2097152	8d89877e	7d76d48d64d7ac5411d714a4bb83f37e3e5b8df6	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	eeprom	\N	\N	2048	bb7ed6f9	7f08273abff9c54e007e30e292d6a955b61c65d4	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2rom0l	\N	\N	2097152	fc904ede	cea378ba86f94beadb3d67685f1b8c141f478abe	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2rom0u	\N	\N	2097152	57b38f5d	edb4beab47b1339a5b1bc8071086abfcba57722e	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2rom1l	\N	\N	2097152	aa48f04b	f7383d2b3a84c4e649a27c0ad1e6af4702ec0a17	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2rom1u	\N	\N	2097152	b147c543	c4b18c218999ec73d04c92e06fb3e6165ceebf2b	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2rom2l	\N	\N	2097152	b08da52c	31fe2021d0fe37c16555650dd10d26ed80d9b493	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2rom2u	\N	\N	2097152	8a1561b8	ebc02c9e7033d54aefb5034c97a3c8cd749b5600	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2rom3l	\N	\N	2097152	d5ac0f18	342d063f7974bd1f90b5ca4832dfa4fbc9605453	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2rom3u	\N	\N	2097152	44ed509d	27e26aaf5ce72ab686f3f05743b1d91b5334b4e0	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2ver-b.2f	\N	\N	1048576	c4f66a0a	1b3dd33d7e6d9122826bf8be0dbbc088e4cc41e8	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2ver-b.2j	\N	\N	1048576	63706d8c	740cfa8b422fb663bcb412b3389da33c7f9f13be	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2ver-b.2k	\N	\N	1048576	668ca712	67100db4c6a3ca62d3f62f6fcef974ce017e2c9e	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	te2ver-b.2l	\N	\N	1048576	aa9a4503	e6fdd34216591510593bbda0232ddc0fcd80e80b	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	wavebh	\N	\N	2097152	344c0c89	9d66b018700295680ff8b5a0016ff275a8fe083a	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	tk2b	wavebl	\N	\N	2097152	4b8c5195	d44712f48c0a32ccf164cc12c773270252b8d3e6	\N	\N	\N	\N	\N	\N	
game	S11Emu_v0.2	myangel3	\N	\N	\N	\N	\N	Kosodate Quiz My Angel 3 (JP) Ver. A	1998	Namco	\N	\N	\N	
game_rom	S11Emu_v0.2	myangel3	kqt1pr0l.bin	\N	\N	8388608	d67eee66	1842e987ae406ac2cf4c173aaaa73b5f67f4fd3d	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	myangel3	kqt1pr0u.bin	\N	\N	8388608	4d1c7bf3	6bf9712264a82920f7898896643d05a6b425e74a	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	myangel3	kqt1pr1l.bin	\N	\N	8388608	298d8eeb	c421b1bdd5fd46c026a41e2cec47cafd1a69d33d	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	myangel3	kqt1pr1u.bin	\N	\N	8388608	911783db	1005fc9b38e212844e397150a6f98f43ad88d4b9	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	myangel3	kqt1vera.1j	\N	\N	2097152	df7aef8a	d4ff144bcdecc1d4a3b834d0b9c182609ad9b260	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	myangel3	kqt1vera.1l	\N	\N	2097152	ffc51c01	bba2c2c1ad31039c7dc7413e51e7fc317451e1e3	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	myangel3	kqt1vera.7e	\N	\N	262144	bb1888a6	4db07738079725413cdba7eb75252ee71ae50a66	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	myangel3	kqt1wave.bin	\N	\N	4194304	92ca8e4f	48d6bdfcc5de1c280afa36c3f0dd6d4177771355	\N	\N	\N	\N	\N	\N	
