game	KEM_v1.1	2tigers	\N	\N	\N	\N	\N	Two Tigers	1984	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	bluep	1s	\N	\N	4096	a556cac4	0fe7070c70792d883c29f3d12a33238b5ed8af22	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	bluep	3u	\N	\N	4096	fd38777a	0ed230e0fa047d3171e7141e5620b4c750b07629	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	bluep	3v	\N	\N	4096	33d5bf5b	3ac684cd48559cd0eab32f9e7ce3ec6eca88dcd4	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	bluep	c3	\N	\N	4096	ac2a61bc	e56708d261648478d1dae4769118546411299e59	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	bluep	d3	\N	\N	4096	81fe85d7	fa637631d25f7499d2325cce77d11e1d624f5e07	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	bluep	d17	\N	\N	4096	a73b6483	9f7756d032a8ffaa4aa236fc5117f476916986e0	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	bluep	d18	\N	\N	4096	7d622550	8283debff8253996513148629ec55831e48e8e92	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	bluep	d20	\N	\N	4096	2fcb4f26	508cb2800737bad0a7dea0789d122b7c802aecfd	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	demoderb	\N	\N	\N	\N	\N	Demolition Derby	1984	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_pro	\N	\N	16384	8781b367	52fe4f4e3fa0370284845d88bc7b30a95c962b22	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_pro1	\N	\N	16384	4c713bfe	493b6ba01e86e7586ad123c53cf7f0a0c191d670	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_pro2	\N	\N	16384	c2cbd2a4	fa642b2f61ff5529ab688a43c1dc14357a4eba6f	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_ssio.a7	\N	\N	4096	c95cf31e	d1b0e299a27e306ddbc0654fd3a9d981c92afe8c	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_ssio.a8	\N	\N	4096	12aaa48e	c6b835fc45e4484a4d52b682ce015caa242c8b4f	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_bg0.6f	\N	\N	8192	cf80be19	a2ab09ee2dc76fab472fec7520ed972ccc10e826	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_bg1.5f	\N	\N	8192	4e173e52	ac5ae8007a63f9c074444783c1058109327dd118	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_fg-0.a4	\N	\N	16384	e57a4de6	d1b2396a85b984e171d751ef8e1cf970ac4ff9fb	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_fg-4.a3	\N	\N	16384	55aa667f	d611dbf9e8ef383d02514b0edb9ea36670193bf0	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_fg-1.a6	\N	\N	16384	70259651	55967aaf2a7617c8f5a199d1e07128d79ce16970	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_fg-5.a5	\N	\N	16384	5fe99007	9d640b4715333efdc6300dc353991d6934929399	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_fg-2.a8	\N	\N	16384	6cab7b95	8faff7458ab5ff2dd096dd78b1449a4096cc6345	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_fg-6.a7	\N	\N	16384	abfb9a8b	14ab416bc76db25ad97353c9072048c64ec95344	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_fg-3.a10	\N	\N	16384	801d9b86	5a8c72d1060eea1a3ad67b98aa6eff13f6837af6	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	demoderb	dd_fg-7.a9	\N	\N	16384	0ec3f60a	4176b246b0ea7bce9498c20e12678f16f7173529	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	domino	\N	\N	\N	\N	\N	Domino Man	1982	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	domino	dmanpg0.bin	\N	\N	8192	3bf3bb1c	0dc38b47fc1f6828cd1dc2e14f43448d878ccd8a	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dmanpg1.bin	\N	\N	8192	85cf1d69	32198a2b8fbfb5b9593f083034ef4762b7ab1a27	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dmanpg2.bin	\N	\N	8192	7dd2177a	b4b17e2580679fbe340d8b8d8cb7171c49ae0a21	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dmanpg3.bin	\N	\N	8192	f2e0aa44	2f04dc74c69dfe3847d5e4330e560b0a9f18c33a	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dm-a7.snd	\N	\N	4096	fa982dcc	970340bfa0ac13ad8c2bf5adc21d7ca7aa9e525a	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dm-a8.snd	\N	\N	4096	72839019	4aa278cfb00fac76cba88600bb300ee88ec3f7ee	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dm-a9.snd	\N	\N	4096	ad760da7	024fce0f5d46e82b66c4283925556130735b863e	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dm-a10.snd	\N	\N	4096	958c7287	0dd1ae1b6073f19925d0ec1ba1090d736e0a7cf6	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dmanbg0.bin	\N	\N	8192	9163007f	a7b2e3ed68105ff99841776e8114279f557c90ed	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dmanbg1.bin	\N	\N	8192	28615c56	d4b91c092f594b1216d9a135345ba8955e5e5ec5	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dmanfg0.bin	\N	\N	8192	0b1f9f9e	051d0b126d060300283a5572e1179c7624cedbbf	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dmanfg1.bin	\N	\N	8192	16aa4b9b	700f7dc3ce20dacce38dc40783b28fc9b4c1443a	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dmanfg2.bin	\N	\N	8192	4a8e76b8	563b9db39940060265b771f3b0c4a2055963cf2b	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	domino	dmanfg3.bin	\N	\N	8192	1f39257e	645f9b7e8bd2254167d15567c3bd577d3a574f7d	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	dotron	\N	\N	\N	\N	\N	Discs of Tron (Environmental)	1983	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	dotron	loc-cpu1	\N	\N	16384	eee31b8c	c05ad1d10588a6c1050c608f1a473685ebe4daad	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	loc-cpu2	\N	\N	16384	75ba6ad3	d02c3d731073fb6083bd8f771f76338939384a07	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	loc-cpu3	\N	\N	16384	94bb1a0e	af4769fac39e67eff840675bf93cc4304f2875fd	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	loc-cpu4	\N	\N	16384	0477e9a2	95d8ee87b56a5c83012fe12eab6da017cb5f86da	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	loc-a	\N	\N	4096	2de6a8a8	6bba00daed8836297f3189db4e4fe8e158adc465	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	loc-b	\N	\N	4096	4097663e	afb5224529550cec378415a5cd81b47f6c6c101b	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	loc-c	\N	\N	4096	f576b9e7	4ff39c46c390aa93d900f5f7a0b35fa71f066863	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	loc-d	\N	\N	4096	74b0059e	1fe393721446538036fb6110fdc3920959ebd596	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	pre-u3	\N	\N	4096	c3d0f762	a1857641c35b5bcb33f29fe79a1a581c4cbf129b	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	pre-u4	\N	\N	4096	7ca79b43	c995e1e67d70706a090eb777e9fec0f1ba03f82d	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	pre-u5	\N	\N	4096	24e9618e	eb245ff381a76b314a0ed3519e140444afae341c	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	loc-bg2	\N	\N	8192	40167124	782c8192dd58a3f23ff2338452dd03206d79030a	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	loc-bg1	\N	\N	8192	bb2d7a5d	8044be9ffca9520fd77e0da492147e553f9f7da3	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	fga-7	\N	\N	8192	57a2b1ff	b97539ffd2f5fc8b86fc2f8f233cc26ba16f82ee	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	fga-8	\N	\N	8192	3bb4d475	3795ba1640790041da51ebeac8517cc7d32e243e	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	fga-5	\N	\N	8192	ce957f1a	24177a8dd6dcb377cf8aee7c7b47b26f29e77e20	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	fga-6	\N	\N	8192	d26053ce	b7fb3d1df9b80c056cf131574565addb529645e1	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	vgaloc-c	\N	\N	8192	ef45d146	6cd83909b4376abce287e435a10e5bc25e18b265	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	vgaloc-d	\N	\N	8192	5e8a3ef3	74983c922eae1326ecd0ff14000851e0b424cc61	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	vgaloc-a	\N	\N	8192	b35f5374	3f330ffde52ac57c02dfdf8e105aefcc10f87a0b	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	dotron	vgaloc-b	\N	\N	8192	565a5c48	9dfafd58bd552bfda4e1799a175735ecc1369ba3	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	gyruss	\N	\N	\N	\N	\N	Gyruss (Centuri)	1983	Konami (Centuri license)	\N	\N	\N	
game_rom	KEM_v1.1	gyruss	gya-1.bin	\N	\N	8192	85f8b7c2	5dde696b53efedee671d500feae1d314e95b1c96	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	gyruss	gya-2.bin	\N	\N	8192	1e1a970f	5a2e391489608f7571bbb4f85549a79795e2177e	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	gyruss	gya-3.bin	\N	\N	8192	f6dbb33b	19cab8e7f2f2358b6271ab402f132654e8be95d4	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	gyruss	gy-11.bin	\N	\N	8192	f4ae1c17	ae568c96a31d910afe30d2b7eeb9ed1ed07290e3	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	gyruss	gy-12.bin	\N	\N	8192	ba498115	9cd1f42898cc590f39ba7cb3c975b0b3d3062eba	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	gyruss	gy-5.bin	\N	\N	8192	822bf27e	36d5bea2392a7d3476dd797dc05602705cfa23ef	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	gyruss	gy-6.bin	\N	\N	8192	27d8329b	564ff945465a23d93a93137ad277298770dfa06a	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	gyruss	gy-10.bin	\N	\N	8192	c949db10	fcb8bcbd2bdd751fecb322a33c8a92fb6f07a7ab	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	gyruss	gy-9.bin	\N	\N	8192	4f22411a	763bcd039f8c1838a0d7da7d4dadc14a26e25596	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	gyruss	gy-8.bin	\N	\N	8192	47cd1fbc	8203c4ff0b1cd7b4dbc708e300bfeac1e7366e09	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	gyruss	gy-7.bin	\N	\N	8192	8e8d388c	8f2928d71c02aba977d67575d6e34d69bda2b9d4	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	journey	\N	\N	\N	\N	\N	Journey	1983	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	journey	d2	\N	\N	8192	f2618913	eee323ac502cedefef0675a90c3c9c17f9610fc9	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	d3	\N	\N	8192	2f290d2e	b672064969326e594b6a4225e73bf51d25f33871	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	d4	\N	\N	8192	cc6c0150	83b00b137e0c343db9b61c90469d5e2392444fc3	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	d5	\N	\N	8192	c3023931	e591a18c5fc8befcd9f2b93d9131374c572cdbcd	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	d6	\N	\N	8192	5d445c99	df2bce203f510b4bda42bb7114b79eb0b2b4e2e0	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	a	\N	\N	4096	2524a2aa	4bd78b4fb42c2506fa6734419b42cbbe4c240e94	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	b	\N	\N	4096	b8e35814	379308431d1204d6cb5ae8a13e378ec7b3fab0a9	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	c	\N	\N	4096	09c488cf	7aa3321db748f2612693f8348e590369e8d48140	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	d	\N	\N	4096	3d627bee	42239ee73ba88206d28fd9cff9787b11c40bb2f1	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	g3	\N	\N	8192	c14558de	f47624ec235f782559eff076758ff28366dbf21d	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	g4	\N	\N	8192	9104c1d0	9ae732d6f1edb8656c54ac9b8fa6b35b342adc4b	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	a7	\N	\N	8192	4ca2bb2d	62ae3b30a2c52649d4c8f1264b9f8726c3ac81ce	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	a8	\N	\N	8192	4fb7925d	a1f4a2bdd6e80a3a9e5f1e698c014b6f91dfb000	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	a5	\N	\N	8192	560c474f	bb44fb5f1bd14b92bff110e74d8c9f22df07b47f	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	a6	\N	\N	8192	b1f31583	3ebedacc75d031525d166b3265c136f0f7407d0f	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	a3	\N	\N	8192	f295afda	de8086ca5750736eba939f80c089ba96b7e53300	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	a4	\N	\N	8192	765876a7	9c477f5fae068f7e424939652e959711b3ad3a80	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	a1	\N	\N	8192	4af986f8	56af9525a404bcf6d76b19318efe541189844210	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	journey	a2	\N	\N	8192	b30cd2a7	df1b36a3481fdec49f73d504f23951070c121291	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	kickman	\N	\N	\N	\N	\N	Kick (Upright)	1981	Midway	\N	\N	\N	
game_rom	KEM_v1.1	kickman	cpu_b3	\N	\N	4096	65924917	4fbc7161f4b03bc395c775fa6239a23bf7357e89	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	cpu_b4	\N	\N	4096	27929f52	e03a550792df68eeb2a1f5177309fe01b5fcaa3d	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	cpu_b5	\N	\N	4096	69107ce6	4aedbb9f1072e315f7e5e3c8559f2995146f4b9d	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	cpu_d4	\N	\N	4096	04a23aa1	9a70ca3dc6db984dbb490076cf0ec11cc213f199	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	cpu_d5	\N	\N	4096	1d2834c0	176fad90ab14c922a575c3d12a2c8a339d1518d4	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	cpu_d6	\N	\N	4096	ddf84ce1	6f80b9a5cbd75b6e4af569ca4bcfcde7daaad64f	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	cpu_g4	\N	\N	4096	b4d120f3	e61ae236f14eb1f519e196046fe8240c10932c2e	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	cpu_g5	\N	\N	4096	c3ba4893	76998db55519d7f1cf0f6b51d4f8ad7161b3a92e	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	sio_a10	\N	\N	4096	d36ddcdc	2d3ec83b9fa5a9d309c393a0c3ee45f0ba8192c9	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	sio_a7	\N	\N	4096	9e35c02e	92afd0126dcfb2d4401927b2cf261090e186b6fa	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	sio_a8	\N	\N	4096	ca2b7c28	fdcca3b755822c045c3c321cccc3f58112e2ad11	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	sio_a9	\N	\N	4096	d1901551	fd7d6059f8ac59f95ae6f8ef12fbfce7ed16ec12	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	vid_a1	\N	\N	8192	77da795e	ebebc8551e7a7534d89bb8458eb2576713cfbeaf	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	vid_b1	\N	\N	8192	f3be56a1	eb3eb0379a918a2959565572d88f9b0f021d1c2a	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	vid_d1	\N	\N	8192	565ea97d	4a30a371ad407bf774cf08bf528f824675383698	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	kickman	vid_e1	\N	\N	8192	2c5d6b55	c326b8c7bcb903ea3a1a721443a37e1e8eabe975	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	pooyan	\N	\N	\N	\N	\N	Pooyan (Stern)	1982	[Konami] (Stern license)	\N	\N	\N	
game_rom	KEM_v1.1	pooyan	ic22_a4.cpu	\N	\N	8192	916ae7d7	e96eba381e6ad228acf4b74240d618f9d0bae39d	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	pooyan	ic23_a5.cpu	\N	\N	8192	8fe38c61	4588f9f80a5884e056a1d429785c7331e92d5654	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	pooyan	ic24_a6.cpu	\N	\N	8192	2660218a	606b10a4bab2432e20471440105e04d15d384570	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	pooyan	ic25_a7.cpu	\N	\N	8192	3d2a10ad	962c621a19e9797b8f3d12c150aa0b90958c9498	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	pooyan	sd01_a7.snd	\N	\N	4096	fbe2b368	5689a84ef110bdc0039ad1a6c5778e0b8eccfce0	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	pooyan	sd02_a8.snd	\N	\N	4096	e1795b3d	9ab4e5362f9f7d9b46b750e14b1d9d71c57be40f	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	pooyan	ic13_g10.cpu	\N	\N	4096	7433aea9	a5ad6311f097fefb6e7b747ebe9d01d72d7755d0	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	pooyan	ic14_g9.cpu	\N	\N	4096	87c1789e	7637a9604a3ad4f9a27105d87252de3d923672aa	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	pooyan	ic15_a9.cpu	\N	\N	4096	b2d8c121	189ad488869f34d7a38b82ef70eb805acfe04312	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	pooyan	ic16_a8.cpu	\N	\N	4096	1097c2b6	c815f0d27593efd23923511bdd13835456ef7f76	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	rampage	\N	\N	\N	\N	\N	Rampage (revision 3)	1986	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	rampage	pro-0.rv3	\N	\N	32768	2f7ca03c	1e3a1f213fd67938adf14ea0d04dab687ea8f4ef	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	rampage	pro-1.rv3	\N	\N	32768	d89bd9a4	3531464ffe49dfaf2755d9e2dc1aea23819b3a5d	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	rampage	ramp_u7.snd	\N	\N	32768	cffd7fa5	7c5cecce1d428f847fea37d53eb09c6f62055c6f	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	rampage	ramp_u17.snd	\N	\N	32768	e92c596b	4e2d87398f2e7b637cbad6cb16d832dfa8f8288c	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	rampage	ramp_u8.snd	\N	\N	32768	11f787e4	1fa195bf9169608099d17be5801738a4e17bec3d	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	rampage	ramp_u18.snd	\N	\N	32768	6b8bf5e1	aa8c0260dcd19a795bfc23197cd87348a685d20b	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	rampage	bg-0	\N	\N	16384	c0d8b7a5	692219388a3124fb48db7e35c4127b0fe066a289	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	rampage	bg-1	\N	\N	16384	2f6e3aa1	ae86ce90bb6bf660e38c0f91e7ce90d44be82d60	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	rampage	fg-0	\N	\N	65536	0974be5d	be347faaa345383dc6e5c2b3789c372d6bd25905	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	rampage	fg-1	\N	\N	65536	8728532b	327df92db7e3506b827d497859980cd2de51f45d	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	rampage	fg-2	\N	\N	65536	9489f714	df17a45cdc6a9310856d64f89954be79bbeac12e	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	rampage	fg-3	\N	\N	65536	81e1de40	7e7818792845ec3687b3202eeade60a298ef513e	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	shollow	\N	\N	\N	\N	\N	Satan's Hollow (set 1)	1981	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-pro.00	\N	\N	8192	95e2b800	8781295e21e5202288293fb9eb558cb1835b11ea	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-pro.01	\N	\N	8192	b99f6ff8	575cdba5bf9965c7765ce913a3376c7ba36b8291	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-pro.02	\N	\N	8192	1202c7b2	ebae4711f124a34f19305da16657ece805e1da26	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-pro.03	\N	\N	8192	0a64afb9	3ac6660d2b0166c58ec4fecfe37ce36e545064df	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-pro.04	\N	\N	8192	22fa9175	fd8ea76b3a7ffaf48fc11dd3b7c58e548e3e57c5	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-pro.05	\N	\N	8192	1716e2bb	771e4c20d63e4e1d99723e6355db67064a278ae5	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-snd.01	\N	\N	4096	55a297cc	b34f37fca61cdba26b5671feee991d133b8697a4	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	shollow	sh-snd.02	\N	\N	4096	46fc31f6	9b1a56962b2d210b1013bc35de780c6d5b3eb4bc	\N	\N	\N	\N	\N	\N	
