game	GalEmu_v40.9	galaxian	\N	\N	\N	\N	\N	Galaxian (Namco)	1979	Namco	\N	\N	\N	
game_rom	GalEmu_v40.9	galap4	galx_4c2.rom	\N	\N	2048	a57b83e4	335d8674df1d237a4b83da00eb9aee346bc2e901	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galap4	galaxian.clr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	galapx	\N	\N	\N	\N	\N	Galaxian Part X	1979	hack	\N	\N	\N	
game_rom	GalEmu_v40.9	galapx	galx.u	\N	\N	2048	79e4007d	d55050498a670d1c022ba3caad34f8fcaccf4a30	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galapx	galx.v	\N	\N	2048	bc16064e	4e3220fd63c8184bf9581a89dffb6944d8fae3bb	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galapx	galx.w	\N	\N	2048	72d2d3ee	96e0c5824e46d7398c7e58dd6b75a9f4ead6f3f5	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galapx	galx.y	\N	\N	2048	afe397f3	283c6f3b3f07581d88f7a6e11fc36947a9d90e2e	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galapx	galx.z	\N	\N	2048	778c0d3c	6a81875abfea515d379c6212cb57f8e54573e943	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galapx	galx.1h	\N	\N	2048	e8810654	b6924c7ad765c32714e6abd5bb56b2732edd5855	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galapx	galx.1k	\N	\N	2048	cbe84a76	c6d72fb452e8213dd40a2eb5dcca726d7cdca658	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galapx	galaxian.clr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	redufo	\N	\N	\N	\N	\N	Defend the Terra Attack on the Red UFO (bootleg)	1981	bootleg	\N	\N	\N	
game_rom	GalEmu_v40.9	redufo	ru1a	\N	\N	2048	5a8e4f37	c0957ede91e2dc3f80e4912b877843aed5d15779	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	redufo	ru2a	\N	\N	2048	c624f52d	119a660513ad33e35c9bdaecd588219bf8026d82	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	redufo	ru3a	\N	\N	2048	e1030d1c	80640fbbfa7f84c016366b1084e7f8a7acdcd440	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	redufo	ru4a	\N	\N	2048	7692069e	5130d61c857c3b85eadabcf10f3a6771c72f0f56	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	redufo	ru5a	\N	\N	2048	cb648ff3	e0042251ca7f4a31b5bd9f8cca35278a1e152899	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	redufo	ru6a	\N	\N	2048	e1a9f58e	4fc7489fca057156a7cf5efcb01058ce4f0db69e	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	redufo	ruhja	\N	\N	2048	8a422b0d	b886157518f73e7115a225ba230e456179f6e18f	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	redufo	rukla	\N	\N	2048	1eb84cb1	08f360802a90039c0499a1417d06b6eb5f89d67e	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	redufo	rucp	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	warofbug	\N	\N	\N	\N	\N	War of the Bugs	1981	Armenia	\N	\N	\N	
game_rom	GalEmu_v40.9	warofbug	warofbug.u	\N	\N	2048	b8dfb7e3	c7c675b2638869a9cd7dbd554e6131d8c71b567a	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	warofbug	warofbug.v	\N	\N	2048	fd8854e0	b39ab41b834f18341968dd780f0a3cd07d70c16c	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	warofbug	warofbug.w	\N	\N	2048	4495aa14	f1be281db1d831770efa9cc41ea87eb348e70108	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	warofbug	warofbug.y	\N	\N	2048	c14a541f	d32e89fd18d9e1db2e4a545186eac728c0b02255	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	warofbug	warofbug.z	\N	\N	2048	c167fe55	d85c4d1bd7aa5e14eb2f11dfa14979e5dbc084a8	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	warofbug	warofbug.1k	\N	\N	2048	8100fa85	06641c431cace36dec98b87555f62e72f3e53a31	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	warofbug	warofbug.1j	\N	\N	2048	d1220ae9	e892bc8b0b71d8b07503e474e9c30e6cab460682	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	warofbug	warofbug.clr	\N	\N	32	8688e64b	ed13414257f580b98b50c9892a14159c55e7838d	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	mooncrgx	\N	\N	\N	\N	\N	Moon Cresta (bootleg on Galaxian hardware)	1980	bootleg	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	1	\N	\N	2048	84cf420b	82c979467c51df699337d5878340d05bee606480	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	2	\N	\N	2048	4c2a61a1	a3759bd2c062f2843cd5b812529c798d5d12086c	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	3	\N	\N	2048	1962523a	56ea003c3ff37c2bc33383207fccde0ba0ed781a	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	4	\N	\N	2048	75dca896	017d04501d3d1305491ba843d92ebd74d47d2f9c	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	5	\N	\N	2048	32483039	23baf136d5b7fc02f999dcb31b8daf68b6ffafd1	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	6	\N	\N	2048	43f2ab89	f7f0802a12fd89d61f6f00044e077f34a9d3955f	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	7	\N	\N	2048	1e9c168c	891dc159dfc343322c3241980a0ef76dee510ca9	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	8	\N	\N	2048	5e09da94	677890912db12df6fa2cb515c198f8ac3f7187af	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	10.chr	\N	\N	2048	528da705	d726ee18b79774c982f88afb2a508eb5d5783193	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	12.chr	\N	\N	2048	5a4b17ea	8a879dc34fdecc8a121c4a87abb981212fb05945	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	9.chr	\N	\N	2048	70df525c	f771293494a2234bf80f206ecf1e88773322e503	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	11.chr	\N	\N	2048	e0edccbd	0839a4c9b6e863d12253ae8e1732e80e08702228	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	mooncrgx	mooncrgx.clr	\N	\N	32	6a0c7d87	140335d85c67c75b65689d4e76d29863c209cf32	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	pacmanbl	\N	\N	\N	\N	\N	Pac-Man (bootleg on Galaxian hardware)	1981	bootleg	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpac1b	\N	\N	2048	6718df42	ee15c3f583d381fba4878f824f83d04479a0cee5	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpac2b	\N	\N	2048	33be3648	50175889cf37fe8a81c931e009b55d10f8d0444a	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpac3b	\N	\N	2048	f98c0ceb	4faf8b2fb3f109d1196a9ea256328485074a31b9	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpac4b	\N	\N	2048	a9cd0082	f44ff1ad15d5ee3096f8f44f9c605f32ae2737d9	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpac5b	\N	\N	2048	6d475afc	4fe6bde352c7dd9572fefaae4b59640b4f4eb8ba	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpac6b	\N	\N	2048	cbe863d3	97a2ffa6ab33e6061c664dcd1ee57c86a456782f	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpac7b	\N	\N	2048	7daef758	4dc8ec0ea8fc04d5bffc1c1335407729309c17f0	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpac12b	\N	\N	2048	b2ed320b	680a6fdcb65cc2d88d10bc85e0b2628f43375c5c	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpac11b	\N	\N	2048	ab88b2c4	d0c829ea8021eae81a2b82d36c35ad8258b115e0	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpac10b	\N	\N	2048	44a45b72	8abd0684a01d6c23ef5cf5f0765458f982316acf	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpac9b	\N	\N	2048	fa84659f	20c212723f9062f052539190dfe3fc41577543eb	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pacmanbl	blpaccp	\N	\N	32	24652bc4	d89575f3749c75dc963317fe451ffeffd9856e4d	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	pisces	\N	\N	\N	\N	\N	Pisces	1979	*Unknown*	\N	\N	\N	
game_rom	GalEmu_v40.9	pisces	pisces.a1	\N	\N	2048	856b8e1f	24d468b5f06f54c3fa1cb54ceec8a0c8e285430e	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pisces	pisces.a2	\N	\N	2048	055f9762	9d821874dd48a80651adc58a2f7fe5d2b3ed67bc	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pisces	pisces.b2	\N	\N	2048	5540f2e4	b069a7e46fa2c1f732371ef056caaf8f343e11a8	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pisces	pisces.c1	\N	\N	2048	44aaf525	667bf4c3a36169c3ddddd22b2f1f90bcc9308548	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pisces	pisces.d1	\N	\N	2048	fade512b	ccef2650f1d9dc3fdde2d441774246d47febc2cc	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pisces	pisces.e2	\N	\N	2048	5ab2822f	bbcac3aab943dd9b173de11ddf02ff75d16b1582	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pisces	pisces.1j	\N	\N	4096	2dba9e0e	edfb974766b57327ac846426a3a9583b33a4b7c9	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pisces	pisces.1k	\N	\N	4096	cdc5aa26	72a396d142a775bb39231d700308b8bd7aff7f75	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	pisces	pis_l6.bin	\N	\N	32	57a45057	d4ec6a54f72640e5b485aa59e206c090e67ff640	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	uniwars	\N	\N	gteikoku	gteikoku	\N	UniWar S	1980	Irem	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	f07_1a.bin	f07_1a.bin	\N	2048	d975af10	a2e2a36a75db8fd09441308b08b6ae073c68b8cf	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	h07_2a.bin	h07_2a.bin	\N	2048	b2ed14c3	7668df11f64b8e296eedfee53437777dc53a56d5	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	k07_3a.bin	k07_3a.bin	\N	2048	945f4160	5fbe879f51e14c4c7ae551e5b3089f8e148770a4	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	m07_4a.bin	m07_4a.bin	\N	2048	ddc80bc5	18c3920198baf87267bc7f12db6b23b090d3577a	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	u5	\N	\N	2048	62354351	85bf18942f73023b8be0c3659a0dcd3dfcccfc2c	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	u6	\N	\N	2048	270a3f4d	20f5097033fca515d70fe47178cbd341a1d07443	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	m08p_7a.bin	m08p_7a.bin	\N	2048	c9245346	239bad3fe64eaab2dfc3febd06d1124103a10504	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	u8	\N	\N	2048	797d45c7	76fb8b45fcce3622c59c04af32cfa001ef7bf71d	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	u10	\N	\N	2048	012941e0	4f7ec4d95939cb7c4086bb7df43759ac504ae47c	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	h01_2.bin	h01_2.bin	\N	2048	c26132af	7ae125a911dfd47aeca4f129f580762ce4d8d91a	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	u9	\N	\N	2048	fc8b58fd	72553e2735b0dcc2dcfce9698d49566732492588	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	k01_2.bin	k01_2.bin	\N	2048	dcc2b33b	c3a5ac935c519400dfabb28909f7e460769d1837	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	uniwars	uniwars.clr	\N	\N	32	25c79518	e8f7e8b3d0cf1ed9d723948548f58abf0e2c6d1f	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	spacbatt	\N	\N	gteikoku	gteikoku	\N	Space Battle	1980	bootleg	\N	\N	\N	
game_comment	GalEmu_v40.9	spacbatt	 For spacebatt:	
game_comment	GalEmu_v40.9	spacbatt		
game_comment	GalEmu_v40.9	spacbatt	 The ROM sb.8 must go in the emulator directory!	
game_comment	GalEmu_v40.9	spacbatt		
game_comment	GalEmu_v40.9	spacbatt	 m08p_7a.bin, h01_1.bin, h01_2.bin, k01_1.bin, k01_2.bin, l06_prom.bin	
game_comment	GalEmu_v40.9	spacbatt	 must all go in a gteikoku folder which is level with the emu folder!	
game_rom	GalEmu_v40.9	spacbatt	f07_1a.bin	f07_1a.bin	\N	2048	d975af10	a2e2a36a75db8fd09441308b08b6ae073c68b8cf	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	h07_2a.bin	h07_2a.bin	\N	2048	b2ed14c3	7668df11f64b8e296eedfee53437777dc53a56d5	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	sb.3	\N	\N	2048	c25ce4c1	d7a5d435df7868155523d2fb90f331d4b6d9eaa1	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	sb.4	\N	\N	2048	8229835c	8cfd8f6cab6f80ca69645a184f7e841fc69f47f6	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	sb.5	\N	\N	2048	f51ef930	213e68571a0c7d5ba33a7170d5fa4aea898ea0b9	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	e08p_6a.bin	e08p_6a.bin	\N	2048	d915a389	0e2ff6eec9453856a1276889946b463cfae58eba	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	sb.8	\N	\N	2048	e59ff1ae	fef22885cbd3273882f8c7755dd04c28e843b9ea	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	m08p_7a.bin	m08p_7a.bin	\N	2048	c9245346	239bad3fe64eaab2dfc3febd06d1124103a10504	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	h01_1.bin	h01_1.bin	\N	2048	8313c959	b09157c6f824d6e94647728cbb329877fcb4e502	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	h01_2.bin	h01_2.bin	\N	2048	c26132af	7ae125a911dfd47aeca4f129f580762ce4d8d91a	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	k01_1.bin	k01_1.bin	\N	2048	c9d4537e	65d27066ffec04b755d2f5d3f36f5ec6792e8d6c	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	k01_2.bin	k01_2.bin	\N	2048	dcc2b33b	c3a5ac935c519400dfabb28909f7e460769d1837	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	spacbatt	l06_prom.bin	l06_prom.bin	\N	32	6a0c7d87	140335d85c67c75b65689d4e76d29863c209cf32	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	gteikoku	\N	\N	\N	\N	\N	Gingateikoku No Gyakushu	1980	Irem	\N	\N	\N	
game_rom	GalEmu_v40.9	gteikoku	f07_1a.bin	\N	\N	2048	d975af10	a2e2a36a75db8fd09441308b08b6ae073c68b8cf	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	gteikoku	h07_2a.bin	\N	\N	2048	b2ed14c3	7668df11f64b8e296eedfee53437777dc53a56d5	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	gteikoku	k07_3a.bin	\N	\N	2048	945f4160	5fbe879f51e14c4c7ae551e5b3089f8e148770a4	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	gteikoku	m07_4a.bin	\N	\N	2048	ddc80bc5	18c3920198baf87267bc7f12db6b23b090d3577a	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	gteikoku	d08p_5a.bin	\N	\N	2048	62354351	85bf18942f73023b8be0c3659a0dcd3dfcccfc2c	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	gteikoku	e08p_6a.bin	\N	\N	2048	d915a389	0e2ff6eec9453856a1276889946b463cfae58eba	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	gteikoku	m08p_7a.bin	\N	\N	2048	c9245346	239bad3fe64eaab2dfc3febd06d1124103a10504	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	gteikoku	n08p_8a.bin	\N	\N	2048	797d45c7	76fb8b45fcce3622c59c04af32cfa001ef7bf71d	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	gteikoku	h01_1.bin	\N	\N	2048	8313c959	b09157c6f824d6e94647728cbb329877fcb4e502	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	gteikoku	h01_2.bin	\N	\N	2048	c26132af	7ae125a911dfd47aeca4f129f580762ce4d8d91a	\N	\N	\N	\N	\N	\N	
