game	Mjolnir_v0.3.1	winrun	\N	namcos21.c	\N	\N	\N	Winning Run Suzuka Grand Prix	1989	Namco	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	mpu.3k	\N	\N	131072	80a0e5be	6613b95e164c2032ea9043e4161130c6b3262492	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	mpl.1k	\N	\N	131072	942172d8	21d8dfd2165b5ceb0399fdb53d9d0f51f1255803	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	spu.6b	\N	\N	131072	0221d4b2	65fd38b1cfaa6693d71248561d764a9ea1098c56	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	spl.4b	\N	\N	131072	288799e2	2c4bf0cf9c71458fff4dd77e426a76685d9e1bab	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	snd0.7c	\N	\N	131072	6a321e1e	b2e77cac4ed7609593fa5a462c9d78526451e477	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	sys2mcpu.bin	\N	\N	8192	a342a97e	2c420d34dba21e409bf78ddca710fc7de65a6642	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	sys2c65c.bin	\N	\N	32768	a5b2a4ff	068bdfcc71a5e83706e8b23330691973c1c214dc	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	gp0u.1j	\N	\N	131072	f5469a29	38b6ea1fbe482b69fbb0e2f44f44a0ca2a49f6bc	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	gp0l.3j	\N	\N	131072	5c18f596	215cbda62254e31b4ff6431623384df1639bfdb7	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	gp1u.1l	\N	\N	131072	146ab6b8	aefb89585bf311f8d33f18298fea326ef1f19f1e	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	gp1l.3l	\N	\N	131072	96c2463c	e43db580e7b454af04c22e894108fbb56da0eeb5	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	d0u.3a	\N	\N	131072	dcb27da5	ecd72397d10313fe8dcb8589bdc5d88d4298b26c	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	d0l.1a	\N	\N	131072	f692a8f3	4c29f60400b18d9ef0425de149618da6cf762ca4	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	d1u.3b	\N	\N	131072	ac2afd1b	510eb41931164b086c85ba0a86d6f10b88f5e534	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	d1l.1b	\N	\N	131072	ebb51af1	87b7b64ee662bf652add1e1199e42391d0e2f7e8	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	pt0u.8j	\N	\N	131072	abf512a6	e86288039d6c4dedfa95b11cb7e4b87637f90c09	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	pt0l.8d	\N	\N	131072	ac8d468c	d1b457a19a5d3259d0caf933f42b3a02b485867b	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	pt1u.8l	\N	\N	131072	7e5dab74	5bde219d5b4305d38d17b494b2e759f05d05329f	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	pt1l.8e	\N	\N	131072	38a54ec5	5c6017c98cae674868153ff2d64532027cf0ab83	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	gd0u.1p	\N	\N	262144	33f5a19b	b1dbd242168007f80e13e11c78b34abc1668883e	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	gd0l.3p	\N	\N	262144	9a29500e	c605f86b138e0a4c3163ffd967482e298a15fbe7	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	gd1u.1s	\N	\N	262144	17e5a61c	272ebd7daa56847f1887809535362331b5465dec	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	gd1l.3s	\N	\N	262144	64df59a2	1e9d0945b94780bb0be16803e767466d2cda07e8	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	avo1.11c	\N	\N	524288	9fb33af3	666630a8e5766ca4c3275961963c3e713dfdda2d	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun91	avo3.11e	\N	\N	524288	76e22f92	0e1b8d35a5b9c20cc3192d935f0c9da1e69679d2	\N	\N	\N	\N	\N	\N	
game	Mjolnir_v0.3.1	solvalou	\N	namcos21.c	\N	\N	\N	Solvalou (Japan)	1991	Namco	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1mpu.bin	\N	\N	131072	b6f92762	d177328b3da2ab0580e101478142bc8c373d6140	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1mpl.bin	\N	\N	131072	28c54c42	32fcca2eb4bb8ba8c2587b03d3cf59f072f7fac5	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1spu.bin	\N	\N	131072	ebd4bf82	67946360d680a675abcb3c131bac0502b2455573	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1spl.bin	\N	\N	131072	7acab679	764297c9601be99dbbffb75bbc6fe4a40ea38529	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1snd0.bin	\N	\N	131072	5e007864	94da2d51544c6127056beaa251353038646da15f	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sys2mcpu.bin	\N	\N	8192	a342a97e	2c420d34dba21e409bf78ddca710fc7de65a6642	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sys2c65c.bin	\N	\N	32768	a5b2a4ff	068bdfcc71a5e83706e8b23330691973c1c214dc	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	c67.bin	\N	\N	8192	6bd8988e	c9ec18d5f88d53976b94444eedc64d5568155958	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1obj0.bin	\N	\N	524288	773798bb	51ab76c95030bab834f1a74ae677b2f0afc18c52	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1obj4.bin	\N	\N	524288	33a008a7	4959a0ac24ad64f1367e2d8d63d39a0273c60f3e	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1obj1.bin	\N	\N	524288	a36d9e79	928d9995e97ee7509e23e6cc64f5e7bfb5c02d42	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1obj5.bin	\N	\N	524288	31551245	385452ea4830c466263ad5241313ac850dfef756	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1obj2.bin	\N	\N	524288	c8672b8a	8da037b27d2c2b178aab202781f162371458f788	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1obj6.bin	\N	\N	524288	fe319530	8f7e46c8f0b86c7515f6d763b795ce07d11c77bc	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1obj3.bin	\N	\N	524288	293ef1c5	f677883bfec16bbaeb0a01ac565d0e6cac679174	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1obj7.bin	\N	\N	524288	95ed6dcb	931706ce3fea630823ce0c79febec5eec0cc623d	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1du.bin	\N	\N	524288	2e561996	982158481e5649f21d5c2816fdc80cb725ed1419	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1dl.bin	\N	\N	524288	495fb8dd	813d1da4109652008d72b3bdb03032efc5c0c2d5	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1pt0h.bin	\N	\N	524288	3be21115	c9f30353c1216f64199f87cd34e787efd728e739	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1pt0u.bin	\N	\N	524288	4aacfc42	f0e179e057183b41744ca429764f44306f0ce9bf	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1pt0l.bin	\N	\N	524288	6a4dddff	9ed182d21d328c6a684ee6658a9dfcf3f3dd8646	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1voi0.bin	\N	\N	524288	7f61bbcf	b3b7e66e24d9cb16ebd139237c1e51f5d60c1585	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1voi1.bin	\N	\N	524288	c732e66c	14e75dd9bea4055f85eb2bcbf69cf6695a3f7ec4	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1voi2.bin	\N	\N	524288	51076298	ec52c9ae3029118f3ea3732948d6de28f5fba561	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	solvalou	sv1voi3.bin	\N	\N	524288	33085ff3	0a30b91618c250a5e7bd896a8ceeb3d16da178a9	\N	\N	\N	\N	\N	\N	
game	Mjolnir_v0.3.1	starblad	\N	namcos21.c	\N	\N	\N	Starblade	1991	Namco	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1_mpu.bin	\N	\N	524288	483a311c	dd9416b8d4b0f8b361630e312eac71c113064eae	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1_mpl.bin	\N	\N	524288	0a4dd661	fc2b71a255a8613693c4d1c79ddd57a6d396165a	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1_spu.bin	\N	\N	262144	9f9a55db	72bf5d6908cc57cc490fa2292b4993d796b2974d	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1_spl.bin	\N	\N	262144	acbe39c7	ca48b7ea619b1caaf590eed33001826ce7ef36d8	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1snd0.bin	\N	\N	131072	c0e934a3	678ed6705c6f494d7ecb801a4ef1b123b80979a5	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	sys2mcpu.bin	\N	\N	8192	a342a97e	2c420d34dba21e409bf78ddca710fc7de65a6642	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	sys2c65c.bin	\N	\N	32768	a5b2a4ff	068bdfcc71a5e83706e8b23330691973c1c214dc	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	c67.bin	\N	\N	8192	6bd8988e	c9ec18d5f88d53976b94444eedc64d5568155958	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1obj0.bin	\N	\N	524288	5d42c71e	f1aa2bb31bbbcdcac8e94334b1c78238cac1a0e7	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1obj1.bin	\N	\N	524288	c98011ad	bc34c21428e0ef5887051c0eb0fdef5397823a82	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1obj2.bin	\N	\N	524288	6cf5b608	c8537fbe97677c4c8a365b1cf86c4645db7a7d6b	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1obj3.bin	\N	\N	524288	cdc195bb	91443917a6982c286b6f15381d441d061aefb138	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1_du.bin	\N	\N	131072	2433e911	95f5f00d3bacda4996e055a443311fb9f9a5fe2f	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1_dl.bin	\N	\N	131072	4a2cc252	d9da9992bac878f8a1f5e84cc3c6d457b4705e8f	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1pt0h.bin	\N	\N	524288	84eb355f	89a248b8be2e0afcee29ba4c4c9cca65d5fb246a	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1pt0u.bin	\N	\N	524288	1956cd0a	7d21b3a59f742694de472c545a1f30c3d92e3390	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1pt0l.bin	\N	\N	524288	ff577049	1e1595174094e88d5788753d05ce296c1f7eca75	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1pt1h.bin	\N	\N	524288	96b1bd7d	55da7896dda2aa4c35501a55c8605a065b02aa17	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1pt1u.bin	\N	\N	524288	ecf21047	ddb13f5a2e7d192f0662fa420b49f89e1e991e66	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1pt1l.bin	\N	\N	524288	01cb0407	4b58860bbc353de8b4b8e83d12b919d9386846e8	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1voi0.bin	\N	\N	524288	5b3d43a9	cdc04f19dc91dca9fa88ba0c2fca72aa195a3694	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1voi1.bin	\N	\N	524288	413e6181	e827ec11f5755606affd2635718512aeac9354da	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1voi2.bin	\N	\N	524288	067d0720	a853b2d43027a46c5e707fc677afdaae00f450c7	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	starblad	st1voi3.bin	\N	\N	524288	8b5aa45f	e1214e639200758ad2045bde0368a2d500c1b84a	\N	\N	\N	\N	\N	\N	
game	Mjolnir_v0.3.1	driveyes	\N	namcos21.c	\N	\N	\N	Driver's Eyes	1987	Namco	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de2_mpub.3j	\N	\N	131072	f9c86fb5	b48d16e8f26e7a2cfecb30285b517c42e5585ac7	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de2_mplb.1j	\N	\N	131072	11d8587a	ecb1e8fe2ba56b6f6a71a5552d5663b597165786	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_spub.6c	\N	\N	131072	231b144f	42518614cb083455dc5fec71e699403907ca784b	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_splb.4c	\N	\N	131072	50cb9f59	aec7fa080854f0297d9e90e3aaeb0f332fd579bd	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_snd0r.8j	\N	\N	131072	7bbeda42	fe840cc9069758928492bbeec79acded18daafd9	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_snd0.8j	\N	\N	131072	5474f203	e0ae2f6978deb0c934d9311a334a6e36bb402aee	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	sys2mcpu.bin	\N	\N	8192	a342a97e	2c420d34dba21e409bf78ddca710fc7de65a6642	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	sys2c65c.bin	\N	\N	32768	a5b2a4ff	068bdfcc71a5e83706e8b23330691973c1c214dc	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_obj0.5s	\N	\N	262144	7438bd53	7619c4b56d5c466e845eb45e6157dcaf2a03ad94	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_obj4.4s	\N	\N	262144	335f0ea4	9ec065d99ad0874b262b372334179a7e7612558e	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_obj1.5x	\N	\N	262144	45f2334e	95f277a4e43d6662ae44d6b69a57f65c72978319	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_obj5.4x	\N	\N	262144	9e22999c	02624186c359b5e2c96cd3f0e2cb1598ea36dff7	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_obj2.3s	\N	\N	262144	8f1a542c	2cb59713607d8929815a9b28bf2a384b6a6c9db8	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_obj6.2s	\N	\N	262144	346df4d5	edbadb9db93b7f5a3b064c7f6acb77001cdacce2	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_obj3.3x	\N	\N	262144	fc94544c	6297445c64784ee253716f6438d98e5fcd4e7520	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_obj7.2x	\N	\N	262144	9ce325d7	de4d788bec14842507ed405244974b4fd4f07515	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_du.3a	\N	\N	524288	fe65d2ab	dbe962dda7efa60357fa3a684a265aaad49df5b5	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_dl.1a	\N	\N	524288	9bb37aca	7f5dffc95cadcf12f53ff7944920afc25ed3cf68	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1pt0ub.8j	\N	\N	131072	3b6b746d	40c992ef4cf5187b30aba42c5fe7ce0f8f02bee0	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1pt0lb.8d	\N	\N	131072	9c5c477e	c8ae8a663227d636d35bd5f432d23f05d6695942	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1pt1u.8l	\N	\N	131072	23bc72a1	083e2955ae2f88d1ad461517b47054d64375b46e	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1pt1l.8e	\N	\N	131072	a05ee081	1be4c61ad716abb809856e04d4bb450943706a55	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1pt2u.5n	\N	\N	131072	10e83d81	446fedc3b1e258a39fb9467e5327c9f9a9f1ac3f	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1pt2l.7n	\N	\N	131072	3339a976	c9eb9c04f7b3f2a85e5ab64ffb2fe4fcfb6c494b	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_voi0.12b	\N	\N	262144	fc44adbd	4268bb1f025e47a94212351d1c1cfd0e5029221f	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_voi1.12c	\N	\N	262144	a71dc55a	5e746184db9144ab4e3a97b20195b92b0f56c8cc	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_voi2.12d	\N	\N	262144	4d32879a	eae65f4b98cee9efe4e5dad7298c3717cfb1e6bf	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	driveyes	de1_voi3.12e	\N	\N	262144	e4832d18	0460c79d3942aab89a765b0bd8bbddaf19a6d682	\N	\N	\N	\N	\N	\N	
game	Mjolnir_v0.3.1	aircombj	\N	namcos21.c	\N	\N	\N	Air Combat (Japan)	1992	Namco	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	mpr-u.ac1	\N	\N	524288	a4dec813	2ee8b3492d30db4c841f695151880925a5e205e0	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	mpr-l.ac1	\N	\N	524288	8577b6a2	32194e392fbd051754be88eb8c90688c65c65d85	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	spr-u.ac1	\N	\N	131072	5810e219	c312ffd8324670897871b12d521779570dc0f580	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	spr-l.ac1	\N	\N	131072	175a7d6c	9e31dde6646cd9b6dcdbdb3f2326177508559e56	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	snd0.ac1	\N	\N	131072	5c1fb84b	20e4d81289dbe58ffcfc947251a6ff1cc1e36436	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	sys2mcpu.bin	\N	\N	8192	a342a97e	2c420d34dba21e409bf78ddca710fc7de65a6642	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	sys2c65c.bin	\N	\N	32768	a5b2a4ff	068bdfcc71a5e83706e8b23330691973c1c214dc	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	c67.bin	\N	\N	8192	6bd8988e	c9ec18d5f88d53976b94444eedc64d5568155958	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	obj0.ac1	\N	\N	524288	d2310c6a	9bb8fdfc2c232574777248f4959975f9a20e3105	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	obj4.ac1	\N	\N	524288	0c93b478	a92ffbcf04b64e0eee5bcf37008e247700641b25	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	obj1.ac1	\N	\N	524288	f5783a77	0be1815ceb4ce4fa7ab75ba588e090f20ee0cac9	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	obj5.ac1	\N	\N	524288	476aed15	0e53fdf02e8ffe7852a1fa8bd2f64d0e58f3dc09	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	obj2.ac1	\N	\N	524288	01343d5c	64171fed1d1f8682b3d70d3233ea017719f4cc63	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	obj6.ac1	\N	\N	524288	c67607b1	df64ea7920cf64271fe742d3d0a57f842ee61e8d	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	aircombj	obj3.ac1	\N	\N	524288	7717f52e	be1df3f4d0fdcaa5d3c81a724e5eb9d14136c6f5	\N	\N	\N	\N	\N	\N	
