game	HiVE_v1.04	amidar	\N	\N	\N	\N	\N	Amidar	1982	Konami (Stern license)	\N	\N	\N	
game_rom	HiVE_v1.04	arkanoid	a75_05.rom	\N	\N	32768	c76374e2	7520dd48de20db60a2038f134dcaa454988e7874	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	arkanoid	arkanoid.1	\N	\N	32768	6e0a2b6f	5227d7a944cb1e815f60ec87a67f7462870ff9fe	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	arkanoid	arkanoid.2	\N	\N	32768	5a97dd56	b71c7b5ced2b0eebbcc5996dd21a1bb1c2da4819	\N	\N	\N	\N	\N	\N	
game	HiVE_v1.04	astdelux	\N	\N	\N	\N	asteroid	Asteroids Deluxe	1980	Atari	\N	\N	\N	
game_rom	HiVE_v1.04	astdelux	036430.02	\N	\N	2048	a4d7a525	abe262193ec8e1981be36928e9a89a8ac95cd0ad	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	astdelux	036431.02	\N	\N	2048	d4004aae	aa2099b8fc62a79879efeea70ea1e9ed77e3e6f0	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	astdelux	036432.02	\N	\N	2048	6d720c41	198218cd2f43f8b83e4463b1f3a8aa49da5015e4	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	astdelux	036433.03	\N	\N	2048	0dcc0be6	bf10ffb0c4870e777d6b509cbede35db8bb6b0b8	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	astdelux	036799.01	\N	\N	2048	7d511572	1956a12bccb5d3a84ce0c1cc10c6ad7f64e30b40	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	astdelux	036800.02	\N	\N	2048	bb8cabe1	cebaa1b91b96e8b80f2b2c17c6fd31fa9f156386	\N	\N	\N	\N	\N	\N	
game_sample	HiVE_v1.04	astdelux	beep.sam	
game_sample	HiVE_v1.04	astdelux	explode1.sam	
game_sample	HiVE_v1.04	astdelux	explode2.sam	
game_sample	HiVE_v1.04	astdelux	explode3.sam	
game_sample	HiVE_v1.04	astdelux	thrust.sam	
game_sample	HiVE_v1.04	astdelux	thumphi.sam	
game_sample	HiVE_v1.04	astdelux	thumplo.sam	
game_sample	HiVE_v1.04	astdelux	fire.sam	
game_sample	HiVE_v1.04	astdelux	lsaucer.sam	
game_sample	HiVE_v1.04	astdelux	ssaucer.sam	
game_sample	HiVE_v1.04	astdelux	sfire.sam	
game_sample	HiVE_v1.04	astdelux	life.sam	
game	HiVE_v1.04	asteroid	\N	\N	\N	\N	\N	Asteroids	1979	Atari	\N	\N	\N	
game_rom	HiVE_v1.04	asteroid	035145.02	\N	\N	2048	0cc75459	2af85c9689b878155004da47fedbde5853a18723	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	asteroid	035144.02	\N	\N	2048	096ed35c	064d680ded7f30c543f93ae5ca85f90d550f73e5	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	asteroid	035143.02	\N	\N	2048	312caa02	1ce2eac1ab90b972e3f1fc3d250908f26328d6cb	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	asteroid	035127.02	\N	\N	2048	8b71fd9e	8cd5005e531eafa361d6b7e9eed159d164776c70	\N	\N	\N	\N	\N	\N	
game_sample	HiVE_v1.04	asteroid	beep.sam	
game_sample	HiVE_v1.04	asteroid	explode1.sam	
game_sample	HiVE_v1.04	asteroid	explode2.sam	
game_sample	HiVE_v1.04	asteroid	explode3.sam	
game_sample	HiVE_v1.04	asteroid	thrust.sam	
game_sample	HiVE_v1.04	asteroid	thumphi.sam	
game_sample	HiVE_v1.04	asteroid	thumplo.sam	
game_sample	HiVE_v1.04	asteroid	fire.sam	
game_sample	HiVE_v1.04	asteroid	lsaucer.sam	
game_sample	HiVE_v1.04	asteroid	ssaucer.sam	
game_sample	HiVE_v1.04	asteroid	sfire.sam	
game_sample	HiVE_v1.04	asteroid	life.sam	
game	HiVE_v1.04	astinvad	\N	\N	\N	\N	invaders	Astro Invader	1980	Stern	\N	\N	\N	
game_rom	HiVE_v1.04	astinvad	ai_cpu_1.rom	\N	\N	1024	20e3ec41	7e77fa3c51d1e83ce91a24808301d9f1e0bed18e	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	astinvad	ai_cpu_2.rom	\N	\N	1024	e8f1ab55	b3e38f2d6bdb65ee7c53c8d5dd3951a3fd43c51c	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	astinvad	ai_cpu_3.rom	\N	\N	1024	a0092553	34fced8ce06d912980ba45fad8d80d2a2e3357b9	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	astinvad	ai_cpu_4.rom	\N	\N	1024	be14185c	59ecf450682dab9840c891c18ccda1d5ec4cc954	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	astinvad	ai_cpu_5.rom	\N	\N	1024	fee681ec	b4b94f62e598030e6a432a0bb83d18d0e342aed9	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	astinvad	ai_cpu_6.rom	\N	\N	1024	eb338863	e841c6c5903dd6dee9ec2fedaff431f4a31d738a	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	astinvad	ai_cpu_7.rom	\N	\N	1024	16dcfea4	b6a0e206a604297f548ac4658664e98b2d04f75f	\N	\N	\N	\N	\N	\N	
game_sample	HiVE_v1.04	astinvad	0.sam	
game_sample	HiVE_v1.04	astinvad	1.sam	
game_sample	HiVE_v1.04	astinvad	2.sam	
game_sample	HiVE_v1.04	astinvad	3.sam	
game_sample	HiVE_v1.04	astinvad	4.sam	
game_sample	HiVE_v1.04	astinvad	5.sam	
game_sample	HiVE_v1.04	astinvad	6.sam	
game_sample	HiVE_v1.04	astinvad	7.sam	
game_sample	HiVE_v1.04	astinvad	8.sam	
game	HiVE_v1.04	bandido	\N	\N	\N	\N	\N	Bandido	1980	Exidy	\N	\N	\N	
game_rom	HiVE_v1.04	bandido	baf1-3	\N	\N	1024	aec94829	aa6d241670ea061bac4a71dff82dfa832095eae6	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	bandido	baf2-1	\N	\N	1024	da67721a	ee6a5fb98da1d1fcfad0ef27af300473a637f578	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	bandido	bag1-1	\N	\N	1024	3fb7888e	2c2d6b27d577d5ccf759e451e53c2e3314af40f6	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	bandido	bag2-1	\N	\N	1024	585fcfee	82f2abc14f893c092b80da45fc297fa5fb0890b5	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	bandido	bah1-1	\N	\N	1024	5cb63677	59a8e5f8b134bf44d3e5a1105a9346f0c5f9378e	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	bandido	bah2-1	\N	\N	1024	79e69a6a	1780ce77d7d9ddbf4aceabe0fcf079339837bbe1	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	bandido	bai1-1	\N	\N	1024	dda7d1e8	bd2a7388e81c71922b2e97d68be71359a75e8d37	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	bandido	bai2-1	\N	\N	1024	5c5f3f86	25c64ccb7d0e136f67d6e1da7927ae6d89e0ceb9	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	bandido	baj1-1	\N	\N	1024	0aa8b79a	aed139e8c8ba912823c57fe4cc7231b2d638f479	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	bandido	baj2-2	\N	\N	1024	a10b848a	c045f1f6a11cbf49a1bae06c701b659d587292a3	\N	\N	\N	\N	\N	\N	
game	HiVE_v1.04	crush	\N	\N	\N	\N	\N	Crush Roller	1981	Kural Samno Electric	\N	\N	\N	
game_rom	HiVE_v1.04	crush	cr1	\N	\N	2048	f276592e	68ebb7d9f70af868d99ec42c26bc55a54ba1f22c	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	cr2	\N	\N	2048	25f42e70	66de8203c364fd90e8a2b5749c2e40665b2f5830	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	cr3	\N	\N	2048	8377b4cb	f828a177f22db9093a00c31e39e16214ce0dc6de	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	cr4	\N	\N	2048	90b28fa3	ff58d2dfb016397daabe2996bc3a7b63d28a4cca	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	cr5	\N	\N	2048	3d302abe	8ca5cd82d099b55e20f785489158231a1d99a430	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	cr6	\N	\N	2048	98279cbe	84b5e64bdbc25afab9b6f53e1719640e21a6feba	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	cr7	\N	\N	2048	d8e76c8c	7c3d7eb07b9256130141f71eba722f7823fd4c32	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	cr8	\N	\N	2048	10854e1b	b3b9066d9a43796185c00ae12f7bb2bbf42e3a07	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	cra	\N	\N	2048	c7617198	95b204af0345163f93811cc770ee0ca2851a39c1	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	crb	\N	\N	2048	d1899f05	dce755511b6262b984a2bca329f454892e486a09	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	crc	\N	\N	2048	e129d76a	c9256795c6d0929ade1f24b372dadc2a2b88d897	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	crd	\N	\N	2048	d35d1caf	65dd7861e05651485626465dc97215fed58db551	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	crush	crush.1m	\N	\N	256	a9cc86bf	bbcec0570aeceb582ff8238a4bc8546a23430081	\N	\N	\N	\N	\N	\N	
game	HiVE_v1.04	defender	\N	\N	\N	\N	\N	Defender	1980	Williams	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.1	\N	\N	2048	c3e52d7e	a57f5278ffe44248fc73f9925d107f4024ad981a	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.10	\N	\N	2048	a543b167	9292b94b0d74e57e03aada4852ad1997c34122ff	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.11	\N	\N	2048	9deaf6d9	59b018ba0f3fe6eadfd387dc180ac281460358bc	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.12	\N	\N	2048	f1f88938	26e48dfeefa0766837b1e762695b9532dbc8bc5e	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.2	\N	\N	4096	89b75984	a9481478da38f99efb67f0ecf82d084e14b93b42	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.3	\N	\N	4096	94f51e9b	a24cfc55de56a72758c76fe2a55f1ec6c353b16f	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.4	\N	\N	2048	9a72348b	ed6ce796702ff32209ced3cb1ba3837dbafa526f	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.6	\N	\N	2048	65f4efd1	a960fd1559ed74b81deba434391e49fc6ec389ca	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.7	\N	\N	2048	339e092e	2f89951dbe55d80df43df8dcf497171f73e726d3	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.8	\N	\N	2048	b649e306	9d7bc3c89e5a53c575946f06702c722b864b1ff0	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.9	\N	\N	2048	6870e8a5	67ccc194b1753a18af0c85f5e603355549c4f727	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	defender	defend.snd	\N	\N	2048	fefd5b48	ceb0d18483f0691978c604db94417e6941ad7ff2	\N	\N	\N	\N	\N	\N	
game	HiVE_v1.04	digdug	\N	\N	\N	\N	\N	Dig Dug (Atari)	1982	Namco	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	digdug.spr	\N	\N	256	7a2815b4	085ada18c498fdb18ecedef0ea8fe9217edb7b46	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.101	\N	\N	4096	b9198079	1d3fe04020f584ed250e32fdc6f6a3b769342884	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.102	\N	\N	4096	b2acbe49	c8f713e8cfa70d3bc64d3002ff7bffc65ee138e2	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.103	\N	\N	4096	d6407b49	0e71a8f02778286488865e20439776dbb2a8ec78	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.116	\N	\N	4096	e22957c8	4700c63f4f680cb8ab8c44e6f3e1712aabd5daa4	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.118	\N	\N	4096	458499e9	578bd839f9218c3cf4feee1223a461144e455df8	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.119	\N	\N	4096	c58252a0	bd79e39e8a572d2b5c205e6de27ca23e43ec9f51	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.107	\N	\N	4096	a41bce72	2b9b74f56aa7939d9d47cf29497ae11f10d78598	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.105	\N	\N	4096	0a2aef4a	ef40974fde8e8c305059e1dd03ea811a6aaca737	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.104	\N	\N	4096	b3ad42c3	83ea80f0dd42ec1cb62e6ed45d5dda43ed21f567	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.106	\N	\N	4096	a2876d6e	08e8ac50918ae32dd6fb34e65534652beb0395b2	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.115	\N	\N	4096	754539be	466ae754eb4721df8814d4d33a31d867507d45b3	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.108	\N	\N	2048	3d24a3af	857ae93e2a41258a129dcecbaed2df359540b735	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.114	\N	\N	4096	d6822397	055ca6514141323f1e6dfcf91451507c04114d41	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug	136007.117	\N	\N	4096	a3bbfd85	2105455762e0de120f2d943f9010a7d06c6b6448	\N	\N	\N	\N	\N	\N	
game	HiVE_v1.04	digdug2	\N	\N	\N	\N	\N	Dig Dug 2	1985	Namco	\N	\N	\N	
game_rom	HiVE_v1.04	digdug2	ddsnd.bin	\N	\N	256	e0074ee2	f4f02977130110be52f4dd82fc3c0d02f45778b9	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug2	ddug2-1.bin	\N	\N	16384	5c77c0d4	56709e5db1686fd996d21c1005accf34e2d863e1	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug2	ddug2-3.bin	\N	\N	16384	be7ec80b	a053274ffbf3200e9b89a8be1bd91744acb4a823	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug2	ddug2-4.bin	\N	\N	8192	737443b1	0e46204089cc6e5ffab0d2a62f9a1728f8c35948	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug2	ddug2-3b.bin	\N	\N	4096	afcb4509	c9a54df22b0b92efbe7417a00200587225906b46	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug2	ddug2-3m.bin	\N	\N	16384	df1f4ad8	004fba630018dbf03c4b0e284c98077e19fface3	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	digdug2	ddug2-3n.bin	\N	\N	16384	ccadb3ea	77d8d8e6039272f73e63c8f76084138ec613365a	\N	\N	\N	\N	\N	\N	
game	HiVE_v1.04	dkong	\N	\N	\N	\N	\N	Donkey Kong	1981	Nintendo of America	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.3n	\N	\N	2048	12c8c95d	a57ff5a231c45252a63b354137c920a1379b70a3	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.3p	\N	\N	2048	15e9c5e9	976eb1e18c74018193a35aa86cff482ebfc5cc4e	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.5a	\N	\N	4096	b9005ac0	3fe3599f6fa7c496f782053ddf7bacb453d197c4	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.5b	\N	\N	4096	1c97d324	c7966261f3a1d3296927e0b6ee1c58039fc53c1f	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.5c	\N	\N	4096	5ec461ec	acb11a8fbdbb3ab46068385fe465f681e3c824bd	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.5e	\N	\N	4096	ba70b88b	d76ebecfea1af098d843ee7e578e480cd658ac1a	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.7c	\N	\N	2048	59f8054d	793dba9bf5a5fe76328acdfb90815c243d2a65f1	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.7d	\N	\N	2048	672e4714	92e5d379f4838ac1fa44d448ce7d142dae42102f	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.7e	\N	\N	2048	feaa59ee	ecf95db5a20098804fc8bd59232c66e2e0ed3db4	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.7f	\N	\N	2048	20f2ef7e	3bc482a38bf579033f50082748ee95205b0f673d	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.3h	\N	\N	2048	45a4ed06	144d24464c1f9f01894eb12f846952290e6e32ef	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkong	dk.3f	\N	\N	2048	4743fe92	6c82b57637c0212a580591397e6a5a1718f19fd2	\N	\N	\N	\N	\N	\N	
game	HiVE_v1.04	dkongjr	\N	\N	\N	\N	\N	Donkey Kong Jr.	1982	Nintendo of America	\N	\N	\N	
game_rom	HiVE_v1.04	dkongjr	dkj.3h	\N	\N	4096	715da5f8	f708c3fd374da65cbd9fe2e191152f5d865414a0	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkongjr	dkj.7f	\N	\N	2048	0f8c083f	0b688ae9da296b2447fffa5e135fd6a56ec3e790	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkongjr	dkj.7e	\N	\N	2048	24d1ff17	696854bf3dc5447d33b4815db357e6ce3834d867	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkongjr	dkj.7d	\N	\N	2048	0ce7dcf6	0654b77526c49f0dfa077ac4f1f69cf5cb2e2f64	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkongjr	dkj.7c	\N	\N	2048	dc7f4164	07a6242e95b5c3b8dfdcd4b4950f463dba16dd77	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkongjr	dkj.5e	\N	\N	8192	d042b6a8	57ac237d273496b44220b4437118115ef11dbd9f	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkongjr	dkj.5c	\N	\N	8192	6fb5faf6	ce1cfde71a9e2a8b5896a6301d386f72869a1d2e	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkongjr	dkj.5b	\N	\N	8192	dea28158	08baf84ae6f9b40a2c743fe1d8c158c74a40e95a	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkongjr	dkj.3p	\N	\N	4096	4ef64ba5	41a7a4005087951f57f62c9751d62a8c495e6bb3	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	dkongjr	dkj.3n	\N	\N	4096	8d51aca9	64887564b079d98e98aafa53835e398f34fe4e3f	\N	\N	\N	\N	\N	\N	
game	HiVE_v1.04	frogsega	\N	\N	\N	\N	\N	Frogger (Sega)	1981	[Konami] (Sega license)	\N	\N	\N	
game_rom	HiVE_v1.04	frogsega	frogger.606	\N	\N	2048	f524ee30	dd768967add61467baa08d5929001f157d6cd911	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	frogsega	frogger.607	\N	\N	2048	05f7d883	78831fd287da18928651a8adb7e578d291493eff	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	frogsega	frogger.608	\N	\N	2048	e8ab0256	f090afcfacf5f13cdfa0dfda8e3feb868c6ce8bc	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	frogsega	frogger.609	\N	\N	2048	7380a48f	75582a94b696062cbdb66a4c5cf0bc0bb94f81ee	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	frogsega	frogger.610	\N	\N	2048	31d7eb27	2e1d34ae4da385fd7cac94707d25eeddf4604e1a	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	frogsega	pr-91.6l	\N	\N	32	413703bf	66648b2b28d3dcbda5bdb2605d1977428939dd3c	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	frogsega	frogger.26	\N	\N	4096	597696d6	e7e021776cad00f095a1ebbef407b7c0a8f5d835	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	frogsega	frogger.27	\N	\N	4096	b6e6fcc3	5e8692f2b0c7f4b3642b3ee6670e1c3b20029cdc	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	frogsega	frogger.34	\N	\N	4096	ed866bab	24e1bbde44eb5480b7a0570fa0dc1de388cb95ba	\N	\N	\N	\N	\N	\N	
game	HiVE_v1.04	galaga	\N	\N	\N	\N	\N	Galaga (Midway)	1981	[Namco] (Midway license)	\N	\N	\N	
game_rom	HiVE_v1.04	galaga	1d.bin	\N	\N	256	86d92b24	6bef9102b97c83025a2cf84e89d95f2d44c3d2ed	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga	3200a.bin	\N	\N	4096	3ef0b053	0c04a362b737998c0952a753fb3fd8c8a17e9b46	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga	3300b.bin	\N	\N	4096	1b280831	f7ea12e61929717ebe43a4198a97f109845a2c62	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga	3400c.bin	\N	\N	4096	16233d33	a7eb799be5e23058754a92b15e6527bfbb47a354	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga	3500d.bin	\N	\N	4096	0aaf5c23	3f4b0bb960bf002261e9c1278c88f594c6aa8ab6	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga	3600e.bin	\N	\N	4096	bc556e76	0d3d68243c4571d985b4d8f7e0ea9f6fcffa2116	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga	3700g.bin	\N	\N	4096	b07f0aa4	7528644a8480d0be2d0d37069515ed319e94778f	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga	07e_g10.bin	\N	\N	4096	ad447c80	e697c180178cabd1d32483c5d8889a40633f7857	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga	07h_g09.bin	\N	\N	4096	dd6f1afc	c340ed8c25e0979629a9a1730edc762bd72d0cff	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga	07m_g08.bin	\N	\N	4096	58b2f47c	62f1279a784ab2f8218c4137c7accda00e6a3490	\N	\N	\N	\N	\N	\N	
game_sample	HiVE_v1.04	galaga	bang.sam	
game	HiVE_v1.04	galaga3	\N	\N	\N	\N	galaga	Galaga3	1984	Namco	\N	\N	\N	
game_rom	HiVE_v1.04	galaga3	g3_1c.bin	\N	\N	256	a5091352	dcd6dfbfbd5281ba0c7b7c189d6fde23617ed3e3	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga3	g3_1d.bin	\N	\N	256	8bc8022a	c76f9d9b066e268621d41a703c5280261234709a	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga3	g3_2d.bin	\N	\N	256	8dabc20b	64d7b333f529d3ba66aeefd380fd1cbf9ddf460d	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga3	g3_3e.bin	\N	\N	512	417ba0dc	2ba51ccdd0428fc48758ed8fea36c8ce0e752a45	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	galaga3	g3_3f.bin	\N	\N	512	d48c0eef	6d0512958bc522d22e69336677369507847f8f6f	\N	\N	\N	\N	\N	\N	
