game	Callus_v0.42	1941	\N	\N	\N	\N	\N	1941 - Counter Attack	1990	Capcom	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4123.bin	\N	\N	65536	0f9d8527	3a00dd5772f38081fde11d8d61ba467379e2a636	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4124.bin	\N	\N	131072	5aa43cee	15e1aa2fee8deb25eefba067395961fee3e4c84d	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4125.bin	\N	\N	131072	94add360	6f3542f028bdc453d0254de599b124240ea98259	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4130.bin	\N	\N	131072	d1f15aeb	88089383f2d54fc97026a67f067d448eee5bd0c2	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4131.bin	\N	\N	131072	15aec3a6	8153c03aba005bab62bf0e8b3d15ec1c346326fd	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4132.bin	\N	\N	131072	f0168249	1ce2330ea4460e7e72f16a1f7edbfa8abba6b5a0	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4133.bin	\N	\N	131072	7a31b0e2	f2eca12f4e89266d923a94d0837c555bc1c6cb29	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4134.bin	\N	\N	131072	b5f341ec	95c740332e9e05250979a098e951600ca89cfde4	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4135.bin	\N	\N	131072	95cc979a	96a22d2accdcd1ed3829ab0e1f17c1615f8bb2a9	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4136.bin	\N	\N	131072	7fbd42ab	4e52a599e3099bf3cccabb89152c69f216fde79e	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4137.bin	\N	\N	131072	c6464b0b	abef422d891d32334a858d49599f1ef7cf0db45d	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4138.bin	\N	\N	131072	8889c0aa	23b74cc78fe1057c1776ea1f7371801441125a85	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4139.bin	\N	\N	131072	5b5c3949	485b1baecee6bb9a6667baf404375fc758bdfb76	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4140.bin	\N	\N	131072	3979837d	e35bca5cd6f7559447c553c7866a3934080ca018	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4141.bin	\N	\N	131072	57496819	fe705a25a2c6523c3bc0105f4b183931c5ffcc81	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4142.bin	\N	\N	131072	c7781f89	7e99c433de0c903791ae153a3cc8632042b0a90d	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4143.bin	\N	\N	131072	440fc0b5	e725535533c25a2c80a45a2200bbfd0dcda5ed97	\N	\N	\N	\N	\N	\N	
game	Callus_v0.42	area88	\N	\N	\N	\N	\N	Area 88 (Japan)	1989	Capcom	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar01.bin	\N	\N	131072	392151b4	ba3c69d852f750b43d8b4b2b58fcb7977cc0e5de	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar02.bin	\N	\N	131072	bac5dec5	e69f5c4e5c07db46f088d3eabfd394e7d639fea0	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar05.bin	\N	\N	131072	e246ed9f	aaaad5c81bf7c4ec4b2339fd8f0364096c86e903	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar06.bin	\N	\N	131072	c8f04223	c96eba0ce53e8505668dc646344e5b2456d60546	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar09.bin	\N	\N	131072	db9376f8	501fc5543c66509f8fc1075c128fb01606ced2ad	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar10.bin	\N	\N	131072	4219b622	ecfc47687b466893b9c8587224830d600c754d17	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar13.bin	\N	\N	131072	81436481	85ceba63382959f7084bacb6aedcef80ddd8ad6b	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar14.bin	\N	\N	131072	e6bae179	31af958dedce5fcc1a7c159f96af4a3a1a4651fb	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar17.bin	\N	\N	131072	0b8e0df4	ac8ab79e7237b72df9f42292a0c58aa56effe3a1	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar18.bin	\N	\N	131072	9336db6a	1704d6f0de08ed283c26ee0bcbb82a838060fe70	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar23.bin	\N	\N	65536	f3dd1367	09eef72e862ac6b1a5cce5a45938b45bf4e456ad	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar24.bin	\N	\N	131072	9cd6e2a3	186e756af496b0fb5b65cf7a106fe32c78d542c9	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar25.bin	\N	\N	131072	15ccf981	2dd7a2d573089aa70b33586d6d9e6b8d816bd28e	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar30.bin	\N	\N	131072	584b43a9	7820815c8c67d484baf2fdad7e55d8c14b98b860	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar32.bin	\N	\N	131072	db6acdcf	5842e29a0e29b4869b2c34a5f47f64c1a1f4609a	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar33.bin	\N	\N	131072	3968f4b5	42722c61c4b514b15f1594fdad688375e2c51e71	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar34.bin	\N	\N	131072	f6e80386	462c1e9981b733df03e4d084df2d1fc58cf2022c	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar35.bin	\N	\N	131072	86d98ff3	18137974fb7812b45f0d93e584ed14d0af2e6a3e	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar36.bin	\N	\N	131072	65030392	d9dea5cfde28345716b0e519ee033c475be0454b	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar37.bin	\N	\N	131072	33e9694b	90db3052ac2ff859ede8473dd13e0f5be148590c	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar38.bin	\N	\N	131072	8b9e75b9	eeeaa8f84167f7e8127b90318f052fe5e00c36ac	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar39.bin	\N	\N	131072	9b8e1363	f830834305248446235cc6b17b17f7f0dd6baa03	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar40.bin	\N	\N	131072	be36c145	9ada7ac7361ff8871e2ae61f75e4e5d98936cdc3	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar41.bin	\N	\N	131072	758893d3	1245bfd35b0f12bd701cd28c9ce2e85e166a4de2	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar42.bin	\N	\N	131072	c48170de	e968522dbdd217dd8e4cd6aaeaef801c63488c1d	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	area88	ar43.bin	\N	\N	131072	7cc8fb9e	f70118d1a368fd4795d9953c55d283305d1f9630	\N	\N	\N	\N	\N	\N	
game	Callus_v0.42	captcomj	\N	\N	\N	\N	\N	Captain Commando (91/12/02 - Japan)	1991	Capcom	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc01.bin	\N	\N	524288	7261d8ba	4b66292e42d20d0b79a756f0e445492ddb9c6bbc	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc02.bin	\N	\N	524288	6a60f949	87391ff92abaf3e451f70d789a938cffbd1fd222	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc03.bin	\N	\N	524288	00637302	2c554b59cceec2de67a9a4bc6281fe846d3c8cd2	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc04.bin	\N	\N	524288	cc87cf61	7fb1f49494cc1a08aded20754bb0cefb1c323198	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc05.bin	\N	\N	524288	28718bed	dfdc4dd14dc609783bad94d608a9e9b137dea944	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc06.bin	\N	\N	524288	d4acc53a	d03282ebbde362e679cc97f772aa9baf163d7606	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc07.bin	\N	\N	524288	0c69f151	a170b8e568439e4a26d84376d53560e4248e4e2f	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc08.bin	\N	\N	524288	1f9ebb97	023d00cb7b6a52d1b29e2052abe08ef34cb0c55c	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc09.bin	\N	\N	65536	698e8b58	b7a3d905a7ed2c430426ca2e185e3d7e75e752a1	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc18.bin	\N	\N	131072	6de2c2db	9a1eaba8d104f59a5e61f89679bb5de0c0c64364	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc19.bin	\N	\N	131072	b99091ae	b19197c7ad3aeaf5f41c26bf853b0c9b502ecfca	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc22.bin	\N	\N	524288	0fd34195	fb2b9a53af43507f13c4f94eaebbf0b538b2e754	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc23.bin	\N	\N	524288	5b482b62	c871aa1eb9ecc117c3079995d1f5212193bd2e12	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc24.bin	\N	\N	131072	3a794f25	7f3722a4ef0c1d7acb73e6bac9dd6ae7b35e6374	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomj	cc28.bin	\N	\N	131072	fc3c2906	621c3b79b6fdea1665bb316eb539e5916e890656	\N	\N	\N	\N	\N	\N	
game	Callus_v0.42	captcomm	\N	\N	\N	\N	\N	Captain Commando (91/10/14 - Other Country)	1991	Capcom	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	cce_23d.rom	\N	\N	524288	19c58ece	6e23e87db29b2c5698b7cead99d1106a2e190648	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	cc_09.rom	\N	\N	65536	698e8b58	b7a3d905a7ed2c430426ca2e185e3d7e75e752a1	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	cc_18.rom	\N	\N	131072	6de2c2db	9a1eaba8d104f59a5e61f89679bb5de0c0c64364	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	cc_19.rom	\N	\N	131072	b99091ae	b19197c7ad3aeaf5f41c26bf853b0c9b502ecfca	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	cc_22d.rom	\N	\N	524288	a91949b7	c027af89cd8f6bd3aaed61114582322c42e0c74f	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	cc_24d.rom	\N	\N	131072	680e543f	cfa963ab6329f615807db213bf53841860ed3149	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	cc_28d.rom	\N	\N	131072	8820039f	d68ce0b34ade75b8c5214168b2b1e0cdff45cd52	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	gfx_01.rom	\N	\N	524288	7261d8ba	4b66292e42d20d0b79a756f0e445492ddb9c6bbc	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	gfx_02.rom	\N	\N	524288	00637302	2c554b59cceec2de67a9a4bc6281fe846d3c8cd2	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	gfx_03.rom	\N	\N	524288	6a60f949	87391ff92abaf3e451f70d789a938cffbd1fd222	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	gfx_04.rom	\N	\N	524288	cc87cf61	7fb1f49494cc1a08aded20754bb0cefb1c323198	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	gfx_05.rom	\N	\N	524288	28718bed	dfdc4dd14dc609783bad94d608a9e9b137dea944	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	gfx_06.rom	\N	\N	524288	0c69f151	a170b8e568439e4a26d84376d53560e4248e4e2f	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	gfx_07.rom	\N	\N	524288	d4acc53a	d03282ebbde362e679cc97f772aa9baf163d7606	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	captcomm	gfx_08.rom	\N	\N	524288	1f9ebb97	023d00cb7b6a52d1b29e2052abe08ef34cb0c55c	\N	\N	\N	\N	\N	\N	
game	Callus_v0.42	cawing	\N	\N	\N	\N	\N	U.S Navy ((Carrier Air Wing) - 90/10/12 - ETC)	1990	Capcom	\N	\N	\N	
game_rom	Callus_v0.42	cawing	cae_30a.rom	\N	\N	131072	91fceacd	4845999a96fee829264346ca399fdd64a8408001	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawing	cae_31a.rom	\N	\N	131072	e5b75caf	4d04220c78620867b7598deea5685bbe88298ae6	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawing	cae_35a.rom	\N	\N	131072	3ef03083	297dfc9ec1e0f07d6083bf5efaa0de8d0fb361fa	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawing	cae_36a.rom	\N	\N	131072	c73fd713	fa202c252b2cc5972d42d634c466d89cf8b5d178	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawing	ca_18.rom	\N	\N	131072	4a613a2c	06e10644fc60925b85d2ca0888c9fa057bfe996a	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawing	ca_19.rom	\N	\N	131072	74584493	5cfb15f1b9729323707972646313aee8ab3ac4eb	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawing	ca_32.rom	\N	\N	524288	0c4837d4	1c61958b43066b59d86eb4bae0b52c3109be4b07	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawing	ca_9.rom	\N	\N	65536	96fe7485	10466889dfc6bc8afd3075385e241a16372efbeb	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawing	ca_gfx1.rom	\N	\N	524288	4d0620fd	5f62cd551b6a230edefd81fa60c10c84186ca804	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawing	ca_gfx3.rom	\N	\N	524288	0b0341c3	c31f0e78f49d94ea9dea20eb0cbd98a6c613bcbf	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawing	ca_gfx5.rom	\N	\N	524288	66d4cc37	d355ea64ff29d228dcbfeee72bcf11882bf1cd9d	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawing	ca_gfx7.rom	\N	\N	524288	b6f896f2	bdb6820b81fbce77d7eacb01777af7c380490402	\N	\N	\N	\N	\N	\N	
game	Callus_v0.42	cawingj	\N	\N	\N	\N	\N	U.S Navy ((Carrier Air Wing) - 90/10/12 - Japan)	1990	Capcom	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj-s.bin	\N	\N	65536	96fe7485	10466889dfc6bc8afd3075385e241a16372efbeb	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj01.bin	\N	\N	131072	1002d0b8	896bec683c1164c6f1fa1d81cadb8a1c549d4a4e	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj02.bin	\N	\N	131072	125b018d	edb3271f668e0328efd59e0929ee86efd5aa7b1f	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj05.bin	\N	\N	131072	207373d7	4fa67c847f65e2657900f4fc93f1d8a7b95c12e6	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj06.bin	\N	\N	131072	cf80e164	d83573947fec01a9814919df719474aa3e6ae9a0	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj09.bin	\N	\N	131072	41b0f9a6	5a59df64d0c665d5d479ef2d9e7ec191ca0e7a92	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj10.bin	\N	\N	131072	bf8a5f52	8cdd31a58de560d282e708c57cda0fefa7d6c92f	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj13.bin	\N	\N	131072	6f3948b2	942d37b84c727074941316b042679110594ae249	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj14.bin	\N	\N	131072	8458e7d7	7ebe0a3597a7d8482c2d33640ed1b994fd3a02b2	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj17.bin	\N	\N	131072	540f2fd8	4f500c7795aa41d472c59d2594fc84f6b17ed137	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj18.bin	\N	\N	131072	29c1d4b1	d0109ab2f521786a64548910947ca24976ec1218	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj24.bin	\N	\N	131072	e356aad7	55f1489044e70a57ad15e1f2c20567bd6c770f71	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj25.bin	\N	\N	131072	cdd0204d	7cbc129bc148718f8c36e27f05583cdecc57b63e	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj30.bin	\N	\N	131072	4a613a2c	06e10644fc60925b85d2ca0888c9fa057bfe996a	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj31.bin	\N	\N	131072	74584493	5cfb15f1b9729323707972646313aee8ab3ac4eb	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj32.bin	\N	\N	131072	9b5836b3	3fda5409d99104f355fa42ec413ccb799d1506c9	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj33.bin	\N	\N	131072	dde3891f	25b8069a9c8615323b94157b1ce39805559b68f4	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj34.bin	\N	\N	131072	51ea57f4	7d7080dbf4b6f9b801b796937e9c3c45afed602f	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj35.bin	\N	\N	131072	01d71973	1f5fc0d47f1456a6338284f883dabc89697f8aa5	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj36a.bin	\N	\N	131072	91fceacd	4845999a96fee829264346ca399fdd64a8408001	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj37a.bin	\N	\N	131072	e5b75caf	4d04220c78620867b7598deea5685bbe88298ae6	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj38.bin	\N	\N	131072	2464d4ab	092864551e7c1c6adbeb901a556f650ccf6ca2f4	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj39.bin	\N	\N	131072	eea23b67	79d35c15b4b4430d90cd6c270cdd3a064bc2e1a3	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj40.bin	\N	\N	131072	2ab71ae1	23814b58322902b23c4bdd744e60d819811462cc	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj41.bin	\N	\N	131072	3a43b538	474a701500632cbd395ae404ede1d10a9969b342	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj42a.bin	\N	\N	131072	039f8362	3fc7a642ddeaf94abdfdd5788a4b3c3b1f1b4c5e	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	cawingj	caj43a.bin	\N	\N	131072	c73fd713	fa202c252b2cc5972d42d634c466d89cf8b5d178	\N	\N	\N	\N	\N	\N	
game	Callus_v0.42	chikij	\N	\N	\N	\N	\N	Chiki Chiki Boys ((Mega Twins) - 90/06/19 - Japan)	1990	Capcom	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch13.bin	\N	\N	131072	12a7a8ba	22eaa1c667213a37b2c700c5c80dbf9cb81b9f5f	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch25.bin	\N	\N	131072	1dfcbac5	a7e419326a4bb7062c5bc7d0b3194b96e00a92d0	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch33.bin	\N	\N	131072	30dc5ded	34a7a6f9aa61ce47116d63c2feb7ea8a427b93e0	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch32.bin	\N	\N	131072	317d27b0	5d8a3ab24fcf65b30e1c0affd80301e29e3bf208	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch14.bin	\N	\N	131072	4012ec4b	041e08e1f407528da84b973d16c5f64f02bd14fe	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	chj37a.bin	\N	\N	131072	46d2cf7b	5cb7ed3003d89a08882d4dcd326c8fd9430f0eac	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	chj42a.bin	\N	\N	131072	4ae13503	c47db0445e107ad4fb62b74e277a7dc2b4d9b7ea	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch23.bin	\N	\N	65536	4d4255b7	81a76b58043af7252a854b7efc4109957ef0e679	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch18.bin	\N	\N	131072	516a34d1	6516fa19d251898c6f55ab0fda760fc5404bef06	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch09.bin	\N	\N	131072	567ab3ca	b3d1531d9307285fcecff937dce0bed7ce9e4253	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch34.bin	\N	\N	131072	609ed2f9	869924ff1bc78ac4b50bcfd37a8e76820a9fddf1	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch05.bin	\N	\N	131072	6c1afb9a	cef28a63550c6ec3fe7cd7ec478a7fb726df4e27	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch38.bin	\N	\N	131072	6e5c8cb6	438b897c14dccc0a185032b1ae2b93d71eed305a	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch02.bin	\N	\N	131072	7c8c88fb	29d1e5d6780b7d6875efff6b086fd03bef779df7	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch01.bin	\N	\N	131072	7f3b7b56	cf78c3122628aa0e14f7b5017429aee35e9b266d	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch06.bin	\N	\N	131072	81884b2b	1e4682183c167c95b2fb3986887c31d3e8911484	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch39.bin	\N	\N	131072	872fb2a4	1f5d12b78100dfba7f6c9a076f7923811467aa2b	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	chikij	ch41.bin	\N	\N	131072	8ad96155	673a5b5eb7330fbbc02aabcdb164efea193613a3	\N	\N	\N	\N	\N	\N	
