game	Demul_v0.4.3	naomi	no	\N	\N	\N	\N	Naomi Bios	1998	Sega	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	epr-21578a.bin	epr-21578a.bin	\N	2097152	6c9aad83	555918de76d8dbee2a97d8a95297ef694b3e803f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	epr-22851.bin	epr-22851.bin	\N	2097152	62483677	3e3bcacf5f972c376b569f45307ee7fd0b5031b7	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	epr-21578d.bin	epr-21578d.bin	\N	2097152	dfd5f42a	614a0db4743a5e5a206190d6786ade24325afbfd	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	epr-21576g.bin	epr-21576g.bin	\N	2097152	d2a1c6bf	6d27d71aec4dfba98f66316ae74a1426d567698a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	epr-21577e.bin	epr-21577e.bin	\N	2097152	cf36e97b	b085305982e7572e58b03a9d35f17ae319c3bbc6	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	epr-21578e.bin	epr-21578e.bin	\N	2097152	087f09a3	0418eb2cf9766f0b1b874a4e92528779e22c0a4a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	dcnaodev.bios	dcnaodev.bios	\N	524288	7a50fab9	ef79f448e0bf735d1264ad4f051d24178822110f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	epr-21577d.bin	epr-21577d.bin	\N	2097152	60ddcbbe	58b15096d269d6df617ca1810b66b47deb184958	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	epr-21330.bin	epr-21330.bin	\N	2097152	9e3bfa1b	b539d38c767b0551b8e7956c1ff795de8bbe2fbc	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	epr-21331.bin	epr-21331.bin	\N	2097152	065f8500	49a3881e8d76f952ef5e887200d77b4a415d47fe	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	epr23428a.22	\N	\N	4194304	d628dbce	91ec1296ead572a64c37f8ac2c1a96742f19d50b	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	mpr23420.1	\N	\N	8388608	9d5991f2	c75871db314b01935d1daaacf1a762e73e5fd411	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	mpr23421.2	\N	\N	8388608	6c351db3	cdd601321a38fc34152517abdc473b73a4c6f630	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	mpr23422.3	\N	\N	8388608	a1d4bd29	6c446fd1819f55412351f15cf57b769c0c56c1db	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	mpr23423.4	\N	\N	8388608	08cbf373	0d9a593f5cc5d632d85d7253c135eef2e8e01598	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	mpr23424.5	\N	\N	8388608	f4404000	e49d941e47e63bb7f3fddc3c3d2c1653611914ee	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	mpr23425.6	\N	\N	8388608	47f51da2	af5ecd460114caed3a00157ffd3a2df0fbf348c0	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	mpr23426.7	\N	\N	8388608	7f91b13f	2d534f77291ebfedc011bf0e803a1b9243fb477f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	csmash	mpr23427.8	\N	\N	8388608	5851d525	1cb1073542d75a3bcc0d363ed31d49bcaf1fd494	\N	\N	\N	\N	\N	\N	
game	Demul_v0.4.3	vs2_2k	\N	\N	\N	naomi	\N	Virtua Striker 2 Ver. 2000 (JPN, USA, EXP, KOR, AUS) - set 1	1999	Sega	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	epr-21578a.bin	epr-21578a.bin	\N	2097152	6c9aad83	555918de76d8dbee2a97d8a95297ef694b3e803f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	epr-22851.bin	epr-22851.bin	\N	2097152	62483677	3e3bcacf5f972c376b569f45307ee7fd0b5031b7	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	epr-21578d.bin	epr-21578d.bin	\N	2097152	dfd5f42a	614a0db4743a5e5a206190d6786ade24325afbfd	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	epr-21576g.bin	epr-21576g.bin	\N	2097152	d2a1c6bf	6d27d71aec4dfba98f66316ae74a1426d567698a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	epr-21577e.bin	epr-21577e.bin	\N	2097152	cf36e97b	b085305982e7572e58b03a9d35f17ae319c3bbc6	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	epr-21578e.bin	epr-21578e.bin	\N	2097152	087f09a3	0418eb2cf9766f0b1b874a4e92528779e22c0a4a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	dcnaodev.bios	dcnaodev.bios	\N	524288	7a50fab9	ef79f448e0bf735d1264ad4f051d24178822110f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	epr-21577d.bin	epr-21577d.bin	\N	2097152	60ddcbbe	58b15096d269d6df617ca1810b66b47deb184958	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	epr-21330.bin	epr-21330.bin	\N	2097152	9e3bfa1b	b539d38c767b0551b8e7956c1ff795de8bbe2fbc	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	epr-21331.bin	epr-21331.bin	\N	2097152	065f8500	49a3881e8d76f952ef5e887200d77b4a415d47fe	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	epr21929c.22	\N	\N	4194304	b5e609f4	92b98bad94268a80f6e4506b812d01c0a7850161	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21914.u1	\N	\N	8388608	f91ef69b	4ed23091efad7ddf1878a0bfcdcbba3cf151af84	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21915.u2	\N	\N	8388608	40128a67	9d191c4ec33465f29bbc09491dde62f354a9ab15	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21916.u3	\N	\N	8388608	19708b3c	7d1ef995ce870ffcb68f420a571efb084f5bfcf2	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21917.u4	\N	\N	8388608	b082379b	42f585279da1de7e613e42b76e1b81986c48e6ea	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21918.u5	\N	\N	8388608	a3bc1a47	0e5043ab6e118feb59f68c84c095cf5b1dba7d09	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21919.u6	\N	\N	8388608	b1dfada7	b4c906bc96b615975f6319a1fdbd5b990e7e4124	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21920.u7	\N	\N	8388608	1c189e28	93400de2cb803357fa17ae7e1a5297177f9bcfa1	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21921.u8	\N	\N	8388608	55bcb652	4de2e7e584dd4999dc8e405837a18a904dfee0bf	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21922.u9	\N	\N	8388608	2ecda3ff	54afc77a01470662d580f5676b4e8dc4d04f63f8	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21923.u10	\N	\N	8388608	a5cd42ad	59f62e995d45311b1592434d1ffa42c261fa8ba1	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21924.u11	\N	\N	8388608	cc1a4ed9	0e3aaeaa55f1d145fb4877b6d187a3ee78cf214e	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21925.u12	\N	\N	8388608	9452c5fb	5a04f96d83cca6248f513de0c6240fc671bcadf9	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21926.u13	\N	\N	8388608	d6346491	830971cbc14cab022a09ad4c6e11ee49c550e308	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21927.u14	\N	\N	8388608	a1901e1e	2281f91ac696cc14886bcdf4b0685ce2f5bb8117	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2k	mpr21928.u15	\N	\N	4194304	d127d9a5	78c95357344ea15469b84fa8b1332e76521892cd	\N	\N	\N	\N	\N	\N	
game	Demul_v0.4.3	vs2_2ka	\N	\N	\N	naomi	\N	Virtua Striker 2 Ver. 2000 (JPN, USA, EXP, KOR, AUS) - set 2	1999	Sega	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	epr-21578a.bin	epr-21578a.bin	\N	2097152	6c9aad83	555918de76d8dbee2a97d8a95297ef694b3e803f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	epr-22851.bin	epr-22851.bin	\N	2097152	62483677	3e3bcacf5f972c376b569f45307ee7fd0b5031b7	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	epr-21578d.bin	epr-21578d.bin	\N	2097152	dfd5f42a	614a0db4743a5e5a206190d6786ade24325afbfd	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	epr-21576g.bin	epr-21576g.bin	\N	2097152	d2a1c6bf	6d27d71aec4dfba98f66316ae74a1426d567698a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	epr-21577e.bin	epr-21577e.bin	\N	2097152	cf36e97b	b085305982e7572e58b03a9d35f17ae319c3bbc6	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	epr-21578e.bin	epr-21578e.bin	\N	2097152	087f09a3	0418eb2cf9766f0b1b874a4e92528779e22c0a4a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	dcnaodev.bios	dcnaodev.bios	\N	524288	7a50fab9	ef79f448e0bf735d1264ad4f051d24178822110f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	epr-21577d.bin	epr-21577d.bin	\N	2097152	60ddcbbe	58b15096d269d6df617ca1810b66b47deb184958	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	epr-21330.bin	epr-21330.bin	\N	2097152	9e3bfa1b	b539d38c767b0551b8e7956c1ff795de8bbe2fbc	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	epr-21331.bin	epr-21331.bin	\N	2097152	065f8500	49a3881e8d76f952ef5e887200d77b4a415d47fe	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	u22	\N	\N	4194304	831af08a	af4c74623be823fd061765cede354c6a9722fd10	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21914.u1	\N	\N	8388608	f91ef69b	4ed23091efad7ddf1878a0bfcdcbba3cf151af84	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21915.u2	\N	\N	8388608	40128a67	9d191c4ec33465f29bbc09491dde62f354a9ab15	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21916.u3	\N	\N	8388608	19708b3c	7d1ef995ce870ffcb68f420a571efb084f5bfcf2	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21917.u4	\N	\N	8388608	b082379b	42f585279da1de7e613e42b76e1b81986c48e6ea	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21918.u5	\N	\N	8388608	a3bc1a47	0e5043ab6e118feb59f68c84c095cf5b1dba7d09	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21919.u6	\N	\N	8388608	b1dfada7	b4c906bc96b615975f6319a1fdbd5b990e7e4124	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21920.u7	\N	\N	8388608	1c189e28	93400de2cb803357fa17ae7e1a5297177f9bcfa1	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21921.u8	\N	\N	8388608	55bcb652	4de2e7e584dd4999dc8e405837a18a904dfee0bf	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21922.u9	\N	\N	8388608	2ecda3ff	54afc77a01470662d580f5676b4e8dc4d04f63f8	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21923.u10	\N	\N	8388608	a5cd42ad	59f62e995d45311b1592434d1ffa42c261fa8ba1	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21924.u11	\N	\N	8388608	cc1a4ed9	0e3aaeaa55f1d145fb4877b6d187a3ee78cf214e	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21925.u12	\N	\N	8388608	9452c5fb	5a04f96d83cca6248f513de0c6240fc671bcadf9	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21926.u13	\N	\N	8388608	d6346491	830971cbc14cab022a09ad4c6e11ee49c550e308	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21927.u14	\N	\N	8388608	a1901e1e	2281f91ac696cc14886bcdf4b0685ce2f5bb8117	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	vs2_2ka	mpr21928.u15	\N	\N	4194304	d127d9a5	78c95357344ea15469b84fa8b1332e76521892cd	\N	\N	\N	\N	\N	\N	
game	Demul_v0.4.3	smarinef	\N	\N	\N	naomi	\N	Sega Marine Fishing	1999	Sega	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	epr-21578a.bin	epr-21578a.bin	\N	2097152	6c9aad83	555918de76d8dbee2a97d8a95297ef694b3e803f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	epr-22851.bin	epr-22851.bin	\N	2097152	62483677	3e3bcacf5f972c376b569f45307ee7fd0b5031b7	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	epr-21578d.bin	epr-21578d.bin	\N	2097152	dfd5f42a	614a0db4743a5e5a206190d6786ade24325afbfd	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	epr-21576g.bin	epr-21576g.bin	\N	2097152	d2a1c6bf	6d27d71aec4dfba98f66316ae74a1426d567698a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	epr-21577e.bin	epr-21577e.bin	\N	2097152	cf36e97b	b085305982e7572e58b03a9d35f17ae319c3bbc6	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	epr-21578e.bin	epr-21578e.bin	\N	2097152	087f09a3	0418eb2cf9766f0b1b874a4e92528779e22c0a4a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	dcnaodev.bios	dcnaodev.bios	\N	524288	7a50fab9	ef79f448e0bf735d1264ad4f051d24178822110f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	epr-21577d.bin	epr-21577d.bin	\N	2097152	60ddcbbe	58b15096d269d6df617ca1810b66b47deb184958	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	epr-21330.bin	epr-21330.bin	\N	2097152	9e3bfa1b	b539d38c767b0551b8e7956c1ff795de8bbe2fbc	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	epr-21331.bin	epr-21331.bin	\N	2097152	065f8500	49a3881e8d76f952ef5e887200d77b4a415d47fe	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	epr-22221.ic22	\N	\N	4194304	9d984375	fe1185d70b4bc1529e3579fd6b2b678c7d548400	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	mpr-22208.ic1	\N	\N	8388608	6a1e418c	7092c6a34ac0c2c6fb2b4b78415d08ef473785d9	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	mpr-22209.ic2	\N	\N	8388608	ecf5be54	d7c264da4e232ce6f9b05c9920394f8027fa4a1d	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	mpr-22212.ic5	\N	\N	8388608	8305f462	7993231fa71f509b3b7fec691b5a6139947a01e7	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	mpr-22213.ic6	\N	\N	8388608	0912eaea	e4cb1262f3b53d3c619900767cfa192115a53d4b	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	mpr-22214.ic7	\N	\N	8388608	661526b6	490321a893f706eaea49c6c35c01af6ae45adf01	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	mpr-22215.ic8	\N	\N	8388608	a80714fa	b32dde5cc79a9ae9f7f34064c2382115e9303070	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	mpr-22216.ic9	\N	\N	8388608	cf3d1049	a390304256dfac623b6fe1b205d918ce3eb67723	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	mpr-22217.ic10	\N	\N	8388608	48c92fd6	26b17a8d0130512807cf533a60c10c6d1e769de0	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	mpr-22218.ic11	\N	\N	8388608	f9ca31b8	ea3d0f38ca1a46c896c06f038a6362ad3c9f90b2	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	smarinef	mpr-22219.ic12	\N	\N	8388608	b3b45811	045e7236b814f848d4c9767618ddcd4344d880ec	\N	\N	\N	\N	\N	\N	
game	Demul_v0.4.3	cspike	\N	\N	\N	naomi	\N	Gun Spike (JPN) / Cannon Spike (USA, EXP, KOR, AUS)	2000	Psikyo / Capcom	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	epr-21578a.bin	epr-21578a.bin	\N	2097152	6c9aad83	555918de76d8dbee2a97d8a95297ef694b3e803f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	epr-22851.bin	epr-22851.bin	\N	2097152	62483677	3e3bcacf5f972c376b569f45307ee7fd0b5031b7	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	epr-21578d.bin	epr-21578d.bin	\N	2097152	dfd5f42a	614a0db4743a5e5a206190d6786ade24325afbfd	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	epr-21576g.bin	epr-21576g.bin	\N	2097152	d2a1c6bf	6d27d71aec4dfba98f66316ae74a1426d567698a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	epr-21577e.bin	epr-21577e.bin	\N	2097152	cf36e97b	b085305982e7572e58b03a9d35f17ae319c3bbc6	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	epr-21578e.bin	epr-21578e.bin	\N	2097152	087f09a3	0418eb2cf9766f0b1b874a4e92528779e22c0a4a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	dcnaodev.bios	dcnaodev.bios	\N	524288	7a50fab9	ef79f448e0bf735d1264ad4f051d24178822110f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	epr-21577d.bin	epr-21577d.bin	\N	2097152	60ddcbbe	58b15096d269d6df617ca1810b66b47deb184958	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	epr-21330.bin	epr-21330.bin	\N	2097152	9e3bfa1b	b539d38c767b0551b8e7956c1ff795de8bbe2fbc	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	epr-21331.bin	epr-21331.bin	\N	2097152	065f8500	49a3881e8d76f952ef5e887200d77b4a415d47fe	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	epr23210.22	\N	\N	4194304	a15c54b5	5c7872244d3d648e4c04751f120d0e9d47239921	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic1	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic2	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic3	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic4	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic5	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic6	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic7	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic8	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic9	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic10	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic11	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	cspike	ic12	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game	Demul_v0.4.3	capsnk	\N	\N	\N	naomi	\N	Capcom Vs. SNK Millennium Fight 2000 (JPN, USA, EXP, KOR, AUS)	2000	Capcom / SNK	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	epr-21578a.bin	epr-21578a.bin	\N	2097152	6c9aad83	555918de76d8dbee2a97d8a95297ef694b3e803f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	epr-22851.bin	epr-22851.bin	\N	2097152	62483677	3e3bcacf5f972c376b569f45307ee7fd0b5031b7	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	epr-21578d.bin	epr-21578d.bin	\N	2097152	dfd5f42a	614a0db4743a5e5a206190d6786ade24325afbfd	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	epr-21576g.bin	epr-21576g.bin	\N	2097152	d2a1c6bf	6d27d71aec4dfba98f66316ae74a1426d567698a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	epr-21577e.bin	epr-21577e.bin	\N	2097152	cf36e97b	b085305982e7572e58b03a9d35f17ae319c3bbc6	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	epr-21578e.bin	epr-21578e.bin	\N	2097152	087f09a3	0418eb2cf9766f0b1b874a4e92528779e22c0a4a	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	dcnaodev.bios	dcnaodev.bios	\N	524288	7a50fab9	ef79f448e0bf735d1264ad4f051d24178822110f	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	epr-21577d.bin	epr-21577d.bin	\N	2097152	60ddcbbe	58b15096d269d6df617ca1810b66b47deb184958	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	epr-21330.bin	epr-21330.bin	\N	2097152	9e3bfa1b	b539d38c767b0551b8e7956c1ff795de8bbe2fbc	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	epr-21331.bin	epr-21331.bin	\N	2097152	065f8500	49a3881e8d76f952ef5e887200d77b4a415d47fe	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	epr23511a.ic22	\N	\N	4194304	fe00650f	ca8e9e9178ed2b6598bdea83be1bf0dd7aa509f9	\N	\N	\N	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	ic1	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	ic2	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	ic3	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	ic4	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	ic5	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	ic6	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	ic7	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	ic8	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
game_rom	Demul_v0.4.3	capsnk	ic9	\N	\N	8388608	\N	\N	\N	\N	nodump	\N	\N	\N	
