game	ZiNc_v1.1	starglad	\N	\N	\N	cpzn1	\N	Star Gladiator (US 960627)	1996	Capcom	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexj	sfe-02	sfe-02	\N	131072	1908475c	99f68cff2d92f5697eec0846201f6fb317d5dc08	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexj	sfe-03	sfe-03	\N	131072	95c1e2e0	383bbe9613798a3ac6944d18768280a840994e40	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexj	sfe-01m	sfe-01m	\N	4194304	f5afff0d	7f9ac32ba0a3d9c6fef367e36a92d47c9ac1feb3	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sfexa	\N	\N	sfex	sfex	\N	Street Fighter EX (ASIA 961219)	1996	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexa	coh-1000c.353	coh-1000c.353	\N	524288	50033af6	486d92ff6c7f1e54f8e0ef41cd9116eca0e10e1a	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexa	sfea-04	\N	\N	524288	08247bd4	07f356ef2827b3fbd0bfaf2010915315d9d60ef1	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexa	sfe-05m	sfe-05m	\N	4194304	eab781fe	205476cb72c8dac915e140fb32243dfc5d209ba4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexa	sfe-06m	sfe-06m	\N	4194304	999de60c	092882698c411fc5c3bcb43105bf1886f94b8e40	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexa	sfe-07m	sfe-07m	\N	4194304	76117b0a	027233199170fa6e5b32f28da2031638c6d3d14a	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexa	sfe-08m	sfe-08m	\N	4194304	a36bbec5	fa22ea50d4d8bed2ded97a346f61b2f5f68769b9	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexa	sfe-09m	sfe-09m	\N	4194304	62c424cc	ea19c49b486473b150dbf8541286e225655496db	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexa	sfe-10m	sfe-10m	\N	4194304	83791a8b	534969797640834ca692c11d0ce7c3a060fc7e4b	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexa	sfe-02	sfe-02	\N	131072	1908475c	99f68cff2d92f5697eec0846201f6fb317d5dc08	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexa	sfe-03	sfe-03	\N	131072	95c1e2e0	383bbe9613798a3ac6944d18768280a840994e40	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexa	sfe-01m	sfe-01m	\N	4194304	f5afff0d	7f9ac32ba0a3d9c6fef367e36a92d47c9ac1feb3	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sfexp	\N	\N	\N	cpzn1	\N	Street Fighter EX Plus (US 970407)	1997	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexp	coh-1000c.353	coh-1000c.353	\N	524288	50033af6	486d92ff6c7f1e54f8e0ef41cd9116eca0e10e1a	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexp	sfexp_u-04a	\N	\N	524288	4617adc2	200307904349ad7e5d7d76d8c904b6b10424c7ef	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexp	sfp-05	\N	\N	4194304	ac7dcc5e	216de2de691a9bd7982d5d6b5b1e3e35ff381a2f	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexp	sfp-06	\N	\N	4194304	1d504758	bd56141aba35dbb5b318445ba5db12eff7442221	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexp	sfp-07	\N	\N	4194304	0f585f30	24ffdbc360f8eddb702905c99d315614327861a7	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexp	sfp-08	\N	\N	4194304	65eabc61	bbeb3bcd8dd8f7f88ed82412a81134a3d6f6ffd9	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexp	sfp-09	\N	\N	4194304	15f8b71e	efb28fbe750f443550ee9718385355aae7e858c9	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexp	sfp-10	\N	\N	4194304	c1ecf652	616e14ff63d38272730c810b933a6b3412e2da17	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexp	sfe-02	\N	\N	131072	1908475c	99f68cff2d92f5697eec0846201f6fb317d5dc08	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexp	sfe-03	\N	\N	131072	95c1e2e0	383bbe9613798a3ac6944d18768280a840994e40	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexp	sfe-01m	\N	\N	4194304	f5afff0d	7f9ac32ba0a3d9c6fef367e36a92d47c9ac1feb3	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sfexpu1	\N	\N	sfexp	sfexp	\N	Street Fighter EX Plus (US 970311)	1997	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpu1	coh-1000c.353	coh-1000c.353	\N	524288	50033af6	486d92ff6c7f1e54f8e0ef41cd9116eca0e10e1a	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpu1	sfpu-04	\N	\N	524288	305e4ec0	0df9572d7fc1bbc7131483960771d016fa5487a5	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpu1	sfp-05	sfp-05	\N	4194304	ac7dcc5e	216de2de691a9bd7982d5d6b5b1e3e35ff381a2f	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpu1	sfp-06	sfp-06	\N	4194304	1d504758	bd56141aba35dbb5b318445ba5db12eff7442221	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpu1	sfp-07	sfp-07	\N	4194304	0f585f30	24ffdbc360f8eddb702905c99d315614327861a7	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpu1	sfp-08	sfp-08	\N	4194304	65eabc61	bbeb3bcd8dd8f7f88ed82412a81134a3d6f6ffd9	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpu1	sfp-09	sfp-09	\N	4194304	15f8b71e	efb28fbe750f443550ee9718385355aae7e858c9	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpu1	sfp-10	sfp-10	\N	4194304	c1ecf652	616e14ff63d38272730c810b933a6b3412e2da17	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpu1	sfe-02	sfe-02	\N	131072	1908475c	99f68cff2d92f5697eec0846201f6fb317d5dc08	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpu1	sfe-03	sfe-03	\N	131072	95c1e2e0	383bbe9613798a3ac6944d18768280a840994e40	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpu1	sfe-01m	sfe-01m	\N	4194304	f5afff0d	7f9ac32ba0a3d9c6fef367e36a92d47c9ac1feb3	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sfexpj	\N	\N	sfexp	sfexp	\N	Street Fighter EX Plus (JAPAN 970311)	1997	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpj	coh-1000c.353	coh-1000c.353	\N	524288	50033af6	486d92ff6c7f1e54f8e0ef41cd9116eca0e10e1a	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpj	sfpj-04	\N	\N	524288	18d043f5	9e6e24a722d13888fbfd391ddb1a5045b162488c	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpj	sfp-05	sfp-05	\N	4194304	ac7dcc5e	216de2de691a9bd7982d5d6b5b1e3e35ff381a2f	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpj	sfp-06	sfp-06	\N	4194304	1d504758	bd56141aba35dbb5b318445ba5db12eff7442221	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpj	sfp-07	sfp-07	\N	4194304	0f585f30	24ffdbc360f8eddb702905c99d315614327861a7	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpj	sfp-08	sfp-08	\N	4194304	65eabc61	bbeb3bcd8dd8f7f88ed82412a81134a3d6f6ffd9	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpj	sfp-09	sfp-09	\N	4194304	15f8b71e	efb28fbe750f443550ee9718385355aae7e858c9	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpj	sfp-10	sfp-10	\N	4194304	c1ecf652	616e14ff63d38272730c810b933a6b3412e2da17	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpj	sfe-02	sfe-02	\N	131072	1908475c	99f68cff2d92f5697eec0846201f6fb317d5dc08	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpj	sfe-03	sfe-03	\N	131072	95c1e2e0	383bbe9613798a3ac6944d18768280a840994e40	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexpj	sfe-01m	sfe-01m	\N	4194304	f5afff0d	7f9ac32ba0a3d9c6fef367e36a92d47c9ac1feb3	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sfex2	\N	\N	\N	cpzn2	\N	Street Fighter EX 2 (US 980526)	1998	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2	ex2u-04a	\N	\N	524288	8dc5317f	c35224caf70662a0e45a74cbead294a51f9b9e16	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2	ex2-05m	\N	\N	8388608	78726b17	2da449df335ef133ebc3997bbad73ef4137f4771	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2	ex2-06m	\N	\N	8388608	be1075ed	36dc673372f30f8b3ff5689ae568c5cd01fe2c07	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2	ex2-07m	\N	\N	8388608	6496c6ed	054bcecbb04033abea14d9ffe6634b2bd11ca88b	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2	ex2-08m	\N	\N	8388608	3194132e	d1324fcf0a8528fc683791d6342697a7e08674f4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2	ex2-09m	\N	\N	4194304	075ae585	6b88851db618fc3e96f1d740c46c1bc5be0ee21b	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2	ex2-02	\N	\N	131072	9489875e	1fc9985ff98232c63ea8d05a69f7d77cdf72919f	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2	ex2-01m	\N	\N	4194304	14a5bb0e	dfe3c3a53bd4c58743d8039b5344d3afbe2a9c24	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sfex2j	\N	\N	sfex2	sfex2	\N	Street Fighter EX 2 (JAPAN 980312)	1998	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2j	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2j	ex2j-04	\N	\N	524288	5d603586	ff546d3bd011d6441e9672b88bab763d3cd89be2	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2j	ex2-05m	ex2-05m	\N	8388608	78726b17	2da449df335ef133ebc3997bbad73ef4137f4771	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2j	ex2-06m	ex2-06m	\N	8388608	be1075ed	36dc673372f30f8b3ff5689ae568c5cd01fe2c07	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2j	ex2-07m	ex2-07m	\N	8388608	6496c6ed	054bcecbb04033abea14d9ffe6634b2bd11ca88b	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2j	ex2-08m	ex2-08m	\N	8388608	3194132e	d1324fcf0a8528fc683791d6342697a7e08674f4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2j	ex2-09m	ex2-09m	\N	4194304	075ae585	6b88851db618fc3e96f1d740c46c1bc5be0ee21b	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2j	ex2-02	ex2-02	\N	131072	9489875e	1fc9985ff98232c63ea8d05a69f7d77cdf72919f	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2j	ex2-01m	ex2-01m	\N	4194304	14a5bb0e	dfe3c3a53bd4c58743d8039b5344d3afbe2a9c24	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sfex2p	\N	\N	\N	cpzn2	\N	Street Fighter EX 2 Plus (US 990611)	1999	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2p	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2p	extp-04u	\N	\N	524288	2938118c	4bdeeb9aa3dd54ef44aa3fc73d78d65297b1ed25	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2p	x2p-05m	\N	\N	8388608	4ee3110f	704f8dca7d0b698659af9e3271ea5072dfd42b8b	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2p	x2p-06m	\N	\N	8388608	4cd53a45	39499ea6c9aa51c71f4fe44cc02f93d5a39e14ec	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2p	x2p-07m	\N	\N	8388608	11207c2a	0182652819f1c3a36e7b42e34ef86d2455a2dd90	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2p	x2p-08m	\N	\N	8388608	3560c2cc	8b0ce22d954387f7bb032b5220d1014ef68741e8	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2p	x2p-09m	\N	\N	8388608	344aa227	69dc6f511939bf7fa25c2531ecf307a7565fe7a8	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2p	x2p-10m	\N	\N	8388608	2eef5931	e5227529fb68eeb1b2f25813694173a75d906b52	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2p	extp-02	\N	\N	131072	3705de5e	847007ca271da64bf13ffbf496d4291429eee27a	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2p	extp-03	\N	\N	131072	6ae828f6	41c54165e87b846a845da581f408b96979288158	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2p	x2p-01m	\N	\N	4194304	14a5bb0e	dfe3c3a53bd4c58743d8039b5344d3afbe2a9c24	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sfex2pj	\N	\N	sfex2p	sfex2p	\N	Street Fighter EX 2 Plus (JAPAN 990611)	1999	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pj	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pj	extp-04j	\N	\N	524288	c6d0aea3	f48ee889dd743109f830063da3eb0f687db2d86c	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pj	x2p-05m	x2p-05m	\N	8388608	4ee3110f	704f8dca7d0b698659af9e3271ea5072dfd42b8b	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pj	x2p-06m	x2p-06m	\N	8388608	4cd53a45	39499ea6c9aa51c71f4fe44cc02f93d5a39e14ec	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pj	x2p-07m	x2p-07m	\N	8388608	11207c2a	0182652819f1c3a36e7b42e34ef86d2455a2dd90	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pj	x2p-08m	x2p-08m	\N	8388608	3560c2cc	8b0ce22d954387f7bb032b5220d1014ef68741e8	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pj	x2p-09m	x2p-09m	\N	8388608	344aa227	69dc6f511939bf7fa25c2531ecf307a7565fe7a8	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pj	x2p-10m	x2p-10m	\N	8388608	2eef5931	e5227529fb68eeb1b2f25813694173a75d906b52	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pj	extp-02	extp-02	\N	131072	3705de5e	847007ca271da64bf13ffbf496d4291429eee27a	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pj	extp-03	extp-03	\N	131072	6ae828f6	41c54165e87b846a845da581f408b96979288158	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pj	x2p-01m	x2p-01m	\N	4194304	14a5bb0e	dfe3c3a53bd4c58743d8039b5344d3afbe2a9c24	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sfex2pa	\N	\N	sfex2p	sfex2p	\N	Street Fighter EX 2 Plus (ASIA 990611)	1999	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pa	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pa	extp-04a	\N	\N	524288	c437d602	150f0dfd9f2e4f9adc11f8960da1e6be250456b1	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pa	x2p-05m	x2p-05m	\N	8388608	4ee3110f	704f8dca7d0b698659af9e3271ea5072dfd42b8b	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pa	x2p-06m	x2p-06m	\N	8388608	4cd53a45	39499ea6c9aa51c71f4fe44cc02f93d5a39e14ec	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pa	x2p-07m	x2p-07m	\N	8388608	11207c2a	0182652819f1c3a36e7b42e34ef86d2455a2dd90	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pa	x2p-08m	x2p-08m	\N	8388608	3560c2cc	8b0ce22d954387f7bb032b5220d1014ef68741e8	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pa	x2p-09m	x2p-09m	\N	8388608	344aa227	69dc6f511939bf7fa25c2531ecf307a7565fe7a8	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pa	x2p-10m	x2p-10m	\N	8388608	2eef5931	e5227529fb68eeb1b2f25813694173a75d906b52	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pa	extp-02	extp-02	\N	131072	3705de5e	847007ca271da64bf13ffbf496d4291429eee27a	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pa	extp-03	extp-03	\N	131072	6ae828f6	41c54165e87b846a845da581f408b96979288158	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex2pa	x2p-01m	x2p-01m	\N	4194304	14a5bb0e	dfe3c3a53bd4c58743d8039b5344d3afbe2a9c24	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	plsmaswd	\N	\N	\N	cpzn2	\N	Plasma Sword (US 980316)	1998	Capcom	\N	\N	\N	
game_rom	ZiNc_v1.1	plsmaswd	coh-3002c.353	coh-3002c.353	\N	524288	e860ea8b	66e7e1d4e426466b8f48a2ba055a91b475569504	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	plsmaswd	sg2u-04	\N	\N	524288	154187c0	58cc0e9d32786b1c1d64ecee4667190456b36ef6	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	plsmaswd	sg2-05m	\N	\N	8388608	f1759236	fbe3a820a8c571dfb186eae68346e6461168ed48	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	plsmaswd	sg2-06m	\N	\N	8388608	33de4f72	ab32af76b5682e3d9f67dadbaed35abc043912b4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	plsmaswd	sg2-07m	\N	\N	8388608	72f724ba	e6658b495d308d1de6710f87b5b9d346008b0c5a	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	plsmaswd	sg2-08m	\N	\N	8388608	9e169eee	6141b1a7863fdfb200ca35d2893979a34dcc3f6c	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	plsmaswd	sg2-09m	\N	\N	4194304	33f73d4c	954695a43e77b58585409678bd87c76adac1d855	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	plsmaswd	sg2-02	\N	\N	131072	415ee138	626083c8705f012552691c450f95401ddc88065b	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	plsmaswd	sg2-03	\N	\N	131072	43806735	88d389bcc79cbd4fa1f4b62008e171a897e77652	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	plsmaswd	sg2-01m	\N	\N	4194304	643ea27b	40747432d5cfebac54d3824b6a6f26b5e7742fc1	\N	sound1	\N	\N	\N	\N	
