game	Replay+_v1.00	bnj	\N	\N	\N	\N	\N	Bump 'n' Jump	1982	Data East USA (Bally Midway license)	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa06.13b	\N	\N	4096	b4ba400d	8c77397e934907bc47a739f263196a0f2f81ba3d	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa05.10b	\N	\N	4096	8005bffa	d0da4e360039f6a8d8142a4e8e05c1f90c0af68a	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa07.15b	\N	\N	4096	086440ad	4a32bc92f8ff5fbe112f56e62d2c03da8851a7b9	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa14.12h	\N	\N	4096	f55e5211	27940026d0c6212d1138d2fd88880df697218627	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa12.7k	\N	\N	4096	c4617243	24204d591aa2c264a852ee9ba8c4be63efd97728	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa13.9k	\N	\N	4096	ac01042f	e64b6381a9298eaf74e79fa5f1ea8e9596c58a49	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa10.10k	\N	\N	4096	854a872a	3d2ecfd54a5a9d68b53cf4b4ee1f2daa6aef2123	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa11.12k	\N	\N	4096	d4848014	0a55b091cd4e7f317c35defe13d5051b26042eee	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa8.13k	\N	\N	4096	8650c788	d9b1ee2d1f2fd66705d497c80252861b49aa9254	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa9.15k	\N	\N	4096	8dec15e6	b72633de6268ce16742bba4dcba835df860d6c2f	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa00.1b	\N	\N	2048	c7a14485	6a0a8e6b7860859f22daa33634e34fbf91387659	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa01.3b	\N	\N	2048	25b49078	4abdcbd4f3362c3e4463a1274731289f1a72d2e6	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa02.4b	\N	\N	2048	b8ef56c3	4a03bf011dc1fb2902f42587b1174b880cf06df1	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa03.6b	\N	\N	2048	d26bc1f3	737af6e264183a1f151f277a07cf250d6abb3fd8	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	btimeb	\N	\N	\N	\N	\N	Burger Time (Midway)	1982	Data East (Bally Midway license)	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab05a1.12b	\N	\N	4096	0a98b230	aeee4f6f0aaa27575b80261d03c5453cc6ebd646	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab04.9b	\N	\N	4096	797e5f75	35ea5fa4b8f3494adf7774b3946ed2540ac826ff	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab06.13b	\N	\N	4096	c77f3f64	f283087fad0a102fe92be7ce80ed18e64dc93b67	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab05.10b	\N	\N	4096	b0d3640f	6ba28971714ece6f1c04fa2dbf1f9f216ded7cfa	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab07.15b	\N	\N	4096	a142f862	39d7ef172d18874885f1b1542e885cc4287dc344	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab14.12h	\N	\N	4096	f55e5211	27940026d0c6212d1138d2fd88880df697218627	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab12.7k	\N	\N	4096	6c79f79f	338009199b5889621693833d88c35abb8e9e38a2	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab13.9k	\N	\N	4096	ac01042f	e64b6381a9298eaf74e79fa5f1ea8e9596c58a49	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab10.10k	\N	\N	4096	854a872a	3d2ecfd54a5a9d68b53cf4b4ee1f2daa6aef2123	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab11.12k	\N	\N	4096	d4848014	0a55b091cd4e7f317c35defe13d5051b26042eee	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab8.13k	\N	\N	4096	70b35bbe	ee8d70d6792ac4b8fe3de90c665457fedb94a7ba	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab9.15k	\N	\N	4096	8dec15e6	b72633de6268ce16742bba4dcba835df860d6c2f	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab00.1b	\N	\N	2048	c7a14485	6a0a8e6b7860859f22daa33634e34fbf91387659	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab01.3b	\N	\N	2048	25b49078	4abdcbd4f3362c3e4463a1274731289f1a72d2e6	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab02.4b	\N	\N	2048	b8ef56c3	4a03bf011dc1fb2902f42587b1174b880cf06df1	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	btimeb	ab03.6b	\N	\N	2048	d26bc1f3	737af6e264183a1f151f277a07cf250d6abb3fd8	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	amidarjp	\N	\N	\N	\N	\N	Amidar (Japan)	1981	Konami	\N	\N	\N	
game_rom	Replay+_v1.00	amidarjp	amidar.2c	\N	\N	4096	c294bf27	399325bf1559e8cdbddf7cfbf0dc739f9ed72ef0	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidarjp	amidar.2e	\N	\N	4096	e6e96826	e9c4f8c594640424b456505e676352a98b758c03	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidarjp	amidar.2f	\N	\N	4096	3656be6f	9d652f66bedcf17a6453c0e0ead30bfd7ea0bd0a	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidarjp	amidar.2h	\N	\N	4096	1be170bd	c047bc393b297c0d47668a5f6f4870e3fac937ef	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidarjp	amidar.5c	\N	\N	4096	c4b66ae4	9d09dbde4019f7be3abe0815b0e06d542c01c255	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidarjp	amidar.5d	\N	\N	4096	806785af	c8c85e3a6a204feccd7859b4527bd649e96134b4	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidarjp	amidar.5f	\N	\N	2048	5e51e84d	dfe84db7e2b1a45a1d484fcf37291f536bc5324c	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidarjp	amidar.5h	\N	\N	2048	2f7f1c30	83c330eca20dfcc6a4099001943b9ed7a7c3db5b	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	amidar	\N	\N	\N	\N	\N	Amidar (US)	1982	Konami (Stern license)	\N	\N	\N	
game_rom	Replay+_v1.00	amidar	amidarus.2c	\N	\N	4096	951e0792	3a68b829c9ffb465bd6582c9ea566e0e947c6c19	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidar	amidarus.2e	\N	\N	4096	a1a3a136	330ec857fdf4c1b28e2560a5f63a2432f87f9b2f	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidar	amidarus.2f	\N	\N	4096	a5121bf5	fe15b91724758ede43dd332327919f164772c592	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidar	amidarus.2h	\N	\N	4096	051d1c7f	3cfa0f728a5c27da0a3fe2579ad226129ccde232	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidar	amidarus.2j	\N	\N	4096	351f00d5	6659357f40f888b21be00826246200fd3a8a88ce	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidar	amidarus.5c	\N	\N	4096	8ca7b750	4f4c2915503b85abe141d717fd254ee10c9da99e	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidar	amidarus.5d	\N	\N	4096	9b5bdc0a	84d953618c8bf510d23b42232a856ac55f1baff5	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidar	amidarus.5f	\N	\N	2048	2cfe5ede	0d86a78008ac8653c17fff5be5ebdf1f0a9d31eb	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amidar	amidarus.5h	\N	\N	2048	57c4fd0d	8764deec9fbff4220d61df621b12fc36c3702601	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	amigo	\N	\N	\N	\N	\N	Amigo	1982	bootleg	\N	\N	\N	
game_rom	Replay+_v1.00	amigo	2732.a1	\N	\N	4096	930dc856	7022f1f26830baccdc8b8f0b10fb1d1ccb080f22	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amigo	2732.a2	\N	\N	4096	66282ff5	986778278eb339768d190460680e7aa698812488	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amigo	2732.a3	\N	\N	4096	e9d3dc76	627c6068c65985175388aec43ac2a4248b004c97	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amigo	2732.a4	\N	\N	4096	4a4086c9	6f309b67dc68e06e6eb1d3ee2ae75afe253a4ce3	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amigo	2732.a7	\N	\N	4096	8ca7b750	4f4c2915503b85abe141d717fd254ee10c9da99e	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amigo	2732.a8	\N	\N	4096	9b5bdc0a	84d953618c8bf510d23b42232a856ac55f1baff5	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amigo	2716.a6	\N	\N	2048	2082ad0a	c6014d9575e92adf09b0961c2158a779ebe940c4	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	amigo	2716.a5	\N	\N	2048	3029f94f	3b432b42e79f8b0a7d65e197f373a04e3c92ff20	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	superpac	\N	\N	\N	\N	\N	Super Pac-Man (Bally)	1982	[Namco] (Bally Midway license)	\N	\N	\N	
game_rom	Replay+_v1.00	superpac	spc-2.1c	\N	\N	8192	1a38c30e	ae0ee9f3df0991a80698fe745a7a853a4bb60710	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	superpac	spc-1.1b	\N	\N	8192	730e95a9	ca73c8bcb03c2f5c05968c707a5d3f7f9956b886	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	superpac	spc-3.1k	\N	\N	4096	04445ddb	ce7d14963d5ddaefdeaf433a6f82c43cd1611d9b	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	superpac	spv-1.3c	\N	\N	4096	78337e74	11222adb55e6bce508896ccb1f6dbab0c1d44e5b	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	superpac	spv-2.3f	\N	\N	8192	670a42f2	9171922df07e31fd1dc415766f7d2cc50a9d10dc	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	superpcn	\N	\N	\N	\N	\N	Super Pac-Man (Namco)	1982	Namco	\N	\N	\N	
game_rom	Replay+_v1.00	superpcn	sp1.2	\N	\N	8192	4bb33d9c	dd87f71b4db090a32a6b791079eedd17580cc741	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	superpcn	sp1.1	\N	\N	8192	846fbb4a	f6bf90281986b9b7a3ef1dbbeddb722182e84d7c	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	superpcn	sp1.4	\N	\N	4096	04445ddb	ce7d14963d5ddaefdeaf433a6f82c43cd1611d9b	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	superpcn	sp1.6	\N	\N	4096	91c5935c	10579edabc26a0910253fab7d41b4c19ecdaaa09	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	superpcn	sp1.5	\N	\N	8192	670a42f2	9171922df07e31fd1dc415766f7d2cc50a9d10dc	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	robocop	\N	\N	\N	\N	\N	Robocop	1988	Data East Corporation	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_09.rom	\N	\N	65536	11bed656	6a7d984a32982d9aef8ea7d8a720925036e7046e	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_01.rom	\N	\N	65536	2a9f6e2c	74aeb5be36619d90034d4a8139c3d043fe8d33c2	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_02.rom	\N	\N	65536	711ce46f	939a8545e53776ff2180d2c7e63bc997689c088e	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_03.rom	\N	\N	32768	5b164b24	b217a2ac8b26aebd208631a13030487ed27d232e	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_04.rom	\N	\N	65536	39181778	f91b63e541ef547d34d144c80bc0344b6acf8de0	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_05.rom	\N	\N	65536	ba69bf84	a9d4d94d1b936d43a610cfe02cc03bdeddb81ac6	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_06.rom	\N	\N	32768	a2ae32e2	4e8182205563da9d50a831c65951645e278b03e6	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_07.rom	\N	\N	65536	495d75cf	0ffe677d53b7675073902e9bd40e4150f2cdfb1a	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_08.rom	\N	\N	32768	c45c7b4c	70e3e475fe767eefa4cc1d6ca052271a099ff7a8	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_00.rom	\N	\N	65536	e128541f	c123b6ba282b552890319d97348015361264fa3b	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_10.rom	\N	\N	32768	cce3bd95	00bbb197824d970b0e404167ca4ae53e1955ad94	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_11.rom	\N	\N	65536	62fa425a	be88c1a6436df8a456c405822e28c472e3e79a69	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_12.rom	\N	\N	32768	3cd1d0c3	ca3546cf51ebb10dfa4e78954f0212e8fcdb3d57	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_13.rom	\N	\N	65536	8fca9f28	cac85bf2b66e49e22c33c85bdb5712feef6aae7e	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_14.rom	\N	\N	32768	ca56ceda	edbaa29fc166cddf071ff5e59cfcfb7eeb127d68	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_15.rom	\N	\N	32768	a945269c	de0b387e8699298f7682d6d7ca803a209888f7a1	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_16.rom	\N	\N	32768	e7fa4d58	32e3f649b4f112a4e6be00068473b82c627bc8d1	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_17.rom	\N	\N	32768	84aae89d	037520bd0f291f862c2211a6f35b2a8a54f10b2a	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_18.rom	\N	\N	65536	b6580b5e	ee216d8db89b8cb7a51a4e19bf6f17788547156b	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_19.rom	\N	\N	65536	9bad01c7	947c7f9d0facaea13a924274adde0e996be7b999	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_20.rom	\N	\N	65536	1d8d38b8	9add6349f8a578fb86b678cef921d6ec0cfccdad	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_21.rom	\N	\N	65536	187929b2	deca1f0a52584769caee1d2302617aa957c56a71	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_22.rom	\N	\N	65536	9fbd6903	9ac6ac8a18c23e915e8ae3782867d10c0bd65778	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocop	roboc_23.rom	\N	\N	65536	a77e4ab1	d06cc847192b6c7f642e4ff7128e298d0aa034b2	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	robocopp	\N	\N	\N	\N	\N	Robocop (Pirate)	1988	bootleg	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_00.rom	\N	\N	65536	80ba64ab	0688f1b483a265c7324f546d38a4a5ac5b1b9214	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_01.rom	\N	\N	65536	c9803685	13b3b0ebee24b4453685616e9a204b4ca6fb0053	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_02.rom	\N	\N	65536	711ce46f	939a8545e53776ff2180d2c7e63bc997689c088e	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_03.rom	\N	\N	32768	5b164b24	b217a2ac8b26aebd208631a13030487ed27d232e	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_04.rom	\N	\N	65536	9d7b79e0	e0d901b9b3cd62f7c947da04f7447ebfa88bf44a	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_05.rom	\N	\N	65536	bcef3e9b	0ca099ea7428f877036e6e2a6daddfd9145ed9bb	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_06.rom	\N	\N	32768	a2ae32e2	4e8182205563da9d50a831c65951645e278b03e6	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_07.rom	\N	\N	65536	495d75cf	0ffe677d53b7675073902e9bd40e4150f2cdfb1a	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_08.rom	\N	\N	32768	c45c7b4c	70e3e475fe767eefa4cc1d6ca052271a099ff7a8	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_09.rom	\N	\N	65536	11bed656	6a7d984a32982d9aef8ea7d8a720925036e7046e	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_10.rom	\N	\N	32768	cce3bd95	00bbb197824d970b0e404167ca4ae53e1955ad94	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_11.rom	\N	\N	65536	62fa425a	be88c1a6436df8a456c405822e28c472e3e79a69	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_12.rom	\N	\N	32768	3cd1d0c3	ca3546cf51ebb10dfa4e78954f0212e8fcdb3d57	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_13.rom	\N	\N	65536	8fca9f28	cac85bf2b66e49e22c33c85bdb5712feef6aae7e	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_14.rom	\N	\N	32768	ca56ceda	edbaa29fc166cddf071ff5e59cfcfb7eeb127d68	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_15.rom	\N	\N	32768	a945269c	de0b387e8699298f7682d6d7ca803a209888f7a1	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_16.rom	\N	\N	32768	e7fa4d58	32e3f649b4f112a4e6be00068473b82c627bc8d1	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_17.rom	\N	\N	32768	84aae89d	037520bd0f291f862c2211a6f35b2a8a54f10b2a	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_18.rom	\N	\N	65536	b6580b5e	ee216d8db89b8cb7a51a4e19bf6f17788547156b	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_19.rom	\N	\N	65536	9bad01c7	947c7f9d0facaea13a924274adde0e996be7b999	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_20.rom	\N	\N	65536	1d8d38b8	9add6349f8a578fb86b678cef921d6ec0cfccdad	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_21.rom	\N	\N	65536	187929b2	deca1f0a52584769caee1d2302617aa957c56a71	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_22.rom	\N	\N	65536	9fbd6903	9ac6ac8a18c23e915e8ae3782867d10c0bd65778	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	robocopp	robop_23.rom	\N	\N	65536	a77e4ab1	d06cc847192b6c7f642e4ff7128e298d0aa034b2	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	lnc	\N	\N	\N	\N	\N	Lock'n'Chase	1981	Data East Corporation	\N	\N	\N	
game_rom	Replay+_v1.00	lnc	s3-3d	\N	\N	4096	1ab4f2c2	c5890b768172cd2e3912b84db5f71546969ad7e2	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	lnc	s2-3c	\N	\N	4096	5e46b789	00b2510e07eb565cb373db798dd537191b0b7cc8	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	lnc	s1-3b	\N	\N	4096	1308a32e	da64fe7b76f5ac8ac35460e6c789ab1e986c78ef	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	lnc	s0-3a	\N	\N	4096	beb4b1fc	166a96b5757946231f3619844366218065412935	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	lnc	sa-1h	\N	\N	4096	379387ec	29d37f04c64ed53a2573962dfa9c0623b89e0045	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	lnc	s4-11l	\N	\N	4096	a2162a9e	2729cef805c8e863af540424faa1aca82d3525e2	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	lnc	s5-11m	\N	\N	4096	12f1c2db	004e25a53ffa197e1238dfa53c530f128cf40516	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	lnc	s6-13l	\N	\N	4096	d21e2a57	0462cd3a5be87da97ed1bd8b79f8822cd5a33cf1	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	lnc	s7-13m	\N	\N	4096	c4f247cd	2c86bf479169981daf0378eb0b3e1a600937aaf2	\N	\N	\N	\N	\N	\N	
