game	xDragon_v0.30	baddudes	\N	\N	\N	\N	\N	Bad Dudes vs. Dragonninja (US)	1988	Data East USA	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.03	\N	\N	65536	c52c2e9d	399f2b7df9d558c8f33bf1a7c8048c62e0f54cec	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.07	\N	\N	32768	001d2f51	f186671f0450ccf9201577a5caf0efc490c6645e	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.25	\N	\N	32768	6791bc20	7240b2688cda04ee9ea331472a84fbffc85b8e90	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.26	\N	\N	32768	5d75fc8f	92947dd78bfe8067fb5f645fa1ef212e48b69c70	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.18	\N	\N	65536	05cfc3e5	a0163921c77dc9706463a402c3dd45ec4341cd21	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.20	\N	\N	65536	e11e988f	0c59f0d8d1abe414c7e1ebd49d454179fed2cd00	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.22	\N	\N	65536	b893d880	99e228174677f2e3e96154f77bfa9bf0f1c0a6a5	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.24	\N	\N	65536	6f226dda	65ebb16a292c57d49c135fce7ed7537146226eb5	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.30	\N	\N	65536	2438e67e	5f143aeb83606a2c64d0b31bfee38156d231dcc9	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.28	\N	\N	65536	5c692ab3	4c58ff50833f869575f1a15c776fbf1429944fab	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.15	\N	\N	65536	5617d67f	8f684de27ae79c4d35720706cdd2733af0e0a9cc	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.16	\N	\N	32768	17e42633	405f5296a741901677cca978a1b287d894eb1e54	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.11	\N	\N	65536	ba83e8d8	63092a5d0da0c9228a72a83b43a67a47b1388724	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.12	\N	\N	32768	fea2a134	525dd5f48993db1fe1e3c095442884178f75e8e0	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.13	\N	\N	65536	fd91e08e	8998f020791c8830e963096dc7b8fcb430d041d4	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.14	\N	\N	32768	e83c760a	d08db381658b8b3288c5eaa9048a906126e0f712	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.09	\N	\N	65536	6901e628	1162c8cee20450780774cad54a9af40ebf0f0826	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.10	\N	\N	32768	eeee8a1a	2bf8378ff38f6a7c7cbd4cbd489de25cb1f0fe71	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.08	\N	\N	65536	3c87463e	f17c98507b562e91e9b27599614b3249fe68ff7a	\N	\N	\N	\N	\N	\N	
game	xDragon_v0.30	midres	\N	\N	\N	\N	\N	Midnight Resistance (World)	1989	Data East Corporation	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_17.rom	\N	\N	131072	9029965d	9b28dc38e86f24fa89d7971b141c9bdddc662c99	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_01.rom	\N	\N	131072	2c8b35a7	9ab1c2f014a24837ee99c4db000291f7e55aeb12	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_02.rom	\N	\N	131072	54d2c120	84f93bcd41d5bda8cfb39c4947fff025f53b143d	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_03.rom	\N	\N	131072	1eefed3c	be0ce3db211587086ae3ee8df85b7c56f831c623	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_04.rom	\N	\N	65536	325ba20c	fecd6254cf8c3b18496039fe18ded13c2ae47ff4	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_05.rom	\N	\N	65536	3cdb7453	d4b7fbf4726a375b4478922db6d936274bfa963c	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_06.rom	\N	\N	131072	b7241ab9	3e83f9285ff4c476f1287bf73b514eace482dccc	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_07.rom	\N	\N	131072	2068c45c	943ed767a462ee39a42cd15f02d06c8a2e4556b3	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_08.rom	\N	\N	131072	a936c03c	293e69874ce9b2dfb1d605c9f988fa736b12bbcf	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_09.rom	\N	\N	131072	907d5910	6f4963724987bf44007988d117a1f7276cf270d8	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_10.rom	\N	\N	131072	92245b29	3289842bbd4bd7858846b234f08ea5737c11536d	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_11.rom	\N	\N	131072	b86b73b4	dd0e61d60574e537aa1b7f35ffdfd08434ec8208	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_12.rom	\N	\N	131072	3494b8c9	6cb3f1421fe71d329c65c0a9056bcfae7229a37b	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_13.rom	\N	\N	131072	e3b3955e	10ff430b14c1dbcce81b13251bac124ef4f9f1d9	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_14.rom	\N	\N	131072	de7522df	b627a4bf2f2308ff16e55a9e49ba4eb9bd637d90	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_15.rom	\N	\N	131072	1328354e	2780a524718f351350e0fbc92a9a7ce9bdfc315e	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	midres	fk_00.rom	\N	\N	131072	756fb801	35510c4ddf9258d87fdee0d3a64a8de0ebd1967d	\N	\N	\N	\N	\N	\N	
game	xDragon_v0.30	slyspy	\N	\N	\N	\N	\N	Sly Spy (US revision 2)	1989	Data East USA	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa14-2.bin	\N	\N	65536	0e431e39	ab4774966ad113e4d7004d14bfd72330d4a93a43	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa12-2.bin	\N	\N	65536	1b534294	cf7badea6604c47d9f3ff8a0ef326e09de1974a0	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa15-.bin	\N	\N	65536	04a79266	69d256ffb1c89721f8b1e929c581f187e047b977	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa13-.bin	\N	\N	65536	641cc4b3	ce0ccd14d201f411cfc02ec988b2ad4fcb0d8f5d	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa05-.bin	\N	\N	32768	09802924	d9bc5fe7f053afa15cd39400aae993866d1b0226	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa04-.bin	\N	\N	32768	ec25b895	8c1d2b9a2487fd7114d37fe9dc271183c4cc1613	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa07-.bin	\N	\N	65536	e932268b	ee8ed29affa951e725cf19a5f56d3beac24420c9	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa06-.bin	\N	\N	65536	c4dd38c0	267dbbdd5df6b13662cd307c5c95fdf643d64f45	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa09-.bin	\N	\N	131072	1395e9be	60693ac6236ffe1e0933d81771cfad32e14514c3	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa08-.bin	\N	\N	131072	4d7464db	82e2a3c3d78447985968220d52c7c1f1ff625d83	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa01-.bin	\N	\N	131072	99b0cd92	2729e874730391b5fa93e9a28142c02c00eb5068	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa03-.bin	\N	\N	131072	0e7ea74d	22078a2856933af2d31750a4a506b993fe309e9a	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa00-.bin	\N	\N	131072	f7df3fd7	ed9e4649e0b1fcca61cf4d159b3f8a35f06102ce	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa02-.bin	\N	\N	131072	84e8da9d	41da6042f80ea3562aa350f4f466b16db29e2aca	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	slyspy	fa11-.bin	\N	\N	131072	4e547bad	655eda4d00f8846957ed40dcbf750fba3ce19f4e	\N	\N	\N	\N	\N	\N	
game	xDragon_v0.30	robocop	\N	\N	\N	\N	\N	Robocop (World bootleg)	1988	bootleg	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	68k_4.bin	\N	\N	65536	bcef3e9b	0ca099ea7428f877036e6e2a6daddfd9145ed9bb	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	68k_3.bin	\N	\N	65536	c9803685	13b3b0ebee24b4453685616e9a204b4ca6fb0053	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	68k_2.bin	\N	\N	65536	9d7b79e0	e0d901b9b3cd62f7c947da04f7447ebfa88bf44a	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	68k_1.bin	\N	\N	65536	80ba64ab	0688f1b483a265c7324f546d38a4a5ac5b1b9214	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_03.rom	\N	\N	32768	5b164b24	b217a2ac8b26aebd208631a13030487ed27d232e	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_23.rom	\N	\N	65536	a77e4ab1	d06cc847192b6c7f642e4ff7128e298d0aa034b2	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_22.rom	\N	\N	65536	9fbd6903	9ac6ac8a18c23e915e8ae3782867d10c0bd65778	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_20.rom	\N	\N	65536	1d8d38b8	9add6349f8a578fb86b678cef921d6ec0cfccdad	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_21.rom	\N	\N	65536	187929b2	deca1f0a52584769caee1d2302617aa957c56a71	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_18.rom	\N	\N	65536	b6580b5e	ee216d8db89b8cb7a51a4e19bf6f17788547156b	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_19.rom	\N	\N	65536	9bad01c7	947c7f9d0facaea13a924274adde0e996be7b999	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_14.rom	\N	\N	32768	ca56ceda	edbaa29fc166cddf071ff5e59cfcfb7eeb127d68	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_15.rom	\N	\N	32768	a945269c	de0b387e8699298f7682d6d7ca803a209888f7a1	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_16.rom	\N	\N	32768	e7fa4d58	32e3f649b4f112a4e6be00068473b82c627bc8d1	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_17.rom	\N	\N	32768	84aae89d	037520bd0f291f862c2211a6f35b2a8a54f10b2a	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_07.rom	\N	\N	65536	495d75cf	0ffe677d53b7675073902e9bd40e4150f2cdfb1a	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_06.rom	\N	\N	32768	a2ae32e2	4e8182205563da9d50a831c65951645e278b03e6	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_11.rom	\N	\N	65536	62fa425a	be88c1a6436df8a456c405822e28c472e3e79a69	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_10.rom	\N	\N	32768	cce3bd95	00bbb197824d970b0e404167ca4ae53e1955ad94	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_09.rom	\N	\N	65536	11bed656	6a7d984a32982d9aef8ea7d8a720925036e7046e	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_08.rom	\N	\N	32768	c45c7b4c	70e3e475fe767eefa4cc1d6ca052271a099ff7a8	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_13.rom	\N	\N	65536	8fca9f28	cac85bf2b66e49e22c33c85bdb5712feef6aae7e	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_12.rom	\N	\N	32768	3cd1d0c3	ca3546cf51ebb10dfa4e78954f0212e8fcdb3d57	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	robocop	roboc_02.rom	\N	\N	65536	711ce46f	939a8545e53776ff2180d2c7e63bc997689c088e	\N	\N	\N	\N	\N	\N	
