game	AstDxGL_v0.9	asteroid	\N	\N	\N	\N	\N	Asteroids (rev 2)	1979	Atari	\N	\N	\N	
game_rom	AstDxGL_v0.9	astdelu1	036432.01	\N	\N	2048	fdea913c	ded0138a20d80317d67add5bb2a64e6274e0e409	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	astdelu1	036433.02	\N	\N	2048	d8db74e3	52b64e867df98d14742eb1817b59931bb7f941d9	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	astdelu1	036800.01	\N	\N	2048	3b597407	344fea2e5d84acce365d76daed61e96b9b6b37cc	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	astdelu1	036799.01	036799.01	\N	2048	7d511572	1956a12bccb5d3a84ce0c1cc10c6ad7f64e30b40	\N	\N	\N	\N	\N	\N	
game	AstDxGL_v0.9	llander	\N	\N	\N	\N	\N	Lunar Lander (rev 2)	1979	Atari	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander	034572.02	\N	\N	2048	b8763eea	5a15eaeaf825ccdf9ce013a6789cf51da20f785c	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander	034571.02	\N	\N	2048	77da4b2f	4be6cef5af38734d580cbfb7e4070fe7981ddfd6	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander	034570.01	\N	\N	2048	2724e591	ecf4430a0040c227c896aa2cd81ee03960b4d641	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander	034569.02	\N	\N	2048	72837a4e	9b21ba5e1518079c326ca6e15b9993e6c4483caa	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander	034599.01	\N	\N	2048	355a9371	6ecb40169b797d9eb623bcb17872f745b1bf20fa	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander	034598.01	\N	\N	2048	9c4ffa68	eb4ffc289d254f699f821df3146aa2c6cd78597f	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander	034597.01	\N	\N	2048	\N	\N	\N	\N	nodump	\N	\N	\N	
game	AstDxGL_v0.9	llander1	\N	\N	llander	llander	\N	Lunar Lander (rev 1)	1979	Atari	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander1	034572.01	\N	\N	2048	2aff3140	4fc8aae640ce655417c11d9a3121aae9a1238e7c	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander1	034571.01	\N	\N	2048	493e24b7	125a2c335338ccabababef12fd7096ef4b605a31	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander1	034570.01	034570.01	\N	2048	2724e591	ecf4430a0040c227c896aa2cd81ee03960b4d641	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander1	034569.01	\N	\N	2048	b11a7d01	8f2935dbe04ee68815d69ea9e71853b5a145d7c3	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander1	034599.01	034599.01	\N	2048	355a9371	6ecb40169b797d9eb623bcb17872f745b1bf20fa	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander1	034598.01	034598.01	\N	2048	9c4ffa68	eb4ffc289d254f699f821df3146aa2c6cd78597f	\N	\N	\N	\N	\N	\N	
game_rom	AstDxGL_v0.9	llander1	034597.01	034597.01	\N	2048	\N	\N	\N	\N	nodump	\N	\N	\N	
