game	SAGE_v1.16	1942	\N	\N	\N	\N	\N	1942 (set 2)	1984	Capcom	\N	\N	\N	
game_rom	SAGE_v1.16	1942	2-l1.bin	\N	\N	16384	2528bec6	29f7719f18faad6bd1ec6735cc24e69168361470	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	2-l2.bin	\N	\N	16384	f89287aa	136fff6d2a4f48a488fc7c620213761459c3ada0	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	2-n1.bin	\N	\N	16384	024418f8	145b8d5d6c8654cd090955a98f6dd8c8dbafe7c1	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	2-n2.bin	\N	\N	16384	e2c7e489	d4b5d575c021f58f6966df189df94e08c5b3621c	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	08e_sb-5.bin	\N	\N	256	93ab8153	a792f24e5c0c3c4a6b436102e7a98199f878ece1	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	09e_sb-6.bin	\N	\N	256	8ab44f7d	f74680a6a987d74b3acb32e6396f20e127874149	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	10e_sb-7.bin	\N	\N	256	f4ade9a4	62ad31d31d183cce213b03168daa035083b2f28e	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	f01_sb-0.bin	\N	\N	256	6047d91b	1ce025f9524c1033e48c5294ee7d360f8bfebe8d	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	06d_sb-4.bin	\N	\N	256	4858968d	20b5dbcaa1a4081b3139e7e2332d8fe3c9e55ed6	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	03k_sb-8.bin	\N	\N	256	f6fad943	b0a24ea7805272e8ebf72a99b08907bc00d5f82f	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	commando	\N	\N	\N	\N	\N	Commando (World)	1985	Capcom	\N	\N	\N	
game_rom	SAGE_v1.16	commando	m09_cm04.bin	\N	\N	32768	8438b694	e154478d8f1b635355bd777370acabe49cb9d309	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	m08_cm03.bin	\N	\N	16384	35486542	531a85c9e03970ce037be84f2240c2df6f6e3ec1	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	f09_cm02.bin	\N	\N	16384	f9cc4a74	ee8dd73919c6f47f62cc6d999de9510db9f79b8f	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	d05_vt01.bin	\N	\N	16384	505726e0	2435c87c9c9d78a6e703cf0e1f6a0288207fcd4c	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	a05_vt11.bin	\N	\N	16384	7b2e1b48	5d49e1d8146e4ef744445b68f35677302e875a85	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	a06_vt12.bin	\N	\N	16384	81b417d3	5ec7e3f0c8069384a5f6eb39232c228b9d7b8c0c	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	a07_vt13.bin	\N	\N	16384	5612dbd2	9e4e1a22b6cbf60607b9a81dae34482ae55f7c47	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	a08_vt14.bin	\N	\N	16384	2b2dee36	8792278464fa3da47176582025f6673a15a581e2	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	a09_vt15.bin	\N	\N	16384	de70babf	6717e23baf55f84d3143fb432140a7c3e102ac26	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	a10_vt16.bin	\N	\N	16384	14178237	f896e71c7004349c9a46155edfd9f0aaa186065d	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	e07_vt05.bin	\N	\N	16384	79f16e3d	04e1f03a4d6b4cc2b81bce3a290bbb95de900d35	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	e08_vt06.bin	\N	\N	16384	26fee521	2fbfc73ee860f72a20229a01d4da9f5cc2e858d3	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	e09_vt07.bin	\N	\N	16384	ca88bdfd	548b05460bc7983cc81f15c70e87f47d10db2812	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	h07_vt08.bin	\N	\N	16384	2019c883	883c0156ceab99f4849fe36972c4162b4ac8c216	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	h08_vt09.bin	\N	\N	16384	98703982	ba9a9b0dcadd4f52502828408c4a19b0bd518351	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	commando	h09_vt10.bin	\N	\N	16384	f069d2f8	2c92300a9407470b34965021de882f1f7a84730c	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	earthinv	\N	\N	\N	\N	\N	Super Earth Invasion	1980	bootleg	\N	\N	\N	
game_rom	SAGE_v1.16	earthinv	earthinv.h	\N	\N	2048	58a750c8	90bfa4ea06f38e67fe4286d37d151632439249d2	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	earthinv	earthinv.g	\N	\N	2048	b91742f1	8d9ca92405fbaf1d5a7138d400986616378d061e	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	earthinv	earthinv.f	\N	\N	2048	4acbbc60	b8c1efb4251a1e690ff6936ec956d6f66136a085	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	earthinv	earthinv.e	\N	\N	2048	df397b12	e7e8c080cb6baf342ec637532e05d38129ae73cf	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	exed	\N	\N	\N	\N	\N	Exed Exes	1985	Capcom	\N	\N	\N	
game_rom	SAGE_v1.16	exed	11m_ee04.bin	\N	\N	16384	44140dbd	7b56f614f7cd7655ffa3e1f4adba5a20fa25822d	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	exed	10m_ee03.bin	\N	\N	16384	bf72cfba	9f0b9472890db95e16a71f26da954780d5ec7c16	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	exed	09m_ee02.bin	\N	\N	16384	7ad95e2f	53fd8d6985d08106bab45e83827a509486d640b7	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	exed	11e_ee01.bin	\N	\N	16384	73cdf3b2	c9f2c91011bdeecec8fa76a42d95f3a5ec77cec9	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	exed	05c_ee00.bin	\N	\N	8192	cadb75bd	2086be5e295e5d870bcb35f116cc925f811b7583	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	exed	h01_ee08.bin	\N	\N	16384	96a65c1d	3b49c64b32f01ec72cf2d943bfe3aa575d62a765	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	exed	a03_ee06.bin	\N	\N	16384	6039bdd1	01156e02ed59e6c1e55204729e515cd4419568fb	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	exed	a02_ee05.bin	\N	\N	16384	b32d8252	738225146ba38f2a9216fda278838e7ebb29a0bb	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	exed	j11_ee10.bin	\N	\N	16384	bc83e265	ac9b4cce9e539c560414abf2fc239910f2bfbb2d	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	exed	j12_ee11.bin	\N	\N	16384	0e0f300d	2f973748e459b16673115abf7de8615219e39fa4	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	exed	c01_ee07.bin	\N	\N	16384	3625a68d	83010ca356385b713bafe03a502c566f6a9a8365	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	exed	h04_ee09.bin	\N	\N	8192	6057c907	886790641b84b8cd659d2eb5fd1adbabdd7dad3d	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	galagabl	\N	\N	\N	\N	\N	Gallag	1982	bootleg	\N	\N	\N	
game_rom	SAGE_v1.16	galagabl	galagabl.1_1	\N	\N	4096	a3a0f743	6907773db7c002ecde5e41853603d53387c5c7cd	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galagabl	galagabl.1_2	\N	\N	4096	5eda60a7	853d7b974dd04abd7af3a8ba2681dfabce4dce18	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galagabl	galagabl.1_3	\N	\N	4096	753ce503	481f443aea3ed3504ec2f3a6bfcf3cd47e2f8f81	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galagabl	galagabl.1_4	\N	\N	4096	83874442	366cb0dbd31b787e64f88d182108b670d03b393e	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galagabl	galagabl.1_5	\N	\N	4096	3102fccd	d29b68d6aab3217fa2106b3507b9273ff3f927bf	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galagabl	galagabl.1_7	\N	\N	4096	8995088d	d6cb439de0718826d1a0363c9d77de8740b18ecf	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galagabl	galagabl.1_6	\N	\N	4096	001b70bc	b465eee91e75257b7b049d49c0064ab5fd66c576	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galagabl	galagabl.1_8	\N	\N	4096	169a98a4	edbeb11076061e744ea88d9899dbdfe0964c7e78	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galagabl	galagabl.1_a	\N	\N	4096	ad447c80	e697c180178cabd1d32483c5d8889a40633f7857	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galagabl	galagabl.1_9	\N	\N	4096	dd6f1afc	c340ed8c25e0979629a9a1730edc762bd72d0cff	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	galmidw	\N	\N	\N	\N	\N	Galaxian (Midway)	1979	[Namco] (Midway license)	\N	\N	\N	
game_rom	SAGE_v1.16	galmidw	galaxian.u	\N	\N	2048	745e2d61	e65f74e35b1bfaccd407e168ea55678ae9b68edf	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galmidw	galaxian.v	\N	\N	2048	9c999a40	02fdcd95d8511e64c0d2b007b874112d53e41045	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galmidw	galaxian.w	\N	\N	2048	b5894925	0046b9ed697a34d088de1aead8bd7cbe526a2396	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galmidw	galaxian.y	\N	\N	2048	6b3ca10b	18d8714e5ef52f63ba8888ecc5a25b17b3bf17d1	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galmidw	galaxian.z	\N	\N	2048	cb24f797	e6bb977ded0654c2c7388aad188059e1e0647908	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galmidw	galaxian.1j	\N	\N	2048	84decf98	2e565cb6057b1816a6b4541e6dfadd3c3762fa36	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galmidw	galaxian.1k	\N	\N	2048	c31ada9e	237ebb48549b34ca59a13cc2706512d957413ec4	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	galnamco	\N	\N	\N	\N	\N	Galaxian (Namco, modified)	1979	hack	\N	\N	\N	
game_rom	SAGE_v1.16	galnamco	galaxian.u	\N	\N	2048	acfde501	4b72c1ffecaccadc541da2367f3ef70a2a9aed64	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galnamco	galaxian.v	\N	\N	2048	65cf3c77	1c5249815816b395e1e04bf6a7dbb63e40faa0e3	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galnamco	galaxian.w	\N	\N	2048	9eef9ae6	b2282e4edb8911e6aabfa936c3526f90381e1320	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galnamco	galaxian.y	\N	\N	2048	56a5ddd1	1f87f647ebdffba28d5957f195448f6bce17f4d5	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galnamco	galaxian.z	\N	\N	2048	f4bc7262	c4b70e474d49f45cec96f7c250bd77e01e18601a	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galnamco	galaxian.1h	\N	\N	2048	39fb43a4	4755609bd974976f04855d51e08ec0d62ab4bc07	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galnamco	galaxian.1k	\N	\N	2048	7e3f56a2	a9795d8b7388f404f3b0e2c6ce15d713a4c5bafa	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	galap1	\N	\N	\N	\N	\N	Space Invaders Galactica	1979	hack	\N	\N	\N	
game_rom	SAGE_v1.16	galap1	galx_1.rom	\N	\N	10240	b22ee816	9e228a29df22f30c14932dcf79ba49cbd7d534d0	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galap1	galx_1c1.rom	\N	\N	2048	84decf98	2e565cb6057b1816a6b4541e6dfadd3c3762fa36	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galap1	galx_1c2.rom	\N	\N	2048	c31ada9e	237ebb48549b34ca59a13cc2706512d957413ec4	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	galap4	\N	\N	\N	\N	\N	Galaxian Part 4	1979	hack	\N	\N	\N	
game_rom	SAGE_v1.16	galap4	galx_4.rom	\N	\N	10240	e88a3eea	b520d046641e4611348166c454a73a8b0ff7d667	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galap4	galx_4c1.rom	\N	\N	2048	d5e88ab4	737a22e406fd0a97d10e93a2c91c3aa61aebbdef	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galap4	galx_4c2.rom	\N	\N	2048	a57b83e4	335d8674df1d237a4b83da00eb9aee346bc2e901	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	galturbo	\N	\N	\N	\N	\N	Galaxian Turbo	1979	hack	\N	\N	\N	
game_rom	SAGE_v1.16	galturbo	galaxian.u	\N	\N	2048	e8f3aa67	a0e9576784dbe602dd9780e667f01f31defd7c00	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galturbo	galaxian.v	\N	\N	2048	bc16064e	4e3220fd63c8184bf9581a89dffb6944d8fae3bb	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galturbo	galaxian.w	\N	\N	2048	ddeabdae	daa5109a32c7c9a80bdb212dc3e4e3e3c104a731	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galturbo	galaxian.y	\N	\N	2048	a44f450f	4009834afb45e9b23c7cf058bcd3378ef8601872	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galturbo	galaxian.z	\N	\N	2048	3247f3d4	5754dedc2d06736629d85514b2e7c262ce27bf2d	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galturbo	galaxian.1h	\N	\N	2048	a713fd1a	abf86fe5cb7243a1a36d7ac0a868577a3360dcca	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galturbo	galaxian.1k	\N	\N	2048	28511790	dec2e183a753295d033a56184c973bbc810abf55	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	galxwars	\N	\N	\N	\N	\N	Galaxy Wars	1979	Taito	\N	\N	\N	
game_rom	SAGE_v1.16	galxwars	galxwars.0	\N	\N	1024	608bfe7f	a41a40a2f0a1bb61a70b9ff8a7da925ab1db7f74	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galxwars	galxwars.1	\N	\N	1024	a810b258	030a72fffcf240f643bc3006028cb4883cf58bbc	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galxwars	galxwars.2	\N	\N	1024	74f31781	1de70e8ebbb26eea20ffedb7bd0ca051a67f45e7	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galxwars	galxwars.3	\N	\N	1024	c88f886c	4d705fbb97e3868c3f6c90c5e5753ad17cfbf5d6	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galxwars	galxwars.4	\N	\N	1024	ae4fe8fb	494f44167dc84e4515b769c12f6e24419461dce4	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	galxwars	galxwars.5	\N	\N	1024	37708a35	df6fd521ddfa146ef93e390e47741bdbfda1e7ba	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	gng	\N	\N	\N	\N	\N	Ghosts'n Goblins (World? set 1)	1985	Capcom	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg3.bin	\N	\N	32768	9e01c65e	a87880d87c64a6d61313c3bc69c8d49511e0f9c3	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg4.bin	\N	\N	16384	66606beb	4c640f49be93c7d2b12d4d4c56c56e74099b6c2f	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg5.bin	\N	\N	32768	d6397b2b	39aa3cb8c229e60ac0ac410ff61e0c09dba78501	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg2.bin	\N	\N	32768	615f5b6f	7ef9ec5c2072e21c787a6bbf700033f50c759c1d	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg1.bin	\N	\N	16384	ecfccf07	0a1518e19a2e0a4cc3dde4b9568202ea911b5ece	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg11.bin	\N	\N	16384	ddd56fa9	f9d77eee5e2738b7e83ba02fcc55dd480391479f	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg10.bin	\N	\N	16384	7302529d	8434c994cc55d2586641f3b90b6b15fd65dfb67c	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg9.bin	\N	\N	16384	20035bda	bbb1fba0eb19471f66d29526fa8423ccb047bd63	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg8.bin	\N	\N	16384	f12ba271	1c42fa02cb27b35d10c3f7f036005e747f9f6b79	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg7.bin	\N	\N	16384	e525207d	1947f159189b3a53f1251d8653b6e7c65c91fc3c	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg6.bin	\N	\N	16384	2d77e9b2	944da1ce29a18bf0fc8deff78bceacba0bf23a07	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg17.bin	\N	\N	16384	93e50a8f	42d367f57bb2fdf60a0445ac1533da99cfeaa617	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg16.bin	\N	\N	16384	06d7e5ca	9e06012bcd82f98fad43de666ef9a75979d940ab	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg15.bin	\N	\N	16384	bc1fe02d	e3a1421d465b87148ffa94f5673b2307f0246afe	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg14.bin	\N	\N	16384	6aaf12f9	207a7407288182a4f3eddaea634c6a6452131182	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg13.bin	\N	\N	16384	e80c3fca	cb641c25bb04b970b2cbeca41adb792bbe142fb5	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	gng	gg12.bin	\N	\N	16384	7780a925	3f129ca6d695548b659955fe538584bd9ac2ff17	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	invdelux	\N	\N	\N	\N	\N	Space Invaders Deluxe	1980	Midway	\N	\N	\N	
game_rom	SAGE_v1.16	invdelux	invdelux.h	\N	\N	2048	e690818f	0860fb03a64d34a9704a1459a5e96929eafd39c7	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	invdelux	invdelux.g	\N	\N	2048	4268c12d	df02419f01cf0874afd1f1aa16276751acd0604a	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	invdelux	invdelux.f	\N	\N	2048	f4aa1880	995d77b67cb4f2f3781c2c8747cb058b7c1b3412	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	invdelux	invdelux.e	\N	\N	2048	408849c1	f717e81017047497a2e9f33f0aafecfec5a2ed7d	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	invdelux	invdelux.d	\N	\N	2048	e8d5afcd	91fde9a9e7c3dd53aac4770bd169721a79b41ed1	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	revenge	\N	\N	\N	\N	\N	Invader's Revenge	1979	Zenitone Microsec	\N	\N	\N	
game_rom	SAGE_v1.16	revenge	invrvnge.h	\N	\N	2048	aca41bbb	ca71f792abd6d9a44d15b19d2ccf678e82ccba4f	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	revenge	invrvnge.g	\N	\N	2048	cfe89dad	218b6a0b636c49c4cdc3667e8b1387ef0e257115	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	revenge	invrvnge.f	\N	\N	2048	e350de2c	e845565e2f96f9dec3242ec5ab75910a515428c9	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	revenge	invrvnge.e	\N	\N	2048	1ec8dfc8	fc8fbe1161958f57c9f4ccbcab8a769184b1c562	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	lrescue	\N	\N	\N	\N	\N	Lunar Rescue	1979	Taito	\N	\N	\N	
game_rom	SAGE_v1.16	lrescue	lrescue.1	\N	\N	2048	2bbc4778	0167f1ac1501ab0b4c4e555023fa5efed59d56ae	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	lrescue	lrescue.2	\N	\N	2048	49e79706	bed675bb97d59ae0132c007ccead0d096ed2ddf1	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	lrescue	lrescue.3	\N	\N	2048	1ac969be	67ac47f45b9fa5c530bf6047bb7d5776b52847be	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	lrescue	lrescue.4	\N	\N	2048	782fee3c	668295e9d6d99084bb4e7c5491f00fe75f4f5a88	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	lrescue	lrescue.5	\N	\N	2048	58fde8bc	663665ac5254204c1eba18357d9867034eae55eb	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	lrescue	lrescue.6	\N	\N	2048	bfb0f65d	ea0943d764a16094b6e2289f62ef117c9f838c98	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	mooncrst	\N	\N	\N	\N	\N	Moon Cresta (Gremlin)	1980	Gremlin	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr194	\N	\N	2048	0e5582b1	946ad4aeb10c0b7b3f93fd24925cc9bcb49e443c	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr195	\N	\N	2048	12cb201b	ebb01ec646b9e015cbcb93f70dfdaf448afefc12	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr196	\N	\N	2048	18255614	b373e22d47c0f7facba13148ca9c462ec9a0d732	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr197	\N	\N	2048	05ac1466	cbf93a8ce0925fa1c073c74f1274b190d9faefaf	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr198	\N	\N	2048	c28a2e8f	9ff6bab1e1185597ba55cb0d6086091a1fce01a6	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr199	\N	\N	2048	5a4571de	2a4170dee105922fc69c99b79f6f328098e81918	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr200	\N	\N	2048	b7c85bf1	cc9f593658ea39c849d80c83ee0c2170cc29879e	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr201	\N	\N	2048	2caba07f	8fec4904e12b4cfb6068784007278be986a3eede	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr203	\N	\N	2048	be26b561	cc27de6888eaf4ee18c0d37d9bcb528dd282b838	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr172	\N	\N	2048	13932a15	b8885c555c6ad7021be55c6925a0a0872c1b6abd	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr202	\N	\N	2048	26c7e800	034192e5e2cbac4b66a9828f5ec2311c2c368781	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mooncrst	epr171	\N	\N	2048	24cfd145	08c6599db170dd6ee364c44f70a0f5c0f881b6ef	\N	\N	\N	\N	\N	\N	
game	SAGE_v1.16	mrdo	\N	\N	\N	\N	\N	Mr. Do! (Taito)	1982	Universal (Taito license)	\N	\N	\N	
game_rom	SAGE_v1.16	mrdo	d1	\N	\N	8192	3dcd9359	bfe00450ee8822f437d87514f051ad1be6de9463	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mrdo	d2	\N	\N	8192	710058d8	168cc179f2266bbf9437445bef9ff7d3358a8e6b	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	mrdo	d3	\N	\N	8192	467d12d8	7bb85e6a780de1c0c224229ee571cab39098f78d	\N	\N	\N	\N	\N	\N	
