game	Replay_v0.04	1942	\N	\N	\N	\N	\N	1942 (set 2)	1984	Capcom	\N	\N	\N	
game_rom	Replay_v0.04	atlantis	2c	\N	\N	2048	0e485b9a	976f1d6f4552fbee134359a776b5688588824cbb	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	atlantis	2e	\N	\N	2048	c1640513	a0dfb34f401330b16e9e4d66ec4b49d120499606	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	atlantis	2f	\N	\N	2048	eec265ee	29b6cf6b93220414eb58cddeba591dc8813c4935	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	atlantis	2h	\N	\N	2048	a5d2e442	e535d1a501ebd861ad62da70b87215fb7c23de1d	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	atlantis	2j	\N	\N	2048	45f7cf34	d1e0e0be6dec377b684625bdfdc5a3a8af847492	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	atlantis	2l	\N	\N	2048	f335b96b	17daa6d9bc916081f3c6cbdfe5b4960177dc7c9b	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	atlantis	5f	\N	\N	2048	57f9c6b9	ad0d09a6611998d093d676a9c9fe9e32b10f643e	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	atlantis	5h	\N	\N	2048	e989f325	947aee915779687deae040aeef9e9aee680aaebf	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	bagman	\N	\N	\N	\N	\N	Bagman (Stern set 2)	1982	Valadon Automation (Stern license)	\N	\N	\N	
game_rom	Replay_v0.04	bagman	a4_9e.bin	\N	\N	4096	5fb0a1a3	849cd60b58de9585a78a1c4c1747f666a4a4fcc3	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bagman	a4_9f.bin	\N	\N	4096	7871206e	14d9b7a0779d59a870e0d4b911797dff5435a16c	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bagman	a4_9j.bin	\N	\N	4096	b2da8b77	ea36cd6be42c5548a9a91054aeebb4b985ba15c9	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bagman	a4_9k.bin	\N	\N	4096	36b6a944	270dd2566b36129366adcbdd5a8db396bec7631f	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bagman	a4_9m.bin	\N	\N	4096	b8e75eb6	433fd736512f10bc0879b15821eb55cc41d58d33	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bagman	a4_9n.bin	\N	\N	4096	83fccb1c	7225d738b64a2cdaaec8860017de4229f2852ed2	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bagman	a2_1e.bin	\N	\N	4096	f217ac09	a9716674401dff27344a01df8121b6b648688680	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bagman	a2_1j.bin	\N	\N	4096	c680ef04	79406bc786374abfcd9f548268c445b5c8d8858d	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bagman	a2_1c.bin	\N	\N	4096	f3e11bd7	43ee00ff777008c89f619eb183e7c5e63f6c7694	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bagman	a2_1f.bin	\N	\N	4096	d0f7105b	fb382703850a4ded567706e02ebb7f3e22531b7c	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	blaster	\N	\N	\N	\N	\N	Blaster	1983	Williams	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.11	\N	\N	8192	6371e62f	dc4173d2ee88757a6ac0838acaee325eadc2c4fb	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.12	\N	\N	8192	9804faac	e61218fe190ad268af48d611d140d8f4cd38e4c7	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.17	\N	\N	4096	bf96182f	e25a02508eecf79ea1ae5d45278a60becc6c7dcc	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.16	\N	\N	4096	54a40b21	663c7b539e6f1f065a4ecae7bb0477c71951223f	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.13	\N	\N	8192	f4dae4c8	211dcbe085a30419d649afe10ca7c4017d909bd7	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.15	\N	\N	16384	1ad146a4	5ab3d9618023b59bc329a9eeef986901867a639b	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.8	\N	\N	16384	f110bbb0	314dea232a3706509399348c7415f933c64cea1b	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.9	\N	\N	16384	5c5b0f8a	224f89c85b2b1ca511d006180b8d994fccbdfb6b	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.10	\N	\N	16384	d47eb67f	5dcde8be1a7b1927b90ffab3219dc47c5b2f20e4	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.6	\N	\N	16384	47fc007e	3a80b9b7ae460e9732f7c1cdd465a5b06ded970f	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.5	\N	\N	16384	15c1b94d	5d97628541eb8933870c3ffd3646b7aaf8af6af5	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.14	\N	\N	16384	aea6b846	04cb4b5eb000471a0cec377a5236ac8c83529528	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.7	\N	\N	16384	7a101181	5f1581911ea7fe3e63ce1b9c50b1d3bf081dbf81	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.1	\N	\N	16384	8d0ea9e7	34f8e2e99748bed29285f7e4929bb920960ab03e	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.2	\N	\N	16384	03c4012c	53f0adc91e5f1ac58b08b3a6d2de8de5a40bebab	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.4	\N	\N	16384	fc9d39fb	126d43a64471bbf4b40aeda8913d50e82d254f9c	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blaster	blaster.3	\N	\N	16384	253690fb	06cb2ef95bb06b3618392e298aa690e1f75bc977	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	blueprnt	\N	\N	\N	\N	\N	Blue Print (Midway)	1982	[Zilec] Bally Midway	\N	\N	\N	
game_rom	Replay_v0.04	blueprnt	1m	\N	\N	4096	b20069a6	aa0a61c898ec58fc4872a24666f422e1abdc09f3	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blueprnt	1n	\N	\N	4096	4a30302e	a3a22b78585cc9677bf03bbfeb20afb05f026075	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blueprnt	1p	\N	\N	4096	6866ca07	a0df14eee9240fad42ceb6f926d34755e8442411	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blueprnt	1r	\N	\N	4096	5d3cfac3	7e6ab8398d799aaf0fcaa0769a827471d8c872e9	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blueprnt	1s	\N	\N	4096	a556cac4	0fe7070c70792d883c29f3d12a33238b5ed8af22	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blueprnt	c3	\N	\N	4096	ac2a61bc	e56708d261648478d1dae4769118546411299e59	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blueprnt	d3	\N	\N	4096	81fe85d7	fa637631d25f7499d2325cce77d11e1d624f5e07	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blueprnt	d17	\N	\N	4096	a73b6483	9f7756d032a8ffaa4aa236fc5117f476916986e0	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blueprnt	d18	\N	\N	4096	7d622550	8283debff8253996513148629ec55831e48e8e92	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	blueprnt	d20	\N	\N	4096	2fcb4f26	508cb2800737bad0a7dea0789d122b7c802aecfd	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	bnj	\N	\N	\N	\N	\N	Bump 'n' Jump	1982	Data East USA (Bally Midway license)	\N	\N	\N	
game_rom	Replay_v0.04	bnj	bnj12b.bin	\N	\N	8192	ba3e3801	56284076d938c33c1492a07281b936681eb09808	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bnj	bnj12c.bin	\N	\N	8192	fb3a2cdd	4a964389cc8035b9264d4cb133eb6d3826e74b95	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bnj	bnj12d.bin	\N	\N	8192	b88bc99e	08a4ddea4037f9e14d0d9f4262a1746b0a3a140c	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bnj	bnj6c.bin	\N	\N	4096	8c02f662	1279d564e65fd3ccac25b1f9fbb40d910de2b544	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bnj	bnj4e.bin	\N	\N	8192	b864d082	cacf71fa6c0f7121d077381a0ff6222f534295ab	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bnj	bnj4f.bin	\N	\N	8192	6c31d77a	5e52554f594f569527af4768d244cc40a7b4460a	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bnj	bnj4h.bin	\N	\N	8192	5824e6fb	e98f0eb476b8f033f5cc70a6e503afc4e651fd45	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bnj	bnj10e.bin	\N	\N	4096	f4e9eb49	b356512d2ebd4e2005e76496b434e5ecebadb251	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bnj	bnj10f.bin	\N	\N	4096	a9ffacb4	49d5f9c0b695f474197fbb761bacc065b6b5808a	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	boblbobl	\N	\N	\N	\N	\N	Bobble Bobble	1986	bootleg	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb10	\N	\N	32768	d0af35c5	c5a89f4d73acc0db86654540b3abfd77b3757db5	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb11	\N	\N	32768	7b5369a8	1307b26d80e6f36ebe6c442bebec41d20066eaf9	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb12	\N	\N	32768	6b61a413	44eddf12fb46fceca2addbe6da929aaea7636b13	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb13	\N	\N	32768	b5492d97	d5b045e3ebaa44809757a4220cefb3c6815470da	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb14	\N	\N	32768	d69762d5	3326fef4e0bd86681a3047dc11886bb171ecb609	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb15	\N	\N	32768	9f243b68	32dce8d311a4be003693182a999e4053baa6bb0a	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb16	\N	\N	32768	66e9438c	b94e62b6fbe7f4e08086d0365afc5cff6e0ccafd	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb17	\N	\N	32768	9ef863ad	29f91b5a3765e4d6e6c3382db1d8d8297b6e56c8	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb1	\N	\N	32768	ae11a07b	af7a335c8da637103103cc274e077f123908ebb7	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb3	\N	\N	32768	01f81936	a48489a13bfd01949e7fd273029d9cb8bfd7be48	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb4	\N	\N	32768	afda99d8	304324074ae726501bbb08e683850639d69939fb	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb5	\N	\N	32768	13118eb1	5a5da40c2cc82420f70bc58ffa32de1088c6c82f	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb6	\N	\N	32768	20358c22	2297af6c53d5807bf90a8e081075b8c72a994fc5	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb7	\N	\N	32768	930168a9	fd358c3c3b424bca285f67a1589eb98a345ff670	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb8	\N	\N	32768	9773e512	33c1687ee575d66bf0e98add45d06da827813765	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	boblbobl	bb9	\N	\N	32768	d045549b	0c12077d3ddc2ce6aa45a0224ad5540f3f218446	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	bombjack	\N	\N	\N	\N	\N	Bomb Jack (set 2)	1984	Tehkan	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	09_j01b.bin	\N	\N	8192	c668dc30	51dd6a2688b42e9f28f0882bd76f75be7ec3222a	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	10_l01b.bin	\N	\N	8192	52a1e5fb	e1cdc4b4efbc6c7a1e4fa65019486617f2acba1b	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	11_m01b.bin	\N	\N	8192	b68a062a	43bae56494ac0202aaa8f1ed5c1ed1bff775b2b8	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	12_n01b.bin	\N	\N	8192	1d3ecee5	8b3c49e21ea4952cae7042890d1be2115f7d6fda	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	13_r01b.bin	\N	\N	8192	bcafdd29	d243eb1249e885aa75fc910fce6e7744770d6e82	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	03_e08t.bin	\N	\N	4096	9f0470d5	94ef52ef47b4399a03528fe3efeac9c1d6983446	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	04_h08t.bin	\N	\N	4096	81ec12e6	e29ba193f21aa898499187603b25d2e226a07c7b	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	05_k08t.bin	\N	\N	4096	e87ec8b1	a66808ef2d62fca2854396898b86bac9be5f17a3	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	06_l08t.bin	\N	\N	8192	51eebd89	515128a3971fcb97b60c5b6bdd2b03026aec1921	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	07_n08t.bin	\N	\N	8192	9dd98e9d	6db6006a6e20ff7c243d88293ca53681c4703ea5	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	08_r08t.bin	\N	\N	8192	3155ee7d	e7897dca4c145f10b7d975b8ef0e4d8aa9354c25	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	16_m07b.bin	\N	\N	8192	94694097	de71bcd67f97d05527f2504fc8430be333fb9ec2	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	15_l07b.bin	\N	\N	8192	013f58f2	20c64593ab9fcb04cefbce0cd5d17ce3ff26441b	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	14_j07b.bin	\N	\N	8192	101c858d	ed1746c15cdb04fae888601d940183d5c7702282	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bombjack	02_p04t.bin	\N	\N	4096	398d4a02	ac18a8219f99ba9178b96c9564de3978e39c59fd	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	bosco	\N	\N	\N	\N	\N	Bosconian (Midway, old version)	1981	[Namco] (Midway license)	\N	\N	\N	
game_rom	Replay_v0.04	bosco	2300.3n	\N	\N	4096	db6128b0	ddd285f7e00d5e58ab9b15838528e0020d47fcd2	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bosco	2400.3m	\N	\N	4096	86907614	3295ab6c5171a069875c2239b3325296c1df6031	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bosco	2500.3l	\N	\N	4096	a21fae11	dff38d90ee30558274d2d399edc3281c2ef5cb69	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bosco	2600.3k	\N	\N	4096	11d6ae23	f2f72f5c777b684f7ffd53b9c034560211113499	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	bosco	2700.3j	\N	\N	4096	7254e65e	c2ee29fcb5173e8d46a80a8a1b931a53dbdeae66	\N	\N	\N	\N	\N	\N	
