game	System_16_v0.82a	alexkidd	\N	\N	\N	\N	\N	Alex Kidd (Bootleg)	1986	Sega	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.a9	\N	\N	262144	2293427d	4fd07763ff060afd594e3f64fa4750577f56c80e	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.a10	\N	\N	262144	3b6b4c55	970495c54b3e1893ee8060f6ca1338c2cbbd1074	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.a11	\N	\N	262144	7829c4f3	3adb7aa7f70163d3848c98316e18b9783c41d663	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.b1	\N	\N	262144	df5d0a61	79ad71de348f280bad847566c507b7a31f022292	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.b2	\N	\N	262144	787afab8	a119042bb2dad54e9733bfba4eaab0ac5fc0f9e7	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.b3	\N	\N	262144	4e01b477	4178ce4a87ea427c3b0195e64acef6cddfb3485f	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.b8	\N	\N	262144	de9221ed	5e2e434d1aa547be1e5652fc906d2e18c5122023	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.b9	\N	\N	262144	e668eefb	d4a087a238b4d3ac2d23fe148d6a73018e348a89	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.b10	\N	\N	262144	eb510228	4cd387b160ec7050e1300ebe708853742169e643	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.b11	\N	\N	262144	a782b704	ba15bdfbc267b8d86f03e5310ce60846ff846de3	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	mpr13076.bin	\N	\N	262144	94e6c76e	f99e58a9bf372c41af211bd9b9ea3ac5b924c6ed	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	mpr13077.bin	\N	\N	262144	e2ec0d8d	225b0d223b7282cba7710300a877fb4a2c6dbabb	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	mpr13078.bin	\N	\N	262144	15684dc5	595051006de24f791dae937584e502ff2fa31d9c	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	epr13083.bin	\N	\N	131072	5df3af20	e49105fcfd5bf37d14bd760f6adca5ce2412883d	\N	\N	\N	\N	\N	\N	
game	System_16_v0.82a	atomicp	\N	\N	\N	\N	\N	Atomic Point - da fixare	1990	Philko	\N	\N	\N	
game_rom	System_16_v0.82a	atomicp	ap-t1.bin	\N	\N	65536	5c65fe56	aaf3b6f932c090b839817140c105f13c7d6b4ae2	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	atomicp	ap-t2.bin	\N	\N	65536	97421047	18d61260470da7a0bef532f81df567a613c0d821	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	atomicp	ap-t3.bin	\N	\N	32768	dddc122c	3411eae360ccd615636fb85e9738affc33c2c0ad	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	atomicp	ap-t4.bin	\N	\N	32768	332e58f4	cf5aeb6c14018cbd8f222a0ecf85ccf467f294a8	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	atomicp	ap-t5.bin	\N	\N	32768	ef5ecd6b	07edc8ea4c0a5ad421df7f97e7a62a5e12a8dbd0	\N	\N	\N	\N	\N	\N	
game	System_16_v0.82a	aurail	\N	\N	\N	\N	\N	Aurail	1990	Sega / Westone	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.a1	\N	\N	131072	4f370b2b	66beb4264d569520d80f8915e1c1fddbf61efb21	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.a2	\N	\N	131072	37cf9cb4	f51cee874ad8a824462d2475a23e7016ef64c6b4	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.a3	\N	\N	131072	049698ef	dca1a78f0156cfac9acbfb6e47eb3897b579d2ec	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.a4	\N	\N	131072	77a8989e	0ad0877a9814fb7c2fb79062a50b1f9ce9420768	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.a10	\N	\N	32768	b5183fb9	c8372b57fa486256d49dc5851d6b17c92de593fb	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.a14	\N	\N	131072	0fc4a7a8	b46b22a6b0ead19551e67abfb3304c52b02b8d29	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.a15	\N	\N	131072	1c49852f	d08d6991c203400f685fada2445a22a7eceeee04	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.a16	\N	\N	131072	047bde5e	e759baedcbb637a6c14af461b8a492554cadc9e4	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b1	\N	\N	131072	5fa0a9f8	d9d67cc006a608d48e37aa89359f1a9403172b00	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b2	\N	\N	131072	5f6b33b1	5d397bdaa2c7a9ce82cc9134bfeb78418dc613b0	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b3	\N	\N	131072	4e80520b	8147793ee0023ac18f633d756ecc53aef1980e95	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b4	\N	\N	131072	5733c428	865203ebee9d98e67324c46915d8835d0289ee0c	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b5	\N	\N	131072	0d1b54da	c7a6393f9e13adabe93b7a86aa7845c5f4d188f1	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b6	\N	\N	131072	bad340c3	e04ef028e44054d34831d3617c5a6348823cfebd	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b7	\N	\N	131072	7e9165ac	32114095f96fb0ae385c9bf31dd97a99ef182aaa	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b8	\N	\N	131072	66b8f9b3	4bf003a9bed40673d88df51a314eb6bd10f0d039	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b10	\N	\N	131072	f76014bf	b44f0b6fb9dee927d81c62282aa946d8c35766ca	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b11	\N	\N	131072	1061e7da	bad3560f1ed6a5a79f4ecf85d3843b24ecf22d19	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b12	\N	\N	131072	7dbcfbf1	0b7be1de57f83b1213805489c6ebfc0f1e5fb4b0	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b13	\N	\N	131072	551df422	cf4cd2b66335853c7c6cce949e79c05e93a39666	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b14	\N	\N	131072	e08135e0	cd748f4a8f67f562174fa9c6edb966c77b488e75	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b15	\N	\N	131072	e14c6684	f9b0d45e01a6df2b3875b493db9fa41bf37d79f0	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	aurail.b16	\N	\N	131072	6309fec4	f90c9679bade3cfbaa7949e412410c29d5bfa4d3	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	13445	\N	\N	131072	28dfc3dd	b1d6d3e31a48062a91cc9b7b6ff68bfde0a3ea1c	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	13447	\N	\N	131072	70a52167	51512d4ee1e63902375b197cf04170744b099d88	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	13576	\N	\N	131072	1e428d94	53c0c2d946822157974c8505fd301f8001fc3401	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aurail	13577	\N	\N	131072	6701b686	ce1e99a516b34241bfe2fbe42d105970ad6e6ddb	\N	\N	\N	\N	\N	\N	
game	System_16_v0.82a	dduxbl	\N	\N	\N	\N	\N	Dynamite Dux (Bootleg)	1989	bootleg	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb01.bin	\N	\N	32768	0dbef0d7	8b9afb2fcb946cec467b1e691c267194b503f841	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb02.bin	\N	\N	131072	d8ed3132	a9d5ad8f79fb635cc234a99fad398688a5f15926	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb03.bin	\N	\N	131072	e7526012	a1798008bfa1ce9b87dc330f3817b1978052fcfd	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb04.bin	\N	\N	131072	30c6cb92	2e17c74eeb37c9731fc2e365cc0114f7383c0106	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb05.bin	\N	\N	131072	459d1237	55e9c0dc341c919d58cc789203642c397d7ac65e	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb06.bin	\N	\N	65536	b0079e99	9bb4d3fa804a3d05a6e06b45a1280d7064e96ac6	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb07.bin	\N	\N	65536	0217369c	b6ec2fa1279a27a602d79e1073c54193745ea816	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb08.bin	\N	\N	65536	8844f336	18c1baaad3bcc658d4a6d03de8c97378b5284e88	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb09.bin	\N	\N	65536	6b64f665	df07fcf2bbec6fa78f89b95272762aebd6f3ec0e	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb10.bin	\N	\N	65536	0be3aee5	48fc779b7398abbb82cd0d0d28705ece75b3c4e3	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb11.bin	\N	\N	65536	cfb2af18	1ad18f933a7b797f0364d1f4a6c8549351b4c9a6	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb12.bin	\N	\N	65536	28ce9b15	1640df9c8f21893c0647ad2f4210c714a06e6f37	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb13.bin	\N	\N	65536	efe57759	69b8969b20ab9480df2735bd2bcd527069196bd7	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb14.bin	\N	\N	65536	664bd135	674b06e01c2c8f5b8057dd24d470330c3f140473	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb15.bin	\N	\N	65536	ce0d2b30	e60521c46f1650c9bdc76f2ceb91a6d61aaa0a09	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	dduxbl	dduxb16.bin	\N	\N	65536	6de95434	7bed2a0261cf6c2fbb3756633f05f0bb2173977c	\N	\N	\N	\N	\N	\N	
game	System_16_v0.82a	eswatbl	\N	\N	\N	\N	\N	E-Swat (Bootleg)	1989	bootleg	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	eswat_a.rom	\N	\N	32768	2af4fc62	f7b1539a5ab9560bd49dfecf44699abccfb649be	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	eswat_b.rom	\N	\N	65536	87c6b1b5	a9f29e29a9c0e3daf272dce263a5fd7866642c77	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	eswat_c.rom	\N	\N	65536	1028cc81	24b4cd182419a44f3d6afa1c4273353024eb278f	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	eswat_d.rom	\N	\N	32768	b4751e19	57c9687dc864c163d13dbb89057cd42684a199cd	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	eswat_e.rom	\N	\N	65536	937ddf9a	9fc73f93e9c4221a4dc778593edc02cb405b2f78	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	eswat_f.rom	\N	\N	65536	f7b2d388	8131ba8f4fa01751b9993c3c6c218c9bd3adb328	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	ic8.bin	\N	\N	32768	7efecf23	2b87af7cfaab5942a3f7b38c987fcba01d3475ab	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	ic9.bin	\N	\N	262144	0d1530bf	bb8626cd98761c1c20cee117d00315c85621ba6a	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	ic10.bin	\N	\N	262144	32069246	4913009bc72bf4f8b171b14fe06457f5784cab15	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	ic11.bin	\N	\N	262144	f6b096e0	695ad1adbdc29f4d614645867e16de038cf92709	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	ic12.bin	\N	\N	262144	18ff0799	5417223378aef16ee2b4f438d1f8f11a23fe7265	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	ic13.bin	\N	\N	262144	a3dfe436	640ccc552114d403f35d441574d2f3e4f1d4a8f9	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	ic14.bin	\N	\N	262144	6773fef6	91e646ea447be02254d060daf255d26afe0cc79e	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	ic19.bin	\N	\N	262144	375a5ec4	42b9116bdc0e0a5b1dd667ac1856b4c2252829ba	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	ic20.bin	\N	\N	262144	3b8c757e	0b66e8446d059a12e47e2a6fe8f0a333245bb95c	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	eswatbl	ic21.bin	\N	\N	262144	3efca25c	0d866bf53a16b52719f73081e933f4db27d72ece	\N	\N	\N	\N	\N	\N	
game	System_16_v0.82a	fantzone	\N	\N	\N	\N	\N	Fantasy Zone	1986	Sega	\N	\N	\N	
