game	Calice_v0.6.6	1941	\N	\N	\N	\N	\N	1941 - Counter Attack (World)	1990	Capcom	\N	\N	\N	
game	Calice_v0.6.6	3wonders	\N	\N	\N	\N	\N	Three Wonders (World)	1991	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	rte.30a	\N	\N	131072	ef5b8b33	2313168e5f10505ceece5fdaada0d30df3ca146c	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	rte.35a	\N	\N	131072	7d705529	b456629b5755b701cca8a438d24957367a260ec5	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	rte.31a	\N	\N	131072	32835e5e	9ec530561030a75a1283ff2aacc21e55613b682b	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	rte.36a	\N	\N	131072	7637975f	56935032eebd3e1c5059f6842b97001dae0aa55f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.28	\N	\N	131072	054137c8	e4c406e0a32198323a5931093fbaa6836510b8ad	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.33	\N	\N	131072	7264cb1b	b367acb9f6579569321ecaa98a14e29dd775b9db	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	rte.29a	\N	\N	131072	cddaa919	0c98e95ad5033d2c5ade7651243e7ccdb4e35463	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	rte.34a	\N	\N	131072	ed52e7e5	352433ae484967d26376141e3a8a0f968b98fde6	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.05	\N	\N	524288	86aef804	723927ef3bf992d12395c52db051ece7bf57d5e5	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.07	\N	\N	524288	4f057110	b7d35c883a74cf4bfb242d9f15a0e40ed1ec111f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.01	\N	\N	524288	902489d0	748ba416a8b9343059a3e7d8b93f02162feb1d0b	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.03	\N	\N	524288	e35ce720	6c1a87a1f819bdc20408b5a7823cf35a79d34110	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.06	\N	\N	524288	13cb0e7c	e429d594d9a7ff4cc6306e2796a9d6ad0fa25569	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.08	\N	\N	524288	1f055014	d64f5be9bb2ef761ca9b2e797dbc3554cf996a79	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.02	\N	\N	524288	e9a034f4	deb4cb5886705380b57d4fe9b9bf3c032e1d6227	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.04	\N	\N	524288	df0eea8b	5afa05654cccb0504bd44569d42fd68f08fd172f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.09	\N	\N	65536	abfca165	428069d3bdc45775854cd0e8abe447f134fe5492	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.18	\N	\N	131072	26b211ab	0ea03fdd9edff41eacfc52aa9e0421c10968356b	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	3wonders	3wonders.19	\N	\N	131072	dbe64ad0	09f2ad522fe75d7bcca094b8c6696c3733b539d5	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	wonder3	\N	\N	3wonders	3wonders	\N	Wonder 3 (Japan)	1991	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	rtj36.bin	\N	\N	131072	e3741247	4deb0f667697631693fbefddaeb8cf98fd0b90ce	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	rtj42.bin	\N	\N	131072	b4baa117	44486b3d50f9b0a8c32c2c2dc5f1a046aface7b6	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	rtj37.bin	\N	\N	131072	a1f677b0	e1511ea0fa4a689d1355119ac37c075192880dde	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	rtj43.bin	\N	\N	131072	85337a47	0a247aa56c5cc17b1e888df7b502f65e88715469	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.28	3wonders.28	\N	131072	054137c8	e4c406e0a32198323a5931093fbaa6836510b8ad	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.33	3wonders.33	\N	131072	7264cb1b	b367acb9f6579569321ecaa98a14e29dd775b9db	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	rtj35.bin	\N	\N	131072	e72f9ea3	c63df200416bd61af73e8589204f7daef743041e	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	rtj41.bin	\N	\N	131072	a11ee998	b892398e2ff4e40e51b858cfdbce866a75c670e6	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.05	3wonders.05	\N	524288	86aef804	723927ef3bf992d12395c52db051ece7bf57d5e5	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.07	3wonders.07	\N	524288	4f057110	b7d35c883a74cf4bfb242d9f15a0e40ed1ec111f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.01	3wonders.01	\N	524288	902489d0	748ba416a8b9343059a3e7d8b93f02162feb1d0b	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.03	3wonders.03	\N	524288	e35ce720	6c1a87a1f819bdc20408b5a7823cf35a79d34110	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.06	3wonders.06	\N	524288	13cb0e7c	e429d594d9a7ff4cc6306e2796a9d6ad0fa25569	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.08	3wonders.08	\N	524288	1f055014	d64f5be9bb2ef761ca9b2e797dbc3554cf996a79	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.02	3wonders.02	\N	524288	e9a034f4	deb4cb5886705380b57d4fe9b9bf3c032e1d6227	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.04	3wonders.04	\N	524288	df0eea8b	5afa05654cccb0504bd44569d42fd68f08fd172f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	rt23.bin	\N	\N	65536	7d5a77a7	4f2a6534d7a9e518061102c1dd7d7aca39600c33	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.18	3wonders.18	\N	131072	26b211ab	0ea03fdd9edff41eacfc52aa9e0421c10968356b	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	wonder3	3wonders.19	3wonders.19	\N	131072	dbe64ad0	09f2ad522fe75d7bcca094b8c6696c3733b539d5	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	dwj	\N	\N	\N	\N	\N	Tenchi wo Kurau (Japan)	1989	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	36.bin	\N	\N	131072	1a516657	f5c7c3bfd482eb59221cfd3eec4d47e717b04efa	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	42.bin	\N	\N	131072	12a290a0	29fd3f77c497ef8db48121301beab2862ca380b4	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	37.bin	\N	\N	131072	932fc943	1bd1c696072e61db791c075fae8936dece73d1d8	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	43.bin	\N	\N	131072	872ad76d	77cfb380dd358eb9e65894a026e0718918c5b68f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	34.bin	\N	\N	131072	8f663d00	77811783c87c7aee058b8533e34049a01047258a	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	40.bin	\N	\N	131072	1586dbf3	d9f03e001effdef021a9ceda512e73a24726fca1	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	35.bin	\N	\N	131072	9db93d7a	f75e3fb5273baef0cd5d8eea26f07d5acaa743ca	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	41.bin	\N	\N	131072	1aae69a4	56e4761818f7857bc7520f2b8de90eabd857c577	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	24.bin	\N	\N	131072	c6909b6f	2828bd6bdc8e3f87a4a37d4e20bdff86cb6850c9	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	17.bin	\N	\N	131072	2e2f8320	7bcb80447d9ce7cc9a38e2506196acd6bf50b49f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	25.bin	\N	\N	131072	152ea74a	c0c56b1bdfa0d7fdea040dbcc6ff871e5957a5b6	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	18.bin	\N	\N	131072	1833f932	81f94d26bdb6758736ca02d7b1772801be4da181	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	26.bin	\N	\N	131072	07fc714b	eda97a3c5596ebdfa61bdd01d39647c89b9a2f13	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	19.bin	\N	\N	131072	7114e5c6	2f2925b942af50781857f4fe74e9a58f2cf7b883	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	27.bin	\N	\N	131072	a27e81fa	b25854d4a7e52d500c19445badb4cfe745d88d23	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	20.bin	\N	\N	131072	002796dc	2dba0434916dd82c59a66e2f3ce8d3165713c308	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	09.bin	\N	\N	131072	c3e83c69	bd361a39dc6428fea8f56ebbe5cdcc4bf63a51f0	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	01.bin	\N	\N	131072	187b2886	b16121f57926d9fd2c3bc82ae6babf6a2297f140	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	10.bin	\N	\N	131072	ff28f8d0	c8c4851816f17a4a0494164f5e8cc910f16669e8	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	02.bin	\N	\N	131072	cc83c02f	915e9d7acec1ba7a2035ae140f576839eba8694f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	11.bin	\N	\N	131072	29eaf490	42fcb67c7014e0ad62cde9e77c79e61268647528	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	03.bin	\N	\N	131072	7bf51337	c21938029641ebcbc484680cf8a57186cdde220f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	12.bin	\N	\N	131072	38652339	930a035bbe34c81c26d774d2ab45f53a3a9205fb	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	04.bin	\N	\N	131072	4951bc0f	07f424c147d787321b668d787216733c35e2cff9	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	38.bin	\N	\N	131072	cd7923ed	29187b99847a4b56f2f1763d086b8e7dc5cebed7	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	32.bin	\N	\N	131072	21a0a453	ace38c5943f9f744212cfdb7caa2caa43312e82c	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	39.bin	\N	\N	131072	bc09b360	de2c9a42490db79c8e5fe57b9107f1adbe5dd241	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	33.bin	\N	\N	131072	89de1533	e48312e37c0f98faeec91546acde5daf0da8f6b3	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	28.bin	\N	\N	131072	af62bf07	a6e0f598de1fa8a4960e89d655b7514572ed6310	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	21.bin	\N	\N	131072	523f462a	b0fc9e29d6ca44aafb20a62355bde9f4b4cf1e43	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	29.bin	\N	\N	131072	6b41f82d	111af606d8107d377e3af618584a75ed6cfc9bbd	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	22.bin	\N	\N	131072	52145369	bd422f0c51cdd62b69229f926569ad05d430bd57	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	13.bin	\N	\N	131072	0273d87d	7803b04d72eedb4c8b39f63fea458cfef0034813	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	05.bin	\N	\N	131072	339378b8	c3dfe7039e4572b9ef56166346f3cbc6f6ab07c1	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	14.bin	\N	\N	131072	18fb232c	c690ca668a56c756c04ef5db4900eb3fd34897e7	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	06.bin	\N	\N	131072	6f9edd75	e8d43c0ec2165e88aefbb5c92048fbcd06fe578b	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	15.bin	\N	\N	131072	d36cdb91	66ab873ce285e857f30294dd1c9b1dda0c6c6b76	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	07.bin	\N	\N	131072	e04af054	f227b8a0a3d8f41e1922d184eaec7a1243c7c3af	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	16.bin	\N	\N	131072	381608ae	666e15e61c7c59df5a97bdc2d77db611d60b3ca8	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	08.bin	\N	\N	131072	b475d4e9	dc5d223bc2a27904e6e38b68507d2e87fbbde158	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	23.bin	\N	\N	65536	b3b79d4f	2b960545741d3b9a53ffbf3ed83030392aa02698	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	30.bin	\N	\N	131072	7e5f6cb4	c7b6b7d6dfe5f9f0e1521e7ce990229f480cf68d	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	dwj	31.bin	\N	\N	131072	4a30c737	426eb90f2edf73eb468c94b4a094da3d46acbab2	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	ffight	\N	\N	\N	\N	\N	Final Fight (World)	1989	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff30-36.bin	\N	\N	131072	f9a5ce83	0756ae576a1f6d5b8b22f8630dca40ef38567ea6	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff35-42.bin	\N	\N	131072	65f11215	5045a467f3e228c02b4a355b52f58263ffa90113	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff31-37.bin	\N	\N	131072	e1033784	38f44434c8befd623953ae23d6e5ff4e201d6627	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff36-43.bin	\N	\N	131072	995e968a	de16873d1639ac1738be0937270b108a9914f263	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff32-32m.bin	\N	\N	524288	c747696e	d3362dadded31ccb7eaf71ef282d698d18edd722	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff01-01m.bin	\N	\N	524288	0b605e44	5ce16af72858a57aefbf6efed820c2c51935882a	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff05-05m.bin	\N	\N	524288	9c284108	7868f5801347340867720255f8380548ad1a65a7	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff03-03m.bin	\N	\N	524288	52291cd2	df5f3d3aa96a7a33ff22f2a31382942c4c4f1111	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff07-07m.bin	\N	\N	524288	a7584dfb	f7b00a3ca8cb85264ab293089f9f540a8292b49c	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff09-09.bin	\N	\N	65536	b8367eb5	ec3db29fdd6200e9a8f4f8073a7e34aef731354f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff18-18.bin	\N	\N	131072	375c66e7	36189e23209ce4ae5d9cbabd1574540d0591e7b3	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffight	ff19-19.bin	\N	\N	131072	1ef137f9	974b5e72aa28b87ebfa7438efbdfeda769dedf5e	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	ffightu	\N	\N	ffight	ffight	\N	Final Fight (US)	1989	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	36	\N	\N	131072	e2a48af9	11e06f95bdf575af396dded2b84d858f6c7388f1	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	42	\N	\N	131072	f4bb480e	32114df1d2f4f98a4a2280a330c7b6af8ab4d862	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	37	\N	\N	131072	c371c667	633977c91a8ff09b7fe83128eced7c4dee9aee1d	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	43	\N	\N	131072	2f5771f9	fb532402bc00b5619a23dfa7e4525f1717020303	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	ff32-32m.bin	ff32-32m.bin	\N	524288	c747696e	d3362dadded31ccb7eaf71ef282d698d18edd722	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	ff01-01m.bin	ff01-01m.bin	\N	524288	0b605e44	5ce16af72858a57aefbf6efed820c2c51935882a	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	ff05-05m.bin	ff05-05m.bin	\N	524288	9c284108	7868f5801347340867720255f8380548ad1a65a7	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	ff03-03m.bin	ff03-03m.bin	\N	524288	52291cd2	df5f3d3aa96a7a33ff22f2a31382942c4c4f1111	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	ff07-07m.bin	ff07-07m.bin	\N	524288	a7584dfb	f7b00a3ca8cb85264ab293089f9f540a8292b49c	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	ff09-09.bin	ff09-09.bin	\N	65536	b8367eb5	ec3db29fdd6200e9a8f4f8073a7e34aef731354f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	ff18-18.bin	ff18-18.bin	\N	131072	375c66e7	36189e23209ce4ae5d9cbabd1574540d0591e7b3	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	ffightu	ff19-19.bin	ff19-19.bin	\N	131072	1ef137f9	974b5e72aa28b87ebfa7438efbdfeda769dedf5e	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	mtwins	\N	\N	\N	\N	\N	Mega Twins (World)	1990	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	che_30.rom	\N	\N	131072	9a2a2db1	57524e76311afc8ab5d5affa76c85cb1be5a1faf	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	che_35.rom	\N	\N	131072	a7f96b02	b5fda02e5069f9e1cdafbacf98334510e9af8fcd	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	che_31.rom	\N	\N	131072	bbff8a99	1f931fad9f43a1494f3b8dbcf910156d5b0bd458	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	che_36.rom	\N	\N	131072	0fa00c39	6404d91590c5c521c8fe944a0aa7091e35b664ae	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	ch_32.rom	\N	\N	524288	9b70bd41	28ec37d9d0ace5b9fd212fdc02e0f13dc280c068	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	ch_gfx1.rom	\N	\N	524288	f33ca9d4	480d90ff16f27777cc7d7de6925ed6378b35dc27	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	ch_gfx5.rom	\N	\N	524288	4ec75f15	a4669e3864009b01894406db784116ad5cd2eced	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	ch_gfx3.rom	\N	\N	524288	0ba2047f	efee13b955c2ded52700025cecbb9fb301098b61	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	ch_gfx7.rom	\N	\N	524288	d85d00d6	ca6ddcbfbb0f9ad98dc19f09e879fdac5b62d168	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	ch_09.rom	\N	\N	65536	4d4255b7	81a76b58043af7252a854b7efc4109957ef0e679	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	ch_18.rom	\N	\N	131072	f909e8de	2dd5bd4076e7d5ded98b72919f868ea700df2e4f	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	mtwins	ch_19.rom	\N	\N	131072	fc158cf7	294b93d0aea60663ffe96364671552e944a1264b	\N	\N	\N	\N	\N	\N	
game	Calice_v0.6.6	chikij	\N	\N	mtwins	mtwins	\N	Chiki Chiki Boys (Japan)	1990	Capcom	\N	\N	\N	
game_rom	Calice_v0.6.6	chikij	chj36a.bin	\N	\N	131072	ec1328d8	a7111f9c264c56d1c6474ec3ad90e394a32a86f6	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	chikij	chj42a.bin	\N	\N	131072	4ae13503	c47db0445e107ad4fb62b74e277a7dc2b4d9b7ea	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	chikij	chj37a.bin	\N	\N	131072	46d2cf7b	5cb7ed3003d89a08882d4dcd326c8fd9430f0eac	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	chikij	chj43a.bin	\N	\N	131072	8d387fe8	7832ecd487b5ef4e49b5ea78e80e52f8e2dcaa17	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	chikij	ch_32.rom	ch_32.rom	\N	524288	9b70bd41	28ec37d9d0ace5b9fd212fdc02e0f13dc280c068	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	chikij	ch_gfx1.rom	ch_gfx1.rom	\N	524288	f33ca9d4	480d90ff16f27777cc7d7de6925ed6378b35dc27	\N	\N	\N	\N	\N	\N	
game_rom	Calice_v0.6.6	chikij	ch_gfx5.rom	ch_gfx5.rom	\N	524288	4ec75f15	a4669e3864009b01894406db784116ad5cd2eced	\N	\N	\N	\N	\N	\N	
