game	Rockulator++_v0.98a	1942	\N	\N	\N	\N	\N	1942 (set 2)	1984	Capcom	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mtrap	mtl7a.bin	\N	\N	4096	caafbb6d	96823ac4e49f192121c53f70382a20f7c52e290b	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mtrap	mtl6a.bin	\N	\N	4096	d85e52ca	51296247e365a468fe9458b722bbdbbeeed59fa0	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mtrap	mta5a.bin	\N	\N	2048	dbe4ec02	34e965428dbb4b9c558927bb80d19cb550b53228	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mtrap	mta6a.bin	\N	\N	2048	c00f0c05	398b0bc2a7e54b1e2326ed067bf6bb15cc52ed39	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mtrap	mta7a.bin	\N	\N	2048	f3f16ca7	3928c5da246c43036a7b4cbb140a1734d5f1fb03	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mtrap	mtl11d.bin	\N	\N	2048	c6e4d339	b091923e4d52e93d7c567afba217a10b2a3735fc	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	nibbler	\N	\N	\N	\N	\N	Nibbler (set 2)	1982	Rock-ola	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic12	\N	\N	4096	6dfa1be5	bb265702a2f74cb7d5ba27081f9fb2fe01dd95a5	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic07	\N	\N	4096	808e1a03	a747a16ee0c8cb803b72ac84e80f791b2bf1813a	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic08	\N	\N	4096	1571d4a2	42cbaa262c2265d904fd5844c0d3c63d3beb67a8	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic09	\N	\N	4096	a599df10	68ee8b5199ec24409fcbb40c887a1eec44c68dcf	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic10	\N	\N	4096	a6b5abe5	a0f228dac801a54dfa1947d6b2f6b4e3d005e0b2	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic14	\N	\N	4096	9f537185	619df63f4df38014dc229f614043f867e6a5aa51	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic15	\N	\N	4096	7205fb8d	bc341bc11a383aa8b8dd7b2be851907a3ec56f8b	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic16	\N	\N	4096	4bb39815	1755c28d7d300524ab839aedcc744254544e9c19	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic17	\N	\N	4096	ed680f19	b44203585f32ebe2a3bf0597eac7c0faa7e81a92	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic50	\N	\N	4096	01d4d0c2	5a8026210a872351ce4e39e27f6479d3ca0689e2	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic51	\N	\N	4096	feff7faf	50005502578a4ea9b9c8f36998670b787d2d0b20	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic52	\N	\N	2048	87d67dee	bd292eab3671cb953279f3136a450deac3818367	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	nibbler	ic53	\N	\N	2048	33189917	01a1b1693db0172609780daeb60430fa0c8bcec2	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	pepper2	\N	\N	\N	\N	\N	Pepper II	1982	Exidy	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pepper2	main_12a	\N	\N	4096	33db4737	d8f7a5d340ddbc4d06d403c3bff0102ce637d24e	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pepper2	main_11a	\N	\N	4096	a1f43b1f	a669f2ef55d9a0617110f65863822fdcaf153511	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pepper2	main_10a	\N	\N	4096	4d7d7786	ea1390b887404a67ea556720219e81007b954a7d	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pepper2	main_9a	\N	\N	4096	b3362298	7adad138ec5f94caa39f9c0fabece538d5db4913	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pepper2	main_8a	\N	\N	4096	64d106ed	49646a97def9e1793cac6ee0044f68232b294e4f	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pepper2	main_7a	\N	\N	4096	b1c6f07c	53d07211d014336bb43671c51f4190c6515e9cde	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pepper2	main_6a	\N	\N	4096	515b1046	bdcccd4e415c00ee8e5ec185597df75ecafe7d3d	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pepper2	audio_5a	\N	\N	2048	90e3c781	d51a9e011167a132e8af9f4b1201600a58e86b62	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pepper2	audio_6a	\N	\N	2048	dd343e34	4ec55bb73d6afbd167fa91d2606d1d55a15b5c39	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pepper2	audio_7a	\N	\N	2048	e02b4356	9891e14d84221c1d6f2d15a29813eb41024290ca	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pepper2	main_11d	\N	\N	2048	b25160cd	3d768552960a3a660891dcb85da6a5c382b33991	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	phoenix	\N	\N	\N	\N	\N	Phoenix (Taito)	1980	Taito	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.45	\N	\N	2048	5b8c55a8	839c1ca9766f730ec3accd48db70f6429a9c3362	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.46	\N	\N	2048	dbc942fa	9fe224e6ced407289dfa571468259a021d942b7d	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.47	\N	\N	2048	cbbb8839	b7f449374cac111081559e39646f973e7e99fd64	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.48	\N	\N	2048	cb65eff8	63e674d680972d3744d66b943e8546f3b77ee6d4	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.49	\N	\N	2048	c8a5d6d6	ef6ade323544e3edd4101609138ecf35e8cb9577	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.50	\N	\N	2048	ac5e9ec1	0402e5241d99759d804291998efd43f37ce99917	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.51	\N	\N	2048	2eab35b4	849bf8273317cc869bdd67e50c68399ee8ece81d	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.52	\N	\N	2048	b9915263	f61396077b23364b5b26f62c6923394d23a37eb3	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.23	\N	\N	2048	3c7e623f	e7ff5fc371664af44785c079e92eeb2d8530187b	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.24	\N	\N	2048	59916d3b	71aec70a8e096ed1f0c2297b3ae7dca1b8ecc38d	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.39	\N	\N	2048	53413e8f	d772358505b973b10da840d204afb210c0c746ec	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	phoenix	phoenix.40	\N	\N	2048	0be2ba91	af9243ee23377b632b9b7d0b84d341d06bf22480	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	pisces	\N	\N	\N	\N	\N	Pisces	1979	*Unknown*	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pisces	pisces.a1	\N	\N	2048	856b8e1f	24d468b5f06f54c3fa1cb54ceec8a0c8e285430e	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pisces	pisces.a2	\N	\N	2048	055f9762	9d821874dd48a80651adc58a2f7fe5d2b3ed67bc	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pisces	pisces.b2	\N	\N	2048	5540f2e4	b069a7e46fa2c1f732371ef056caaf8f343e11a8	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pisces	pisces.c1	\N	\N	2048	44aaf525	667bf4c3a36169c3ddddd22b2f1f90bcc9308548	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pisces	pisces.d1	\N	\N	2048	fade512b	ccef2650f1d9dc3fdde2d441774246d47febc2cc	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pisces	pisces.e2	\N	\N	2048	5ab2822f	bbcac3aab943dd9b173de11ddf02ff75d16b1582	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pisces	pisces.1j	\N	\N	4096	2dba9e0e	edfb974766b57327ac846426a3a9583b33a4b7c9	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pisces	pisces.1k	\N	\N	4096	cdc5aa26	72a396d142a775bb39231d700308b8bd7aff7f75	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	pleiades	\N	\N	\N	\N	\N	Pleiads (Centuri)	1981	Tehkan (Centuri license)	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.47	\N	\N	2048	711e2ba0	62d9108b9066d3e2b99c712daf2b9412704970cc	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.48	\N	\N	2048	93a36943	7cb4a9e8b60e28415df8401373ff4e595eaab7f5	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.49	\N	\N	2048	87e700bb	0f352b5461da957c564920fd1da83bc81f41ffb9	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.50	\N	\N	2048	5a9beba0	e9cf03c88d8db2a7cf97877a103cfdd1fe3f459e	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.51	\N	\N	2048	1d828719	54857a3de9f4c9c5f18b0d46cf428b4171f839e9	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.52	\N	\N	2048	f1a8a00d	5c183e3a73fa882ffec3cb9219fb5619e625591a	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.53	\N	\N	2048	037b319c	2ff7a7777a63326e2abca2d1881df33a8e3f8561	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.54	\N	\N	2048	ca264c7c	3a6adfaa935a1a11cb62e73b9f43b228b711c2da	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.45	\N	\N	2048	8dbd3785	700cb9eb8ea64be99d843910cebcd29d601ab2e9	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.44	\N	\N	2048	0db3e436	cd1825775b0a10df66d2ccc01cb4b6a9a3d2141a	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.27	\N	\N	2048	85866607	cd240bd056f761b2f9e2142049434f02cae3e315	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	pleiades	pleiades.26	\N	\N	2048	a841d511	8349008ab1d8ef08775b54170c37deb1d391fffc	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	scramble	\N	\N	\N	\N	\N	Scramble (Stern)	1981	[Konami] (Stern license)	\N	\N	\N	
game_rom	Rockulator++_v0.98a	scramble	2d	\N	\N	2048	b89207a1	5422df979e82bcc73df49f50515fe76c126c037b	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	scramble	2e	\N	\N	2048	e9b4b9eb	a8ee9ddfadf5e9accedfaf81da757a88a2e55a0a	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	scramble	2f	\N	\N	2048	a1f14f4c	3eae2b3e4596505a8afb5c5cfb108e823c2c4319	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	scramble	2h	\N	\N	2048	591bc0d9	170f9e92f0a3bee04407be27210b4fa825367688	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	scramble	2j	\N	\N	2048	22f11b6b	e426ef6a7444a39a34d59799973b07d11b89f372	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	scramble	2l	\N	\N	2048	705ffe49	174df3f281068c767344f751daace646360e26d6	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	scramble	2m	\N	\N	2048	ea26c35c	a2f3380982d93a022f46756f974fd16c4cd617de	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	scramble	2p	\N	\N	2048	94d8f5e3	f3a9c4d1d91836476fcad87ea0d243dde7171e0a	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	scramble	5c	\N	\N	2048	bcd297f0	8ed78487d76fd0a917ab7b258937a46e2cd9800c	\N	\N	\N	\N	\N	\N	
