game	Callus95_v0.42_patch_2.4	1941	\N	\N	\N	\N	\N	1941 - Counter Attack (World)	1990	Capcom	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	41_gfx5.rom	41_gfx5.rom	\N	524288	01d1cb11	621e5377d1aaa9f7270d85bea1bdeef6721cdd05	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	41_gfx3.rom	41_gfx3.rom	\N	524288	983be58f	83a4decdd775f859240771269b8af3a5981b244c	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	41_gfx7.rom	41_gfx7.rom	\N	524288	aeaa3509	6124ef06d9dfdd879181856bd49853f1800c3b87	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	41_09.rom	41_09.rom	\N	65536	0f9d8527	3a00dd5772f38081fde11d8d61ba467379e2a636	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	41_18.rom	41_18.rom	\N	131072	d1f15aeb	88089383f2d54fc97026a67f067d448eee5bd0c2	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	41_19.rom	41_19.rom	\N	131072	15aec3a6	8153c03aba005bab62bf0e8b3d15ec1c346326fd	\N	\N	\N	\N	\N	\N	
game	Callus95_v0.42_patch_2.4	3wonders	\N	\N	\N	\N	\N	Three Wonders (US)	1991	Capcom	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.30	\N	\N	131072	0b156fd8	1ec811cd7cbd12066f876db7255394e754ceb25e	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.35	\N	\N	131072	57350bf4	33e8685cce82eee7bcb7c2787318a130764e97e2	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.31	\N	\N	131072	0e723fcc	91eeab6376a5aa852152af9920aef60bc7c689dd	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.36	\N	\N	131072	523a45dc	6d6743803016fa5ba713e0d6f61affce8a3255ec	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.28	\N	\N	131072	054137c8	e4c406e0a32198323a5931093fbaa6836510b8ad	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.33	\N	\N	131072	7264cb1b	b367acb9f6579569321ecaa98a14e29dd775b9db	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.29	\N	\N	131072	37ba3e20	a128b1a17639b06a4fd8acffe0357f1dbd1d4fe9	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.34	\N	\N	131072	f99f46c0	cda24a6baa3f861e7078fb2fa91328cc1cddc866	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.01	\N	\N	524288	902489d0	748ba416a8b9343059a3e7d8b93f02162feb1d0b	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.02	\N	\N	524288	e9a034f4	deb4cb5886705380b57d4fe9b9bf3c032e1d6227	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.05	\N	\N	524288	86aef804	723927ef3bf992d12395c52db051ece7bf57d5e5	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.06	\N	\N	524288	13cb0e7c	e429d594d9a7ff4cc6306e2796a9d6ad0fa25569	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.03	\N	\N	524288	e35ce720	6c1a87a1f819bdc20408b5a7823cf35a79d34110	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.04	\N	\N	524288	df0eea8b	5afa05654cccb0504bd44569d42fd68f08fd172f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.07	\N	\N	524288	4f057110	b7d35c883a74cf4bfb242d9f15a0e40ed1ec111f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.08	\N	\N	524288	1f055014	d64f5be9bb2ef761ca9b2e797dbc3554cf996a79	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.09	\N	\N	65536	abfca165	428069d3bdc45775854cd0e8abe447f134fe5492	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.18	\N	\N	131072	26b211ab	0ea03fdd9edff41eacfc52aa9e0421c10968356b	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	3wonders	3wonders.19	\N	\N	131072	dbe64ad0	09f2ad522fe75d7bcca094b8c6696c3733b539d5	\N	\N	\N	\N	\N	\N	
game	Callus95_v0.42_patch_2.4	wonder3	\N	\N	3wonders	3wonders	\N	Wonder 3 (Japan)	1991	Capcom	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	rtj36.bin	\N	\N	131072	e3741247	4deb0f667697631693fbefddaeb8cf98fd0b90ce	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	rtj42.bin	\N	\N	131072	b4baa117	44486b3d50f9b0a8c32c2c2dc5f1a046aface7b6	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	rtj37.bin	\N	\N	131072	a1f677b0	e1511ea0fa4a689d1355119ac37c075192880dde	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	rtj43.bin	\N	\N	131072	85337a47	0a247aa56c5cc17b1e888df7b502f65e88715469	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.28	3wonders.28	\N	131072	054137c8	e4c406e0a32198323a5931093fbaa6836510b8ad	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.33	3wonders.33	\N	131072	7264cb1b	b367acb9f6579569321ecaa98a14e29dd775b9db	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	rtj35.bin	\N	\N	131072	e72f9ea3	c63df200416bd61af73e8589204f7daef743041e	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	rtj41.bin	\N	\N	131072	a11ee998	b892398e2ff4e40e51b858cfdbce866a75c670e6	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.01	3wonders.01	\N	524288	902489d0	748ba416a8b9343059a3e7d8b93f02162feb1d0b	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.02	3wonders.02	\N	524288	e9a034f4	deb4cb5886705380b57d4fe9b9bf3c032e1d6227	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.05	3wonders.05	\N	524288	86aef804	723927ef3bf992d12395c52db051ece7bf57d5e5	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.06	3wonders.06	\N	524288	13cb0e7c	e429d594d9a7ff4cc6306e2796a9d6ad0fa25569	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.03	3wonders.03	\N	524288	e35ce720	6c1a87a1f819bdc20408b5a7823cf35a79d34110	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.04	3wonders.04	\N	524288	df0eea8b	5afa05654cccb0504bd44569d42fd68f08fd172f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.07	3wonders.07	\N	524288	4f057110	b7d35c883a74cf4bfb242d9f15a0e40ed1ec111f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.08	3wonders.08	\N	524288	1f055014	d64f5be9bb2ef761ca9b2e797dbc3554cf996a79	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	rt23.bin	\N	\N	65536	7d5a77a7	4f2a6534d7a9e518061102c1dd7d7aca39600c33	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.18	3wonders.18	\N	131072	26b211ab	0ea03fdd9edff41eacfc52aa9e0421c10968356b	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	wonder3	3wonders.19	3wonders.19	\N	131072	dbe64ad0	09f2ad522fe75d7bcca094b8c6696c3733b539d5	\N	\N	\N	\N	\N	\N	
game	Callus95_v0.42_patch_2.4	captcomm	\N	\N	\N	\N	\N	Captain Commando (World)	1991	Capcom	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	cce_23d.rom	\N	\N	524288	19c58ece	6e23e87db29b2c5698b7cead99d1106a2e190648	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	cc_22d.rom	\N	\N	524288	a91949b7	c027af89cd8f6bd3aaed61114582322c42e0c74f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	cc_24d.rom	\N	\N	131072	680e543f	cfa963ab6329f615807db213bf53841860ed3149	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	cc_28d.rom	\N	\N	131072	8820039f	d68ce0b34ade75b8c5214168b2b1e0cdff45cd52	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	gfx_02.rom	\N	\N	524288	00637302	2c554b59cceec2de67a9a4bc6281fe846d3c8cd2	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	gfx_06.rom	\N	\N	524288	0c69f151	a170b8e568439e4a26d84376d53560e4248e4e2f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	gfx_01.rom	\N	\N	524288	7261d8ba	4b66292e42d20d0b79a756f0e445492ddb9c6bbc	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	gfx_05.rom	\N	\N	524288	28718bed	dfdc4dd14dc609783bad94d608a9e9b137dea944	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	gfx_04.rom	\N	\N	524288	cc87cf61	7fb1f49494cc1a08aded20754bb0cefb1c323198	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	gfx_08.rom	\N	\N	524288	1f9ebb97	023d00cb7b6a52d1b29e2052abe08ef34cb0c55c	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	gfx_03.rom	\N	\N	524288	6a60f949	87391ff92abaf3e451f70d789a938cffbd1fd222	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	gfx_07.rom	\N	\N	524288	d4acc53a	d03282ebbde362e679cc97f772aa9baf163d7606	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	cc_09.rom	\N	\N	65536	698e8b58	b7a3d905a7ed2c430426ca2e185e3d7e75e752a1	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	cc_18.rom	\N	\N	131072	6de2c2db	9a1eaba8d104f59a5e61f89679bb5de0c0c64364	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomm	cc_19.rom	\N	\N	131072	b99091ae	b19197c7ad3aeaf5f41c26bf853b0c9b502ecfca	\N	\N	\N	\N	\N	\N	
game	Callus95_v0.42_patch_2.4	captcomj	\N	\N	captcomm	captcomm	\N	Captain Commando (Japan)	1991	Capcom	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	cc23.bin	\N	\N	524288	5b482b62	c871aa1eb9ecc117c3079995d1f5212193bd2e12	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	cc22.bin	\N	\N	524288	0fd34195	fb2b9a53af43507f13c4f94eaebbf0b538b2e754	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	cc24.bin	\N	\N	131072	3a794f25	7f3722a4ef0c1d7acb73e6bac9dd6ae7b35e6374	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	cc28.bin	\N	\N	131072	fc3c2906	621c3b79b6fdea1665bb316eb539e5916e890656	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	gfx_02.rom	gfx_02.rom	\N	524288	00637302	2c554b59cceec2de67a9a4bc6281fe846d3c8cd2	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	gfx_06.rom	gfx_06.rom	\N	524288	0c69f151	a170b8e568439e4a26d84376d53560e4248e4e2f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	gfx_01.rom	gfx_01.rom	\N	524288	7261d8ba	4b66292e42d20d0b79a756f0e445492ddb9c6bbc	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	gfx_05.rom	gfx_05.rom	\N	524288	28718bed	dfdc4dd14dc609783bad94d608a9e9b137dea944	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	gfx_04.rom	gfx_04.rom	\N	524288	cc87cf61	7fb1f49494cc1a08aded20754bb0cefb1c323198	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	gfx_08.rom	gfx_08.rom	\N	524288	1f9ebb97	023d00cb7b6a52d1b29e2052abe08ef34cb0c55c	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	gfx_03.rom	gfx_03.rom	\N	524288	6a60f949	87391ff92abaf3e451f70d789a938cffbd1fd222	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	gfx_07.rom	gfx_07.rom	\N	524288	d4acc53a	d03282ebbde362e679cc97f772aa9baf163d7606	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	cc_09.rom	cc_09.rom	\N	65536	698e8b58	b7a3d905a7ed2c430426ca2e185e3d7e75e752a1	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	cc_18.rom	cc_18.rom	\N	131072	6de2c2db	9a1eaba8d104f59a5e61f89679bb5de0c0c64364	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomj	cc_19.rom	cc_19.rom	\N	131072	b99091ae	b19197c7ad3aeaf5f41c26bf853b0c9b502ecfca	\N	\N	\N	\N	\N	\N	
game	Callus95_v0.42_patch_2.4	captcomu	\N	\N	captcomm	captcomm	\N	Captain Commando (US)	1991	Capcom	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	23b	\N	\N	524288	03da44fd	0bf382933b4b44082bbaf63e96acd83ab8808a34	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	22c	\N	\N	524288	9b82a052	8247fe45fea8c47072a66d6707202bcdb8c62923	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	24b	\N	\N	131072	84ff99b2	5b02c91f3d0f8fb46db9596136b683f5a22dc15f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	28b	\N	\N	131072	fbcec223	daf484baece5b3a11f3dcabb758b8bdd736a1fb6	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	gfx_02.rom	gfx_02.rom	\N	524288	00637302	2c554b59cceec2de67a9a4bc6281fe846d3c8cd2	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	gfx_06.rom	gfx_06.rom	\N	524288	0c69f151	a170b8e568439e4a26d84376d53560e4248e4e2f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	gfx_01.rom	gfx_01.rom	\N	524288	7261d8ba	4b66292e42d20d0b79a756f0e445492ddb9c6bbc	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	gfx_05.rom	gfx_05.rom	\N	524288	28718bed	dfdc4dd14dc609783bad94d608a9e9b137dea944	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	gfx_04.rom	gfx_04.rom	\N	524288	cc87cf61	7fb1f49494cc1a08aded20754bb0cefb1c323198	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	gfx_08.rom	gfx_08.rom	\N	524288	1f9ebb97	023d00cb7b6a52d1b29e2052abe08ef34cb0c55c	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	gfx_03.rom	gfx_03.rom	\N	524288	6a60f949	87391ff92abaf3e451f70d789a938cffbd1fd222	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	gfx_07.rom	gfx_07.rom	\N	524288	d4acc53a	d03282ebbde362e679cc97f772aa9baf163d7606	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	cc_09.rom	cc_09.rom	\N	65536	698e8b58	b7a3d905a7ed2c430426ca2e185e3d7e75e752a1	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	cc_18.rom	cc_18.rom	\N	131072	6de2c2db	9a1eaba8d104f59a5e61f89679bb5de0c0c64364	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	captcomu	cc_19.rom	cc_19.rom	\N	131072	b99091ae	b19197c7ad3aeaf5f41c26bf853b0c9b502ecfca	\N	\N	\N	\N	\N	\N	
game	Callus95_v0.42_patch_2.4	cawing	\N	\N	\N	\N	\N	Carrier Air Wing (World)	1990	Capcom	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	cae_30a.rom	\N	\N	131072	91fceacd	4845999a96fee829264346ca399fdd64a8408001	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	cae_35a.rom	\N	\N	131072	3ef03083	297dfc9ec1e0f07d6083bf5efaa0de8d0fb361fa	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	cae_31a.rom	\N	\N	131072	e5b75caf	4d04220c78620867b7598deea5685bbe88298ae6	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	cae_36a.rom	\N	\N	131072	c73fd713	fa202c252b2cc5972d42d634c466d89cf8b5d178	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	ca_32.rom	\N	\N	524288	0c4837d4	1c61958b43066b59d86eb4bae0b52c3109be4b07	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	ca_gfx1.rom	\N	\N	524288	4d0620fd	5f62cd551b6a230edefd81fa60c10c84186ca804	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	ca_gfx5.rom	\N	\N	524288	66d4cc37	d355ea64ff29d228dcbfeee72bcf11882bf1cd9d	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	ca_gfx3.rom	\N	\N	524288	0b0341c3	c31f0e78f49d94ea9dea20eb0cbd98a6c613bcbf	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	ca_gfx7.rom	\N	\N	524288	b6f896f2	bdb6820b81fbce77d7eacb01777af7c380490402	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	ca_9.rom	\N	\N	65536	96fe7485	10466889dfc6bc8afd3075385e241a16372efbeb	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	ca_18.rom	\N	\N	131072	4a613a2c	06e10644fc60925b85d2ca0888c9fa057bfe996a	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawing	ca_19.rom	\N	\N	131072	74584493	5cfb15f1b9729323707972646313aee8ab3ac4eb	\N	\N	\N	\N	\N	\N	
game	Callus95_v0.42_patch_2.4	cawingj	\N	\N	cawing	cawing	\N	U.S. Navy (Japan)	1990	Capcom	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	cae_30a.rom	cae_30a.rom	\N	131072	91fceacd	4845999a96fee829264346ca399fdd64a8408001	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj42a.bin	\N	\N	131072	039f8362	3fc7a642ddeaf94abdfdd5788a4b3c3b1f1b4c5e	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	cae_31a.rom	cae_31a.rom	\N	131072	e5b75caf	4d04220c78620867b7598deea5685bbe88298ae6	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	cae_36a.rom	cae_36a.rom	\N	131072	c73fd713	fa202c252b2cc5972d42d634c466d89cf8b5d178	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj34.bin	\N	\N	131072	51ea57f4	7d7080dbf4b6f9b801b796937e9c3c45afed602f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj40.bin	\N	\N	131072	2ab71ae1	23814b58322902b23c4bdd744e60d819811462cc	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj35.bin	\N	\N	131072	01d71973	1f5fc0d47f1456a6338284f883dabc89697f8aa5	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj41.bin	\N	\N	131072	3a43b538	474a701500632cbd395ae404ede1d10a9969b342	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj24.bin	\N	\N	131072	e356aad7	55f1489044e70a57ad15e1f2c20567bd6c770f71	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj17.bin	\N	\N	131072	540f2fd8	4f500c7795aa41d472c59d2594fc84f6b17ed137	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj25.bin	\N	\N	131072	cdd0204d	7cbc129bc148718f8c36e27f05583cdecc57b63e	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj18.bin	\N	\N	131072	29c1d4b1	d0109ab2f521786a64548910947ca24976ec1218	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj09.bin	\N	\N	131072	41b0f9a6	5a59df64d0c665d5d479ef2d9e7ec191ca0e7a92	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj01.bin	\N	\N	131072	1002d0b8	896bec683c1164c6f1fa1d81cadb8a1c549d4a4e	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj10.bin	\N	\N	131072	bf8a5f52	8cdd31a58de560d282e708c57cda0fefa7d6c92f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	cawingj	caj02.bin	\N	\N	131072	125b018d	edb3271f668e0328efd59e0929ee86efd5aa7b1f	\N	\N	\N	\N	\N	\N	
