game	RAGE_v0.9	1943	\N	\N	\N	\N	\N	1943 - The Battle of Midway (US)	1987	Capcom	\N	\N	\N	
game	RAGE_v0.9	dbreed	\N	\N	\N	\N	\N	Dragon Breed	1989	Irem	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_c-h3.rom	\N	\N	131072	4bf3063c	3f970c9ece2ac700738e217e0b31b3aba2848ab2	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_c-l3.rom	\N	\N	131072	e4b89b79	c312925940633e60fb5d0f05044c6e73e4f7fd54	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_c-h0.rom	\N	\N	65536	5aa79fb2	b7b862699ddccf90cf18d3822703078668aa1dc7	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_c-l0.rom	\N	\N	65536	ed0f5e06	9030840b15e83c18d59c884ed08c93c05fa70c5b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_k800m.rom	\N	\N	131072	c027a8cf	534dc416b8f5587168c7f644d3f9438c8a190491	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_k801m.rom	\N	\N	131072	093faf33	2704f644cdce87daf975984f143b1d55ba731c3f	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_k802m.rom	\N	\N	131072	055b4c59	71315dd7476612f138cb64b905648791d44eb7da	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_k803m.rom	\N	\N	131072	8ed63922	51daa8a23e637f6b4394598ff4a1d26f65b59c8b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_a0m.rom	\N	\N	131072	4c83e92e	6dade027435c48ab48bd4516d16a9961d4dd6fad	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_a1m.rom	\N	\N	131072	835ef268	89d0bb15201440dffad3ef745970f95505d7ab03	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_a2m.rom	\N	\N	131072	5117f114	a401a3e638209b32d4101a5c2e2a8b4612eaa21b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_a3m.rom	\N	\N	131072	8eb0c978	7fc55bbe4d0923db88492bb7160a89de34e11cd6	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_b0m.rom	\N	\N	131072	4c83e92e	6dade027435c48ab48bd4516d16a9961d4dd6fad	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_b1m.rom	\N	\N	131072	835ef268	89d0bb15201440dffad3ef745970f95505d7ab03	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_b2m.rom	\N	\N	131072	5117f114	a401a3e638209b32d4101a5c2e2a8b4612eaa21b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	dbreed	db_b3m.rom	\N	\N	131072	8eb0c978	7fc55bbe4d0923db88492bb7160a89de34e11cd6	\N	\N	\N	\N	\N	\N	
game	RAGE_v0.9	gunforce	\N	\N	\N	\N	\N	Gunforce - Battle Fire Engulfed Terror Island (World)	1991	Irem	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_h0-c.rom	\N	\N	131072	a6db7b5c	5656473599e924ab799ea3c6f39d8ce34b08cb29	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_h1-c.rom	\N	\N	131072	08a3736c	0ae904cf486a371f8b635c1f9dc5201e38a73f5a	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_l0-c.rom	\N	\N	131072	82cf55f6	42a2de61f2c5294c81fb135ea2472cc78637c66c	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_l1-c.rom	\N	\N	131072	435f524f	65c282ec50123747880850bc32c7ace0471ed9f2	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_c0.rom	\N	\N	262144	b3b74979	b5b4a4775e0b28c3f37273f93f69886c911af4aa	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_c1.rom	\N	\N	262144	f5c8590a	a7f90f23051f8ab2b2d925e950a5ef3c260170ca	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_c2.rom	\N	\N	262144	30f9fb64	f86e01b0d74a1f6c19d97d6d0e0f624f050dad10	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_c3.rom	\N	\N	262144	87b3e621	8e2655c6e83d00c38210fdced25003793bd93d9f	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_000.rom	\N	\N	262144	209e8e8d	9720be888905be709733c53da207c3406d73aeb1	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_010.rom	\N	\N	262144	6e6e7808	92c30eecf8f3669581720be6e49db87fbfac7d88	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_020.rom	\N	\N	262144	6f5c3cb0	e41572c267489e2078f8d5605c97abe2034a091a	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunforce	gf_030.rom	\N	\N	262144	18978a9f	aa484710a7c3561a9922f119a064f9205475ae64	\N	\N	\N	\N	\N	\N	
game	RAGE_v0.9	gunsmoke	\N	\N	\N	\N	\N	Gun.Smoke (US Set 1)	1985	Capcom (Romstar license)	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	9n_gs03.bin	\N	\N	32768	592f211b	8de44b3cafa3d2ce9aba515cf3ec4bac0bcdeb5b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	10n_gs04.bin	\N	\N	32768	8d4b423f	149274c2ed1526ca1f419fdf8a24059ff138f7f2	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	12n_gs05.bin	\N	\N	32768	2b5667fb	5b689bca1e76d803b4cae22feaa7744fa528e93f	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	14h_gs02.bin	\N	\N	32768	cd7a2c38	c76c471f694b76015370f0eacf5350e652f526ff	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	11f_gs01.bin	\N	\N	16384	b61ece9b	eb3fc62644cc5b5a2b9cbe67c393d4a0e2a59ca9	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	6c_gs13.bin	\N	\N	32768	f6769fc5	d192ec176425327ca4b7e25fc8432fc47837ba29	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	5c_gs12.bin	\N	\N	32768	d997b78c	3b4a9b6f9e57ecfb4ab9734379bd0ee765fd6daa	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	4c_gs11.bin	\N	\N	32768	125ba58e	cf6931653cebd051564bed8121ab8713a55095c5	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	2c_gs10.bin	\N	\N	32768	f469c13c	54eda52d6fce58771c0adfe2c88292a41d5a9b99	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	6a_gs09.bin	\N	\N	32768	539f182d	4190c0adbecc57b92f4d002e121acb77e8c5d8d8	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	5a_gs08.bin	\N	\N	32768	e87e526d	d10068addf30322424a85bbc6382cb762ae3fbe2	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	4a_gs07.bin	\N	\N	32768	4382c0d2	8615e62bc57b40d082f6ca211d64f22185bed1fd	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	2a_gs06.bin	\N	\N	32768	4cafe7a6	fe501f3a5e9ce9e82e9708f1cd297f4c94ef0f81	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	6n_gs22.bin	\N	\N	32768	dc9c508c	920505dd4c63b177918feb4e54cca8a7948ec9d9	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	4n_gs21.bin	\N	\N	32768	68883749	c7bf2bf49c53feddf8f30b4001dc2d59b52b1c28	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	3n_gs20.bin	\N	\N	32768	0be932ed	1c5af5884a23112dbc36579515d1cb497992da2f	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	1n_gs19.bin	\N	\N	32768	63072f93	cb3a2729782cf2855558d081fe92d28366228b8e	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	6l_gs18.bin	\N	\N	32768	f69a3c7c	e9eb9dfa7d53aa7b728150f91d05bfc3bf6f1e75	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	4l_gs17.bin	\N	\N	32768	4e98562a	0341b8a79be1d71a57d0d76ed890e15f9f92259e	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	3l_gs16.bin	\N	\N	32768	0d99c3b3	436c566b76f632242448671e3b6319f7d9f65322	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	1l_gs15.bin	\N	\N	32768	7f14270e	dd06c333c2ea097e25185a1423cd61e1b7afc42b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunsmoke	11c_gs14.bin	\N	\N	32768	0af4f7eb	24a98fdeedeeaf1035b4af52d5a8dd5e47a5e62d	\N	\N	\N	\N	\N	\N	
game	RAGE_v0.9	gunjp	\N	\N	\N	\N	\N	Gun.Smoke (Japan)	1985	Capcom	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs03_9n.rom	\N	\N	32768	b56b5df6	0295a3ef491b6b8ee9c198fd08dddc29d88bbef6	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs04_10n.rom	\N	\N	32768	8d4b423f	149274c2ed1526ca1f419fdf8a24059ff138f7f2	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs05_12n.rom	\N	\N	32768	2b5667fb	5b689bca1e76d803b4cae22feaa7744fa528e93f	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs02_14h.rom	\N	\N	32768	cd7a2c38	c76c471f694b76015370f0eacf5350e652f526ff	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs01_11e.rom	\N	\N	16384	b61ece9b	eb3fc62644cc5b5a2b9cbe67c393d4a0e2a59ca9	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs13_6c.rom	\N	\N	32768	f6769fc5	d192ec176425327ca4b7e25fc8432fc47837ba29	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs12_5c.rom	\N	\N	32768	d997b78c	3b4a9b6f9e57ecfb4ab9734379bd0ee765fd6daa	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs11_4c.rom	\N	\N	32768	125ba58e	cf6931653cebd051564bed8121ab8713a55095c5	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs10_2c.rom	\N	\N	32768	f469c13c	54eda52d6fce58771c0adfe2c88292a41d5a9b99	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs09_6a.rom	\N	\N	32768	539f182d	4190c0adbecc57b92f4d002e121acb77e8c5d8d8	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs08_5a.rom	\N	\N	32768	e87e526d	d10068addf30322424a85bbc6382cb762ae3fbe2	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs07_4a.rom	\N	\N	32768	4382c0d2	8615e62bc57b40d082f6ca211d64f22185bed1fd	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs06_2a.rom	\N	\N	32768	4cafe7a6	fe501f3a5e9ce9e82e9708f1cd297f4c94ef0f81	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs22_6n.rom	\N	\N	32768	dc9c508c	920505dd4c63b177918feb4e54cca8a7948ec9d9	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs21_4n.rom	\N	\N	32768	68883749	c7bf2bf49c53feddf8f30b4001dc2d59b52b1c28	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs20_3n.rom	\N	\N	32768	0be932ed	1c5af5884a23112dbc36579515d1cb497992da2f	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs19_1n.rom	\N	\N	32768	63072f93	cb3a2729782cf2855558d081fe92d28366228b8e	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs18_6l.rom	\N	\N	32768	f69a3c7c	e9eb9dfa7d53aa7b728150f91d05bfc3bf6f1e75	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs17_4l.rom	\N	\N	32768	4e98562a	0341b8a79be1d71a57d0d76ed890e15f9f92259e	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs16_3l.rom	\N	\N	32768	0d99c3b3	436c566b76f632242448671e3b6319f7d9f65322	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs15_1l.rom	\N	\N	32768	7f14270e	dd06c333c2ea097e25185a1423cd61e1b7afc42b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	gunjp	gs14_11c.rom	\N	\N	32768	0af4f7eb	24a98fdeedeeaf1035b4af52d5a8dd5e47a5e62d	\N	\N	\N	\N	\N	\N	
game	RAGE_v0.9	hharry	\N	\N	\N	\N	\N	Hammerin' Harry (World)	1990	Irem	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	a-h0-v.rom	\N	\N	131072	c52802a5	7180189c886aebe8d3e7fd38922916cecfddae32	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	a-l0-v.rom	\N	\N	131072	f463074c	aca86345610e65848c276ab278092d35ba215916	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	a-h1-0.rom	\N	\N	65536	3ae21335	780d7a0c5bebe4b914ea5b3741e30630f8c29a4f	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	a-l1-0.rom	\N	\N	65536	bc6ac5f9	c6afba4967a8055f6b63827697425eac743f5a75	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	a-sp-0.rom	\N	\N	65536	80e210e7	66cff58fb37c52e1d8e0567e13b774253e862585	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	hh_00.rom	\N	\N	131072	ec5127ef	014ac8ad7b19cd9b475b72a0f42a4991119501c4	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	hh_10.rom	\N	\N	131072	def65294	23f5d99fa9f604fde37cb52113bff233d9be1d25	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	hh_20.rom	\N	\N	131072	bb0d6ad4	4ab617fadfc32efad90ed7f0555513f167b0c43a	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	hh_30.rom	\N	\N	131072	4351044e	0d3ce3f4f1473fd997e70de91e7b5b5a5ec60ad4	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	hh_a0.rom	\N	\N	131072	c577ba5f	c882e58cf64deca8eee6f14f3df43ecc932488fc	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	hh_a1.rom	\N	\N	131072	429d12ab	ccba25eab981fc4e664f76e06a2964066f2ae2e8	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	hh_a2.rom	\N	\N	131072	b5b163b0	82a708fea4953a7c4dcd1d4a1b07f302221ba30b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	hharry	hh_a3.rom	\N	\N	131072	8ef566a1	3afb020a7317efe89c18b2a7773894ce28499d49	\N	\N	\N	\N	\N	\N	
game	RAGE_v0.9	ikarijp	\N	\N	\N	\N	\N	Ikari Warriors (Japan)	1986	SNK	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik1	\N	\N	16384	2ef87dce	4b52567fee81018f7a4b33bac79ea521c7d19d52	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik2	\N	\N	32768	26948850	bfeba5f7019f6eaacf2a5464756d9cb283c5f5a2	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik3	\N	\N	16384	9bb385f8	70cc30bece54c28205017e755dc32a1c088f9f80	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik4	\N	\N	32768	3a144bca	c1b09bffb8d89e607332304b1d8845794f25273f	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik5	\N	\N	16384	863448fa	19cad05dc9c4495f36e0d8627927ea6d0a971824	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik6	\N	\N	32768	9b16aa57	69866ce41c587721702c92ac2e9ba3f6645004cf	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik7	\N	\N	16384	9e88f536	80e9aadeb626e60318a2139fd1b3875f6256c492	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik8	\N	\N	32768	75d796d0	395c1d22b935c92c50a326edc8b6cd9aab235f7c	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik9	\N	\N	32768	2c34903b	1949fc0cef4b30665ad288fa8e506a05741face0	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik10	\N	\N	32768	da9ccc94	be3c9d44a887ac823039153b832dfae18fe69965	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik11	\N	\N	32768	5c75ea8f	4e8ee56a2dbeb9ac2dd74bc584dba29433d91ae0	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik12	\N	\N	32768	95138498	8ac3d2cd793312434b9ffb8c47c30473f713e0e8	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik13	\N	\N	32768	315383d7	1c1c5931e3447c4dcbd54fc8ae383b03cb5fbf5b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik14	\N	\N	32768	3293fde4	3e2f0fa00c22f1c0c1427d8d3de57dd9ec7682a9	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik15	\N	\N	32768	65a61c99	767694c919180de208b6211b593db68fc5a66ff1	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik16	\N	\N	32768	e9b03e07	124e5328a965ea2af28c4d74934a82394a2ffd72	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik17	\N	\N	32768	e0dba976	5a8f14f7a199b5fb1862debda0bceee42cddac59	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik18	\N	\N	32768	24947d5f	ffd18074ced8171c9da56c839e8289afc29af2c9	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik19	\N	\N	32768	566242ec	ca25587460491597d462d2526d59afbc9b92fb75	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarijp	ik20	\N	\N	32768	5da7ec1a	4b212c1dfe4c18eced90ee3a783e7edf8d23c906	\N	\N	\N	\N	\N	\N	
game	RAGE_v0.9	ikarius	\N	\N	\N	\N	\N	Ikari Warriors (US)	1986	SNK	\N	\N	\N	
game_rom	RAGE_v0.9	ikarius	1.rom	\N	\N	65536	52a8b2dd	a896387d68ed9a55c313bdb81acdf8d68b7a1264	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarius	2.rom	\N	\N	65536	45364d55	323b998f782a4681ceb18016c5fb0fa1d6361aac	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarius	3.rom	\N	\N	65536	56a26699	e9ccb27f1e711e4648fdfe3c7ff956038d3e101c	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarius	7.rom	\N	\N	16384	a7eb4917	6c07323cc243df4c5c30bc0daedbff3887309f65	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarius	8.rom	\N	\N	32768	9827c14a	b54dcee95c6f6e46c187a117b4e7aaf1c0ece6c6	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	ikarius	9.rom	\N	\N	32768	545c790c	7738738f4a1343b04efd029ecaefac74010451f0	\N	\N	\N	\N	\N	\N	
