game	AAE_Alpha_Build_87	alienst	\N	\N	\N	\N	\N	Aliens (Tempest Prototype)	2001	Atari	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelux	036799.01	\N	\N	2048	7d511572	1956a12bccb5d3a84ce0c1cc10c6ad7f64e30b40	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelux	036800.02	\N	\N	2048	bb8cabe1	cebaa1b91b96e8b80f2b2c17c6fd31fa9f156386	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	asterock	\N	\N	\N	\N	\N	Asterock	1979	Sidam	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asterock	sidamas.0	\N	\N	1024	6bd2053f	790f2858f44bbb1854e2d9d549e29f4815c4665b	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asterock	sidamas.1	\N	\N	1024	231ce201	710f4c19864d725ba1c9ea447a97e84001a679f7	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asterock	sidamas.2	\N	\N	1024	cdf720c6	85fe748096478e28a06bd98ff3aad73ab21b22a4	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asterock	sidamas.3	\N	\N	1024	ee58bdf0	80094cb5dafd327aff6658ede33106f0493a809d	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asterock	sidamas.4	\N	\N	1024	8d3e421e	5f5719ab84d4755e69bef205d313b455bc59c413	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asterock	sidamas.5	\N	\N	1024	d2ce7672	b6012e09b2439a614a55bcf23be0692c42830e21	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asterock	sidamas.6	\N	\N	1024	74103c87	e568b5ac573a6d0474cf672b3c62abfbd3320799	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asterock	sidamas.7	\N	\N	1024	75a39768	bf22998fd692fb01964d8894e421435c55d746a0	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	asteroi1	\N	\N	\N	\N	\N	Asteroids (rev 1)	1979	Atari	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroi1	035127.01	\N	\N	2048	99699366	9b2828fc1cef7727f65fa65e1e11e309b7c98792	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroi1	035143.01	\N	\N	2048	7d4e3d05	d88000e904e158efde50e453e2889ecd2cb95f24	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroi1	035144.01	\N	\N	2048	e53c28a9	d9f081e73511ec43377f0c6457747f15a470d4dc	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroi1	035145.01	\N	\N	2048	e9bfda64	291dc567ebb31b35df83d9fb87f4080f251ff9c8	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	asteroib	\N	\N	\N	\N	\N	Asteroids (bootleg on Lunar Lander hardware)	1979	bootleg	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroib	035127.02	\N	\N	2048	8b71fd9e	8cd5005e531eafa361d6b7e9eed159d164776c70	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroib	035143ll.bin	\N	\N	2048	6b1d8594	ff3cd93f1bc5734bface285e442125b395602d7d	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroib	035144ll.bin	\N	\N	2048	e106de77	003e99d095bd4df6fae243ea1dd5b12f3eb974f1	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroib	035145ll.bin	\N	\N	2048	605fc0f2	8d897a3b75bd1f2537470f0a34a97a8c0853ee08	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	asteroid	\N	\N	\N	\N	\N	Asteroids (rev 2)	1979	Atari	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroid	035127.02	\N	\N	2048	8b71fd9e	8cd5005e531eafa361d6b7e9eed159d164776c70	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroid	035143.02	\N	\N	2048	312caa02	1ce2eac1ab90b972e3f1fc3d250908f26328d6cb	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroid	035144.02	\N	\N	2048	096ed35c	064d680ded7f30c543f93ae5ca85f90d550f73e5	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	asteroid	035145.02	\N	\N	2048	0cc75459	2af85c9689b878155004da47fedbde5853a18723	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	barrier	\N	\N	\N	\N	\N	Barrier	1979	Vectorbeam	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	barrier	barrier.p7	\N	\N	2048	aec142b5	b268936b82e072f38f1f1dd54e0bc88bcdf19925	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	barrier	barrier.t7	\N	\N	2048	7c3d68c8	1138029552b73e94522b3b48096befc057d603c7	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	boxingb	\N	\N	\N	\N	\N	Boxing Bugs	1981	Cinematronics	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	boxingb	u1a	\N	\N	4096	d3115b0f	9448e7ac1cdb5c7e0739623151be230ab630c4ea	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	boxingb	u1b	\N	\N	4096	3a44268d	876ebe942ded787cfe357563a33d3e26a1483c5a	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	boxingb	u2a	\N	\N	4096	c97a9cbb	8bdeb9ee6b24c0a4554bbf4532a43481a0360019	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	boxingb	u2b	\N	\N	4096	98d34ff5	6767a02a99a01712383300f9acb96cdeffbc9c69	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	boxingb	u3a	\N	\N	4096	5bb3269b	a9dbc91b1455760f10bad0d2ccf540e040a00d4e	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	boxingb	u3b	\N	\N	4096	85bf83ad	9229042e39c53fae56dc93f8996bf3a3fcd35cb8	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	boxingb	u4a	\N	\N	4096	25b51799	46465fe62907ae66a0ce730581e4e9ba330d4369	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	boxingb	u4b	\N	\N	4096	7f41de6a	d01dffad3cb6e76c535a034ea0277dce5801c5f1	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	bwidow	\N	\N	\N	\N	\N	Black Widow	1982	Atari	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bwidow	136017.101	\N	\N	4096	fe3febb7	b62f7622ca60248e1b8376ee135ae3d94d0b4437	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bwidow	136017.102	\N	\N	4096	10ad0376	614c74daa468a7430ed965a3a9d07b6ad846016c	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bwidow	136017.103	\N	\N	4096	8a1430ee	3aa6c40721a4289c1cf01f37c89b6b0a96336c68	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bwidow	136017.104	\N	\N	4096	44f9943f	e83d8242e4592149719be6a68cf3aba46116072f	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bwidow	136017.105	\N	\N	4096	1fdf801c	33da2ba3cefa3d0dddc8647f9b6caf5d5bfe9b3b	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bwidow	136017.106	\N	\N	4096	ccc9b26c	f1398e3ff2b62af1509bc117028845b671ff1ca2	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bwidow	136017.107	\N	\N	2048	97f6000c	bbae93058228820ee67b05f23e45fb54ee0963ff	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bwidow	136017.108	\N	\N	4096	3da354ed	935295d66ad40ad702eb7a694296e836f53d22ec	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bwidow	136017.109	\N	\N	4096	2fc4ce79	2b324877bf55151747eaacd9a58f846712bfbc14	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bwidow	136017.110	\N	\N	4096	0dd52987	72aa1d24f20cc86701189df486488edc434b1be1	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	bzone	\N	\N	\N	\N	\N	Battle Zone (set 1)	1980	Atari	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone	036409.01	\N	\N	2048	1e14e919	448fab30535e6fad7e0ab4427bc06bbbe075e797	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone	036410.01	\N	\N	2048	0b7bfaa4	33ae0f68b4e2eae9f3aecbee2d0b29003ce460b2	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone	036411.01	\N	\N	2048	ad281297	54c5e06b2e69eb731a6c9b1704e4340f493e7ea5	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone	036412.01	\N	\N	2048	ab55cbd2	6bbb8316d9f8588ea0893932f9174788292b8edc	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone	036413.01	\N	\N	2048	5d9d9111	42638cff53a9791a0f18d316f62a0ea8eea4e194	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone	036414.01	\N	\N	2048	efbc3fa0	6d284fab34b09dde8aa0df7088711d4723f07970	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone	036421.01	\N	\N	2048	8ea8f939	b71e0ab0e220c3e64dc2b094c701fb1a960b64e4	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone	036422.01	\N	\N	2048	7414177b	147d97a3b475e738ce00b1a7909bbd787ad06eda	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	bzone2	\N	\N	\N	\N	\N	Battle Zone (set 2)	1980	Atari	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone2	036409.01	\N	\N	2048	1e14e919	448fab30535e6fad7e0ab4427bc06bbbe075e797	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone2	036410.01	\N	\N	2048	0b7bfaa4	33ae0f68b4e2eae9f3aecbee2d0b29003ce460b2	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone2	036411.01	\N	\N	2048	ad281297	54c5e06b2e69eb731a6c9b1704e4340f493e7ea5	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone2	036412.01	\N	\N	2048	ab55cbd2	6bbb8316d9f8588ea0893932f9174788292b8edc	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone2	036413.01	\N	\N	2048	5d9d9111	42638cff53a9791a0f18d316f62a0ea8eea4e194	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone2	036414a.01	\N	\N	2048	13de36d5	40e356ddc5c042bc1ce0b71f51e8b6de72daf1e4	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone2	036421.01	\N	\N	2048	8ea8f939	b71e0ab0e220c3e64dc2b094c701fb1a960b64e4	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzone2	036422.01	\N	\N	2048	7414177b	147d97a3b475e738ce00b1a7909bbd787ad06eda	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	bzonec	\N	\N	\N	\N	\N	Battle Zone (cocktail)	1980	Atari	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonec	036422.01	\N	\N	2048	7414177b	147d97a3b475e738ce00b1a7909bbd787ad06eda	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonec	bz1a7800	\N	\N	2048	04babf45	a59da5ff49fc398ca4a948e28f05250af776b898	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonec	bz1b7000	\N	\N	2048	ed8a860e	316a3c4870ba44bb3e9cb9fc5200eb081318facf	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonec	bz1c6800	\N	\N	2048	5adc64bd	4574e4fe375d4ab3151a988235efa11e8744e2c6	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonec	bz1d6000	\N	\N	2048	c0f8c068	66fff6b493371f0015c21b06b94637db12deced2	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonec	bz1e5800	\N	\N	2048	7e00e823	008e491a8074dac16e56c3aedec32d4b340158ce	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonec	bz1f5000	\N	\N	2048	dddfac9a	e6f2761902e1ffafba437a1117e9ba40f116087d	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonec	bz1g4800	\N	\N	2048	e228dd64	247c788b4ccadf6c1e9201ad4f31d55c0036ff0f	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonec	bz3b3800	\N	\N	2048	76cf57f6	1b8f3fcd664ed04ce60d94fdf27e56b20d52bdbd	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	bzonep	\N	\N	\N	\N	\N	BattleZone Plus (Clay Cowgill)	2000	Clay Cowgill	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonep	036408.01.bin	\N	\N	2048	7513fc40	c01c8959df2c24435a50caa46104a88a9fb7f7fd	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonep	036409.01.bin	\N	\N	2048	debaea12	d23cf62182e76562f4d4e9023a8be6243183da00	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonep	036410.01.bin	\N	\N	2048	0b7bfaa4	33ae0f68b4e2eae9f3aecbee2d0b29003ce460b2	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonep	036411.01.bin	\N	\N	2048	ad281297	54c5e06b2e69eb731a6c9b1704e4340f493e7ea5	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonep	036412.01.bin	\N	\N	2048	3e0931d7	1366a8e9b18a5b2d3f23d9069845403b5d65d32d	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonep	036413.01.bin	\N	\N	2048	5d9d9111	42638cff53a9791a0f18d316f62a0ea8eea4e194	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonep	036414.01.bin	\N	\N	2048	55e0b5d5	88cbf5c98b41cde5524e9bef537a03db9e783f17	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonep	036421.01.bin	\N	\N	2048	8ea8f939	b71e0ab0e220c3e64dc2b094c701fb1a960b64e4	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	bzonep	036422.01.bin	\N	\N	2048	7414177b	147d97a3b475e738ce00b1a7909bbd787ad06eda	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	deltrace	\N	\N	\N	\N	\N	Delta Race	1981	Allied Leisure	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	deltrace	delta.j7	\N	\N	4096	8ef9541e	89e34f50a958ac60c5f223bcb6c1c14796b903c7	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	deltrace	omega.e1	\N	\N	2048	1d0fdf3a	3333397a9745874cea1dd6a1bda783cc59393b55	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	deltrace	omega.f1	\N	\N	2048	d44c0814	2f216ee6de88bbe09775619003aee2d5aa8c554d	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	deltrace	omega.k7	\N	\N	4096	6d10f197	9609a0cbeeef2efa10d49cde9f0afdca96e9c2f8	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	deltrace	omega.l7	\N	\N	4096	edcd7a7d	5d142de2f48b01d563578a54fd5540e5d0ac8f4c	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	deltrace	omega.m7	\N	\N	4096	0424d46e	cc1ac6c06ba6f6e8466fa08286a0c70b5335af33	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	demon	\N	\N	\N	\N	\N	Demon	1982	Rock-ola	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	demon	demon.7p	\N	\N	4096	1109e2f1	c779b6af1ca09e2e295fc9a0e221ddf283b683ed	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	demon	demon.7r	\N	\N	4096	64b515f0	2dd9a6d784ec1baf31e8c6797ddfdc1423c69470	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	demon	demon.7t	\N	\N	4096	866596c1	65202dcd5c6bf6c11fe76a89682a1505b1870cc9	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	demon	demon.7u	\N	\N	4096	d447a3c3	32f6fb01231aa4f3d93e32d639a89f0cf9624a71	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	elim2	\N	\N	\N	\N	\N	Eliminator (2 Players, set 1)	1981	Gremlin	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1333.prom-u1	\N	\N	2048	fd2a2916	431d340c0c9257d66f5851a591861bcefb600cec	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1334.prom-u2	\N	\N	2048	79eb5548	d951de5c0ab94fdb6e58207ee9a147674dd74220	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1335.prom-u3	\N	\N	2048	3944972e	59c84cf23898adb7e434c5802dbb821c79099890	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1336.prom-u4	\N	\N	2048	852f7b4d	6db45b9d11374f4cadf185aec81f33c0040bc001	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1337.prom-u5	\N	\N	2048	cf932b08	f0b61ca8266fd3de7522244c9b1587eecd24a4f1	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1338.prom-u6	\N	\N	2048	99a3f3c9	aa7d4805c70311ebe24ff70fcc32c0e2a7c4488a	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1339.prom-u7	\N	\N	2048	d35f0fa3	752f14b298604a9b91e94cd6d5d291ef33f27ec0	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1340.prom-u8	\N	\N	2048	8fd4da21	f30627dd1fbcc12bb587742a9072bbf38ba48401	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1341.prom-u9	\N	\N	2048	629c9a28	cb7df14ea1bb2d7997bfae1ca70b47763c73298a	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1342.prom-u10	\N	\N	2048	643df651	80c5da44b5d2a7d97c7ba0067f773eb645a9d432	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1343.prom-u11	\N	\N	2048	d29d70d2	ee2cd752b99ebd522eccf5e71d02c31479acfdf5	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1344.prom-u12	\N	\N	2048	c5e153a3	7e805573aeed01e3d4ed477870800dd7ecad7a1b	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	1345.prom-u13	\N	\N	2048	40597a92	ee1ae2b424c38b40d2cbeda4aba3328e6d3f9c81	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	969.cpu-u25	\N	\N	2048	411207f2	2a082be4052b5d8f365abd0a51ea805d270d1189	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2	s-c.xyt-u39	\N	\N	1024	56484d19	61f43126fdcfc230638ed47085ae037a098e6781	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	elim2a	\N	\N	\N	\N	\N	Eliminator (2 Players, set 2)	1981	Gremlin	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2a	1333.prom-u1	\N	\N	2048	a40ac3a5	9cf707e3439def17390ae16b49552fb1996a6335	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2a	1334.prom-u2	\N	\N	2048	ff100604	1636337c702473b5a567832a622b0c09bd1e2aba	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	elim2a	1335.prom-u3	\N	\N	2048	ebfe33bd	226da36becd278d34030f564fef61851819d2324	\N	\N	\N	\N	\N	\N	
