game	Shark_v3.1f	flyingshark	\N	\N	\N	\N	\N	Flying Shark	1987	[Toaplan] Taito Corporation	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc20	\N	\N	65536	cb4092b8	35b1d1e04af760fa106124bd5a94174d63ff9705	\N	\N	\N	\N	\N	\N	
game	Shark_v3.1f	kyukyokutiger	\N	\N	\N	\N	\N	Kyukyoku Tiger	1987	[Toaplan] Taito Corporation	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-01	\N	\N	65536	07f64d13	864ce0f9369c40c3ae792fc4ab2444a168214749	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-02	\N	\N	32768	1d63e9c4	bdf013487a6fe8f8cbb03fda5f4fae881064831c	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-03	\N	\N	65536	41be6978	4784804b738a332c7f24a43bcbb7a1e607365735	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-04	\N	\N	32768	03957a30	d809881a16b05595b6f184e44a36e592f46ba04a	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-05	\N	\N	32768	1a8f1e10	0c37a7a50b2523506ad77ac03ae752eb94092ff6	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-06	\N	\N	32768	da1efca2	f8685872b266ff7b9bd657bcc538217159938823	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-07	\N	\N	32768	52ea1c4c	bf1d028f35ddb8ca4279670eaf9cd409a2121268	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-08	\N	\N	32768	bf4ed7aa	b4c479b153c6f146d0d846cec04f0a52cbccef3e	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-09	\N	\N	32768	44f5accd	2f9bdebe71c8be195332356df68992fd38d86994	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-10	\N	\N	32768	170c01db	f4c5a1600f6cbb48abbace66c6f7514f79138e8b	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-11	\N	\N	32768	97f20fdc	7cb3cd0637b0db889a3d552fd7c1a916eee5ca27	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-12	\N	\N	32768	b5d48389	a00c5b9c231d3d580fa20c7ad3f8b6fd990e6594	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-13	\N	\N	65536	13daeac8	1cb103f434e2ecf193fa936ca7ea9194064c5b39	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-14	\N	\N	65536	8cc79357	31064df2b796ca85ad3caccf626b684dff1104a1	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-15	\N	\N	65536	d9e2e55d	0409e6df836d1d5198b64b21b42192631aa6d096	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-16	\N	\N	65536	15b3991d	f5e7ed7a7721ed7e6dfd440634160390b7a294e4	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-17	\N	\N	65536	4264bff8	3271b8b23f51346d1928ae01f8b547fed49181e6	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-18	\N	\N	65536	806fb374	3eebefadcbdf713bf2a65b438092746b07edd3f0	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-19	\N	\N	65536	9cb8675e	559c21d505c60401f7368d4ab2b686b15075c5c5	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	kyukyokutiger	b30-20	\N	\N	65536	cb4092b8	35b1d1e04af760fa106124bd5a94174d63ff9705	\N	\N	\N	\N	\N	\N	
game	Shark_v3.1f	twincobrausa	\N	\N	\N	\N	\N	Twin Cobra USA	1987	[Toaplan] Taito America Corporation (Romstar license)	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc16	\N	\N	65536	07f64d13	864ce0f9369c40c3ae792fc4ab2444a168214749	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	b30-02	\N	\N	32768	bdd00ba4	b76b22f03eb4b821a8c555edd9fcee814f2e66a7	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc14	\N	\N	65536	41be6978	4784804b738a332c7f24a43bcbb7a1e607365735	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	b30-04	\N	\N	32768	ed600907	e5964db9eab2c334940795d71cb90f6679490227	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	b30-05	\N	\N	32768	1a8f1e10	0c37a7a50b2523506ad77ac03ae752eb94092ff6	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc04	\N	\N	16384	a599d845	732001f2d378d890f148e6b616c287d71fae832a	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc03	\N	\N	16384	e9e2d4b1	e0a19dd46a9ba85d95bba7fbf81d8dc36dbfeabd	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc11	\N	\N	16384	0a254133	17e9cc5e36fb4696012d0f9229fa172034cd843a	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc10	\N	\N	32768	44f5accd	2f9bdebe71c8be195332356df68992fd38d86994	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc09	\N	\N	32768	170c01db	f4c5a1600f6cbb48abbace66c6f7514f79138e8b	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc08	\N	\N	32768	97f20fdc	7cb3cd0637b0db889a3d552fd7c1a916eee5ca27	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc07	\N	\N	32768	b5d48389	a00c5b9c231d3d580fa20c7ad3f8b6fd990e6594	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc06	\N	\N	65536	13daeac8	1cb103f434e2ecf193fa936ca7ea9194064c5b39	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc05	\N	\N	65536	8cc79357	31064df2b796ca85ad3caccf626b684dff1104a1	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc02	\N	\N	65536	d9e2e55d	0409e6df836d1d5198b64b21b42192631aa6d096	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc01	\N	\N	65536	15b3991d	f5e7ed7a7721ed7e6dfd440634160390b7a294e4	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc17	\N	\N	65536	4264bff8	3271b8b23f51346d1928ae01f8b547fed49181e6	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc18	\N	\N	65536	806fb374	3eebefadcbdf713bf2a65b438092746b07edd3f0	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc19	\N	\N	65536	9cb8675e	559c21d505c60401f7368d4ab2b686b15075c5c5	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobrausa	tc20	\N	\N	65536	cb4092b8	35b1d1e04af760fa106124bd5a94174d63ff9705	\N	\N	\N	\N	\N	\N	
game	Shark_v3.1f	outzone	\N	\N	\N	\N	\N	Out Zone	1990	Toaplan	\N	\N	\N	
game_rom	Shark_v3.1f	outzone	rom1.bin	\N	\N	131072	0934782d	e4a775ead23227d7d6e76aea23aa3103b511d031	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	outzone	rom2.bin	\N	\N	131072	6bb72d16	a127b10d9c255542bd09fcb5df057c12fd28c0d1	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	outzone	rom3.bin	\N	\N	131072	ec903c07	75906f31200877fc8f6e78c2606ad5be49778165	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	outzone	rom4.bin	\N	\N	131072	50cbf1a8	cfab1504746654b4a61912155e9aeca746c65321	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	outzone	rom5.bin	\N	\N	524288	c64ec7b6	e73b51c3713c2ea7a572a02531c15d1261ddeaa0	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	outzone	rom6.bin	\N	\N	524288	64b6c5ac	07fa20115f603445c0d51af3465c0471c09d76b1	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	outzone	rom7.bin	\N	\N	131072	936e25d8	ffb7990ea1539d868a9ad2fb711b0febd90f098d	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	outzone	rom8.bin	\N	\N	131072	d19b3ecf	b406999b9f1e2104d958b42cc745bf79dbfe50b3	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	outzone	rom9.bin	\N	\N	32768	73d8e235	f37ad497259a467cdf2ec8b3e6e7d3e873087e6c	\N	\N	\N	\N	\N	\N	
game	Shark_v3.1f	truxton	\N	\N	\N	\N	\N	Truxton	1988	[Toaplan] Taito Corporation	\N	\N	\N	
game_rom	Shark_v3.1f	truxton	b65_01.bin	\N	\N	131072	e974937f	ab282472c04ce6d9ed368956c427403275bc9080	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	truxton	b65_02.bin	\N	\N	131072	1dd55161	c537456ac56801dea0ac48fb1389228530d00a61	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	truxton	b65_03.bin	\N	\N	131072	58b1350b	7eb2fe329579a6f651d3c1aed9155ac6ffefbc4b	\N	\N	\N	\N	\N	\N	
