game	JAS_v1.01	mappy	\N	\N	\N	\N	\N	Mappy	1983	Namco	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-6s.bin	\N	\N	256	2faa3e09	781ffe9088476798409cb922350eff881590cf35	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-6p.bin	\N	\N	512	6f99c2da	955dcef363870ee8e91edc73b9ea3ce489738aad	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-6n.bin	\N	\N	512	c7d31657	a93a5bc448dc127e1389d10a9cb06acadfe940cf	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-1p.bin	\N	\N	256	a5091352	dcd6dfbfbd5281ba0c7b7c189d6fde23617ed3e3	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-1n.bin	\N	\N	256	8bc8022a	c76f9d9b066e268621d41a703c5280261234709a	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-2n.bin	\N	\N	256	8dabc20b	64d7b333f529d3ba66aeefd380fd1cbf9ddf460d	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-1.64	\N	\N	8192	ed8aa206	4e0a31d84cb7aca497485dbe0240009d58275765	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-10.64	\N	\N	8192	6cd8ce11	fc346e98737c9fc20810e32d4c150ae4b4051979	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-11.64	\N	\N	8192	57740ff9	16873e0ac5f975768d596d7d32af7571f4817f2b	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-12.64	\N	\N	8192	7316a1f1	368e4541a5151e906a189712bc05192c2ceec8ae	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-2.64	\N	\N	8192	69fdfdb7	aec611336b8767897ad493d581d70b1f0e75aeba	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-3.64	\N	\N	8192	a74b0266	a534c6b4af569ed545bf52769c7d5ceb5f2c4935	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-4.64	\N	\N	8192	484f11e0	659756ae183dac3817440c8975f203c7dbe08c6b	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-5.64	\N	\N	8192	f3d19987	a0107fa4659597ac42c875ab1c0deb845534268b	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-6.64	\N	\N	8192	14cd61ea	05605abebcf2791e60b2d810dafcdd8582a87d9b	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-7.64	\N	\N	8192	0621f7df	b86020f819fefb134cb57e203f7c90b1b29581c8	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-8.64	\N	\N	8192	bff601a6	e1a04354d8d0bc0d51d7341a46bd23cbd2158ee9	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gaplus	gp2-9.64	\N	\N	8192	e6a9ae67	99c1e67c3b216aa1b63f199e21c73cdedde80e1b	\N	\N	\N	\N	\N	\N	
game	JAS_v1.01	gal3	\N	\N	\N	\N	\N	Galaga 3	1985	Namco	\N	\N	\N	
game_rom	JAS_v1.01	gal3	g3_1c.bin	\N	\N	256	a5091352	dcd6dfbfbd5281ba0c7b7c189d6fde23617ed3e3	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	g3_1d.bin	\N	\N	256	8bc8022a	c76f9d9b066e268621d41a703c5280261234709a	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	g3_2d.bin	\N	\N	256	8dabc20b	64d7b333f529d3ba66aeefd380fd1cbf9ddf460d	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	g3_3e.bin	\N	\N	512	417ba0dc	2ba51ccdd0428fc48758ed8fea36c8ce0e752a45	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	g3_3f.bin	\N	\N	512	d48c0eef	6d0512958bc522d22e69336677369507847f8f6f	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	g3_4f.bin	\N	\N	256	2d9fbdd8	e6a23cd5ce3d3e76de3b70c8ab5a3c45b1147af4	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	g3_8g.bin	\N	\N	256	2faa3e09	781ffe9088476798409cb922350eff881590cf35	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	g3_8n.bin	\N	\N	40	6f44e937	a8c154f231bd7c144b611e61e22cf761eb646dd2	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_5k.bin	\N	\N	8192	7316a1f1	368e4541a5151e906a189712bc05192c2ceec8ae	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_5l.bin	\N	\N	8192	6cd8ce11	fc346e98737c9fc20810e32d4c150ae4b4051979	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_5m.bin	\N	\N	8192	57740ff9	16873e0ac5f975768d596d7d32af7571f4817f2b	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_5n.bin	\N	\N	8192	e6a9ae67	99c1e67c3b216aa1b63f199e21c73cdedde80e1b	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_6l.bin	\N	\N	8192	9ec3dce5	196a975aff59be19f55041a44b201aafef083ba7	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_6m.bin	\N	\N	8192	0621f7df	b86020f819fefb134cb57e203f7c90b1b29581c8	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_6n.bin	\N	\N	8192	6a2942c5	6fb2c4dcb2ad393220917b81f1a42e571d209d76	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_7b.bin	\N	\N	8192	ed8aa206	4e0a31d84cb7aca497485dbe0240009d58275765	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_9c.bin	\N	\N	8192	f1b00073	5d998d938251f173cedf742b95d02cc0a2b9d3be	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_9d.bin	\N	\N	8192	86fac687	07f76af524dbb3e79de41ef4bf32e7380776d9f5	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_9e.bin	\N	\N	8192	f4845e7f	7b1377254f594bea4a8ffc7e388d9106e0266b55	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	gal3	gal3_9l.bin	\N	\N	8192	8d4dcebf	0a556b45976bc36eb99048b1512c446b472da1d2	\N	\N	\N	\N	\N	\N	
game	JAS_v1.01	skykid	\N	\N	\N	\N	\N	Sky Kid	1985	Namco	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk1-6b.bin	\N	\N	16384	7abe6c6c	7d2631cc6149fa3e02b1355cb899de5474ff5d0a	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk5-7e.bin	\N	\N	8192	c33a498e	9f89a514888418a9bebbca341a8cc66e41b58acb	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk6-6l.bin	\N	\N	8192	58b731b9	40f7be85914833ce02a734c20d68c0db8b77911d	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk7-10m.bin	\N	\N	16384	3454671d	723b26a0f208addc2a22736457cb4be6ab6c69cc	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk9-10n.bin	\N	\N	16384	44bb7375	5b2fa6782671150bab5f3c3ac46b47bc23f3d7e0	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk-6n.bin	\N	\N	512	161514a4	4488ce60d12be6586e4a1ddbbfd06bf4e7dfaceb	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk-5n.bin	\N	\N	512	c697ac72	3b79755e6cbb22c14fc4affdbd3f4521da1d90e8	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk1-2n.bin	\N	\N	256	0218e726	8b766162a4783c058d9a1ecf8741673d7ef955fb	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk2-2p.bin	\N	\N	256	fc0d5b85	d1b13e42e735b24594cf0b840dee8110de23369e	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk3-2r.bin	\N	\N	256	d06b620b	968a2d62c65e201d521e9efa8fcf6ad15898e4b3	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk4-3c.bin	\N	\N	8192	a460d0e0	7124ffeb3b84b282940dcbf9421ae4934bcce1c8	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk1-mcu.bin	\N	\N	4096	6ef08fb3	4842590d60035a0059b0899eb2d5f58ae72c2529	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	skysnd.bin	\N	\N	512	19e2d4b9	ba189f15dc635ab0e342c47bb61956dfa7c8abaa	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk3-6d.bin	\N	\N	16384	314b8765	d90a8a853ce672fe5ee190f07bcb33262c73df3b	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	skykid	sk2-6c.bin	\N	\N	16384	ea8a5822	5b13133410bcb7d647e662b476dbfd2edab8aac0	\N	\N	\N	\N	\N	\N	
game	JAS_v1.01	digdug2	\N	\N	\N	\N	\N	Dig Dug 2	1985	Namco	\N	\N	\N	
game_rom	JAS_v1.01	digdug2	ddug2-3.bin	\N	\N	16384	be7ec80b	a053274ffbf3200e9b89a8be1bd91744acb4a823	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	digdug2	ddug2-1.bin	\N	\N	16384	5c77c0d4	56709e5db1686fd996d21c1005accf34e2d863e1	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	digdug2	ddug2-4.bin	\N	\N	8192	737443b1	0e46204089cc6e5ffab0d2a62f9a1728f8c35948	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	digdug2	ddclr-5b.bin	\N	\N	32	9b169db5	77e840d10ab59708a051c3b15305b33d431ee06d	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	digdug2	ddclr-4c.bin	\N	\N	256	55a88695	bd6bd641c9f220b6a2cc414a1117d5c089571400	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	digdug2	ddclr-5k.bin	\N	\N	256	1525a4d1	bbedb0cf5957671fca1229d38cb33086356813e1	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	digdug2	ddsnd.bin	\N	\N	256	e0074ee2	f4f02977130110be52f4dd82fc3c0d02f45778b9	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	digdug2	ddug2-3m.bin	\N	\N	16384	df1f4ad8	004fba630018dbf03c4b0e284c98077e19fface3	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	digdug2	ddug2-3n.bin	\N	\N	16384	ccadb3ea	77d8d8e6039272f73e63c8f76084138ec613365a	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	digdug2	ddug2-3b.bin	\N	\N	4096	afcb4509	c9a54df22b0b92efbe7417a00200587225906b46	\N	\N	\N	\N	\N	\N	
game	JAS_v1.01	superpac	\N	\N	\N	\N	\N	Super PacMan	1982	[Namco] (Bally Midway license)	\N	\N	\N	
game_rom	JAS_v1.01	superpac	spc2-1c.bin	\N	\N	8192	1a38c30e	ae0ee9f3df0991a80698fe745a7a853a4bb60710	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	superpac	spc1-1b.bin	\N	\N	8192	730e95a9	ca73c8bcb03c2f5c05968c707a5d3f7f9956b886	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	superpac	spv1-3c.bin	\N	\N	4096	78337e74	11222adb55e6bce508896ccb1f6dbab0c1d44e5b	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	superpac	spv2-3f.bin	\N	\N	8192	670a42f2	9171922df07e31fd1dc415766f7d2cc50a9d10dc	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	superpac	sp-3l.bin	\N	\N	256	d4d7026f	a486573437c54bfb503424574ad82655491e85e1	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	superpac	sp-4e.bin	\N	\N	256	1253c5c1	df46a90170e9761d45c90fbd04ef2aa1e8c9944b	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	superpac	sp-4c.bin	\N	\N	32	9ce22c46	d97f53ef4c5ef26659a22ed0de4ce7ef3758c924	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	superpac	spc3-1k.bin	\N	\N	4096	04445ddb	ce7d14963d5ddaefdeaf433a6f82c43cd1611d9b	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	superpac	sp-snd.bin	\N	\N	256	ad43688f	072f427453efb1dda8147da61804fff06e1bc4d5	\N	\N	\N	\N	\N	\N	
game	JAS_v1.01	pacland	\N	\N	\N	\N	\N	PacLand (Midway)	1984	[Namco] (Bally Midway license)	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-1	\N	\N	16384	a938ae99	bf12097d8c69685cb7af763f9b9617c767aaed2f	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-2	\N	\N	16384	3fe43bb5	14e6144d06ff2fd786f383f36f1b8238ac364849	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-3	\N	\N	16384	aa9fa739	7b1f7857eb5f68e166b1f8988c82051aaf05df48	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-4	\N	\N	16384	2b895a90	820f8873c6a5a736089406d0f03d491dfb82d00d	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-5	\N	\N	16384	7af66200	f44161ded1633e9801b7a9cd84d481e53823f5d9	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-6	\N	\N	16384	b01e59a9	e5b093852d33a4d09969d111fa6e42e964aa4dac	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-7	\N	\N	8192	8c5becae	14d67136395c4c64472980a69648ce2d479ae67f	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-8	\N	\N	16384	a2ebfa4a	4a2a2b43a23a7a46266751415d1bde118143429c	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-9	\N	\N	16384	f5d5962b	8d008a9bc06dc562c241955d9c551647b5c1f4e9	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-10	\N	\N	16384	c7cf1904	7ca8ed20ee32eb8609ac96b4e4fcb3b6027b598a	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-11	\N	\N	16384	6621361a	4efa40adba803006e86d5e12514983d4132b5efb	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-12	\N	\N	8192	c159fbce	b0326c85b7df407f3e94c38a5971f911968d7b27	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-13	\N	\N	8192	6c5ed9ae	db919c9254289179e98ba5d2ed8c66d67ae95f35	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl-snd	\N	\N	512	d3aff2df	213b87acdc8494e5bd24b44bc9e6a17dcb5aea5e	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-mcu.bin	\N	\N	4096	6ef08fb3	4842590d60035a0059b0899eb2d5f58ae72c2529	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-1.bin	\N	\N	1024	a78ebdaf	8ea215701eb5e1a2a329ef92c19fc69b18fc28c7	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-2.bin	\N	\N	1024	472885de	8d552c90b8d5bc6ad6c60934c00f4303cd180ce7	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-3.bin	\N	\N	1024	80558da8	7e1483467817295f36d1e2bdb32934c4f2617d52	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-4.bin	\N	\N	1024	3a7be418	475cdc68205e3acce83fe79b00b74c6a7e28dde4	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	pacland	pl1-5.bin	\N	\N	1024	4b7ee712	dd0ec4c632d8b160f7b54d8f18fcf4ef1508d832	\N	\N	\N	\N	\N	\N	
game	JAS_v1.01	paclandn	\N	\N	\N	\N	\N	PacLand (Namco)	1984	Namco	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-1	\N	\N	16384	f729fb94	332ff2e4aae67eb8ed0f52048097f74323a176f8	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-2	\N	\N	16384	5c66eb6f	376233f51e655df8922886c1e808a2f37ccae5d4	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-3	\N	\N	16384	aa9fa739	7b1f7857eb5f68e166b1f8988c82051aaf05df48	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-4	\N	\N	16384	2b895a90	820f8873c6a5a736089406d0f03d491dfb82d00d	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-5	\N	\N	16384	7af66200	f44161ded1633e9801b7a9cd84d481e53823f5d9	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-6	\N	\N	16384	b01e59a9	e5b093852d33a4d09969d111fa6e42e964aa4dac	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-7	\N	\N	8192	8c5becae	14d67136395c4c64472980a69648ce2d479ae67f	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-8	\N	\N	16384	2b20e46d	9f78952ae94fef6a83a15de35d5fefdf71e78488	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-9	\N	\N	16384	80768a87	1572f309e810d9eb007a1c8b2aa8463027c146ca	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-10	\N	\N	16384	ffd9d66e	9a6e9ad500fcb7a67cb3c45d029c2aa7636a64f9	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-11	\N	\N	16384	c59775d8	034281c8101719d79043df31ef845fd28c0c69c0	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-12	\N	\N	8192	c159fbce	b0326c85b7df407f3e94c38a5971f911968d7b27	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-13	\N	\N	8192	6c5ed9ae	db919c9254289179e98ba5d2ed8c66d67ae95f35	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl-snd	\N	\N	512	d3aff2df	213b87acdc8494e5bd24b44bc9e6a17dcb5aea5e	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-mcu.bin	\N	\N	4096	6ef08fb3	4842590d60035a0059b0899eb2d5f58ae72c2529	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-1.bin	\N	\N	1024	a78ebdaf	8ea215701eb5e1a2a329ef92c19fc69b18fc28c7	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-2.bin	\N	\N	1024	472885de	8d552c90b8d5bc6ad6c60934c00f4303cd180ce7	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-3.bin	\N	\N	1024	80558da8	7e1483467817295f36d1e2bdb32934c4f2617d52	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-4.bin	\N	\N	1024	3a7be418	475cdc68205e3acce83fe79b00b74c6a7e28dde4	\N	\N	\N	\N	\N	\N	
game_rom	JAS_v1.01	paclandn	pl1-5.bin	\N	\N	1024	4b7ee712	dd0ec4c632d8b160f7b54d8f18fcf4ef1508d832	\N	\N	\N	\N	\N	\N	
