game	Modeler_v0.9.3a	ga2	\N	\N	\N	\N	\N	Golden Axe 2 - The Revenge of Death Adder	1992	Sega	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14955	\N	\N	2097152	e42684aa	12e0f18a11edb46f09e2e8c5c4ba14170d0cf00d	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14956	\N	\N	2097152	298fca50	16e09b19cc7be3dfc8e82b45348e6d1cf2ed5621	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	epr14468	\N	\N	65536	77634daa	339169d164b9ed7dc3787b084d33effdc8e9efc1	\N	\N	\N	\N	\N	\N	
game	Modeler_v0.9.3a	sonicarcade	\N	\N	\N	\N	\N	Sonic the Hedgehog (Prototype)	1994	Sega	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonobj0.bin	\N	\N	1048576	ceea18e3	f902a7e2f8e126fd7a7862c55de32ce6352a7716	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonobj1.bin	\N	\N	1048576	6bbc226b	5ef4256b6a93891daf1349def6db3bc428e5f4f3	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonobj2.bin	\N	\N	1048576	fcd5ef0e	e3e50d4838ac3cce41d69ee6cd31981fbe422a4b	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonobj3.bin	\N	\N	1048576	b99b42ab	60d91dc4e8e0adc62809cd2e71833c658124fbfc	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonobj4.bin	\N	\N	1048576	c7ec1456	d866b9dff546bd6feb43e317328ac0a2324303b9	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonobj5.bin	\N	\N	1048576	bd5da27f	ab3043190a32b555513a29a70e01547daf698cf8	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonobj6.bin	\N	\N	1048576	313c92d1	a5134750667502811fd755cc0974a744cdb785e1	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonobj7.bin	\N	\N	1048576	3784c507	8ea58c52b09b84643218e26f1ec1fa0ea864346e	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonpd0.bin	\N	\N	262144	a7da7546	0a10573b21cd38d58380698bc18b0256dbb24044	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonpd1.bin	\N	\N	262144	c30e4c70	897b6f62921694fe3c63677908f76eaf38b7b92f	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonpg0.bin	\N	\N	131072	da05dcbb	c2ced1f3aee92b0e531d5cd7611d4811f2ae95e7	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonpg1.bin	\N	\N	131072	c57dc5c5	5741bdd52ee7181d883129885838b36f4af8a04c	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonscl0.bin	\N	\N	524288	445e31b9	5678dfda74a09b5ac673448b222d11df4ca23aff	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonscl1.bin	\N	\N	524288	3d234181	2e8c14ad36be76f5f5fc6a3ee152f1abc8bf0ddd	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonscl2.bin	\N	\N	524288	a5de28b2	49a16ac10cf01b5b8802b8b015a2e403086c206a	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonscl3.bin	\N	\N	524288	7ce7554b	8def3acae6baafbe9e350f18e245a9a833df5cc4	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonsnd0.bin	\N	\N	262144	569c8d4b	9f1f6da6adbea043cc5ad853806fcb7bf683c832	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonsnd1.bin	\N	\N	1048576	f4fa5a21	14a364ba7744ff0b44423d8d6bab990fe534ff29	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonsnd2.bin	\N	\N	1048576	e1bd45a5	b411757853d61588e5223b48b5124cc00b3d65dd	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	sonicarcade	sonsnd3.bin	\N	\N	1048576	cf56b5a0	5786228aab120c3361524ba93b418b24fd5b8ffb	\N	\N	\N	\N	\N	\N	
game	Modeler_v0.9.3a	spiderman	\N	\N	\N	\N	\N	Spiderman	1991	Sega	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14280	\N	\N	131072	3c8148f7	072b7982bb95e7a9ab77844b59020146c262488d	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14281	\N	\N	131072	8a746c42	fa3729ec3aa4b3c59322408146ce2cfbf5a11b98	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14282	\N	\N	524288	ea20979e	9b70ef055da8c7c56da54b7edef2379678e7c50f	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14283	\N	\N	524288	c863a91c	afdc76bbb9b207cfcb47d437248a757d03212f4e	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14284	\N	\N	524288	760542d4	dcac73869c02fefd328bd6bdbcbdb3b68b0647da	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14285	\N	\N	262144	25aefad6	10153f4e773a0f55378f869eb1d85156e85f893f	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14288	\N	\N	1048576	3188b636	bc0adeeca5040caa563ee1e0eded9c323ca23446	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14289	\N	\N	1048576	38570582	a9d810a02a1f5a6849c79d65fbebff21a4b82b59	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14290	\N	\N	1048576	a144162d	d43f12dd9f690cdfcebb6c7b515ff7dc7dcaa377	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14291	\N	\N	1048576	490f95a1	f220788670b76164ac414ed9b16a422f719be267	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14292	\N	\N	1048576	41f71443	351d40d6159cb5b792519bce5d16490965800cfb	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14293	\N	\N	1048576	52899269	ff809ff88701109e0ca79e785a61402d97335cec	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14294	\N	\N	1048576	fa86b794	7b6907e5734fbf2fba7bcc213a8551fec5e9f3d5	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14295	\N	\N	1048576	29591f50	1ac4ceaf74892e30f210ad77024eb441c5e4a959	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14296	\N	\N	1048576	9d8cbd31	55a9f9ec9029157da033e69664b58e694a28db47	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14297	\N	\N	1048576	29cb9450	7dc38d23a2f0cee2f4edde05c1a6f0dc83f331db	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14298	\N	\N	1048576	2745c84c	5a0528c921cba7a1047d3a2ece79925103d719a1	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14299	\N	\N	1048576	ce59231b	bcb1f11b74935694d0617ec8df66db2cc57b6219	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14306	\N	\N	131072	64379dc6	7efc7175351186c54f141161a395e63b1cc7e7a5	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spiderman	14307	\N	\N	131072	d900219c	d59654db1fc0ec4d5f8cda9000ab4bd3bb36cdfc	\N	\N	\N	\N	\N	\N	
game	Modeler_v0.9.3a	spideyusa	\N	\N	\N	\N	\N	Spiderman (US)	1991	Sega	\N	\N	\N	
game_comment	Modeler_v0.9.3a	spideyusa	 Due to bad merging Spiderman (US) cannot be made a proper clone	
game_comment	Modeler_v0.9.3a	spideyusa	 This is because 14280 and 14281 are loaded from spideyusa.zip	
game_rom	Modeler_v0.9.3a	spideyusa	14303	\N	\N	131072	7f1bd28f	cff57e66d09682baf44aace99d698ad305f6a3d5	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spideyusa	14302	\N	\N	131072	d954c40a	436c81779274861de79dc6ce2c0fcc65bfd52098	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spideyusa	14280	\N	\N	131072	3c8148f7	072b7982bb95e7a9ab77844b59020146c262488d	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	spideyusa	14281	\N	\N	131072	8a746c42	fa3729ec3aa4b3c59322408146ce2cfbf5a11b98	\N	\N	\N	\N	\N	\N	
game	Modeler_v0.9.3a	vf	\N	\N	\N	\N	\N	Virtua Fighter	1993	Sega	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16080.rom	\N	\N	131072	3662e1a5	6bfceb1a7c1c7912679c907f2b7516ae9c7dda67	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16081.rom	\N	\N	131072	6dec06ce	7891544456bccd2fc647bccd058945ad50466636	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16082.rom	\N	\N	524288	b23f22ee	9fd5b5a5974703a60a54de3d2bce4301bfc0e533	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16083.rom	\N	\N	524288	d12c77f8	b4aeba8d5f1ab4aec024391407a2cb58ce2e94b0	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16084.rom	\N	\N	524288	483f453b	41a5527be73f5dd1c87b2a8113235bdd247ec049	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16085.rom	\N	\N	524288	5fa01277	dfa7ddff0a7daf29071431f26b93dd8e8e5793b6	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16086.rom	\N	\N	524288	deac47a1	3a8016124e4dc579d4aae745d4af1905ad0e4fbd	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16087.rom	\N	\N	524288	7a64daac	da6a9cad4b0cb2af4299e664c0889f3fbdc25530	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16088.rom	\N	\N	524288	fcda2d1e	0f7d0f604d429a1da0d1c3f31694520bada49680	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16089.rom	\N	\N	524288	39befbe0	362c493092cd0536fadee7326ecc7f973e23fb58	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16090.rom	\N	\N	524288	90c76831	5a3c25f2a131cfbb2ad067bef1ab7b1c95645d41	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16091.rom	\N	\N	524288	53115448	af798d5b1fcb720d7288a5ac48839d9ace16a2f2	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16120.rom	\N	\N	131072	2bff8378	854b08ab983e4e98cb666f2f44de9a6829b1eb52	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16121.rom	\N	\N	131072	ff6723f9	53498b8c103745883657dfd6efe27edfd48b356f	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16122.rom	\N	\N	2097152	568bc64e	31fd0ef8319efe258011b4621adebb790b620770	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16123.rom	\N	\N	2097152	15d78844	37c17e38604cf7004a951408024941cd06b1d93e	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16124.rom	\N	\N	2097152	45520ba1	c33e3c12639961016e5fa6b5025d0a67dff28907	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vf	vf_16125.rom	\N	\N	2097152	9b4998b6	0418d9b0acf79f35d0f7575c21f1be9a0ea343da	\N	\N	\N	\N	\N	\N	
game	Modeler_v0.9.3a	starwarsarcade	\N	\N	\N	\N	\N	Star Wars Arcade	1994	Sega	\N	\N	\N	
game_rom	Modeler_v0.9.3a	starwarsarcade	16467.5	\N	\N	524288	605068f5	99d7e171ce3353477c282d7567dedb9947206f14	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	starwarsarcade	16468.14	\N	\N	524288	681d03c0	4d21e26ce211466d429b84bca69a8147ff31ec6c	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	starwarsarcade	16469.15	\N	\N	524288	6f281f7c	6a9179e48d14838bb2a1a3f63fdd3a68ed009e03	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	starwarsarcade	16472.39	\N	\N	524288	5a0d7553	ba8e08e5a0c6b7fbc10084ad7ad3edf61efb0d70	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	starwarsarcade	16473.40	\N	\N	524288	876c5399	be7e40c77a385600941f11c24852cd73c71696f0	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	starwarsarcade	16474.41	\N	\N	524288	5864a26f	be0c22dfff37408f6b401b1970f7fcc6fc7fbcd2	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	starwarsarcade	16475.42	\N	\N	524288	b9266be9	cf195cd89c9d191b9eb8c5299f8cc154c2b4bd82	\N	\N	\N	\N	\N	\N	
game	Modeler_v0.9.3a	vrracin	\N	\N	\N	\N	\N	Virtua Racing	1993	Sega	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.4	\N	\N	131072	6d69e695	12d3612d3dfd474b8020cdfb8ffc5dcc64e2e1a3	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.5	\N	\N	131072	d45af9dd	48f2bf940c78e3ae4273a56e9f32371d870e41e0	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.6	\N	\N	524288	adc7c208	967b6f522011f17fd2821ccbe20bcb6d4680a4a0	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.7	\N	\N	524288	e5ab89df	873dea86628457e69f732158e3efb05d133eaa44	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.8	\N	\N	524288	6cf9c026	f4d717958dba6b6402f5ffe7638fe0bf353b61ed	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.9	\N	\N	524288	f65c9262	511a22bcfaf199737bfc5a809fd66cb4439dd386	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.10	\N	\N	524288	92868734	e1dfb134dc3ba7e0b1d40681621e09ac5a222518	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.11	\N	\N	524288	10c7c636	c77d55460bba4354349e473e129f21afeed05e91	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.12	\N	\N	524288	04bfdc5b	bb8788a761620d0440a62ae51c3b41f70a04b5e4	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.13	\N	\N	524288	c49f0486	cc2bb9059c016ba2c4f6e7508bd1687df07b8b48	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.14	\N	\N	524288	547d75ad	a57c11966886c37de1d7df131ad60457669231dd	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrmem.15	\N	\N	524288	6bfad8b1	c1f780e456b405abd42d92f4e03e40aad88f8c22	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrsnd.32	\N	\N	2097152	b1965190	fc47e9ed4a44d48477bd9a35e42c26508c0f4a0c	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrsnd.7	\N	\N	131072	919d9b75	27be79881cc9a2b5cf37e18f1e2d87251426b428	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	vrracin	vrrsndo.4	\N	\N	2097152	ba6b2327	02285520624a4e612cb4b65510e3458b13b1c6ba	\N	\N	\N	\N	\N	\N	
game	Modeler_v0.9.3a	arabianfight	\N	\N	\N	\N	\N	Arabian Fight	1992	Sega	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	ep14596.36	\N	\N	131072	bd01faec	c909dcb8ef2672c4b0060d911d295e445ca311eb	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14599f.14	\N	\N	2097152	94f1cf10	34ec86487bcb6726c025149c319f00a854eb7a1d	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	ep14591.9	\N	\N	262144	bbd940fb	99c17aba890935eaf7ea468492da03103288eb1b	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	ep14592.18	\N	\N	262144	f7dff316	338690a1404dde6e7e66067f23605a247c7d0f5b	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14593f.24	\N	\N	1048576	aa037047	5cb1cfb235bbbf875d2b07ac4a9130ba13d47e57	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14594f.34	\N	\N	1048576	01777645	7bcbe7687bd80b94bd3b2b3099cdd036bf7e0cd3	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14595f.35	\N	\N	1048576	5173d1af	dccda644488d0c561c8ff7fa9619bd9504d8d9c6	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14598f.5	\N	\N	2097152	010656f3	31619c022cba4f250ce174f186d3e34444f60faf	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14600f.32	\N	\N	2097152	e860988a	328581877c0890519c854f75f0976b0e9c4560f8	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14601f.31	\N	\N	2097152	a2f3bb32	1a60975dead5faf08ad4e9a96a00f98664d5e5ec	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14602.30	\N	\N	2097152	64524e4d	86246185ab5ab638a73991c9e3aeb07c6d51be4f	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14603.29	\N	\N	2097152	f6ce494b	b3117e34913e855c035ebe37fbfbe0f7466f94f0	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14604.28	\N	\N	2097152	5f8d5167	1b08495e5a4cc2530c2895e47abd0e0b75496c68	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14605.27	\N	\N	2097152	aaf52697	b502a37ae68fc08b60cdf0e2b744898b3474d3b9	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14606.26	\N	\N	2097152	7047f437	e806a1cd73c96b33e8edc64e41d99bf7798103e0	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14607.25	\N	\N	2097152	b70b0735	9ef2da6f710bc5c2c7ee30dc144409a61dbe6646	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	mp14608.8	\N	\N	131072	cd5efba9	a7daf8e95d31359753c984c447e93d40f43a179d	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	arabianfight	ep14468.1	\N	\N	65536	c3c591e4	53e48066e85b61d0c456618d14334a509b354cb3	\N	\N	\N	\N	\N	\N	
game	Modeler_v0.9.3a	svf	\N	\N	\N	\N	\N	Super Visual Football	1994	Sega	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	epr16864	\N	\N	524288	201a940e	e19d76141844dbdedee0698ea50edbb898ab55e9	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	epr16865	\N	\N	524288	9198ca9f	0f6271ce8a07e4ab7fdce38964055510f2ebfd4e	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	epr16866	\N	\N	131072	74431350	d3208b595423b5b0f25ee90db213112a09906f8f	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	epr16871.a	\N	\N	131072	f7061bd7	b46f4f2ecda8f521c0a91f2f2c2445b72cbc2874	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	epr16872.a	\N	\N	131072	1f383b00	c3af01743de5ff09ada19879902842efdbceb595	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16777	\N	\N	1048576	14b5d5df	1b0b0a31294b1bbc16d2046b374d584a1b00a78c	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16778	\N	\N	1048576	feedaecf	25c14ccb85c467dc0c8e85b61f8f86f4396c0cc7	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16779	\N	\N	1048576	7055e859	cde27fa4aaf0ee54063ee68794e9a6075581fff5	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16783	\N	\N	1048576	042eabe7	a11df5c21d85f0c96dbdcaf57be37a79658ad648	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16784	\N	\N	1048576	4608efe2	9b41aa28f50af770e854ef9fdff1a55da7b7b131	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16785	\N	\N	2097152	51f775ce	125b40bf47304d37b92e81df5081c81d9af6c8a2	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16787	\N	\N	2097152	dee7a204	29acff4d5dd68609ac46853860788206d18262ab	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16789	\N	\N	2097152	6b6c8ad3	97b0078c851845c31dcf0fe4b2a88393dcdf8988	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16791	\N	\N	2097152	42338226	106636408d5648fb95fbaee06074c57f6a535a82	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16860	\N	\N	2097152	578a7325	75a066841fa24952d8ed5ac2d988609295f437a8	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16861	\N	\N	2097152	d79c3f73	e4360efb0964a92cfad8c458a5568709fcc81339	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16862	\N	\N	2097152	00793354	3b37a89c5100d5f92a3567fc8d2003bc9d6fe0cd	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	svf	mpr16863	\N	\N	2097152	4f7236da	d1c29f6aa82d60a626217f1430bc8a76ef012007	\N	\N	\N	\N	\N	\N	
game	Modeler_v0.9.3a	radmobile	\N	\N	\N	\N	\N	Rad Mobile	1990	Sega	\N	\N	\N	
game_rom	Modeler_v0.9.3a	radmobile	mpr13519.bin	\N	\N	524288	bedc9534	7b3f7a47b6c0ca6707dc3c1167f3564d43adb32f	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	radmobile	mpr13520.bin	\N	\N	524288	3532e91a	669c8d27b4b48e1ab9d6d30b0994f5a4e5169118	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	radmobile	mpr13521.bin	\N	\N	524288	e9bca903	18a73c830b9755262a1c525e3ad5ae084117b64d	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	radmobile	epr13525.bin	\N	\N	524288	62ad83a0	b537176ebca15d91db04d5d7ab36aa967d41288e	\N	\N	\N	\N	\N	\N	
