game	Nebula_v2.25b	sf2turyu	\N	\N	sf2ce	sf2ce	\N	Street Fighter II' - Champion Edition (Turyu)	1992	hack	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_19.bin	s92_19.bin	\N	131072	beade53f	277c397dc12752719ec6b47d2224750bd1c07f79	\N	\N	\N	\N	\N	\N	
game	Nebula_v2.25b	sf2turyu1	\N	\N	sf2ce	sf2ce	\N	Street Fighter II' - Champion Edition (Turyu Alternate)	1992	hack	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	tl4m1	\N	\N	524288	afc7bd18	ef7af7fb3563073b96563274ec48783feb2be757	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	tl4m2	\N	\N	524288	882cd1c4	0cb971756352b1022ecd309b1bc3688c1f1acbd8	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	221.rom	\N	\N	131072	d1707134	5bfdf7bc57bdb85183647ebb175346070dd102ee	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	195.rom	\N	\N	131072	cd1d5666	8befd2c324eb29bdad6fc8fb2554cdfaf9808f9b	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_01.bin	s92_01.bin	\N	524288	03b0d852	f370f25c96ad2b94f8c53d6b7139100285a25bef	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_02.bin	s92_02.bin	\N	524288	840289ec	2fb42a242f60ba7e74009b5a90eb26e035ba1e82	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_03.bin	s92_03.bin	\N	524288	cdb5f027	4c7d944fef200fdfcaf57758b901b5511188ed2e	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_04.bin	s92_04.bin	\N	524288	e2799472	27d3796429338d82a8de246a0ea06dd487a87768	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_05.bin	s92_05.bin	\N	524288	ba8a2761	4b696d66c51611e43522bed752654314e76d33b6	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_06.bin	s92_06.bin	\N	524288	e584bfb5	ebdf1f5e2638eed3a65dda82b1ed9151a355f4c9	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_07.bin	s92_07.bin	\N	524288	21e3f87d	4a4961bb68c3a1ce15f9d393d9c03ecb2466cc29	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_08.bin	s92_08.bin	\N	524288	befc47df	520390420da3a0271ba90b0a933e65143265e5cf	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_10.bin	s92_10.bin	\N	524288	960687d5	2868c31121b1c7564e9767b9a19cdbf655c7ed1d	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_11.bin	s92_11.bin	\N	524288	978ecd18	648a59706b93c84b4206a968ecbdc3e834c476f6	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_12.bin	s92_12.bin	\N	524288	d6ec9a0a	ed6143f8737013b6ef1684e37c05e037e7a80dae	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_13.bin	s92_13.bin	\N	524288	ed2c67f6	0083c0ffaf6fe7659ff0cf822be4346cd6e61329	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_09.bin	s92_09.bin	\N	65536	08f6b60e	8258fcaca4ac419312531eec67079b97f471179c	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_18.bin	s92_18.bin	\N	131072	7f162009	346bf42992b4c36c593e21901e22c87ae4a7d86d	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu1	s92_19.bin	s92_19.bin	\N	131072	beade53f	277c397dc12752719ec6b47d2224750bd1c07f79	\N	\N	\N	\N	\N	\N	
game	Nebula_v2.25b	sf2toryu	\N	\N	sf2ce	sf2ce	\N	Street Fighter II' - Champion Edition (Tulong)	1992	hack	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	tl4mt.1	\N	\N	524288	158635ca	878b56064861993ac92fbd88eb1117d3680fe7d7	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	tl4m.2	\N	\N	524288	882cd1c4	0cb971756352b1022ecd309b1bc3688c1f1acbd8	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	u221t.1m	\N	\N	131072	1073b7b6	81ca1eab65ceac69520584bb23a684ccb9d92f89	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	u195t.1m	\N	\N	131072	db7e1f72	1ca99a3b425ac137f3c104cf4deb50d9431dacdd	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_01.bin	s92_01.bin	\N	524288	03b0d852	f370f25c96ad2b94f8c53d6b7139100285a25bef	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_02.bin	s92_02.bin	\N	524288	840289ec	2fb42a242f60ba7e74009b5a90eb26e035ba1e82	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_03.bin	s92_03.bin	\N	524288	cdb5f027	4c7d944fef200fdfcaf57758b901b5511188ed2e	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_04.bin	s92_04.bin	\N	524288	e2799472	27d3796429338d82a8de246a0ea06dd487a87768	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_05.bin	s92_05.bin	\N	524288	ba8a2761	4b696d66c51611e43522bed752654314e76d33b6	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_06.bin	s92_06.bin	\N	524288	e584bfb5	ebdf1f5e2638eed3a65dda82b1ed9151a355f4c9	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_07.bin	s92_07.bin	\N	524288	21e3f87d	4a4961bb68c3a1ce15f9d393d9c03ecb2466cc29	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_08.bin	s92_08.bin	\N	524288	befc47df	520390420da3a0271ba90b0a933e65143265e5cf	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_10.bin	s92_10.bin	\N	524288	960687d5	2868c31121b1c7564e9767b9a19cdbf655c7ed1d	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_11.bin	s92_11.bin	\N	524288	978ecd18	648a59706b93c84b4206a968ecbdc3e834c476f6	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_12.bin	s92_12.bin	\N	524288	d6ec9a0a	ed6143f8737013b6ef1684e37c05e037e7a80dae	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_13.bin	s92_13.bin	\N	524288	ed2c67f6	0083c0ffaf6fe7659ff0cf822be4346cd6e61329	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_09.bin	s92_09.bin	\N	65536	08f6b60e	8258fcaca4ac419312531eec67079b97f471179c	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_18.bin	s92_18.bin	\N	131072	7f162009	346bf42992b4c36c593e21901e22c87ae4a7d86d	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2toryu	s92_19.bin	s92_19.bin	\N	131072	beade53f	277c397dc12752719ec6b47d2224750bd1c07f79	\N	\N	\N	\N	\N	\N	
game	Nebula_v2.25b	knightsh	\N	\N	knights	knights	\N	Knights of the Round (Hack)	1991	Capcom	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kre_23h.rom	\N	\N	524288	fa2ff63d	f3800102aadeccd13ed49c88039732453266283a	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kre_22h.rom	\N	\N	524288	1438d070	4f6fad844c3e8eb960bb6cb85ac570979c0ae973	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kr_gfx1.rom	kr_gfx1.rom	\N	524288	9e36c1a4	772daae74e119371dfb76fde9775bda78a8ba125	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kr_gfx3.rom	kr_gfx3.rom	\N	524288	c5832cae	a188cf401cd3a2909b377d3059f14d22ec3b0643	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kr_gfx2.rom	kr_gfx2.rom	\N	524288	f095be2d	0427d1574062f277a9d04440019d5638b05de561	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kr_gfx4.rom	kr_gfx4.rom	\N	524288	179dfd96	b1844e69da7ab13474da569978d5b47deb8eb2be	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kr_gfx5.rom	kr_gfx5.rom	\N	524288	1f4298d2	4b162a7f649b0bcd676f8ca0c5eee9a1250d6452	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kr_gfx7.rom	kr_gfx7.rom	\N	524288	37fa8751	b88b39d1f08621f15a5620095aef998346fa9891	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kr_gfx6.rom	kr_gfx6.rom	\N	524288	0200bc3d	c900b1be2b4e49b951e5c1e3fd1e19d21b82986e	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kr_gfx8.rom	kr_gfx8.rom	\N	524288	0bb2b4e7	983b800925d58e4aeb4e5105f93ed5faf66d009c	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kr_09.rom	kr_09.rom	\N	65536	5e44d9ee	47a7503321be8d52b5c44af838e3bb82ee15a415	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kr_18.rom	kr_18.rom	\N	131072	da69d15f	9616207e693bae85705f786cef60b9f6951b5067	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	knightsh	kr_19.rom	kr_19.rom	\N	131072	bfc654e9	01b3d92e4dedf55ea3933d387c7ddb9ba2549773	\N	\N	\N	\N	\N	\N	
game	Nebula_v2.25b	sfzch	\N	\N	\N	\N	\N	Street Fighter Zero (CPS Changer Japan 951020)	1995	Capcom	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfzch23	\N	\N	524288	1140743f	10bcedb5cca266f2aa3ed99ede6f9a64fc877539	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfza22	\N	\N	524288	8d9b2480	405305c1572908d00eab735f28676fbbadb4fac6	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfzch21	\N	\N	524288	5435225d	6b1156fd82d0710e244ede39faaae0847c598376	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfza20	\N	\N	524288	806e8f38	b6d6912aa8f2f590335d7ff9a8214648e7131ebb	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz01	\N	\N	524288	0dd53e62	5f3bcf5ca0fd564d115fe5075a4163d3ee3226df	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz02	\N	\N	524288	94c31e3f	2187b3d4977514f2ae486eb33ed76c86121d5745	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz03	\N	\N	524288	9584ac85	bbd62d66b0f6909630e801ce5d6331d43f44d741	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz04	\N	\N	524288	b983624c	841106bb9453e3dfb7869c4b0e9149cc610d515a	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz05	\N	\N	524288	2b47b645	bc6426eff5df9417f32666586744626fa544f7b5	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz06	\N	\N	524288	74fd9fb1	7945472591f3c06970e96611a0363ed8f3d52c36	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz07	\N	\N	524288	bb2c734d	97a06935f86f31755d2ffdc5b56bef53944bdecd	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz08	\N	\N	524288	454f7868	eecccba7542d893bc41676246a20aa4914b79bbc	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz10	\N	\N	524288	2a7d675e	0144ba34a29fb08b41c780ce65bb06d25724e88f	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz11	\N	\N	524288	e35546c8	7b08aa3413494d12c5c550263a5f00b64b98e6ab	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz12	\N	\N	524288	f122693a	71ce901d8d30207e506b6a8d6a4e0fcf3a1b0eac	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz13	\N	\N	524288	7cf942c8	a7109facb97a8a11ddf1b4e07de6ff3164d713a1	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz14	\N	\N	524288	09038c81	3461d70902fbfb92ce40f804be6388276a01d153	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz15	\N	\N	524288	1aa17391	b4d0f760a430b7fc4443b6c94da2659315c5b926	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz16	\N	\N	524288	19a5abd6	73ba1de15c883fdc69fd7dccdb58d00ca512d4ea	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz17	\N	\N	524288	248b3b73	95810a17b1caf6372b33ed3e4ee8a7e51482c70d	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz09	\N	\N	65536	c772628b	ebc5b7c173caf1e151f733f23c1b20abec24e16d	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz18	\N	\N	131072	61022b2d	6369d0c1d08a30ee19b94e52ab1463a7784b9de5	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfzch	sfz19	\N	\N	131072	3b5886d5	7e1b7d40ef77b5df628dd663d45a9a13c742cf58	\N	\N	\N	\N	\N	\N	
game	Nebula_v2.25b	sfach	\N	\N	sfzch	sfzch	\N	Street Fighter Alpha (Publicity CPS Changer 950727)	1995	Capcom	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfach23	\N	\N	524288	02a1a853	d92b9e774844fdcc9d9946b3e892b021e672d876	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfza22	sfza22	\N	524288	8d9b2480	405305c1572908d00eab735f28676fbbadb4fac6	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfzch21	sfzch21	\N	524288	5435225d	6b1156fd82d0710e244ede39faaae0847c598376	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfza20	sfza20	\N	524288	806e8f38	b6d6912aa8f2f590335d7ff9a8214648e7131ebb	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz01	sfz01	\N	524288	0dd53e62	5f3bcf5ca0fd564d115fe5075a4163d3ee3226df	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz02	sfz02	\N	524288	94c31e3f	2187b3d4977514f2ae486eb33ed76c86121d5745	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz03	sfz03	\N	524288	9584ac85	bbd62d66b0f6909630e801ce5d6331d43f44d741	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz04	sfz04	\N	524288	b983624c	841106bb9453e3dfb7869c4b0e9149cc610d515a	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz05	sfz05	\N	524288	2b47b645	bc6426eff5df9417f32666586744626fa544f7b5	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz06	sfz06	\N	524288	74fd9fb1	7945472591f3c06970e96611a0363ed8f3d52c36	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz07	sfz07	\N	524288	bb2c734d	97a06935f86f31755d2ffdc5b56bef53944bdecd	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz08	sfz08	\N	524288	454f7868	eecccba7542d893bc41676246a20aa4914b79bbc	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz10	sfz10	\N	524288	2a7d675e	0144ba34a29fb08b41c780ce65bb06d25724e88f	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz11	sfz11	\N	524288	e35546c8	7b08aa3413494d12c5c550263a5f00b64b98e6ab	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz12	sfz12	\N	524288	f122693a	71ce901d8d30207e506b6a8d6a4e0fcf3a1b0eac	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz13	sfz13	\N	524288	7cf942c8	a7109facb97a8a11ddf1b4e07de6ff3164d713a1	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz14	sfz14	\N	524288	09038c81	3461d70902fbfb92ce40f804be6388276a01d153	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz15	sfz15	\N	524288	1aa17391	b4d0f760a430b7fc4443b6c94da2659315c5b926	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz16	sfz16	\N	524288	19a5abd6	73ba1de15c883fdc69fd7dccdb58d00ca512d4ea	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz17	sfz17	\N	524288	248b3b73	95810a17b1caf6372b33ed3e4ee8a7e51482c70d	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz09	sfz09	\N	65536	c772628b	ebc5b7c173caf1e151f733f23c1b20abec24e16d	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz18	sfz18	\N	131072	61022b2d	6369d0c1d08a30ee19b94e52ab1463a7784b9de5	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sfach	sfz19	sfz19	\N	131072	3b5886d5	7e1b7d40ef77b5df628dd663d45a9a13c742cf58	\N	\N	\N	\N	\N	\N	
game	Nebula_v2.25b	forgottn	\N	\N	\N	\N	\N	Forgotten Worlds (US)	1988	Capcom	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lwu11a	\N	\N	131072	ddf78831	b9c815613efdfde933d4500b588798b7fb4c1854	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lwu15a	\N	\N	131072	f7ce2097	44c06fabdb6de7d8afc2164458c90b0be9cf945d	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lwu10a	\N	\N	131072	8cb38c81	1d36cab7d17ff778ee7dfcd9606a3a87f6906f21	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lwu14a	\N	\N	131072	d70ef9fd	b393aa2a7bea440fdcf057ffc6ff233fc0d35d4b	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lw-07	\N	\N	524288	fd252a26	5cfb097984912a5167a8c7ec4c2e119b642f9970	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lw-02	\N	\N	524288	43e6c5c8	d3e6c971de0477ec4e178adc82508208dd8b397f	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lw-09	\N	\N	524288	899cb4ad	95e61af338945e690f2a82746feba3871ea224eb	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lw-06	\N	\N	524288	5b9edffc	6fd8f4a3ab070733b52365ab1945bf86acb2bf62	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lw-13	\N	\N	524288	8e058ef5	00f2c0050fd106276ea5398511c5861ebfbc0d10	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lw-01	\N	\N	524288	0318f298	178ffd6da7bf845e30abf1bfc38a469cd319a73f	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lw-08	\N	\N	524288	25a8e43c	d57cee1fc508db2677e84882fb814e4d9ad20543	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lw-05	\N	\N	524288	e4552fd7	11147afc475904848458425661473586dd6f60cc	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lw-12	\N	\N	524288	8e6a832b	d63a1331fda2365f090fa31950098f321a720ea8	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lwu00	\N	\N	65536	59df2a63	dfe1fffc7a17179a80a2ae623e93b30a7d6df20d	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lw-03u	\N	\N	131072	807d051f	720e4733787b9b11f4d1cdce0892b69475802844	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	forgottn	lw-04u	\N	\N	131072	e6cd098e	667f6e5736f76a1c4c450c4e2035574ea89d7910	\N	\N	\N	\N	\N	\N	
game	Nebula_v2.25b	lostwrld	\N	\N	forgottn	forgottn	\N	Lost Worlds (Japan)	1988	Capcom	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-11c.14f	\N	\N	131072	67e42546	3e385661f71616180a26b74e443978077246fe66	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-15c.14g	\N	\N	131072	402e2a46	cbb7017e75a425706505717bf83c2615f53309f9	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-10c.13f	\N	\N	131072	c46479d7	84fd9ef33ae7d0af2110e8dc299de25c0f039cee	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-14c.13g	\N	\N	131072	97670f4a	f249977c814abdff85007216d7fa57db5684be0f	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-07	lw-07	\N	524288	fd252a26	5cfb097984912a5167a8c7ec4c2e119b642f9970	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-02	lw-02	\N	524288	43e6c5c8	d3e6c971de0477ec4e178adc82508208dd8b397f	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-09	lw-09	\N	524288	899cb4ad	95e61af338945e690f2a82746feba3871ea224eb	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-06	lw-06	\N	524288	5b9edffc	6fd8f4a3ab070733b52365ab1945bf86acb2bf62	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-13	lw-13	\N	524288	8e058ef5	00f2c0050fd106276ea5398511c5861ebfbc0d10	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-01	lw-01	\N	524288	0318f298	178ffd6da7bf845e30abf1bfc38a469cd319a73f	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-08	lw-08	\N	524288	25a8e43c	d57cee1fc508db2677e84882fb814e4d9ad20543	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	lostwrld	lw-05	lw-05	\N	524288	e4552fd7	11147afc475904848458425661473586dd6f60cc	\N	\N	\N	\N	\N	\N	
