game	Virtua	vf2a	\N	\N	\N	\N	\N	Virtua Fighter 2	1994	Sega	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17573	\N	\N	2097152	e43557fe	4c61a135819862df02347c118dc4d88a0adac273	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17572	\N	\N	2097152	4febecc8	9683ea9bedfc5cd7b4a28e9a68792c0dc549d911	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17571	\N	\N	2097152	d22dc8ca	3bba7780fa4ec23e40127a5b0104fba7d5e30b5f	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17570	\N	\N	2097152	bccd324b	4c7ebdea08b2dedf621f121785ed1c40ebae4236	\N	\N	\N	\N	\N	\N	
game	Virtua	vf2b	\N	\N	vf2a	vf2a	\N	Virtua Fighter 2 (revision B)	1994	Sega	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17568.b	\N	\N	131072	5d966bbf	01d46313148ce509fa5641fb07a3f840c00886ac	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17569.b	\N	\N	131072	0b8c1ccc	ba2e0ac8b31955fed237ba9a5eda9fa14d1db11f	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17562.b	\N	\N	131072	b778d4eb	a7162d9c39d601ac92310c8cf2ae388647a5295a	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17563.b	\N	\N	131072	a05c15f6	b9b1f3c68c53a86dfa3cbc85fcb9150546c13f23	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17560	mpr17560	\N	2097152	d1389864	88e9a8b6b0f58c96957015179e7ff10f837040e6	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17561	mpr17561	\N	2097152	b98d0101	e154877380b9250d8119dd4c14ba306c7b337dcd	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17558	mpr17558	\N	2097152	4b15f5a6	9a34724958fef9b49eae39c6ea136e0cf532154b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17559	mpr17559	\N	2097152	d3264de6	2f094ff0b95bf1cd5c283414634ea9597204d374	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17566	mpr17566	\N	2097152	fb41ef98	ad4d1ba5e5b39b2d87105ae80750284867aa4ed3	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17567	mpr17567	\N	2097152	c3396922	7e0700ded530e4eb58e9a68cdb92791284c91431	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17564	mpr17564	\N	2097152	d8062489	57666b6937f79bb65c43ed02b04a454882d01e61	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17565	mpr17565	\N	2097152	0517c6e9	d9ba93998286713758385033119416714674c8d8	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17552	mpr17552	\N	2097152	e91e7427	0ac1111f2ecb4f924b5119eaaac8fa7bc87ab9d1	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17553	mpr17553	\N	2097152	5da1c5d3	c627b25a1f61a9fe9182e2199f70f6e485503c7b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17546	mpr17546	\N	2097152	042a194b	c6d8524dc0a879394f1234b7bb04836081bb3830	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17547	mpr17547	\N	2097152	be940431	5c1196a6454a4fead79a930979f2e69639ec2bb9	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17554	mpr17554	\N	2097152	27896d82	c0624e58de2e427465daaa10dbb02ea2a1fd0f1b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17548	mpr17548	\N	2097152	c95facc2	09d19abe5d75a335df7510df8abb2d4425159cdf	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17555	mpr17555	\N	2097152	4df2810b	720c4628d7783f0323b5723b441e13741556241e	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17549	mpr17549	\N	2097152	e0bce0e6	0570604dc2007288795a3125ffd480bc4b3b0802	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17556	mpr17556	\N	2097152	41a47616	55b909d2bc2079d0dfed5036c78c9e09bce09843	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17550	mpr17550	\N	2097152	c36ff3f5	f14fdf275905a90a0d4cc534d90b0302f26676d8	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17574	mpr17574	\N	524288	4d4c3a55	b6c0c3f0473bd7fc3ef4f5146110dfcc899a5af9	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17573	mpr17573	\N	2097152	e43557fe	4c61a135819862df02347c118dc4d88a0adac273	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17572	mpr17572	\N	2097152	4febecc8	9683ea9bedfc5cd7b4a28e9a68792c0dc549d911	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17571	mpr17571	\N	2097152	d22dc8ca	3bba7780fa4ec23e40127a5b0104fba7d5e30b5f	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2b	mpr17570	mpr17570	\N	2097152	bccd324b	4c7ebdea08b2dedf621f121785ed1c40ebae4236	\N	\N	\N	\N	\N	\N	
game	Virtua	vf2_1	\N	\N	vf2a	vf2a	\N	Virtua Fighter 2 (revision 2.1)	1994	Sega	\N	\N	\N	
game_rom	Virtua	vf2_1	18385.epr	\N	\N	131072	78ed2d41	471c19389ceeec6138107dd81863320bd4825327	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	18386.epr	\N	\N	131072	3418f428	0f51e389e13efc172a26471331a60c459ad43c38	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	18387.epr	\N	\N	131072	124a8453	26fb787451824fc6060724e37fe0ba6bb66796cb	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	18388.epr	\N	\N	131072	8d347980	da79e51ad501b9560c4ed7cf1ec768daad93efe0	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17560	mpr17560	\N	2097152	d1389864	88e9a8b6b0f58c96957015179e7ff10f837040e6	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17561	mpr17561	\N	2097152	b98d0101	e154877380b9250d8119dd4c14ba306c7b337dcd	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17558	mpr17558	\N	2097152	4b15f5a6	9a34724958fef9b49eae39c6ea136e0cf532154b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17559	mpr17559	\N	2097152	d3264de6	2f094ff0b95bf1cd5c283414634ea9597204d374	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17566	mpr17566	\N	2097152	fb41ef98	ad4d1ba5e5b39b2d87105ae80750284867aa4ed3	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17567	mpr17567	\N	2097152	c3396922	7e0700ded530e4eb58e9a68cdb92791284c91431	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17564	mpr17564	\N	2097152	d8062489	57666b6937f79bb65c43ed02b04a454882d01e61	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17565	mpr17565	\N	2097152	0517c6e9	d9ba93998286713758385033119416714674c8d8	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17552	mpr17552	\N	2097152	e91e7427	0ac1111f2ecb4f924b5119eaaac8fa7bc87ab9d1	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17553	mpr17553	\N	2097152	5da1c5d3	c627b25a1f61a9fe9182e2199f70f6e485503c7b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17546	mpr17546	\N	2097152	042a194b	c6d8524dc0a879394f1234b7bb04836081bb3830	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17547	mpr17547	\N	2097152	be940431	5c1196a6454a4fead79a930979f2e69639ec2bb9	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17554	mpr17554	\N	2097152	27896d82	c0624e58de2e427465daaa10dbb02ea2a1fd0f1b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17548	mpr17548	\N	2097152	c95facc2	09d19abe5d75a335df7510df8abb2d4425159cdf	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17555	mpr17555	\N	2097152	4df2810b	720c4628d7783f0323b5723b441e13741556241e	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17549	mpr17549	\N	2097152	e0bce0e6	0570604dc2007288795a3125ffd480bc4b3b0802	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17556	mpr17556	\N	2097152	41a47616	55b909d2bc2079d0dfed5036c78c9e09bce09843	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17550	mpr17550	\N	2097152	c36ff3f5	f14fdf275905a90a0d4cc534d90b0302f26676d8	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17574	mpr17574	\N	524288	4d4c3a55	b6c0c3f0473bd7fc3ef4f5146110dfcc899a5af9	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17573	mpr17573	\N	2097152	e43557fe	4c61a135819862df02347c118dc4d88a0adac273	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17572	mpr17572	\N	2097152	4febecc8	9683ea9bedfc5cd7b4a28e9a68792c0dc549d911	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17571	mpr17571	\N	2097152	d22dc8ca	3bba7780fa4ec23e40127a5b0104fba7d5e30b5f	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2_1	mpr17570	mpr17570	\N	2097152	bccd324b	4c7ebdea08b2dedf621f121785ed1c40ebae4236	\N	\N	\N	\N	\N	\N	
game	Virtua	doa	\N	\N	\N	\N	\N	Dead Or Alive	1996	Tecmo	\N	\N	\N	
game_rom	Virtua	doa	epr19310aa	\N	\N	524288	06486f7a	b3e14103570e5f45aed16e1c158e469bc85002ae	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	epr19311aa	\N	\N	524288	1be62912	dcc2df8e28e1a107867f74248e6ffcac83afe7c0	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19318	\N	\N	2097152	45de67f7	95b0e573f045566fa2bc0f1190de57ee170304ee	\N	\N	baddump	\N	\N	\N	
game_rom	Virtua	doa	mpr19319	\N	\N	2097152	c4e6e31b	42a84d5ee0e36e64562e12521b6e5fc97fbb0cb1	\N	\N	baddump	\N	\N	\N	
game_rom	Virtua	doa	mpr19316	\N	\N	2097152	3c374a88	30f6ac1afab0e39afd7a5ed6a7e2046ea76d6b7b	\N	\N	baddump	\N	\N	\N	
game_rom	Virtua	doa	mpr19317	\N	\N	2097152	76e89dbe	13dd2bbc6aae3261e88ca700b6cdcdf15fb051f4	\N	\N	baddump	\N	\N	\N	
game_rom	Virtua	doa	mpr19314	\N	\N	2097152	96d4a8d4	011479adf73e91594d9a2a503d03f4c921cefbc4	\N	\N	baddump	\N	\N	\N	
game_rom	Virtua	doa	mpr19315	\N	\N	2097152	58b78a81	e84df61ecff51178a4f9b004e818f50de7a742a1	\N	\N	baddump	\N	\N	\N	
game_rom	Virtua	doa	mpr19312	\N	\N	2097152	1dcedb10	a60fb9e7c0731004d0f0ff28c4cde272b21dd658	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19313	\N	\N	2097152	8c63055e	9f375b3f4a8884163ffcf364989499f2cd21e18b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19320	\N	\N	2097152	38833c36	946400c14235bb4d4e132e6e1ed5a4bf8833a1f8	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19321	\N	\N	2097152	c3e9ed39	98e5d4d6a28f7f63872db4f00a4c62c90617ea39	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19322	\N	\N	2097152	a08091c9	7e88fcfd7ba9254ca1c76de80f8681ba150c2d35	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19325	\N	\N	2097152	47b440a6	c1e4cfdb6d0f215fbd40a31813e5d72fe14412fa	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19323	\N	\N	2097152	c330a9ae	6d5b12edb1679699e914a87bb4f9e86d1498815f	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19326	\N	\N	2097152	7ce02f70	fbfaefd72a248bc37f75950c6ef31ddea9fdeb8a	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19324	\N	\N	2097152	ff372ead	d9999cfae869a8452067455541a1a013bf64670f	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19327	\N	\N	2097152	cfc44db1	65ecc085c3c40d6963883b0ccba21e71e230ef1f	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	epr19328	\N	\N	524288	400bdbfb	54db969fa54cf3c502d77aa6a6aaeef5d7db9f04	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19329	\N	\N	2097152	8fd2708a	7a341b15afa489aa95af70cb34ac3934b1a7d887	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19330	\N	\N	2097152	0c69787d	dc5870cd93da2babe5fc9c03b252fc6ea6e45721	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19331	\N	\N	2097152	c18ea0b8	0f42458829ae85fffcedd42cd9f728a7a3d75f1c	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	doa	mpr19332	\N	\N	2097152	2877f96f	00e5677da30527b862e238f10762a5cbfbabde2b	\N	\N	\N	\N	\N	\N	
game	Virtua	manxtt	\N	\N	\N	\N	\N	Manx TT Superbike	1995	Sega	\N	\N	\N	
game_rom	Virtua	manxtt	18822.bin	\N	\N	131072	c7b3e45a	d3a6910bf6efc138e0e40332219b90dea7d6ea56	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18823.bin	\N	\N	131072	6b0c1dfb	6da5c071e3ce842a99f928f473d4ccf7165785ac	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18824.bin	\N	\N	131072	352bb817	389cbf951ba606acb9ab7bff5cda85d9166e64ff	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18825.bin	\N	\N	131072	f88b036c	f6196e8da5e6579fe3fa5c24ab9538964c98e267	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18751.bin	\N	\N	2097152	773ad43d	4d1601dc08a08b724e33e7cd90a4f22e18cfed9c	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18752.bin	\N	\N	2097152	4da3719e	24007e4ae3ba1a06321328d14e2bd6002fa1936e	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18749.bin	\N	\N	2097152	c3fe0eea	ada21405a136935ac4da1a3535c25fccf903f2d1	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18750.bin	\N	\N	2097152	40b55494	d98ae5518c5d31b155b1a7c4f7d9d67f44d7beae	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18747.bin	\N	\N	2097152	f2ecac6f	879d7b277e238d1d8713f2b604bc3db407aa249d	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18748.bin	\N	\N	2097152	7815d634	bfeff77630759c88b2191ea7e1ff78e0d70cbdf5	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18862.bin	\N	\N	524288	9adc3a30	029db946338f8e0eccace8590082cc96bdf13e31	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18863.bin	\N	\N	524288	603742e9	f78a5f7e582d313880c734158bb0fa68b256a58a	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18759.bin	\N	\N	2097152	89d7927d	6908de9cbb71b36fc7dd35aace6bfd61408bb30b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18760.bin	\N	\N	2097152	4e3a4a89	bba6cd2a15b3f963388a3a87880da86b10f6e0a2	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18753.bin	\N	\N	2097152	33ddaa0d	26f643d6b9cecf08bd249290a670a0edea1b5be4	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18756.bin	\N	\N	2097152	e1678c59	d55828c2ed9714c4e07455a8eed7fc39967a9124	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18754.bin	\N	\N	2097152	09aabde5	e50646efb2ca59792833ce91398c4efa861ad6d1	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18757.bin	\N	\N	2097152	25fc92e9	226c4c7289b3b6009c1ffea4a171e3fb4e31a67c	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18755.bin	\N	\N	2097152	fd1fa53c	d8dabbd6efcc2752879cce3df2cb99b65e043eca	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18758.bin	\N	\N	2097152	1b5473d0	658e33503f6990f4d9a954c63efad5f53d15f3a4	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18826.bin	\N	\N	262144	ed9fe4c1	c3dd8a1324a4dc9b012bd9bf21d1f48578870f72	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18827.bin	\N	\N	2097152	58d78ca1	95275ed8315c044bfde2f23c10416f22627b34df	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18764.bin	\N	\N	2097152	0dc6a860	cb2ada0f8a592940de11ee781ad4beb5095c3b37	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18765.bin	\N	\N	2097152	ca4a803c	70b59da8f2532a02e980caba5bb86ec13a4d7ab5	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18766.bin	\N	\N	2097152	10f3c932	5f6da9825b70c1ea83a421e35038042fb17862ec	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18643.bin	\N	\N	131072	b5e048ec	8182e05a2ffebd590a936c1359c81e60caa79c2a	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18761.bin	\N	\N	2097152	4e39ec05	50696cd320f1a6492e0c193713acbce085d959cd	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	manxtt	18762.bin	\N	\N	2097152	4ab165d8	7ff42a4c7236fec76f94f2d0c5537e503bcc98e5	\N	\N	\N	\N	\N	\N	
game	Virtua	vcop2	\N	\N	\N	\N	\N	Virtua Cop 2	1995	Sega	\N	\N	\N	
game_rom	Virtua	vcop2	18524.bin	\N	\N	524288	1858988b	2979f8470cc31e6c5c32c6fec1a87dbd29b52309	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18525.bin	\N	\N	524288	0c13df3f	6b4188f04aad80b89f1826e8ca47cff763980410	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18518.bin	\N	\N	524288	7842951b	bed4ec9a5e59807d17e5e602bdaf3c68fcba08b6	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18519.bin	\N	\N	524288	31a30edc	caf3c2676508a2ed032d3657ac640a257f04bdd4	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18516.bin	\N	\N	2097152	a3928ff0	5a9695fb5eda394a1111a05ee5fb9cce29970e91	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18517.bin	\N	\N	2097152	4bd73da4	a4434bce019729e2148a95e3a6dea38de7f789c1	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18514.bin	\N	\N	2097152	791283c5	006fb22eefdd9205ede9a74fe53cbffe8c8fd45b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18515.bin	\N	\N	2097152	6ba1ffec	70f493aa4eb93edce8dd5b7b532d1f50f81069ce	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18522.bin	\N	\N	2097152	74bcbac4	19a9b220482968abda2e2559fe02a8097f84df49	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18523.bin	\N	\N	2097152	61d08dc4	40d8231d184582c0fc01ad874371aaec7dfcc337	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18520.bin	\N	\N	524288	1d4ec5e8	44c4b5560d150909342e4182496f136c8c5e2edb	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18521.bin	\N	\N	524288	b8b3781c	11956fe912c34d6a86a6b91d55987f6bead73473	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18511.bin	\N	\N	2097152	cae77a4f	f21474486f0dc4092cbad4566deea8a952862ab7	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18512.bin	\N	\N	2097152	d9bc7e71	774eba886083b0dad9a47519c5801e44346312cf	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18513.bin	\N	\N	2097152	777a3633	edc2798c4d88975ce67b54fc0db008e7d24db6ef	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18510.bin	\N	\N	2097152	083f5186	0f9d5c6e18bf3ae5d6bc195f513668286aa23478	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18530.bin	\N	\N	524288	ac9c8357	ad297c7fecaa9b877f0dd31e859983816947e437	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18529.bin	\N	\N	2097152	f76715b1	258418c1cb37338a694e48f3b48fadfae5f40239	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18528.bin	\N	\N	2097152	287a2f9a	78ba93ab90322152efc37f7130073b0dc516ef5d	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18527.bin	\N	\N	2097152	e6a49314	26563f425f2f0906ae9278fe5de02955653d49fe	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vcop2	18526.bin	\N	\N	2097152	6516d9b5	8f13cb02c76f7b7cd11f3c3772ff13302d55e9c3	\N	\N	\N	\N	\N	\N	
game	Virtua	daytona	\N	\N	\N	\N	\N	Daytona USA	1995	Sega	\N	\N	\N	
game_rom	Virtua	daytona	usa16722.bin	\N	\N	131072	48b94318	a476a9a3531beef760c88c9634ed4a7d270e8ee7	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	daytona	usa16723.bin	\N	\N	131072	8af8b32d	2039ec1f8da524176fcf85473c10a8b6e49e139a	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	daytona	us16528.bin	\N	\N	2097152	9ce591f6	e22fc8a70b533f7a6191f5952c581fb8f9627906	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	daytona	us16529.bin	\N	\N	2097152	f7095eaf	da3c922f950dd730ea348eae12aa1cb69cee9a58	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	daytona	us16808.bin	\N	\N	2097152	44f1f5a0	343866a6e2187a8ebc17f6727080f9f2f9ac9200	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	daytona	us16809.bin	\N	\N	2097152	37a2dd12	8192d8698d6bd52ee11cc28917aff5840c447627	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	daytona	usa16724.bin	\N	\N	524288	469f10fd	7fad3b8d03960e5e1f7a6cb36509238977e00fcc	\N	\N	\N	\N	\N	\N	
