game	M-ulator_v0.14	galaga	\N	\N	\N	\N	\N	Galaga (Midway)	1981	[Namco] (Midway license)	\N	\N	\N	
game_rom	M-ulator_v0.14	galagabl	galagabl.1_5	\N	\N	4096	3102fccd	d29b68d6aab3217fa2106b3507b9273ff3f927bf	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galagabl	galagabl.1_7	\N	\N	4096	035e300c	cfda2467e71c27381b7150ff8fc7b69d61df123a	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galagabl	galagabl.1_8	\N	\N	4096	169a98a4	edbeb11076061e744ea88d9899dbdfe0964c7e78	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galagabl	galagabl.1_a	\N	\N	4096	ad447c80	e697c180178cabd1d32483c5d8889a40633f7857	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galagabl	galagabl.1_9	\N	\N	4096	dd6f1afc	c340ed8c25e0979629a9a1730edc762bd72d0cff	\N	\N	\N	\N	\N	\N	
game	M-ulator_v0.14	digdug	\N	\N	\N	\N	\N	Dig Dug (Atari)	1982	[Namco] (Atari license)	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.101	\N	\N	4096	b9198079	1d3fe04020f584ed250e32fdc6f6a3b769342884	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.102	\N	\N	4096	b2acbe49	c8f713e8cfa70d3bc64d3002ff7bffc65ee138e2	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.103	\N	\N	4096	d6407b49	0e71a8f02778286488865e20439776dbb2a8ec78	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.104	\N	\N	4096	b3ad42c3	83ea80f0dd42ec1cb62e6ed45d5dda43ed21f567	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.105	\N	\N	4096	0a2aef4a	ef40974fde8e8c305059e1dd03ea811a6aaca737	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.106	\N	\N	4096	a2876d6e	08e8ac50918ae32dd6fb34e65534652beb0395b2	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.107	\N	\N	4096	a41bce72	2b9b74f56aa7939d9d47cf29497ae11f10d78598	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.108	\N	\N	2048	3d24a3af	857ae93e2a41258a129dcecbaed2df359540b735	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.116	\N	\N	4096	e22957c8	4700c63f4f680cb8ab8c44e6f3e1712aabd5daa4	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.117	\N	\N	4096	a3bbfd85	2105455762e0de120f2d943f9010a7d06c6b6448	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.118	\N	\N	4096	458499e9	578bd839f9218c3cf4feee1223a461144e455df8	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.119	\N	\N	4096	c58252a0	bd79e39e8a572d2b5c205e6de27ca23e43ec9f51	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.115	\N	\N	4096	754539be	466ae754eb4721df8814d4d33a31d867507d45b3	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdug	136007.114	\N	\N	4096	d6822397	055ca6514141323f1e6dfcf91451507c04114d41	\N	\N	\N	\N	\N	\N	
game	M-ulator_v0.14	digdugnm	\N	\N	\N	\N	\N	Dig Dug (set 1)	1982	Namco	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.1b	\N	\N	4096	b9198079	1d3fe04020f584ed250e32fdc6f6a3b769342884	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.2	\N	\N	4096	b2acbe49	c8f713e8cfa70d3bc64d3002ff7bffc65ee138e2	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.3	\N	\N	4096	d6407b49	0e71a8f02778286488865e20439776dbb2a8ec78	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.4b	\N	\N	4096	f4cebc16	19b568f92069a1cfe1c07287408efe3b0e253375	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.5b	\N	\N	4096	370ef9b4	746b1fa15f5f2cfd69d8b5a7d6fb8c770abc3b4d	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.6b	\N	\N	4096	361eeb71	372c97c666411c3590d790213ae6fa1ccb5ffa1c	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.7	\N	\N	4096	a41bce72	2b9b74f56aa7939d9d47cf29497ae11f10d78598	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.9	\N	\N	2048	f14a6fe1	0aa63300c2cb887196de590aceb98f3cf06fead4	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.15	\N	\N	4096	e22957c8	4700c63f4f680cb8ab8c44e6f3e1712aabd5daa4	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.14	\N	\N	4096	2829ec99	3e435c1afb2e44487cd7ba28a93ada2e5ccbb86d	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.13	\N	\N	4096	458499e9	578bd839f9218c3cf4feee1223a461144e455df8	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.12	\N	\N	4096	c58252a0	bd79e39e8a572d2b5c205e6de27ca23e43ec9f51	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.11	\N	\N	4096	7b383983	57f1e8f5171d13f9f76bd091d81b4423b59f6b42	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	digdugnm	dd1.10b	\N	\N	4096	2cf399c2	317c48818992f757b1bd0e3997fa99937f81b52c	\N	\N	\N	\N	\N	\N	
game	M-ulator_v0.14	bosco	\N	\N	\N	\N	\N	Bosconian (Midway, old version)	1981	[Namco] (Midway license)	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	2300.3n	\N	\N	4096	db6128b0	ddd285f7e00d5e58ab9b15838528e0020d47fcd2	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	2400.3m	\N	\N	4096	86907614	3295ab6c5171a069875c2239b3325296c1df6031	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	2500.3l	\N	\N	4096	a21fae11	dff38d90ee30558274d2d399edc3281c2ef5cb69	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	2600.3k	\N	\N	4096	11d6ae23	f2f72f5c777b684f7ffd53b9c034560211113499	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	2700.3j	\N	\N	4096	7254e65e	c2ee29fcb5173e8d46a80a8a1b931a53dbdeae66	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	2800.3h	\N	\N	4096	31b8c648	de0db24d385d2361ec989bf32388df8202ad535c	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	2900.3e	\N	\N	4096	d45a4911	547236adca9174f5cc0ec05b9649618bb92ba630	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	4900.5n	\N	\N	4096	09acc978	2b264aaeb6eba70ad91593413dca733990e5467b	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	5000.5m	\N	\N	4096	e571e959	9c81d7bec73bc605f7dd9a089171b0f34c4bb09a	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	5100.5l	\N	\N	4096	17ac9511	266f3fae90d2fe38d109096d352863a52b379899	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	5300.5d	\N	\N	4096	a956d3c5	c5a9d7b1f9b4acda8fb9762414e085cb5fb80c9e	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosco	5200.5e	\N	\N	4096	e869219c	425614cd0642743a82ef9c1aada29774a92203ea	\N	\N	\N	\N	\N	\N	
game	M-ulator_v0.14	bosconm	\N	\N	\N	\N	\N	Bosconian (old version)	1981	Namco	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_1.bin	\N	\N	4096	0d9920e7	e7633233f603ccb5b7a970ed5b58ef361ef2c94e	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_2.bin	\N	\N	4096	2d8f3ebe	75de1cba7531ae4bf7fbbef7b8e37b9fec4ed0d0	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_3.bin	\N	\N	4096	c80ccfa5	f2bbec2ea9846d4601f06c0b4242744447a88fda	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_4b.bin	\N	\N	4096	a3f7f4ab	eb26184311bae0767c7a5593926e6eadcbcb680e	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_5c.bin	\N	\N	4096	a7c8e432	3607be75daa10f1f98dbfd9e600c5ba513130d44	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_6.bin	\N	\N	4096	31b8c648	de0db24d385d2361ec989bf32388df8202ad535c	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_7.bin	\N	\N	4096	d45a4911	547236adca9174f5cc0ec05b9649618bb92ba630	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_14.bin	\N	\N	4096	a956d3c5	c5a9d7b1f9b4acda8fb9762414e085cb5fb80c9e	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_13.bin	\N	\N	4096	e869219c	425614cd0642743a82ef9c1aada29774a92203ea	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_9.bin	\N	\N	4096	09acc978	2b264aaeb6eba70ad91593413dca733990e5467b	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_10.bin	\N	\N	4096	e571e959	9c81d7bec73bc605f7dd9a089171b0f34c4bb09a	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	bosconm	bos1_11.bin	\N	\N	4096	17ac9511	266f3fae90d2fe38d109096d352863a52b379899	\N	\N	\N	\N	\N	\N	
game	M-ulator_v0.14	xevious	\N	\N	\N	\N	\N	Xevious (Atari)	1982	Namco (Atari license)	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-1m-a.bin	\N	\N	8192	8c2b50ec	f770873b711d838556dde67a8aac8a7f572fcc5b	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-1l-a.bin	\N	\N	8192	0821642b	c6c322c61d0985a2ac59f5e92d4e351107afb9eb	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-4c-a.bin	\N	\N	8192	14d8fa03	e8114141394adda86184b146f2497cfeef7fc2eb	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-2c-a.bin	\N	\N	4096	dd35cf1c	f8d1f8e019d8198308443c2e7e815d0d04b23d14	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-2a.bin	\N	\N	4096	57ed9879	3106d1aacff06cf78371bd19967141072b32b7d7	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-2c.bin	\N	\N	4096	31e244dd	3f7eac12863697a98e1122111801606759e44b2a	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-3b.bin	\N	\N	4096	088c8b26	9c3b61dfca2f84673a78f7f66e363777a8f47a59	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-3c.bin	\N	\N	4096	de60ba25	32bc09be5ff8b52ee3a26e0ac3ebc2d4107badb7	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-3d.bin	\N	\N	4096	535cdbbc	fb9ffe5fc43e0213231267e98d605d43c15f61e8	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-4r.bin	\N	\N	8192	02417d19	b5f830dd2cf25cf154308d2e640f0ecdcda5d8cd	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-2b.bin	\N	\N	8192	ae3ba9e5	49064b25667ffcd81137cd5e800df4b78b182a46	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-4m.bin	\N	\N	8192	dc2c0ecb	19ddbd9805f77f38c9a9a1bb30dba6c720b8609f	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-4p.bin	\N	\N	8192	dfb587ce	acff2bf5cde85a16cdc98a52cdea11f77fadf25a	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	xevious	xe-4n.bin	\N	\N	4096	605ca889	3bf380ef76c03822a042ecc73b5edd4543c268ce	\N	\N	\N	\N	\N	\N	
