game	Laser_v0.20a	pong	\N	\N	\N	\N	\N	Pong	1972	Atari	\N	\N	\N	
game_rom	Laser_v0.20a	boothill	romg.cpu	\N	\N	2048	65a90420	9f36c44b5ae5b912cdbbeb9ff11a42221b8362d2	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	boothill	romf.cpu	\N	\N	2048	3fdafd79	b18e8ac9df40c4687ac1acd5174eb99f2ef60081	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	boothill	rome.cpu	\N	\N	2048	374529f4	18c57b79df0c66052eef40a694779a5ade15d0e0	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	checkmat	\N	\N	\N	\N	\N	Checkmate	1977	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	checkmat	checkmat.h	\N	\N	1024	3481a6d1	f758599d6393398a6a8e6e7399dc1a3862604f65	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	checkmat	checkmat.g	\N	\N	1024	df5fa551	484ff9bfb95166ba09f34c753a7908a73de3cc7d	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	checkmat	checkmat.f	\N	\N	1024	25586406	39e0cf502735819a7e1d933e3686945fcfae21af	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	checkmat	checkmat.e	\N	\N	1024	59330d84	453f95dd31968d439339c41e625481170437eb0f	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	desertgu	\N	\N	\N	\N	\N	Desert Gun	1977	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	desertgu	desertgu.h	\N	\N	2048	c0030d7c	4d0a3a59d4f8181c6e30966a6b1d19ba5b29c398	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	desertgu	desertgu.g	\N	\N	2048	1ddde10b	8fb8e85844a8ec6c0722883013ecdd4eeaeb08c1	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	desertgu	desertgu.f	\N	\N	2048	808e46f1	1cc4e9b0aa7e9546c133bd40d40ede6f2fbe93ba	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	desertgu	desertgu.e	\N	\N	2048	ac64dc62	202433dfb174901bd3b91e843d9d697a8333ef9e	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	dplay	\N	\N	\N	\N	\N	Double Play	1977	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	dplay	dplay.h	\N	\N	2048	6680669b	49ad2333f81613c2f27231de60b415cbc254546a	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	dplay	dplay.g	\N	\N	2048	0eec7e01	2661e77061119d7d95d498807bd29d2630c6b6ab	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	dplay	dplay.f	\N	\N	2048	3af4b719	3122138ac36b1a129226836ddf1916d763d73e10	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	dplay	dplay.e	\N	\N	2048	65cab4fc	1ce7cb832e95e4a6d0005bf730eec39225b2e960	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	lagunar	\N	\N	\N	\N	\N	Laguna Racer	1977	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	lagunar	lagunar.h	\N	\N	2048	0cd5a280	89a744c912070f11b0b90b0cc92061e238b00b64	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	lagunar	lagunar.g	\N	\N	2048	824cd6f5	a74f6983787cf040eab6f19de2669c019962b9cb	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	lagunar	lagunar.f	\N	\N	2048	62692ca7	d62051bd1b45ca6e60df83942ff26a64ae25a97b	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	lagunar	lagunar.e	\N	\N	2048	20e098ed	e0c52c013f5e93794b363d7762ce0f34ba98c660	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	gmissile	\N	\N	\N	\N	\N	Guided Missile	1977	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	gmissile	gm_623.h	\N	\N	2048	a3ebb792	30d9613de849c1a868056c5e28cf2a8608b63e88	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	gmissile	gm_624.g	\N	\N	2048	a5e740bb	963c0984953eb58fe7eab84fabb724ec6e29e706	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	gmissile	gm_625.f	\N	\N	2048	da381025	c9d0511567ed571b424459896ce7de0326850388	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	gmissile	gm_626.e	\N	\N	2048	f350146b	a07000a979b1a735754eca623cc880988924877f	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	m4	\N	\N	\N	\N	\N	M-4	1977	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	m4	m4.h	\N	\N	2048	9ee2a0b5	b81b4001c90ac6db25edd838652c42913022d9a9	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	m4	m4.g	\N	\N	2048	0e84b9cb	a7b74851979aaaa16496e506c487a18df14ab6dc	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	m4	m4.f	\N	\N	2048	9ded9956	449204a50efd3345cde815ca5f1fb596843a30ac	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	m4	m4.e	\N	\N	2048	b6983238	3f3b99b33135e144c111d2ebaac8f9433c269bc5	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	clowns	\N	\N	\N	\N	\N	Clowns (rev. 2)	1978	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	clowns	h2.cpu	\N	\N	1024	ff4432eb	997aee1e3669daa1d8169b4e103d04baaab8ea8d	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	clowns	g2.cpu	\N	\N	1024	676c934b	72b681ca9ef23d820fdd297cc417932aecc9677b	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	clowns	f2.cpu	\N	\N	1024	00757962	ef39211493393e97284a08eea63be0757643ac88	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	clowns	e2.cpu	\N	\N	1024	9e506a36	8aad486a72d148d8b03e7bec4c12abd14e425c5f	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	clowns	d2.cpu	\N	\N	1024	d61b5b47	6051c0a2e81d6e975e82c2d48d0e52dc0d4723e3	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	clowns	c2.cpu	\N	\N	1024	154d129a	61eebb319ee3a6be598b764b295c18a93a953c1e	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	clowns1	\N	\N	\N	\N	\N	Clowns (rev. 1)	1978	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	clowns1	clownsv1.h	\N	\N	1024	5560c951	b6972e1918604263579de577ec58fa6a91e8ff3e	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	clowns1	clownsv1.g	\N	\N	1024	6a571d66	e825f95863e901a1b648c74bb47098c8e74f179b	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	clowns1	clownsv1.f	\N	\N	1024	a2d56cea	61bc07e6a24a1980216453b4dd2688695193a4ae	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	clowns1	clownsv1.e	\N	\N	1024	bbd606f6	1cbaa21d9834c8d76cf335fd118851591e815c86	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	clowns1	clownsv1.d	\N	\N	1024	37b6ff0e	bf83bebb6c14b3663ca86a180f9ae3cddb84e571	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	clowns1	clownsv1.c	\N	\N	1024	12968e52	71e4f09d30b992a4ac44b0e88e83b4f8a0f63caa	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	einnings	\N	\N	\N	\N	\N	Extra Inning	1978	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	einnings	ei.h	\N	\N	2048	eff9c7af	316fffc972bd9935ead5ee4fd629bddc8a8ed5ce	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	einnings	ei.g	\N	\N	2048	5d1e66cb	a5475362e12b7c251a05d67c2fd070cf7d333ad0	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	einnings	ei.f	\N	\N	2048	ed96785d	d5557620227fcf6f30dcf6c8f5edd760d77d30ae	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	einnings	ei.e	\N	\N	2048	ad096a5d	81d48302a0e039b8601a6aed7276e966592af693	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	einnings	ei.b	\N	\N	2048	56b407d4	95e4be5b2f28192df85c6118079de2e68838b67c	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	shuffle	\N	\N	\N	\N	\N	Shuffleboard	1978	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	shuffle	shuffle.h	\N	\N	2048	0d422a18	909c5b9e3c1194abd101cbf993a2ed7c8fbeb5d0	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	shuffle	shuffle.g	\N	\N	2048	7db7fcf9	f41b568f2340e5307a7a45658946cfd4cf4056bf	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	shuffle	shuffle.f	\N	\N	2048	cd04d848	f0f7e9bc483f08934d5c29568b4a7fe084623031	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	shuffle	shuffle.e	\N	\N	2048	2c118357	178db02aaa70963dd8dbcb9b8651209913c539af	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	dogpatch	\N	\N	\N	\N	\N	Dog Patch	1977	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	dogpatch	dogpatch.h	\N	\N	2048	74ebdf4d	6b31f9563b0f79fe9128ee83e85a3e2f90d7985b	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	dogpatch	dogpatch.g	\N	\N	2048	ac246f70	7ee356c3218558a78ee0ff495f9f51ef88cac951	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	dogpatch	dogpatch.f	\N	\N	2048	a975b011	fb807d9eefde7177d7fd7ab06fc2dbdc58ae6fcb	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	dogpatch	dogpatch.e	\N	\N	2048	c12b1f60	f0504e16d2ce60a0fb3fc2af8c323bfca0143818	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	spcenctr	\N	\N	\N	\N	\N	Space Encounters	1980	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	spcenctr	4m33.cpu	\N	\N	2048	7458b2db	c4f41efb8a35fd8bebc75bff0111476affe2b34d	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spcenctr	4m32.cpu	\N	\N	2048	1b873788	6cdf0d602a65c7efcf8abe149c6172b4c7ab87a1	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spcenctr	4m31.cpu	\N	\N	2048	d4319c91	30830595c220f490fe150ad018fbf4671bb71e02	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spcenctr	4m30.cpu	\N	\N	2048	9b9a1a45	8023a05c13e8b541f9e2fe4d389e6a2dcd4766ea	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spcenctr	4m29.cpu	\N	\N	2048	294d52ce	0ee63413c5caf60d45ae8bef08f6c07099d30f79	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spcenctr	4m28.cpu	\N	\N	2048	ce44c923	9d35908de3194c5fe6fc8495ae413fa722018744	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spcenctr	4m27.cpu	\N	\N	2048	098070ab	72ae344591df0174353dc2e3d22daf5a70e2261f	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	spcenctr	4m26.cpu	\N	\N	2048	7f1d1f44	2f4951171a55e7ac072742fa24eceeee6aca7e39	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	phantom2	\N	\N	\N	\N	\N	Phantom II	1979	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	phantom2	phantom2.h	\N	\N	2048	0e3c2439	450182e590845c651530b2c84e1f11fe2451dcf6	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	phantom2	phantom2.g	\N	\N	2048	e8df3e52	833925e44e686df4d4056bce4c0ffae3269d57df	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	phantom2	phantom2.f	\N	\N	2048	30e83c6d	fe34a3e4519a7e5ffe66e76fe974049988656b71	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	phantom2	phantom2.e	\N	\N	2048	8c641cac	c4986daacb7ed9efed59b022c6101240b0eddcdc	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	phantom2	pclouds	\N	\N	2048	dcdd2927	d8d42c6594e36c12b40ee6342a9ad01a8bbdef75	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	bowler	\N	\N	\N	\N	\N	4 Player Bowling Alley	1978	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	bowler	h.cpu	\N	\N	2048	74c29b93	9cbd5b7b8a4c889406b6bc065360f74c036320b2	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bowler	g.cpu	\N	\N	2048	ca26d8b4	cf18991cde8044a961cf556f18c6eb60a7ade595	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bowler	f.cpu	\N	\N	2048	ba8a0bfa	bb017ddac58d031b249596b70ab1068cd1bad499	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bowler	e.cpu	\N	\N	2048	4da65a40	7795d59870fa722da89888e72152145662554080	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	bowler	d.cpu	\N	\N	2048	e7dbc9d9	05049a69ee588de85db86df188e7670778b77e90	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	280zzzap	\N	\N	\N	\N	\N	Datsun 280 Zzzap	1976	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	280zzzap	zzzaph	\N	\N	1024	1fa86e1c	b9cf16eb037ada73631ed24297e9e3b3bf6ab3cd	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	280zzzap	zzzapg	\N	\N	1024	9639bc6b	b2e2497e421e79a411d07ebf2eed2bb8dc227003	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	280zzzap	zzzapf	\N	\N	1024	adc6ede1	206bf2575696c4b14437f3db37a215ba33211943	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	280zzzap	zzzape	\N	\N	1024	472493d6	ae5cf4481ee4b78ca0d2f4d560d295e922aa04a7	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	280zzzap	zzzapd	\N	\N	1024	4c240ee1	972475f80253bb0d24773a10aec26a12f28e7c23	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	280zzzap	zzzapc	\N	\N	1024	6e85aeaf	ffa6bb84ef1f7c2d72fd26c24bd33aa014aeab7e	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	blueshrk	\N	\N	\N	\N	\N	Blue Shark	1978	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	blueshrk	blueshrk.h	\N	\N	2048	4ff94187	7cb80e2ccc34983bfd688c549ffc032d6dacf880	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	blueshrk	blueshrk.g	\N	\N	2048	e49368fd	2495ba48532bb714361e4f0e94c9317161c6c77f	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	blueshrk	blueshrk.f	\N	\N	2048	86cca79d	7b4633fb8033ee2c0e692135c383ebf57deef0e5	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	invad2ct	\N	\N	\N	\N	\N	Space Invaders II (Midway, cocktail)	1980	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	invad2ct	invad2ct.h	\N	\N	2048	51d02a71	2fa82ddc2702a72de0a9559ec244b70ab3db3f18	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invad2ct	invad2ct.g	\N	\N	2048	533ac770	edb65c289027432dad7861a7d6abbda9223c13b1	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invad2ct	invad2ct.f	\N	\N	2048	d1799f39	f7f1ba34d57f9883241ba3ef90e34ed20dfb8003	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invad2ct	invad2ct.e	\N	\N	2048	291c1418	0d9f7973ed81d28c43ef8b96f1180d6629871785	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invad2ct	invad2ct.b	\N	\N	2048	8d9a07c4	4acbe15185d958b5589508dc0ea3a615fbe3bcca	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invad2ct	invad2ct.a	\N	\N	2048	efdabb03	33f4cf249e88e2b7154350e54c479eb4fa86f26f	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	invaddlx	\N	\N	\N	\N	\N	Space Invaders Deluxe	1980	Midway	\N	\N	\N	
game_rom	Laser_v0.20a	invaddlx	invdelux.h	\N	\N	2048	e690818f	0860fb03a64d34a9704a1459a5e96929eafd39c7	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invaddlx	invdelux.g	\N	\N	2048	4268c12d	df02419f01cf0874afd1f1aa16276751acd0604a	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invaddlx	invdelux.f	\N	\N	2048	f4aa1880	995d77b67cb4f2f3781c2c8747cb058b7c1b3412	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invaddlx	invdelux.e	\N	\N	2048	408849c1	f717e81017047497a2e9f33f0aafecfec5a2ed7d	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	invaddlx	invdelux.d	\N	\N	2048	e8d5afcd	91fde9a9e7c3dd53aac4770bd169721a79b41ed1	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	sitv	\N	\N	\N	\N	\N	Space Invaders (TV Version)	1978	Taito	\N	\N	\N	
game_comment	Laser_v0.20a	sitv	 sitv uses some incorrect ROMs:	
game_comment	Laser_v0.20a	sitv	\tinvaders.h and invaders.e from invaders (instead of tv0h.s1)	
game_comment	Laser_v0.20a	sitv	 So long as invaders is complete though, sitv will still run	
game_rom	Laser_v0.20a	sitv	tv0h.s1	\N	\N	2048	fef18aad	043edeefe6a6d4934bd384eafea19326de1dbeec	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sitv	tv02.rp1	\N	\N	2048	3c759a90	d847d592dee592b1d3a575c21d89eaf3f7f6ae1b	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sitv	tv03.n1	\N	\N	2048	0ad3657f	a501f316535c50f7d7a20ef8e6dede1526a3f2a8	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sitv	tv04.m1	\N	\N	2048	cd2c67f6	60f9d8fe2d36ff589277b607f07c1edc917c755c	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	sicv	\N	\N	\N	\N	\N	Space Invaders (CV Version)	1979	Taito	\N	\N	\N	
game_rom	Laser_v0.20a	sicv	cv17.bin	\N	\N	2048	3dfbe9e6	26487df7fa0bbd0b9b7f74347c4b9318b0a73b89	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sicv	cv18.bin	\N	\N	2048	bc3c82bf	33e39fc97bd46699be1f9b9741a86f433efdc911	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sicv	cv19.bin	\N	\N	2048	d202b41c	868fe938ef768655c894ec95b7d9a81bf21f69ca	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sicv	cv20.bin	\N	\N	2048	c74ee7b6	4f52db274a2d4433ab67c099ee805e8eb8516c0f	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sicv	cv01_1.bin	\N	\N	1024	aac24f34	ad110e776547fb48baac568bb50d61854537ca34	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sicv	cv02_2.bin	\N	\N	1024	2bdf83a0	01ffbd43964c41987e7d44816271308f9a70802b	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	sisv2	\N	\N	invaders	invaders	\N	Space Invaders (SV Version 2)	1978	Taito	\N	\N	\N	
game_comment	Laser_v0.20a	sisv2	 sisv2 also loads ROMs from these locations (but can't be represented):	
game_comment	Laser_v0.20a	sisv2	\tsv0h.bin from sisv	
game_comment	Laser_v0.20a	sisv2	\tcv01_1.bin and cv02_2.bin from sicv	
game_comment	Laser_v0.20a	sisv2	 So long as sisv and sicv are complete though, sisv2 will still run	
game_rom	Laser_v0.20a	sisv2	sv0h.bin	\N	\N	1024	86bb8cb6	a75648e7f2446c756d86624b15d387d25ce47b66	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv2	emag_si.b	\N	\N	1024	febe6d1a	e1c3a24b4fa5862107ada1f9d7249466e8c3f06a	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv2	sv12	\N	\N	1024	a08e7202	de9f7c851d1b894915e720cfc5d794cdb31752f6	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv2	invaders.f	invaders.f	\N	2048	0ccead96	537aef03468f63c5b9e11dd61e253f7ae17d9743	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv2	sv13	\N	\N	1024	a9011634	1f1369ecb02078042cfdf17a497b8dda6dd23793	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv2	sv14	\N	\N	1024	58730370	13dc806bcecd2d6089a85dd710ac2869413f7475	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv2	cv01_1.bin	\N	\N	1024	aac24f34	ad110e776547fb48baac568bb50d61854537ca34	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv2	cv02_2.bin	\N	\N	1024	2bdf83a0	01ffbd43964c41987e7d44816271308f9a70802b	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	sisv	\N	\N	invaders	invaders	\N	Space Invaders (SV Version)	1978	Taito	\N	\N	\N	
game_comment	Laser_v0.20a	sisv	 sisv also loads ROMs from these locations (but can't be represented):	
game_comment	Laser_v0.20a	sisv	\ttv04.m1 from sitv	
game_comment	Laser_v0.20a	sisv	\tcv01_1.bin and cv02_2.bin from sicv	
game_comment	Laser_v0.20a	sisv	 So long as sitv and sicv are complete though, sisv will still run	
game_rom	Laser_v0.20a	sisv	sv0h.bin	\N	\N	1024	86bb8cb6	a75648e7f2446c756d86624b15d387d25ce47b66	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv	sv02.bin	\N	\N	1024	0e159534	94b2015a9d38ca738705b8d024a79fd2f9855b98	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv	invaders.g	invaders.g	\N	2048	6bfaca4a	16f48649b531bdef8c2d1446c429b5f414524350	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv	invaders.f	invaders.f	\N	2048	0ccead96	537aef03468f63c5b9e11dd61e253f7ae17d9743	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv	tv04.m1	\N	\N	2048	cd2c67f6	60f9d8fe2d36ff589277b607f07c1edc917c755c	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv	cv01_1.bin	\N	\N	1024	aac24f34	ad110e776547fb48baac568bb50d61854537ca34	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sisv	cv02_2.bin	\N	\N	1024	2bdf83a0	01ffbd43964c41987e7d44816271308f9a70802b	\N	\N	\N	\N	\N	\N	
game	Laser_v0.20a	sinvzen	\N	\N	\N	\N	\N	Super Invaders (Zenitone-Microsec)	????	Zenitone-Microsec Ltd	\N	\N	\N	
game_rom	Laser_v0.20a	sinvzen	1.bin	\N	\N	1024	9b0da779	a52ccdb252eb69c497aa5eafb35d7f25a311b44e	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sinvzen	2.bin	\N	\N	1024	9858ccab	5ad8e5ef0d95779f0e513634b97bc330c9269ce4	\N	\N	\N	\N	\N	\N	
game_rom	Laser_v0.20a	sinvzen	3.bin	\N	\N	1024	a1cc38b5	45fc9466b548d511b8174f6f3a4783164dd59489	\N	\N	\N	\N	\N	\N	
