game	ACE_v1.9	3wonders	\N	\N	\N	\N	\N	Three Wonders (World)	1991	Capcom	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.19	\N	\N	4194304	07439ff7	f71e07c6d77c32828f5e319268b24b13a1a4b0c2	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.14	\N	\N	1048576	c3f9ba63	66191a52c39daa89b17ede5804ee41c028036f14	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.16	\N	\N	1048576	815b0e7b	549785daac3122253fb94f6541bc7016147f5306	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.18	\N	\N	1048576	0109c71b	eb51284ee0c85ff8f605fe1d166b7aa202be1344	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.20	\N	\N	1048576	eb75ffbe	e9d1deca60be696ac5bff2017fb5de3525e5239a	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.01	\N	\N	131072	18a5c0e4	bb1353dd74884aaeec9b5f1d0b284d9cad53c0ff	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.02	\N	\N	131072	c9dfffa6	64e71028befe9a2514074be765dd020e1d2ea70b	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.11	\N	\N	2097152	a78f7433	e47ffba7b9dac9d0dda985c5d966194be18260f7	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.12	\N	\N	2097152	77438ed0	733ca6c6a792e66e2aa12c5fc06dd459527afe4b	\N	\N	\N	\N	\N	\N	
game	ACE_v1.9	armwaru	\N	\N	armwar	armwar	\N	Armored Warriors (US 941024)	1994	Capcom	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwgu.03b	\N	\N	524288	8b95497a	0c037b8a484d69f5e8c9600de71177fb78e9ede0	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwgu.04b	\N	\N	524288	29eb5661	7ee9150072882c9e158ca8231f26a9f62c8fa50e	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwgu.05b	\N	\N	524288	a54e9e44	e235dcdbd0111f018519d9c8eef130121ea20a20	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.06	pwg.06	\N	524288	87a60ce8	e2085c7c8c6792d055dbbb023c7f4e4aa38ae924	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.07	pwg.07	\N	524288	f7b148df	f369669713cf647222094c570a2eacd48a8637cf	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.08	pwg.08	\N	524288	cc62823e	edaf9bebdfc65ae5414090abd6844176eec39a00	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.09a	\N	\N	524288	4c26baee	685f050206b9b904ce6a1ae9a8e8f019012cea43	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.10	pwg.10	\N	524288	07c4fb28	58a1ff3d105be7df833dd4f32973766649efcbcf	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwgux.03b	\N	\N	524288	5d41ddde	61ac83a74d0f54cea50d97bda584ba28fb0a278f	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwgux.04b	\N	\N	524288	4d0619f3	ec89017df9a3f36e492c95bce664e65ed2a51e42	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.13	pwg.13	\N	4194304	ae8fe08e	b6f09663dcda69b5d7ac13e4afaf1efd692fb61e	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.15	pwg.15	\N	4194304	db560f58	0c3716b32eb24544ff5d16b5dcadce195cd10d00	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.17	pwg.17	\N	4194304	bc475b94	a157664450895a146a532581dd6f4b63dff21c86	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.19	pwg.19	\N	4194304	07439ff7	f71e07c6d77c32828f5e319268b24b13a1a4b0c2	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.14	pwg.14	\N	1048576	c3f9ba63	66191a52c39daa89b17ede5804ee41c028036f14	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.16	pwg.16	\N	1048576	815b0e7b	549785daac3122253fb94f6541bc7016147f5306	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.18	pwg.18	\N	1048576	0109c71b	eb51284ee0c85ff8f605fe1d166b7aa202be1344	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.20	pwg.20	\N	1048576	eb75ffbe	e9d1deca60be696ac5bff2017fb5de3525e5239a	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.01	pwg.01	\N	131072	18a5c0e4	bb1353dd74884aaeec9b5f1d0b284d9cad53c0ff	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.02	pwg.02	\N	131072	c9dfffa6	64e71028befe9a2514074be765dd020e1d2ea70b	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.11	pwg.11	\N	2097152	a78f7433	e47ffba7b9dac9d0dda985c5d966194be18260f7	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwaru	pwg.12	pwg.12	\N	2097152	77438ed0	733ca6c6a792e66e2aa12c5fc06dd459527afe4b	\N	\N	\N	\N	\N	\N	
game	ACE_v1.9	pgear	\N	\N	armwar	armwar	\N	Powered Gear: Strategic Variant Armor Equipment (Japan 941024)	1994	Capcom	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwgj.03a	\N	\N	524288	c79c0c02	4e24d34be255bb3886bd6b767779ee5fc81dca6e	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwgj.04a	\N	\N	524288	167c6ed8	23a4a7faae817ffc6c5faa4db5b96b8c8c0dfe86	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwgj.05a	\N	\N	524288	a63fb400	b27464b000cd12d9247254f843be27639fbf3a48	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.06	pwg.06	\N	524288	87a60ce8	e2085c7c8c6792d055dbbb023c7f4e4aa38ae924	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.07	pwg.07	\N	524288	f7b148df	f369669713cf647222094c570a2eacd48a8637cf	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.08	pwg.08	\N	524288	cc62823e	edaf9bebdfc65ae5414090abd6844176eec39a00	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.09a	\N	\N	524288	4c26baee	685f050206b9b904ce6a1ae9a8e8f019012cea43	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.10	pwg.10	\N	524288	07c4fb28	58a1ff3d105be7df833dd4f32973766649efcbcf	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwgjx.03a	\N	\N	524288	cf0284a9	444d7788072be253bb7c4cecc487a26d5f61d73c	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwgjx.04a	\N	\N	524288	99437cf1	f2b4ad733a2467e89c8d082291e330bc29411998	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.13	pwg.13	\N	4194304	ae8fe08e	b6f09663dcda69b5d7ac13e4afaf1efd692fb61e	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.15	pwg.15	\N	4194304	db560f58	0c3716b32eb24544ff5d16b5dcadce195cd10d00	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.17	pwg.17	\N	4194304	bc475b94	a157664450895a146a532581dd6f4b63dff21c86	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.19	pwg.19	\N	4194304	07439ff7	f71e07c6d77c32828f5e319268b24b13a1a4b0c2	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.14	pwg.14	\N	1048576	c3f9ba63	66191a52c39daa89b17ede5804ee41c028036f14	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.16	pwg.16	\N	1048576	815b0e7b	549785daac3122253fb94f6541bc7016147f5306	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.18	pwg.18	\N	1048576	0109c71b	eb51284ee0c85ff8f605fe1d166b7aa202be1344	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.20	pwg.20	\N	1048576	eb75ffbe	e9d1deca60be696ac5bff2017fb5de3525e5239a	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.01	pwg.01	\N	131072	18a5c0e4	bb1353dd74884aaeec9b5f1d0b284d9cad53c0ff	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.02	pwg.02	\N	131072	c9dfffa6	64e71028befe9a2514074be765dd020e1d2ea70b	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.11	pwg.11	\N	2097152	a78f7433	e47ffba7b9dac9d0dda985c5d966194be18260f7	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgear	pwg.12	pwg.12	\N	2097152	77438ed0	733ca6c6a792e66e2aa12c5fc06dd459527afe4b	\N	\N	\N	\N	\N	\N	
game	ACE_v1.9	pgearr1	\N	\N	armwar	armwar	\N	Powered Gear: Strategic Variant Armor Equipment (Japan 940916)	1994	Capcom	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwgj.03	\N	\N	524288	f264e74b	db0a675a9d46df9227334259db633e27f7dc79ab	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwgj.04	\N	\N	524288	23a84983	a3ed606f6213bb6e447c4ff84d6d3435a0170762	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwgj.05	\N	\N	524288	bef58c62	178c255171c4010cec758ee11d96bdcee85abee0	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.06	pwg.06	\N	524288	87a60ce8	e2085c7c8c6792d055dbbb023c7f4e4aa38ae924	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.07	pwg.07	\N	524288	f7b148df	f369669713cf647222094c570a2eacd48a8637cf	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.08	pwg.08	\N	524288	cc62823e	edaf9bebdfc65ae5414090abd6844176eec39a00	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.09	pwg.09	\N	524288	ddc85ca6	e794c679531632e2142c6a5e3b858494389ce65e	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.10	pwg.10	\N	524288	07c4fb28	58a1ff3d105be7df833dd4f32973766649efcbcf	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwgjx.03	\N	\N	524288	ebd9e371	e4ed713ed924918d44ad8fdcbca7a805098b7892	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwgjx.04	\N	\N	524288	e05a4756	ef29b663493f4101202df601134ffe61e2fa5edf	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.13	pwg.13	\N	4194304	ae8fe08e	b6f09663dcda69b5d7ac13e4afaf1efd692fb61e	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.15	pwg.15	\N	4194304	db560f58	0c3716b32eb24544ff5d16b5dcadce195cd10d00	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.17	pwg.17	\N	4194304	bc475b94	a157664450895a146a532581dd6f4b63dff21c86	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.19	pwg.19	\N	4194304	07439ff7	f71e07c6d77c32828f5e319268b24b13a1a4b0c2	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.14	pwg.14	\N	1048576	c3f9ba63	66191a52c39daa89b17ede5804ee41c028036f14	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.16	pwg.16	\N	1048576	815b0e7b	549785daac3122253fb94f6541bc7016147f5306	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.18	pwg.18	\N	1048576	0109c71b	eb51284ee0c85ff8f605fe1d166b7aa202be1344	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.20	pwg.20	\N	1048576	eb75ffbe	e9d1deca60be696ac5bff2017fb5de3525e5239a	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.01	pwg.01	\N	131072	18a5c0e4	bb1353dd74884aaeec9b5f1d0b284d9cad53c0ff	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.02	pwg.02	\N	131072	c9dfffa6	64e71028befe9a2514074be765dd020e1d2ea70b	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.11	pwg.11	\N	2097152	a78f7433	e47ffba7b9dac9d0dda985c5d966194be18260f7	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	pgearr1	pwg.12	pwg.12	\N	2097152	77438ed0	733ca6c6a792e66e2aa12c5fc06dd459527afe4b	\N	\N	\N	\N	\N	\N	
game	ACE_v1.9	avsp	\N	\N	\N	\N	\N	Alien vs. Predator (Euro 940520)	1994	Capcom	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avpe.03d	\N	\N	524288	774334a9	f60b0e39139ea40e0b0ba97ed01d4a757ed65e1a	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avpe.04d	\N	\N	524288	7fa83769	930f02e4d35686e80fbdd673380c4b2bd784a9e5	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.05d	\N	\N	524288	fbfb5d7a	5549bc9d780753bc9c10fba82588e5c3d4a2acb2	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.06	\N	\N	524288	190b817f	9bcfc0a015ffba9cdac25b6270939a9690de5da7	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avpex.03d	\N	\N	524288	73dd740e	c577928eb42616c87439fa30299daa5986514c37	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avpex.04d	\N	\N	524288	185f8c43	6802787918a794c8c44aec887c7f17eeeee1885d	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.13	\N	\N	2097152	8f8b5ae4	457ce959aa5db3a003de7dda2b3799b2f1ae279b	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.15	\N	\N	2097152	b00280df	bc1291a4a222d410bc99b6f1ed392067d9c3999e	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.17	\N	\N	2097152	94403195	efaad001527a5eba8f626aea9037ac6ef9a2c295	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.19	\N	\N	2097152	e1981245	809ccb7f10262e227d5e9d9f710e06f0e751f550	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.14	\N	\N	2097152	ebba093e	77aaf4197d1dae3321cf9c6d2b7967ee54cf3f30	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.16	\N	\N	2097152	fb228297	ebd02a4ba085dc70c0603662e14d61625fa04648	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.18	\N	\N	2097152	34fb7232	8b1f15bfa758a61e6ad519af24ca774edc70d194	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.20	\N	\N	2097152	f90baa21	20a900819a9d321316e3dfd241210725d7191ecf	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.01	\N	\N	131072	2d3b4220	2b2d04d4282550fa9f6e1ad8528f20d1f2ac02eb	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.11	\N	\N	2097152	83499817	e65b0ebd61ddc748842a9d4d92404b5305307623	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avsp	avp.12	\N	\N	2097152	f4110d49	f27538776cc1ba8213f19f98728ed8c02508d3ac	\N	\N	\N	\N	\N	\N	
game	ACE_v1.9	avspj	\N	\N	avsp	avsp	\N	Alien vs. Predator (Japan 940520)	1994	Capcom	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avpj.03d	\N	\N	524288	49799119	71a938b779291c3092ef6ef22935d89fd9c1186c	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avpj.04d	\N	\N	524288	8cd2bba8	1ea493d0d4b6e202ad38843b93035fa3f7e1b8c7	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.05d	avp.05d	\N	524288	fbfb5d7a	5549bc9d780753bc9c10fba82588e5c3d4a2acb2	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.06	avp.06	\N	524288	190b817f	9bcfc0a015ffba9cdac25b6270939a9690de5da7	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avpjx.03d	\N	\N	524288	94095fb0	06cc9951b7868bedf6185902a105ca003ecf6c62	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avpjx.04d	\N	\N	524288	a56b00ae	41c9f830129ad48f10bd0ac0b818328dc8e52e4c	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.13	avp.13	\N	2097152	8f8b5ae4	457ce959aa5db3a003de7dda2b3799b2f1ae279b	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.15	avp.15	\N	2097152	b00280df	bc1291a4a222d410bc99b6f1ed392067d9c3999e	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.17	avp.17	\N	2097152	94403195	efaad001527a5eba8f626aea9037ac6ef9a2c295	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.19	avp.19	\N	2097152	e1981245	809ccb7f10262e227d5e9d9f710e06f0e751f550	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.14	avp.14	\N	2097152	ebba093e	77aaf4197d1dae3321cf9c6d2b7967ee54cf3f30	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.16	avp.16	\N	2097152	fb228297	ebd02a4ba085dc70c0603662e14d61625fa04648	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.18	avp.18	\N	2097152	34fb7232	8b1f15bfa758a61e6ad519af24ca774edc70d194	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.20	avp.20	\N	2097152	f90baa21	20a900819a9d321316e3dfd241210725d7191ecf	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.01	avp.01	\N	131072	2d3b4220	2b2d04d4282550fa9f6e1ad8528f20d1f2ac02eb	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.11	avp.11	\N	2097152	83499817	e65b0ebd61ddc748842a9d4d92404b5305307623	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspj	avp.12	avp.12	\N	2097152	f4110d49	f27538776cc1ba8213f19f98728ed8c02508d3ac	\N	\N	\N	\N	\N	\N	
game	ACE_v1.9	avspu	\N	\N	avsp	avsp	\N	Alien vs. Predator (US 940520)	1994	Capcom	\N	\N	\N	
game_rom	ACE_v1.9	avspu	avpu.03d	\N	\N	524288	42757950	e6acae73a300c0e07c21f776e6aa87628184b152	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspu	avpu.04d	\N	\N	524288	5abcdee6	205e1ac8f4e359fd04e3a1e12425ba0b8330b1c1	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspu	avp.05d	avp.05d	\N	524288	fbfb5d7a	5549bc9d780753bc9c10fba82588e5c3d4a2acb2	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspu	avp.06	avp.06	\N	524288	190b817f	9bcfc0a015ffba9cdac25b6270939a9690de5da7	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspu	avpux.03d	\N	\N	524288	d5b01046	59ddf1949fcbd5aae344696bcac9659d33884eed	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspu	avpux.04d	\N	\N	524288	94bd7603	4662c6a21f32eaac3127593079d72800758293bb	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspu	avp.13	avp.13	\N	2097152	8f8b5ae4	457ce959aa5db3a003de7dda2b3799b2f1ae279b	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspu	avp.15	avp.15	\N	2097152	b00280df	bc1291a4a222d410bc99b6f1ed392067d9c3999e	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspu	avp.17	avp.17	\N	2097152	94403195	efaad001527a5eba8f626aea9037ac6ef9a2c295	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspu	avp.19	avp.19	\N	2097152	e1981245	809ccb7f10262e227d5e9d9f710e06f0e751f550	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	avspu	avp.14	avp.14	\N	2097152	ebba093e	77aaf4197d1dae3321cf9c6d2b7967ee54cf3f30	\N	\N	\N	\N	\N	\N	
