game	Tickle_Rebound_Edition	amidars	\N	\N	\N	\N	\N	Amidar (Scramble hardware)	1982	Konami	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	5d	\N	\N	2048	de7912da	8558b4eff5d7e63029b325edef9914feda5834c3	\N	cpu2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	5e	\N	\N	2048	ba2fa933	1f976d8595706730e29f93027e7ab4620075c078	\N	cpu2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	5f	\N	\N	2048	57f9c6b9	ad0d09a6611998d093d676a9c9fe9e32b10f643e	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	5h	\N	\N	2048	e989f325	947aee915779687deae040aeef9e9aee680aaebf	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	82s123.6e	\N	\N	32	4e3caeab	a25083c3e36d28afdefe4af6e6d4f3155e303625	\N	proms	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	blkhole	\N	\N	\N	\N	\N	Black Hole	1981	TDS	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	blkhole	bh1	\N	\N	2048	64998819	69fe5dfbe6cde18ef4cae62da12b5c692c2c72b9	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	blkhole	bh2	\N	\N	2048	26f26ce4	720ce7af05ef596fb9a109591534c74d282955e8	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	blkhole	bh3	\N	\N	2048	3418bc45	088bbbde66b7b5c36fa48cf14c22146e1444e67c	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	blkhole	bh4	\N	\N	2048	735ff481	d9b32db048a0e2a1195cd6f7326005e6622242a9	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	blkhole	bh5	\N	\N	2048	3f657be9	3ed1ee0bc199c1625156d2771eecd18a57a0e6ed	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	blkhole	bh6	\N	\N	2048	a057ab35	430261bafe20fc182e6e6659019cf42643e95d54	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	blkhole	bh7	\N	\N	2048	975ba821	c50d55f6ab81b803d67f5e18c1243ef85a1a2df1	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	blkhole	bh8	\N	\N	2048	03d11020	5768b573fac9aac168db2723462cca76d4d80552	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	blkhole	6l.bpr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	proms	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	crush	\N	\N	\N	\N	\N	Crush Roller (Kural Samno)	1981	Kural Samno Electric	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	crush	crushkrl.6e	\N	\N	4096	a8dd8f54	4e3a973ea74a9e145c6997513b98fc80aa478442	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	crush	crushkrl.6f	\N	\N	4096	91387299	3ad8c28e02c45667e32860953b157832445a82c8	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	crush	crushkrl.6h	\N	\N	4096	d4455f27	53f8ffc28be664fa8a2d756b4c70045a3f041bea	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	crush	crushkrl.6j	\N	\N	4096	d59fc251	024605e4485b0ac826217256e5356ed9a6c8ef34	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	crush	maketrax.5e	\N	\N	4096	91bad2da	096197d0cb6d55bf72b5be045224f4bd6a9cfa1b	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	crush	maketrax.5f	\N	\N	4096	aea79f55	279021e6771dfa5bd0b7c557aae44434286d91b7	\N	gfx2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	crush	82s123.7f	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	proms	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	crush	2s140.4a	\N	\N	256	63efb927	5c144a613fc4960a1dfd7ead89e7fee258a63171	\N	proms	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	crush	82s126.1m	\N	\N	256	a9cc86bf	bbcec0570aeceb582ff8238a4bc8546a23430081	\N	sound1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	crush	82s126.3m	\N	\N	256	77245b66	0c4d0bee858b97632411c440bea6948a74759746	\N	sound1	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	eyes	\N	\N	\N	\N	\N	Eyes (Digitrex Techstar)	1982	Digitrex Techstar (Rock-ola license)	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	eyes	d7	\N	\N	4096	3b09ac89	a8f1c918da74495bb73172f39364dada38ae4713	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	eyes	e7	\N	\N	4096	97096855	10d3b164bbbe5eee86e881a1434f0c114ee8adff	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	eyes	f7	\N	\N	4096	731e294e	96c0308c146dbd85e244c4530af9ae8df78c86de	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	eyes	h7	\N	\N	4096	22f7a719	eb000b606ecedd52bebbb232e661fb1ef205f8b0	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	eyes	d5	\N	\N	4096	d6af0030	652b779533e3f00e81cc102b78d367d503b06f33	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	eyes	e5	\N	\N	4096	a42b5201	2e5cede3b6039c7bd5230de27d02aaa3f35a7b64	\N	gfx2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	eyes	82s123.7f	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	proms	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	eyes	82s129.4a	\N	\N	256	d8d78829	19820d1651423210083a087fb70ebea73ad34951	\N	proms	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	eyes	82s126.1m	\N	\N	256	a9cc86bf	bbcec0570aeceb582ff8238a4bc8546a23430081	\N	sound1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	eyes	82s126.3m	\N	\N	256	77245b66	0c4d0bee858b97632411c440bea6948a74759746	\N	sound1	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	frogger	\N	\N	\N	\N	\N	Frogger	1981	Konami	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	frogger	frogger.26	\N	\N	4096	597696d6	e7e021776cad00f095a1ebbef407b7c0a8f5d835	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	frogger	frogger.27	\N	\N	4096	b6e6fcc3	5e8692f2b0c7f4b3642b3ee6670e1c3b20029cdc	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	frogger	frsm3.7	\N	\N	4096	aca22ae0	5a99060ea2506a3ac7d61ca5876ce5cb3e493565	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	frogger	frogger.608	\N	\N	2048	e8ab0256	f090afcfacf5f13cdfa0dfda8e3feb868c6ce8bc	\N	cpu2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	frogger	frogger.609	\N	\N	2048	7380a48f	75582a94b696062cbdb66a4c5cf0bc0bb94f81ee	\N	cpu2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	frogger	frogger.610	\N	\N	2048	31d7eb27	2e1d34ae4da385fd7cac94707d25eeddf4604e1a	\N	cpu2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	frogger	frogger.607	\N	\N	2048	05f7d883	78831fd287da18928651a8adb7e578d291493eff	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	frogger	frogger.606	\N	\N	2048	f524ee30	dd768967add61467baa08d5929001f157d6cd911	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	frogger	pr-91.6l	\N	\N	32	413703bf	66648b2b28d3dcbda5bdb2605d1977428939dd3c	\N	proms	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	galaxian	\N	\N	\N	\N	\N	Galaxian (Namco set 1)	1979	Namco	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	galaxian	galmidw.u	\N	\N	2048	745e2d61	e65f74e35b1bfaccd407e168ea55678ae9b68edf	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	galaxian	galmidw.v	\N	\N	2048	9c999a40	02fdcd95d8511e64c0d2b007b874112d53e41045	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	galaxian	galmidw.w	\N	\N	2048	b5894925	0046b9ed697a34d088de1aead8bd7cbe526a2396	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	galaxian	galmidw.y	\N	\N	2048	6b3ca10b	18d8714e5ef52f63ba8888ecc5a25b17b3bf17d1	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	galaxian	7l	\N	\N	2048	1b933207	8b44b0f74420871454e27894d0f004859f9e59a9	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	galaxian	1h.bin	\N	\N	2048	39fb43a4	4755609bd974976f04855d51e08ec0d62ab4bc07	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	galaxian	1k.bin	\N	\N	2048	7e3f56a2	a9795d8b7388f404f3b0e2c6ce15d713a4c5bafa	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	galaxian	6l.bpr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	proms	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	gteikoku	\N	\N	\N	\N	\N	Gingateikoku No Gyakushu	1980	Irem	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	f07_1a.bin	\N	\N	2048	d975af10	a2e2a36a75db8fd09441308b08b6ae073c68b8cf	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	h07_2a.bin	\N	\N	2048	b2ed14c3	7668df11f64b8e296eedfee53437777dc53a56d5	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	k07_3a.bin	\N	\N	2048	945f4160	5fbe879f51e14c4c7ae551e5b3089f8e148770a4	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	m07_4a.bin	\N	\N	2048	ddc80bc5	18c3920198baf87267bc7f12db6b23b090d3577a	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	d08p_5a.bin	\N	\N	2048	62354351	85bf18942f73023b8be0c3659a0dcd3dfcccfc2c	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	e08p_6a.bin	\N	\N	2048	d915a389	0e2ff6eec9453856a1276889946b463cfae58eba	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	m08p_7a.bin	\N	\N	2048	c9245346	239bad3fe64eaab2dfc3febd06d1124103a10504	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	n08p_8a.bin	\N	\N	2048	797d45c7	76fb8b45fcce3622c59c04af32cfa001ef7bf71d	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	h01_1.bin	\N	\N	2048	8313c959	b09157c6f824d6e94647728cbb329877fcb4e502	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	h01_2.bin	\N	\N	2048	c26132af	7ae125a911dfd47aeca4f129f580762ce4d8d91a	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	k01_1.bin	\N	\N	2048	c9d4537e	65d27066ffec04b755d2f5d3f36f5ec6792e8d6c	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	k01_2.bin	\N	\N	2048	dcc2b33b	c3a5ac935c519400dfabb28909f7e460769d1837	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	gteikoku	l06_prom.bin	\N	\N	32	6a0c7d87	140335d85c67c75b65689d4e76d29863c209cf32	\N	proms	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	jumpshot	\N	\N	\N	\N	\N	Jump Shot	1985	Bally Midway	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	jumpshot	6e	\N	\N	4096	f00def9a	465a7f368e61a1e6614d6eab0fa2c6319920eaa5	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	jumpshot	6f	\N	\N	4096	f70deae2	a8a8369e865b62cb9ed66d3de2396c6a5fced549	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	jumpshot	6h	\N	\N	4096	894d6f68	8693ffc29587cdd1be0b42cede53f8f450a2c7fa	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	jumpshot	6j	\N	\N	4096	f15a108a	db5c8394f688c6f889cadddeeae4fbca63c29a4c	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	jumpshot	5e	\N	\N	4096	d9fa90f5	3c37fe077a77baa802230dddbc4bb2c05985d2bb	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	jumpshot	5f	\N	\N	4096	2ec711c1	fcc3169f48eb7d4af533ad0169701e4230ff5a1f	\N	gfx2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	jumpshot	prom.7f	\N	\N	32	872b42f3	bbcd392ba3d2a5715e92fa0f7a7cf1e7e6e655a2	\N	proms	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	jumpshot	prom.4a	\N	\N	256	0399f39f	e98f08da4666cab44e01acb760a1bd2fc858bc0d	\N	proms	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	jumpshot	82s126.1m	\N	\N	256	a9cc86bf	bbcec0570aeceb582ff8238a4bc8546a23430081	\N	sound1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	jumpshot	82s126.3m	\N	\N	256	77245b66	0c4d0bee858b97632411c440bea6948a74759746	\N	sound1	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	lrescue	\N	\N	\N	\N	\N	Lunar Rescue	1979	Taito	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	lrescue	lrescue.1	\N	\N	2048	2bbc4778	0167f1ac1501ab0b4c4e555023fa5efed59d56ae	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	lrescue	lrescue.2	\N	\N	2048	49e79706	bed675bb97d59ae0132c007ccead0d096ed2ddf1	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	lrescue	lrescue.3	\N	\N	2048	1ac969be	67ac47f45b9fa5c530bf6047bb7d5776b52847be	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	lrescue	lrescue.4	\N	\N	2048	782fee3c	668295e9d6d99084bb4e7c5491f00fe75f4f5a88	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	lrescue	lrescue.5	\N	\N	2048	58fde8bc	663665ac5254204c1eba18357d9867034eae55eb	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	lrescue	lrescue.6	\N	\N	2048	bfb0f65d	ea0943d764a16094b6e2289f62ef117c9f838c98	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	lrescue	7643-1.cpu	\N	\N	1024	8b2e38de	d6a757be31c3a179d31bd3709e71f9e38ec632e9	\N	proms	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	maketrax	\N	\N	\N	\N	\N	Make Trax (set 1)	1981	[Kural] (Williams license)	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	maketrax	maketrax.6e	\N	\N	4096	0150fb4a	ba41582d5432670654479b4bf6d938d2168858af	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	maketrax	maketrax.6f	\N	\N	4096	77531691	68a450bcc8d832368d0f1cb2815cb5c03451796e	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	maketrax	maketrax.6h	\N	\N	4096	a2cdc51e	80d80235cda3ce19c1dbafacf3d47b1325ad4728	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	maketrax	maketrax.6j	\N	\N	4096	0b4b5e0a	621aece612df612065f776696956ef3671421fac	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	maketrax	maketrax.5e	\N	\N	4096	91bad2da	096197d0cb6d55bf72b5be045224f4bd6a9cfa1b	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	maketrax	maketrax.5f	\N	\N	4096	aea79f55	279021e6771dfa5bd0b7c557aae44434286d91b7	\N	gfx2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	maketrax	82s123.7f	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	proms	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	maketrax	2s140.4a	\N	\N	256	63efb927	5c144a613fc4960a1dfd7ead89e7fee258a63171	\N	proms	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	maketrax	82s126.1m	\N	\N	256	a9cc86bf	bbcec0570aeceb582ff8238a4bc8546a23430081	\N	sound1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	maketrax	82s126.3m	\N	\N	256	77245b66	0c4d0bee858b97632411c440bea6948a74759746	\N	sound1	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	mars	\N	\N	\N	\N	\N	Mars	1981	Artic	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	u26.3	\N	\N	2048	2f88892c	580c7b502321868f63d9e67286e63b5c5268827c	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	u56.4	\N	\N	2048	9e6bcbf7	c3acdba073a1f3703776a7905867d81acf328f37	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	u69.5	\N	\N	2048	df496e6e	b597e996ac797a239e4bc8f242f59c98a850723c	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	u98.6	\N	\N	2048	75f274bb	2eb83ccc8404c69ab262bf680dce892c23c94f39	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	u114.7	\N	\N	2048	497fd8d0	545aaf1d68ff727df356bbcf8ddd23df75b5ce97	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	u133.8	\N	\N	2048	3d4cd59f	da96d96a40a896e1272700c50cc34f91ac9f7a23	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	u39.9	\N	\N	2048	bb5968b9	8bc57fd80da7aff294e12e991e9acf60c1ab2893	\N	cpu2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	u51.10	\N	\N	2048	75fd7720	3ee4ca0d85ffacf0388cada17581da0cdaaf83ef	\N	cpu2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	u78.11	\N	\N	2048	72a492da	a272f72378850f7ecf52498746c2015f6dad3ab9	\N	cpu2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	u72.1	\N	\N	2048	279789d0	3ccf39da252df8b3605efc26299831279d697dd8	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	u101.2	\N	\N	2048	c5dc627f	529307238707d0676d1cae508f4eb66bbdd623d7	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mars	82s123.6e	\N	\N	32	4e3caeab	a25083c3e36d28afdefe4af6e6d4f3155e303625	\N	proms	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	mooncrst	\N	\N	\N	\N	\N	Moon Cresta (Nichibutsu)	1980	Nichibutsu	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mc1	\N	\N	2048	7d954a7a	a93ee403cfd7887538ad12d33f6dd6c71bea2a32	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mc2	\N	\N	2048	44bb7cfa	349c2e23a9fce73f95bb8168d369082fa129fe3d	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mc3	\N	\N	2048	9c412104	1b40054ebb1ace965a8522119bb23f09797bc5f6	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mc4	\N	\N	2048	7e9b1ab5	435f603c0c3e788a509dd144a7916a34e791ae44	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mc5.7r	\N	\N	2048	16c759af	3b48050411f65f9d3fb41ff22901e22d82bf1cf6	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mc6.8d	\N	\N	2048	69bcafdb	939c8c6ed1cd4660a3d99b8f17ed99cbd7e1352a	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mc7.8e	\N	\N	2048	b50dbc46	4fa084fd1ba5f78e7703e684c57af15ca7a844e4	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mc8	\N	\N	2048	18ca312b	39219059003b949e38305553fea2d33071062c64	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mcs_b	\N	\N	2048	fb0f1f81	38a6679a8b69bc1870a0e67e692131c42f9535c8	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mcs_d	\N	\N	2048	13932a15	b8885c555c6ad7021be55c6925a0a0872c1b6abd	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mcs_a	\N	\N	2048	631ebb5a	5bc9493afa76c55858b8c8849524cbc77dc838fc	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	mcs_c	\N	\N	2048	24cfd145	08c6599db170dd6ee364c44f70a0f5c0f881b6ef	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mooncrst	l06_prom.bin	\N	\N	32	6a0c7d87	140335d85c67c75b65689d4e76d29863c209cf32	\N	proms	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	mspacman	\N	\N	\N	\N	\N	Ms. Pac-Man	1981	Midway	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mspacman	pacman.6e	\N	\N	4096	c1e6ab10	e87e059c5be45753f7e9f33dff851f16d6751181	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mspacman	pacman.6f	\N	\N	4096	1a6fb2d4	674d3a7f00d8be5e38b1fdc208ebef5a92d38329	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mspacman	pacman.6h	\N	\N	4096	bcdd1beb	8e47e8c2c4d6117d174cdac150392042d3e0a881	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	mspacman	pacman.6j	\N	\N	4096	817d94e3	d4a70d56bb01d27d094d73db8667ffb00ca69cb9	\N	cpu1	\N	\N	\N	\N	
