game	DSP_v0.9	pacman	\N	\N	\N	\N	\N	Pac-Man (Midway)	1980	[Namco] (Midway license)	\N	\N	\N	
game_rom	DSP_v0.9	terracre	1a_7d.rom	\N	\N	16384	029d59d9	51053cafd5e7a4a5ba7008c6c6b28c612d935f40	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	1a_9b.rom	\N	\N	16384	69227b56	58c8aa4baa1f5ddfc151f5ed6284a06e87866dd7	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	1a_9d.rom	\N	\N	16384	5a672942	3890f87edb9047f3e4c6f4d4b47b7f9873962148	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	tc2a_15b.bin	\N	\N	16384	790ddfa9	90aa25fbfc9b5f52145ab3cf126610cf21024c20	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	tc2a_17b.bin	\N	\N	16384	d4531113	efc37c33a0791cae4d4ab50bc884cd6c8a6f95f5	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	2a_16b.rom	\N	\N	8192	591a3804	e1b46f5652e7f9677d75f01c6132975ace4facdd	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	1a_15f.rom	\N	\N	32768	984a597f	1f33892f160691c44872b37f0f6cb1493c9f7fb1	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	1a_17f.rom	\N	\N	32768	30e297ff	9843826ae63039d6693c8a0b30af721d70f40056	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	tc1a_10f.bin	\N	\N	256	ce07c544	c3691cb420c88f1887a55e3035b5d017decbc17a	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	tc1a_11f.bin	\N	\N	256	566d323a	fe83585a0d9c7f942a5e54620b627a5a17a0fcf4	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	tc1a_12f.bin	\N	\N	256	7ea63946	d7b89694a80736c7605b5c83d25d8b706f4504ab	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	tc2a_2g.bin	\N	\N	256	08609bad	e5daee3c3fea6620e3c2b91becd93bc4d3cdf011	\N	\N	\N	\N	\N	\N	
game	DSP_v0.9	phoenix	\N	\N	\N	\N	\N	Phoenix (Amstar)	1980	Amstar	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic45	\N	\N	2048	9f68086b	fc3cef299bf03bf0586c4047c6b96ca666846220	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic46	\N	\N	2048	273a4a82	6f3019a074e73ff50ceb92f655fcf15659f34919	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic47	\N	\N	2048	3d4284b9	6e69f8f0d537fe89140cd95d2398531d7e93d102	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic48	\N	\N	2048	cb5d9915	49bcf55a5721cfcc02c3b811a4b601e35ea576db	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic49	\N	\N	2048	a105e4e7	b35142a91b6b7fdf7535202671793393c9f4685f	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic50	\N	\N	2048	ac5e9ec1	0402e5241d99759d804291998efd43f37ce99917	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic51	\N	\N	2048	2eab35b4	849bf8273317cc869bdd67e50c68399ee8ece81d	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic52	\N	\N	2048	aff8e9c5	e4164f85ec12d4d9bcbffba27ab1f51b3599f6d0	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic23	\N	\N	2048	3c7e623f	e7ff5fc371664af44785c079e92eeb2d8530187b	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic24	\N	\N	2048	59916d3b	71aec70a8e096ed1f0c2297b3ae7dca1b8ecc38d	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic39	\N	\N	2048	53413e8f	d772358505b973b10da840d204afb210c0c746ec	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic40	\N	\N	2048	0be2ba91	af9243ee23377b632b9b7d0b84d341d06bf22480	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic40_b.bin	\N	\N	256	79350b25	57411be4c1d89677f7919ae295446da90612c8a8	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	phoenix	ic41_a.bin	\N	\N	256	e176b768	e2184dd495ed579f10b6da0b78379e02d7a6229f	\N	\N	\N	\N	\N	\N	
game	DSP_v0.9	jungler	\N	\N	\N	\N	\N	Jungler	1981	Konami	\N	\N	\N	
game_rom	DSP_v0.9	jungler	jungr1	\N	\N	4096	5bd6ad15	608de86e19c6726bb7d21e7dc0e936f00121a3f4	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	jungler	jungr2	\N	\N	4096	dc99f1e3	942405f6c7d816139e36289126fe883a6a9a0a08	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	jungler	jungr3	\N	\N	4096	3dcc03da	2c328a46511c4c9eec6515b9316a586de6503152	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	jungler	jungr4	\N	\N	4096	f92e9940	d72a4d0a0ab7c9a1dcbb7925eb8530052640a234	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	jungler	1b	\N	\N	4096	f86999c3	4660bd7826219b1bad7d9178918823196d4fd8d6	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	jungler	5k	\N	\N	2048	924262bf	593f59630b3bd369aef0819992106b4e6e6a241f	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	jungler	5m	\N	\N	2048	131a08ac	167a0710a2a153f7f7c6839d2340e5aa725ef039	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	jungler	82s129.10g	\N	\N	256	c59c51b7	e8ac60fed9ba16c61a4c3c09e27f8c3f4e254014	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	jungler	18s030.8b	\N	\N	32	55a7e6d1	f9e4ff3b165235db2fd8dab94c43bc686c3ad29b	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	jungler	tbp24s10.9d	\N	\N	256	d223f7b8	87b62f09d4eda09c16d99d1554017d18e52b5886	\N	\N	\N	\N	\N	\N	
game	DSP_v0.9	ladybug	\N	\N	\N	\N	\N	Lady Bug	1981	Universal	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	lb1.cpu	\N	\N	4096	d09e0adb	ddc1f849cbcefb64b70a26c2a4c993f0516af814	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	lb2.cpu	\N	\N	4096	88bc4a0a	193c9f90b7550020c0923cb158dff7d5faa53bc6	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	lb3.cpu	\N	\N	4096	53e9efce	1960e9cd896b6a65197aefc3f10348103552b598	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	lb4.cpu	\N	\N	4096	ffc424d7	2a4b9533e61e265bdd38c126add8c26d5bc048d5	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	lb5.cpu	\N	\N	4096	ad6af809	276275d56c725b9d90eeb44c317ceb06bac27ae7	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	lb6.cpu	\N	\N	4096	cf1acca4	c05de7de4bd05d5c2af6aa752e057a9286f3effc	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	lb9.vid	\N	\N	4096	77b1da1e	58cb82417396a3d96acfc864f091b1a5988f228d	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	lb10.vid	\N	\N	4096	aa82e00b	83a5b745e58844b6dd7d05dfe9dbb5959aaf5c40	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	lb8.cpu	\N	\N	4096	8b99910b	0bc812cf872f04eacedb50feed53f1aa8a1f24b9	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	lb7.cpu	\N	\N	4096	86a5b448	f8585a6fcf921e3e21f112dd2de474cb53cef290	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	10-2.vid	\N	\N	32	df091e52	4d7fea6d9ab31e5f280b1dc198a325f00c3826ef	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	ladybug	10-1.vid	\N	\N	32	40640d8f	85d13a9b78c47174cff7c869f52b30263bae575e	\N	\N	\N	\N	\N	\N	
game	DSP_v0.9	dkong	\N	\N	\N	\N	\N	Donkey Kong (US set 1)	1981	Nintendo of America	\N	\N	\N	
game_rom	DSP_v0.9	dkong	c_5et_g.bin	\N	\N	4096	ba70b88b	d76ebecfea1af098d843ee7e578e480cd658ac1a	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	c_5ct_g.bin	\N	\N	4096	5ec461ec	acb11a8fbdbb3ab46068385fe465f681e3c824bd	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	c_5bt_g.bin	\N	\N	4096	1c97d324	c7966261f3a1d3296927e0b6ee1c58039fc53c1f	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	c_5at_g.bin	\N	\N	4096	b9005ac0	3fe3599f6fa7c496f782053ddf7bacb453d197c4	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	v_5h_b.bin	\N	\N	2048	12c8c95d	a57ff5a231c45252a63b354137c920a1379b70a3	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	v_3pt.bin	\N	\N	2048	15e9c5e9	976eb1e18c74018193a35aa86cff482ebfc5cc4e	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	l_4m_b.bin	\N	\N	2048	59f8054d	793dba9bf5a5fe76328acdfb90815c243d2a65f1	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	l_4n_b.bin	\N	\N	2048	672e4714	92e5d379f4838ac1fa44d448ce7d142dae42102f	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	l_4r_b.bin	\N	\N	2048	feaa59ee	ecf95db5a20098804fc8bd59232c66e2e0ed3db4	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	l_4s_b.bin	\N	\N	2048	20f2ef7e	3bc482a38bf579033f50082748ee95205b0f673d	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	c-2k.bpr	\N	\N	256	e273ede5	b50ec9e1837c00c20fb2a4369ec7dd0358321127	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	c-2j.bpr	\N	\N	256	d6412358	f9c872da2fe8e800574ae3bf483fb3ccacc92eb3	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	dkong	v-5e.bpr	\N	\N	256	b869b8f5	c2bdccbf2654b64ea55cd589fd21323a9178a660	\N	\N	\N	\N	\N	\N	
game	DSP_v0.9	popeye	\N	\N	\N	\N	\N	Popeye (revision F)	1982	Nintendo	\N	\N	\N	
game_rom	DSP_v0.9	popeye	tpp2-c_f.7a	\N	\N	8192	5fc5264d	6c3d4df748c55293b6de58bd874a08f8164b878d	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	tpp2-c_f.7b	\N	\N	8192	51de48e8	7573931c6fcb53ee5ab9408906cd8eb2ba271c64	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	tpp2-c_f.7c	\N	\N	8192	62df9647	65d043b4142aa3ad2db7a1d4e1a2c22656ca7ade	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	tpp2-c_f.7e	\N	\N	8192	f31e7916	0f54ea7b1691b7789067fe880ffc56fac1d9523a	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	v-5n	\N	\N	4096	cca61ddd	239f87947c3cc8c6693c295ebf5ea0b7638b781c	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	v-1e	\N	\N	8192	0f2cd853	426c9b4f6579bfcebe72b976bfe4f05147d53f96	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	v-1f	\N	\N	8192	888f3474	ddee56b2b49bd50aaf9c98d8ef6e905e3f6ab859	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	v-1j	\N	\N	8192	7e864668	8e275dbb1c586f4ebca7548db05246ef0f56d7b1	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	v-1k	\N	\N	8192	49e1d170	bd51a4e34ce8109f26954760156e3cf05fb9db57	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	prom-cpu.4a	\N	\N	32	375e1602	d84159a0af5db577821c43712bc733329a43af80	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	prom-cpu.3a	\N	\N	32	e950bea1	0b48082fe79d9fcdca7e80caff1725713d0c3163	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	prom-cpu.5b	\N	\N	256	c5826883	f2c4d3473b3bfa55bffad003dc1fd79540e7e0d1	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	popeye	prom-cpu.5a	\N	\N	256	c576afba	013c8e8db08a03c7ba156cfefa671d26155fe835	\N	\N	\N	\N	\N	\N	
game	DSP_v0.9	kungfum	\N	\N	\N	\N	\N	Kung-Fu Master	1984	Irem	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	a-4e-c.bin	\N	\N	16384	b6e2d083	17e2cfe2b9d6121239803aba7132918e54ae02bf	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	a-4d-c.bin	\N	\N	16384	7532918e	9d513d5a3b99cc54c4491371cd44af048ef0fb33	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	g-4c-a.bin	\N	\N	8192	6b2cc9c8	ba7c902d08c21a1e33f450406bfbfa35abde3b3f	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	g-4d-a.bin	\N	\N	8192	c648f558	7cc085d8dc4a770d2828e39859b7b18e80148a00	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	g-4e-a.bin	\N	\N	8192	fbe9276e	84181c8da79e2c92af04aef3ab5d23f70969dad8	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-4k-.bin	\N	\N	8192	16fb5150	a49faf617f948d3ccec2bc6ef97bd399f0958f65	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-4f-.bin	\N	\N	8192	67745a33	fcc642fb1b932676c84c1a0901b989673c57c0e5	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-4l-.bin	\N	\N	8192	bd1c2261	7155789a01801a9e1a55d4e68c94a3a3ee7d1b2e	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-4h-.bin	\N	\N	8192	8ac5ed3a	9c88e8c82420428b43923cdee7eb4504882bec69	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-3n-.bin	\N	\N	8192	28a213aa	0d6d668490bdf4394bc9fed2f3cdc72f2fea46f9	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-4n-.bin	\N	\N	8192	d5228df3	836c4f95f873fbf07f9bec63a72c20a14651117c	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-4m-.bin	\N	\N	8192	b16de4f2	512260e76c9cd21b8add771de53fbd27c2719213	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-3m-.bin	\N	\N	8192	eba0d66b	028f82fc1853b86a3201b24871f41091c3e0b542	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-4c-.bin	\N	\N	8192	01298885	d4edf5fe707c5b7231ba72b731b96120064a7ecd	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-4e-.bin	\N	\N	8192	c77b87d4	c0f66f0130f6a290a58a3d77bba1d06f16016901	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-4d-.bin	\N	\N	8192	6a70615f	f4683dc0a566567e95e85268612bcf0e6297d955	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-4a-.bin	\N	\N	8192	6189d626	ce8e5e95c2684c685481e9c8d921380b20ac0460	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	g-1j-.bin	\N	\N	256	668e6bca	cd5262b1310821ba7b12873e4db35f081d6b9df4	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-1m-.bin	\N	\N	256	76c05a9c	1f46f436a17f8c883bdd6d9804b828a81a76f880	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	g-1f-.bin	\N	\N	256	964b6495	76f30a65a0ded14babad2006221aa40621fb7ea1	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-1n-.bin	\N	\N	256	23f06b99	6b3d6349f019aeab33838ae392bc3f3f89906326	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	g-1h-.bin	\N	\N	256	550563e1	11edb45acba8b28a462c49956ebb1ba0a8b2ff26	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-1l-.bin	\N	\N	256	35e45021	511b94507f41b377f38184ed9a85f34949b28d26	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	kungfum	b-5f-.bin	\N	\N	32	7a601c3d	5c5cdf51b2c9fdb2b05402d9c260208ae73fe245	\N	\N	\N	\N	\N	\N	
game	DSP_v0.9	vigilant	\N	\N	\N	\N	\N	Vigilante (World)	1988	Irem	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	g07_c03.bin	\N	\N	32768	9dcca081	6d086b70e6bf1fbafa746ef5c82334645f199be9	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	j07_c04.bin	\N	\N	65536	e0159105	da6d74ec075863c67c0ce21b07a54029d138f688	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	g05_c02.bin	\N	\N	65536	10582b2d	6e7e5f07c49b347b427572efeb180c89f49bf2c7	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	f05_c08.bin	\N	\N	65536	01579d20	e58d8ca0ea0ac9d77225bf55faa499d1565924f9	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	h05_c09.bin	\N	\N	65536	4f5872f0	6af21ba1c94097eecce30585983b4b07528c8635	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	n07_c12.bin	\N	\N	65536	10af8eb2	664b178b248babc43a9af0fe140fe57bc7367762	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	k07_c10.bin	\N	\N	65536	9576f304	0ec2a7d3d82208e2a9a4ef9ab2824e6fe26ebbe5	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	o07_c13.bin	\N	\N	65536	b1d9d4dc	1aacf6b0ff8d102880d3dce3b55cd1488edb90cf	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	l07_c11.bin	\N	\N	65536	4598be4a	6b68ec94bdee0e58133a8d3891054ef44a8ff0e5	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	t07_c16.bin	\N	\N	65536	f5425e42	c401263b6a266d3e9cd23133f1d823fb4b095e3d	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	p07_c14.bin	\N	\N	65536	cb50a17c	eb15704f715b6475ae7096f8d82f1b20f8277c71	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	v07_c17.bin	\N	\N	65536	959ba3c7	dcd2a885ae7b61210cbd55a38ccbe91c73d071b0	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	s07_c15.bin	\N	\N	65536	7f2e91c5	27dcc9b696834897c36c0b7a1c6202d93f41ad8d	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	d01_c05.bin	\N	\N	65536	81b1ee5c	2014165ec71f089fecb5a3e60b939cc0f565d7f1	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	e01_c06.bin	\N	\N	65536	d0d33673	39761d97a71deaf7f17233d5bd5a55dbb1e6b30e	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	f01_c07.bin	\N	\N	65536	aae81695	ca8e136eca3543b27f3a61b105d4a280711cd6ea	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	vigilant	d04_c01.bin	\N	\N	65536	9b85101d	6b8a0f33b9b66bb968f7b61e49d19a6afad8db95	\N	\N	\N	\N	\N	\N	
game	DSP_v0.9	sonson	\N	\N	\N	\N	\N	Son Son	1984	Capcom	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss.01e	\N	\N	16384	cd40cc54	4269586099638d31dd30381e94538701982e9f5a	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss.02e	\N	\N	16384	c3476527	499b879a12b55443ec833e5a2819e9da20e3b033	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss.03e	\N	\N	16384	1fd0e729	e04215b0c3d11ce844ab250ff3e1a845dd0b6c3e	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss_6.c11	\N	\N	8192	1135c48a	bfc10363fc42fb589088675a6e8e3d1668d8a6b8	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss_7.b6	\N	\N	8192	990890b1	0ae5da75e8ff013d32f2a6e3a015d5e1623fbb19	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss_8.b5	\N	\N	8192	9388ff82	31ff5e61d062262754bbf6763d094495c1d2e838	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss_9.m5	\N	\N	8192	8cb1cacf	41b479dae84176ceb4eacb30b4dad58b7767606e	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss_10.m6	\N	\N	8192	f802815e	968145680483620cb0c9e7c00b4927aeace99e0c	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss_11.m3	\N	\N	8192	4dbad88a	721612555714e116564d2b301cfa04980d21ad3b	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss_12.m4	\N	\N	8192	aa05e687	4988d540e3deb9107f0448cd8ef47fa73ec926fe	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss_13.m1	\N	\N	8192	66119bfa	73790be24287d8136c844b26cf36a679e489a37b	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	sonson	ss_14.m2	\N	\N	8192	e14ef54e	69ab42defff2cb91c6e07ea8805f64868a028630	\N	\N	\N	\N	\N	\N	
