game	Retrocade_v1.2_b2	1942	\N	\N	\N	\N	\N	1942	1984	Capcom	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	u20.snd	\N	\N	32768	f7907a02	3fabb2b7fd82e773d7b6db53c5328b5866d70617	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	u4.snd	\N	\N	32768	96b3c652	1bb576d0bf6b6b8df24e7b9352a33e97dd8ebdcb	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	arkabeta	\N	\N	\N	\N	\N	Arkanoid	1986	bootleg	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arkabeta	arkanoid.1	\N	\N	32768	6e0a2b6f	5227d7a944cb1e815f60ec87a67f7462870ff9fe	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arkabeta	arkanoid.2	\N	\N	32768	5a97dd56	b71c7b5ced2b0eebbcc5996dd21a1bb1c2da4819	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arkabeta	arkanoid.3	\N	\N	32768	038b74ba	ac053cc4908b4075f918748b89570e07a0ba5116	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arkabeta	arkanoid.4	\N	\N	32768	71fae199	5d253c46ccf4cd2976a5fb8b8713f0f345443d06	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arkabeta	arkanoid.5	\N	\N	32768	c76374e2	7520dd48de20db60a2038f134dcaa454988e7874	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	armora	\N	\N	\N	\N	\N	Armor Attack	1980	Cinematronics	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	armora	ar414le.t6	\N	\N	4096	d7e71f84	0b29278a6a698f07eae597bc0a8650e91eaabffa	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	armora	ar414lo.p6	\N	\N	4096	df1c2370	b74834d1a591a741892ec41269a831d3590ff766	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	armora	ar414ue.u6	\N	\N	4096	b0276118	88f33cb2f46a89819c85f810c7cff812e918391e	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	armora	ar414uo.r6	\N	\N	4096	229d779f	0cbdd83eb224146944049346f30d9c72d3ad5f52	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	asteroi2	\N	\N	\N	\N	\N	Asteroids	1979	Atari	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	asteroi2	035127.02	\N	\N	2048	8b71fd9e	8cd5005e531eafa361d6b7e9eed159d164776c70	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	asteroi2	035143.02	\N	\N	2048	312caa02	1ce2eac1ab90b972e3f1fc3d250908f26328d6cb	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	asteroi2	035144.02	\N	\N	2048	096ed35c	064d680ded7f30c543f93ae5ca85f90d550f73e5	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	asteroi2	035145.02	\N	\N	2048	0cc75459	2af85c9689b878155004da47fedbde5853a18723	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	astdelux	\N	\N	\N	\N	\N	Asteroids Deluxe	1980	Atari	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	astdelux	036430.02	\N	\N	2048	a4d7a525	abe262193ec8e1981be36928e9a89a8ac95cd0ad	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	astdelux	036431.02	\N	\N	2048	d4004aae	aa2099b8fc62a79879efeea70ea1e9ed77e3e6f0	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	astdelux	036432.02	\N	\N	2048	6d720c41	198218cd2f43f8b83e4463b1f3a8aa49da5015e4	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	astdelux	036433.03	\N	\N	2048	0dcc0be6	bf10ffb0c4870e777d6b509cbede35db8bb6b0b8	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	astdelux	036799.01	\N	\N	2048	7d511572	1956a12bccb5d3a84ce0c1cc10c6ad7f64e30b40	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	astdelux	036800.02	\N	\N	2048	bb8cabe1	cebaa1b91b96e8b80f2b2c17c6fd31fa9f156386	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	barrier	\N	\N	\N	\N	\N	Barrier	1979	Vectorbeam	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	barrier	barrier.p7	\N	\N	2048	aec142b5	b268936b82e072f38f1f1dd54e0bc88bcdf19925	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	barrier	barrier.r7	\N	\N	2048	aec142b5	b268936b82e072f38f1f1dd54e0bc88bcdf19925	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	barrier	barrier.t7	\N	\N	2048	7c3d68c8	1138029552b73e94522b3b48096befc057d603c7	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	barrier	barrier.u7	\N	\N	2048	7c3d68c8	1138029552b73e94522b3b48096befc057d603c7	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	bzone	\N	\N	\N	\N	\N	Battlezone	1980	Atari	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bzone	036409.01	\N	\N	2048	1e14e919	448fab30535e6fad7e0ab4427bc06bbbe075e797	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bzone	036410.01	\N	\N	2048	0b7bfaa4	33ae0f68b4e2eae9f3aecbee2d0b29003ce460b2	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bzone	036411.01	\N	\N	2048	ad281297	54c5e06b2e69eb731a6c9b1704e4340f493e7ea5	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bzone	036412.01	\N	\N	2048	ab55cbd2	6bbb8316d9f8588ea0893932f9174788292b8edc	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bzone	036413.01	\N	\N	2048	5d9d9111	42638cff53a9791a0f18d316f62a0ea8eea4e194	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bzone	036414.01	\N	\N	2048	efbc3fa0	6d284fab34b09dde8aa0df7088711d4723f07970	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bzone	036421.01	\N	\N	2048	8ea8f939	b71e0ab0e220c3e64dc2b094c701fb1a960b64e4	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bzone	036422.01	\N	\N	2048	7414177b	147d97a3b475e738ce00b1a7909bbd787ad06eda	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	berzerk	\N	\N	\N	\N	\N	Berzerk	1980	Stern	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	berzerk	1c-0	\N	\N	2048	ca566dbc	fae2647f12f1cd82826db61b53b116a5e0c9f995	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	berzerk	1d-1	\N	\N	2048	7ba69fde	69af170c4a39a3494dcd180737e5c87b455f9203	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	berzerk	3d-2	\N	\N	2048	a1d5248b	a0b7842f6a5f86c16d80d78e7012c78b3ea11d1d	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	berzerk	5c-5	\N	\N	2048	c8c665e5	e9eca4b119549e0061384abf52327c14b0d56624	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	berzerk	5d-3	\N	\N	2048	fcaefa95	07f849aa39f1e3db938187ffde4a46a588156ddc	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	berzerk	6d-4	\N	\N	2048	1e35b9a0	5a5e549ec0e4803ab2d1eac6b3e7171aedf28244	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	bwidow	\N	\N	\N	\N	\N	Black Widow	1982	Atari	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bwidow	136017.101	\N	\N	4096	fe3febb7	b62f7622ca60248e1b8376ee135ae3d94d0b4437	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bwidow	136017.102	\N	\N	4096	10ad0376	614c74daa468a7430ed965a3a9d07b6ad846016c	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bwidow	136017.103	\N	\N	4096	8a1430ee	3aa6c40721a4289c1cf01f37c89b6b0a96336c68	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bwidow	136017.104	\N	\N	4096	44f9943f	e83d8242e4592149719be6a68cf3aba46116072f	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bwidow	136017.107	\N	\N	2048	97f6000c	bbae93058228820ee67b05f23e45fb54ee0963ff	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bwidow	136017.108	\N	\N	4096	3da354ed	935295d66ad40ad702eb7a694296e836f53d22ec	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bwidow	136017.109	\N	\N	4096	2fc4ce79	2b324877bf55151747eaacd9a58f846712bfbc14	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bwidow	136017.110	\N	\N	4096	0dd52987	72aa1d24f20cc86701189df486488edc434b1be1	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bwidow	136017.105	\N	\N	4096	1fdf801c	33da2ba3cefa3d0dddc8647f9b6caf5d5bfe9b3b	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bwidow	136017.106	\N	\N	4096	ccc9b26c	f1398e3ff2b62af1509bc117028845b671ff1ca2	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	blaster	\N	\N	\N	\N	\N	Blaster	1983	Williams	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.10	\N	\N	16384	d47eb67f	5dcde8be1a7b1927b90ffab3219dc47c5b2f20e4	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.11	\N	\N	8192	6371e62f	dc4173d2ee88757a6ac0838acaee325eadc2c4fb	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.12	\N	\N	8192	9804faac	e61218fe190ad268af48d611d140d8f4cd38e4c7	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.13	\N	\N	8192	f4dae4c8	211dcbe085a30419d649afe10ca7c4017d909bd7	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.14	\N	\N	16384	aea6b846	04cb4b5eb000471a0cec377a5236ac8c83529528	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.15	\N	\N	16384	1ad146a4	5ab3d9618023b59bc329a9eeef986901867a639b	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.16	\N	\N	4096	54a40b21	663c7b539e6f1f065a4ecae7bb0477c71951223f	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.17	\N	\N	4096	bf96182f	e25a02508eecf79ea1ae5d45278a60becc6c7dcc	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.18	\N	\N	4096	c33a3145	6ffe2da7b70c0b576fbc1790a33eecdbb9ee3d02	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.1	\N	\N	16384	8d0ea9e7	34f8e2e99748bed29285f7e4929bb920960ab03e	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.2	\N	\N	16384	03c4012c	53f0adc91e5f1ac58b08b3a6d2de8de5a40bebab	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.3	\N	\N	16384	253690fb	06cb2ef95bb06b3618392e298aa690e1f75bc977	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.4	\N	\N	16384	fc9d39fb	126d43a64471bbf4b40aeda8913d50e82d254f9c	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.5	\N	\N	16384	15c1b94d	5d97628541eb8933870c3ffd3646b7aaf8af6af5	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.6	\N	\N	16384	47fc007e	3a80b9b7ae460e9732f7c1cdd465a5b06ded970f	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.7	\N	\N	16384	7a101181	5f1581911ea7fe3e63ce1b9c50b1d3bf081dbf81	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.8	\N	\N	16384	f110bbb0	314dea232a3706509399348c7415f933c64cea1b	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blaster	blaster.9	\N	\N	16384	5c5b0f8a	224f89c85b2b1ca511d006180b8d994fccbdfb6b	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	blstroid	\N	\N	\N	\N	\N	Blasteroids	1987	Atari Games	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.10m	\N	\N	65536	1ff79e67	12d408184f814bab411f567e8b29914a289e3fb8	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.11m	\N	\N	65536	4be1d504	f41ff2d31e2e0e5b6d89fbbf014ba767c7b9f299	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.13m	\N	\N	65536	e4409310	09180f1ab2ac8465b6641e94271c72bf566b2597	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.14m	\N	\N	65536	7aaca15e	4014d60f2b6590c96796dbb2a538f1976194f3e7	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.16m	\N	\N	65536	33690379	09ddfd18ccab1c639837171a763a981c867af0b1	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.1l	\N	\N	65536	3c2daa5b	2710a05e95afd8452104c4f4a9250a3b7d728a42	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.1m	\N	\N	65536	f84f0b97	00cb5f1e0f92742683ee71854085b1e4db4bd6bb	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.3l	\N	\N	65536	ae5274f0	87070e6e51d557c1b10ef32ac0ed670856d5aaf1	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.3m	\N	\N	65536	4bb72060	94cd1a6900f47a5178cec041fa6dc9cfee1f9c3f	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.4b	\N	\N	65536	744bf921	bb9118bfc04745df2eb78e1d1e70f7fc2e0509d4	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.4c	\N	\N	65536	d0fa38fe	8aeae50dff6bcd14ac5faf10f15724b7f7430f5c	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.5m	\N	\N	65536	50e0823f	f638becad83307ed43d138d452199e4c6725512f	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.6b	\N	\N	65536	486aac51	5e7fe7eb225d1c2701c21658ba2bad14ef7b64b1	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.6c	\N	\N	65536	5a092513	11396125842ea3a43d61b4ce266bb8053fdefd73	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.6m	\N	\N	65536	729de7a9	526b08e6d54cd0b991c4207c23119d2940a34009	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.8m	\N	\N	65536	090e42ab	903aa99e6e39407319f6e90102b24604884ee047	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	blstroid	blstroid.snd	\N	\N	65536	baa8b5fe	4af1f9bec3ffa856016a89bc20041d572305ba3a	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	boothill	\N	\N	\N	\N	\N	Boot Hill	1977	Midway	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	boothill	rome.cpu	\N	\N	2048	374529f4	18c57b79df0c66052eef40a694779a5ade15d0e0	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	boothill	romf.cpu	\N	\N	2048	3fdafd79	b18e8ac9df40c4687ac1acd5174eb99f2ef60081	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	boothill	romg.cpu	\N	\N	2048	65a90420	9f36c44b5ae5b912cdbbeb9ff11a42221b8362d2	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	boothill	romh.cpu	\N	\N	2048	1615d077	e59a26c2f2fc67ab24301e22d2e3f33043acdf72	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	bosco	\N	\N	\N	\N	\N	Bosconian	1981	Namco	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bosco	2300.3n	\N	\N	4096	db6128b0	ddd285f7e00d5e58ab9b15838528e0020d47fcd2	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bosco	2400.3m	\N	\N	4096	86907614	3295ab6c5171a069875c2239b3325296c1df6031	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bosco	2500.3l	\N	\N	4096	a21fae11	dff38d90ee30558274d2d399edc3281c2ef5cb69	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bosco	2600.3k	\N	\N	4096	11d6ae23	f2f72f5c777b684f7ffd53b9c034560211113499	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bosco	2700.3j	\N	\N	4096	7254e65e	c2ee29fcb5173e8d46a80a8a1b931a53dbdeae66	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bosco	2800.3h	\N	\N	4096	31b8c648	de0db24d385d2361ec989bf32388df8202ad535c	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	bosco	2900.3e	\N	\N	4096	d45a4911	547236adca9174f5cc0ec05b9649618bb92ba630	\N	\N	\N	\N	\N	\N	
