game	NeoRAGEx_v0.6b	2020bb	\N	\N	\N	neogeo	\N	2020 Super Baseball (set 1)	1991	SNK / Pallas	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001c.278	\N	\N	524288	27cd2250	ab5af5762f48f670b2d0a31fdd38539956681035	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001c.27c	\N	\N	524288	43025293	c8b612f4bead98d6e06dcf6cb8254fc8487e2c06	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001d.278	\N	\N	524288	ae0a679a	7fd81af67238eae3dba64502eeff41933de795e8	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001d.27c	\N	\N	524288	6a2e400d	656b026767596a6395f3e30f97140884cb0da5a0	\N	\N	\N	\N	\N	\N	
game	NeoRAGEx_v0.6b	androdun	\N	\N	\N	neogeo	\N	Andro Dunos	1992	Visco	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	ng-sfix.rom	ng-sfix.rom	\N	131072	354029fc	4ae4bf23b4c2acff875775d4cbff5583893ce2a1	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	neo-geo.rom	neo-geo.rom	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001a.038	\N	\N	524288	4639b419	617765aea2cb26ae52b25b2f7a541caf14effac9	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001a.03c	\N	\N	524288	11beb098	8c8fafba019e94fcf56643fbeeae161840e4263d	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001a.1f8	\N	\N	524288	577c85b3	2c3072401fe73497dca0e9009ae2ba4053fe936d	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001a.1fc	\N	\N	524288	e14551c4	763a9912b9df55defb190af3f29ae034f6dd78d6	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001a.378	\N	\N	131072	6349de5d	bcc44b9576d7bedd9a39294530bb66f707690c72	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001a.4f8	\N	\N	131072	1a009f8c	7782dfe48e143417f34fba5353e6deb63efeaa8a	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001a.538	\N	\N	524288	ca08e432	4202685ea0eaa29772d3d451ed9240202e4626a4	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001a.53c	\N	\N	524288	fcbcb305	42fe48127593e7714f7675506de8d0ae08a70164	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001a.638	\N	\N	524288	7a0deb9e	50953e69b8462d4b981c91c74c307bcb539b0ceb	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001a.63c	\N	\N	524288	b1c640f5	6e667f4c197243f6389c952229efa90bd3a66b50	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001b.538	\N	\N	524288	806ab937	78867c587420b938be1a76f0b87dea4d21fbe1b0	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001b.53c	\N	\N	524288	e7e1a2be	91a68ed46975811f1abaf4d1d912f514328c7189	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001b.638	\N	\N	524288	33bee10f	3e01859e6455c9e941f9afcf31d62a4de4806eca	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001b.63c	\N	\N	524288	70f0d263	fccb548d4b1754c475ceb46f3e49e4e9607e6651	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001c.538	\N	\N	524288	ca08e432	4202685ea0eaa29772d3d451ed9240202e4626a4	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001c.53c	\N	\N	524288	fcbcb305	42fe48127593e7714f7675506de8d0ae08a70164	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001c.638	\N	\N	524288	7a0deb9e	50953e69b8462d4b981c91c74c307bcb539b0ceb	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001c.63c	\N	\N	524288	b1c640f5	6e667f4c197243f6389c952229efa90bd3a66b50	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001d.538	\N	\N	524288	806ab937	78867c587420b938be1a76f0b87dea4d21fbe1b0	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001d.53c	\N	\N	524288	e7e1a2be	91a68ed46975811f1abaf4d1d912f514328c7189	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001d.638	\N	\N	524288	33bee10f	3e01859e6455c9e941f9afcf31d62a4de4806eca	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	androdun	n138001d.63c	\N	\N	524288	70f0d263	fccb548d4b1754c475ceb46f3e49e4e9607e6651	\N	\N	\N	\N	\N	\N	
game	NeoRAGEx_v0.6b	aodk	\N	\N	\N	neogeo	\N	Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku	1994	ADK / SNK	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_p1.rom	\N	\N	2097152	62369553	ca4d561ee08d16fe6804249d1ba49188eb3bd606	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_s1.rom	\N	\N	131072	96148d2b	47725a8059346ebe5639bbdbf62a2ac8028756a9	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	ng-sfix.rom	ng-sfix.rom	\N	131072	354029fc	4ae4bf23b4c2acff875775d4cbff5583893ce2a1	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	neo-geo.rom	neo-geo.rom	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_m1.rom	\N	\N	131072	5a52a9d1	ef913a9a55d29d5dd3beab1ce6039d64ce9b1a5b	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_v1.rom	\N	\N	2097152	7675b8fa	29f4facf89d551237b31bf779693cbbbc94e1ede	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_v2.rom	\N	\N	2097152	a9da86e9	ff65af61e42b79a75060a352b24077d1fa28c83f	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_c1.rom	\N	\N	2097152	a0b39344	adfff7b8836347abf030611563e6068a91164d0a	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_c2.rom	\N	\N	2097152	203f6074	737f2d707d504df1da1ca5c5cf61cf489a33eb56	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_c3.rom	\N	\N	2097152	7fff4d41	bebd18a75adeb34c3bbd49cfc8fd3d8c2bf9e475	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_c4.rom	\N	\N	2097152	48db3e0a	a88505e001e01bb45fb26beda5af24943d02552a	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_c5.rom	\N	\N	2097152	c74c5e51	0399c53e2a3d721901dddc073fda6ec22e02dfd4	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_c6.rom	\N	\N	2097152	73e8e7e0	dd6580227743e6a3db4950456ebe870008e022b2	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_c7.rom	\N	\N	2097152	ac7daa01	78407a464f67d949933ce2ccaa23fbed80dff1ea	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aodk	aodk_c8.rom	\N	\N	2097152	14e7ad71	d4583fbce361fd1a11ac6c1a27b0b669e8a5c718	\N	\N	\N	\N	\N	\N	
game	NeoRAGEx_v0.6b	aof	\N	\N	\N	neogeo	\N	Art of Fighting / Ryuuko no Ken	1992	SNK	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	ng-sfix.rom	ng-sfix.rom	\N	131072	354029fc	4ae4bf23b4c2acff875775d4cbff5583893ce2a1	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	neo-geo.rom	neo-geo.rom	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001a.038	\N	\N	524288	95102254	b4b9a0b35c2fab78fa9fd590f0f22da4e4153ac2	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001a.1f8	\N	\N	524288	a4d8747f	d9963375edd22d194c17e50fa398b12bbe2a777f	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001a.1fc	\N	\N	524288	55219d13	97fa9b1461e9dbf6c1580e1f814df68c79b61016	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001a.378	\N	\N	131072	89903f39	a04a0c244a5d5c7a595fcf649107969635a6a8b6	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001a.4f8	\N	\N	131072	981345f8	5eb6a5a3f633d74a48555808e2562a0ba16d8675	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001a.538	\N	\N	524288	a2e4a168	7a0090f85235ae2a50498ab3538fef2f8afa7242	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001a.53c	\N	\N	524288	da389ef7	b3c6ec60c5bdb63943a23eed028d9c952b11fc24	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001a.638	\N	\N	524288	ca12c80f	c7e4b241719f04860abf5fbb6e1712a802e43dee	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001a.63c	\N	\N	524288	d59746b0	4d66e8384be5ce2917cf7db099000c229fb2d767	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001b.1f8	\N	\N	524288	6eae81fa	37d5ea320913b77a3fcdd2e1db1447a9cd77d094	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001b.1fc	\N	\N	524288	f91676e9	5c3e8f4230a2b18af8cea4ee32c23408de575c0c	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001b.538	\N	\N	524288	2a0c385b	7d8e20a81e15f6806af43edb7d35e65052c32cbd	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001b.53c	\N	\N	524288	4a4317bf	805405d440e4dba2cdc8b89629b0ab9616b5d357	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001b.638	\N	\N	524288	8b73b3da	046e4a02f2c305ded91b22e09bf421d4f3d84f0c	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001b.63c	\N	\N	524288	9fc3f8ea	5a0520980b69724cdd011841844545dafc259ff9	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001c.1f8	\N	\N	524288	d0c8bcd2	126d56214a51027a340153b0dc29268ef7d36256	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001c.1fc	\N	\N	524288	167db9b2	960c32b4163d7cadba26d4f64627bce08d4da65b	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001c.538	\N	\N	524288	471d9e57	54200bd380f8f6b19f64768033b97a96aa8a8640	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001c.53c	\N	\N	524288	23fe5675	a03b0739c3b98150a610aada2c945165a58a56d7	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001c.638	\N	\N	524288	cbf8a72e	182b7f98f414533f1ea294f3ea8b25e98857e0cd	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001c.63c	\N	\N	524288	5ec93c96	6a5869fe778774ef1a641068e65e33a1ea2bd15b	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001d.1f8	\N	\N	524288	f03969fe	5e30c9162bdb8236ccd7ec1e99107da656764fe8	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001d.1fc	\N	\N	524288	a823a19a	5662874b80b9df94c60f7100eefa229e95bd91d5	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001d.538	\N	\N	524288	204e7b29	944865fb04e554f217dbaa2259834e1c413afe50	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001d.53c	\N	\N	524288	7f6d5144	8f39666259d8fe187ae6da532372b6c606737246	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001d.638	\N	\N	524288	47763b6d	b7e6cb423e3c49bca60ff190ff105001e3579701	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof	n102001d.63c	\N	\N	524288	4408f4eb	dc045494f6865def21448caab13b2ad6ee520f37	\N	\N	\N	\N	\N	\N	
game	NeoRAGEx_v0.6b	aof2	\N	\N	\N	neogeo	\N	Art of Fighting 2 / Ryuuko no Ken 2	1994	SNK	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof2	aof2_p1.rom	\N	\N	1048576	a3b1d021	ee42f3ca4516226b0088d0303ed28e3ecdabcd71	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof2	aof2_s1.rom	\N	\N	131072	8b02638e	aa4d28804ca602da776948b5f223ea89e427906b	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof2	ng-sfix.rom	ng-sfix.rom	\N	131072	354029fc	4ae4bf23b4c2acff875775d4cbff5583893ce2a1	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	aof2	neo-geo.rom	neo-geo.rom	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
