game	YAAME_v0.3	amidar	\N	\N	\N	\N	\N	Amidar	1981	Konami	\N	\N	\N	
game_rom	YAAME_v0.3	dorunrun	2764.l4	\N	\N	8192	0c08508a	1e235a0f44207c53af2c8da631e5a8e08b231258	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dorunrun	2764.j4	\N	\N	8192	79287039	e2e3c056f35a22e48115557e10fcd172ad2f91f1	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dorunrun	2764.h4	\N	\N	8192	523aa999	1d4aa0af79a2ed7b935d4ce92d978bf738f08eb3	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	docastle	\N	\N	\N	\N	\N	Mr. Do's Castle (set 1)	1983	Universal	\N	\N	\N	
game_rom	YAAME_v0.3	docastle	01p_a1.bin	\N	\N	8192	17c6fc24	e397d283e8b8e1c512495b777c0fe16f66bb1862	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	docastle	01n_a2.bin	\N	\N	8192	1d2fc7f4	f7b0c7466cd6a3854eda818c63663e3559dc7bc2	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	docastle	01l_a3.bin	\N	\N	8192	71a70ba9	0c9e4c402f82d61d573eb55b3e2e0c8b7c8b7028	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	docastle	01k_a4.bin	\N	\N	8192	479a745e	7195036727990932bc94b30405ebc2b8ea5b37a8	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	docastle	07n_a0.bin	\N	\N	16384	f23b5cdb	de71d9f142f8d420aa097d7e56b03a06db2f85fd	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	docastle	03a_a5.bin	\N	\N	16384	0636b8f4	8b34773bf7b7071fb5c8ff443a08befae3b545ea	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	docastle	04m_a6.bin	\N	\N	8192	3bbc9b26	1b1f79717e5c1a23eefb2d6df71ad95aac9f8be4	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	docastle	04l_a7.bin	\N	\N	8192	3dfaa9d1	cc016019efe0a2bc38c66fadf792c05f6cabeeaa	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	docastle	04j_a8.bin	\N	\N	8192	9afb16e9	f951e75af658623f3b0e18ff388990b2870fad53	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	docastle	04h_a9.bin	\N	\N	8192	af24bce0	0f06c5d248c9c92f2a4636d259ab843339737969	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	dkong	\N	\N	\N	\N	\N	Donkey Kong (US)	1981	Nintendo of America	\N	\N	\N	
game_rom	YAAME_v0.3	dkong	dk.5e	\N	\N	4096	ba70b88b	d76ebecfea1af098d843ee7e578e480cd658ac1a	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dkong	dk.5c	\N	\N	4096	5ec461ec	acb11a8fbdbb3ab46068385fe465f681e3c824bd	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dkong	dk.5b	\N	\N	4096	1c97d324	c7966261f3a1d3296927e0b6ee1c58039fc53c1f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dkong	dk.5a	\N	\N	4096	b9005ac0	3fe3599f6fa7c496f782053ddf7bacb453d197c4	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dkong	dk.3n	\N	\N	2048	12c8c95d	a57ff5a231c45252a63b354137c920a1379b70a3	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dkong	dk.3p	\N	\N	2048	15e9c5e9	976eb1e18c74018193a35aa86cff482ebfc5cc4e	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dkong	dk.7c	\N	\N	2048	59f8054d	793dba9bf5a5fe76328acdfb90815c243d2a65f1	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dkong	dk.7d	\N	\N	2048	672e4714	92e5d379f4838ac1fa44d448ce7d142dae42102f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dkong	dk.7e	\N	\N	2048	feaa59ee	ecf95db5a20098804fc8bd59232c66e2e0ed3db4	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dkong	dk.7f	\N	\N	2048	20f2ef7e	3bc482a38bf579033f50082748ee95205b0f673d	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	earthinv	\N	\N	\N	\N	\N	Super Earth Invasion	1980	bootleg	\N	\N	\N	
game_rom	YAAME_v0.3	earthinv	earthinv.h	\N	\N	2048	58a750c8	90bfa4ea06f38e67fe4286d37d151632439249d2	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	earthinv	earthinv.g	\N	\N	2048	b91742f1	8d9ca92405fbaf1d5a7138d400986616378d061e	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	earthinv	earthinv.f	\N	\N	2048	4acbbc60	b8c1efb4251a1e690ff6936ec956d6f66136a085	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	earthinv	earthinv.e	\N	\N	2048	df397b12	e7e8c080cb6baf342ec637532e05d38129ae73cf	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	galmidw	\N	\N	\N	\N	\N	Galaxian (Midway)	1979	[Namco] (Midway license)	\N	\N	\N	
game_rom	YAAME_v0.3	galmidw	galmidw.u	\N	\N	2048	745e2d61	e65f74e35b1bfaccd407e168ea55678ae9b68edf	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	galmidw	galmidw.v	\N	\N	2048	9c999a40	02fdcd95d8511e64c0d2b007b874112d53e41045	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	galmidw	galmidw.w	\N	\N	2048	b5894925	0046b9ed697a34d088de1aead8bd7cbe526a2396	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	galmidw	galmidw.y	\N	\N	2048	6b3ca10b	18d8714e5ef52f63ba8888ecc5a25b17b3bf17d1	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	galmidw	galmidw.z	\N	\N	2048	cb24f797	e6bb977ded0654c2c7388aad188059e1e0647908	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	galmidw	galmidw.1j	\N	\N	2048	84decf98	2e565cb6057b1816a6b4541e6dfadd3c3762fa36	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	galmidw	galmidw.1k	\N	\N	2048	c31ada9e	237ebb48549b34ca59a13cc2706512d957413ec4	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	jjack	\N	\N	\N	\N	\N	Jumping Jack	1984	Universal	\N	\N	\N	
game_rom	YAAME_v0.3	jjack	j1.bin	\N	\N	8192	87f29bd2	12b0a6f84439b84dd09fe54436c765fc58f928e1	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	jjack	j3.bin	\N	\N	8192	35b0517e	756d7627f4dc2e9b24be7b0c4c80a9043cb4c322	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	jjack	j4.bin	\N	\N	8192	35bb316a	8461503179eb7798de6f9f6677eb18ebcd22d470	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	jjack	j2.bin	\N	\N	8192	dec52e80	1620a070a75115d7c35f44574a8b53ce137ce21a	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	jjack	j0.bin	\N	\N	16384	ab042f04	06412dbdc43ebd6d376a811f240a4c9ec43ca6e7	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	jjack	j5.bin	\N	\N	16384	75038ff9	2a92e0d0adb1abd029c5ee6e350a859fed3f0ae9	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	jjack	j6.bin	\N	\N	8192	5937bd7b	4d399370422e22448d1680113d5bbe9894086a2b	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	jjack	j7.bin	\N	\N	8192	cf8ae8e7	81b881eda0bf60f52dadf22aafc9ca7162fd1540	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	jjack	j8.bin	\N	\N	8192	84f6fc8c	be631af9525262cf98c982b88cb97d3287366731	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	jjack	j9.bin	\N	\N	8192	3f9bb09f	a38f7c9a21e37c7b903497e8170f64a378df730e	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	jjack	bprom1.bin	\N	\N	512	2f0955f2	5eb417478669560f447a0a0e6fe93af27804590f	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	mrdo	\N	\N	\N	\N	\N	Mr. Do! (Universal)	1982	Universal	\N	\N	\N	
game_rom	YAAME_v0.3	mrdo	a4-01.bin	\N	\N	8192	03dcfba2	c15e3d0c4225e0ca120bcd28aca39632575f8e11	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	mrdo	c4-02.bin	\N	\N	8192	0ecdd39c	c64b3363593911a676c647bf3dba8fe063fcb0de	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	mrdo	e4-03.bin	\N	\N	8192	358f5dc2	9fed1f5d1d04935d1b77687c8b2f3bfce970dc08	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	mrdo	f4-04.bin	\N	\N	8192	f4190cfc	24f5125d900f944294d4eda068b710c8f1c6d39f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	mrdo	s8-09.bin	\N	\N	4096	aa80c5b6	76f9f90deb74598470e7ed565237da38dd07e4e9	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	mrdo	u8-10.bin	\N	\N	4096	d20ec85b	9762bbe34d3fa209ea719807c723f57cb6bf4e01	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	mrdo	r8-08.bin	\N	\N	4096	dbdc9ffa	93f29fc106283eecbba3fd69cf3c4658aa38ab9f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	mrdo	n8-07.bin	\N	\N	4096	4b9973db	8766c51a345a5e63446e65614c6f665ab5fbe0d7	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	mrdo	h5-05.bin	\N	\N	4096	e1218cc5	d946613a1cf1c97f7533a4f8c2d0078d1b7daaa8	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	mrdo	k5-06.bin	\N	\N	4096	b1f68b04	25709cd81c03df51f27cd730fecf86a1daa9e27e	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	nibbler	\N	\N	\N	\N	\N	Nibbler (set 1)	1982	Rock-ola	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g960-52.12	\N	\N	4096	ac6a802b	ac1072e30994f13097663dc24d9d1dc35a95d874	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g960-48.07	\N	\N	4096	35971364	6430c7be9e5f47d3f1f2cc157d949246e4085e8b	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g960-49.08	\N	\N	4096	6b33b806	29444e45bf5a6ab1d86e0aa19dc6c1bc64ba633f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g960-50.09	\N	\N	4096	91a4f98d	678c7e8c91a7fdba8dc2faff4192eb0964abdb3f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g960-51.10	\N	\N	4096	a151d934	6681bdcd84cf62b40b2430ff530cb3c9aa36656c	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g960-53.14	\N	\N	4096	063f05cc	039ac1b007cb817ae0902484ca611ae7076930d6	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g960-54.15	\N	\N	4096	7205fb8d	bc341bc11a383aa8b8dd7b2be851907a3ec56f8b	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g960-55.16	\N	\N	4096	4bb39815	1755c28d7d300524ab839aedcc744254544e9c19	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g960-56.17	\N	\N	4096	ed680f19	b44203585f32ebe2a3bf0597eac7c0faa7e81a92	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g960-57.50	\N	\N	4096	01d4d0c2	5a8026210a872351ce4e39e27f6479d3ca0689e2	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g960-58.51	\N	\N	4096	feff7faf	50005502578a4ea9b9c8f36998670b787d2d0b20	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g70805.ic7	\N	\N	32	a5709ff3	fbd07b756235f2d03aea3d777ca741ade54be200	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	nibbler	g70804.ic6	\N	\N	32	dacd592d	c7709c680e2764885a40bc256d07dffc9e827cd6	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	pacman	\N	\N	\N	\N	\N	Pac-Man (Midway)	1980	[Namco] (Midway license)	\N	\N	\N	
game_rom	YAAME_v0.3	pacman	pacman.6e	\N	\N	4096	c1e6ab10	e87e059c5be45753f7e9f33dff851f16d6751181	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacman	pacman.6f	\N	\N	4096	1a6fb2d4	674d3a7f00d8be5e38b1fdc208ebef5a92d38329	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacman	pacman.6h	\N	\N	4096	bcdd1beb	8e47e8c2c4d6117d174cdac150392042d3e0a881	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacman	pacman.6j	\N	\N	4096	817d94e3	d4a70d56bb01d27d094d73db8667ffb00ca69cb9	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacman	pacman.5e	\N	\N	4096	0c944964	06ef227747a440831c9a3a613b76693d52a2f0a9	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacman	pacman.5f	\N	\N	4096	958fedf9	4a937ac02216ea8c96477d4a15522070507fb599	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	pacmanbl	\N	\N	\N	\N	\N	Pac-Man (bootleg on Galaxian hardware)	1981	bootleg	\N	\N	\N	
game_rom	YAAME_v0.3	pacmanbl	blpac1b	\N	\N	2048	6718df42	ee15c3f583d381fba4878f824f83d04479a0cee5	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacmanbl	blpac2b	\N	\N	2048	33be3648	50175889cf37fe8a81c931e009b55d10f8d0444a	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacmanbl	blpac3b	\N	\N	2048	f98c0ceb	4faf8b2fb3f109d1196a9ea256328485074a31b9	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacmanbl	blpac4b	\N	\N	2048	a9cd0082	f44ff1ad15d5ee3096f8f44f9c605f32ae2737d9	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacmanbl	blpac5b	\N	\N	2048	6d475afc	4fe6bde352c7dd9572fefaae4b59640b4f4eb8ba	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacmanbl	blpac6b	\N	\N	2048	cbe863d3	97a2ffa6ab33e6061c664dcd1ee57c86a456782f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacmanbl	blpac7b	\N	\N	2048	7daef758	4dc8ec0ea8fc04d5bffc1c1335407729309c17f0	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacmanbl	blpac12b	\N	\N	2048	b2ed320b	680a6fdcb65cc2d88d10bc85e0b2628f43375c5c	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacmanbl	blpac11b	\N	\N	2048	ab88b2c4	d0c829ea8021eae81a2b82d36c35ad8258b115e0	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacmanbl	blpac10b	\N	\N	2048	44a45b72	8abd0684a01d6c23ef5cf5f0765458f982316acf	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	pacmanbl	blpac9b	\N	\N	2048	fa84659f	20c212723f9062f052539190dfe3fc41577543eb	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	phoenix	\N	\N	\N	\N	\N	Phoenix (Amstar)	1980	Amstar	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic45	\N	\N	2048	9f68086b	fc3cef299bf03bf0586c4047c6b96ca666846220	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic46	\N	\N	2048	273a4a82	6f3019a074e73ff50ceb92f655fcf15659f34919	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	phoenix	ic47	\N	\N	2048	3d4284b9	6e69f8f0d537fe89140cd95d2398531d7e93d102	\N	\N	\N	\N	\N	\N	
