game	Rock-ulator_v0.86	fantasy	\N	\N	\N	\N	\N	Fantasy (US)	1981	[SNK] (Rock-ola license)	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk4_ic13.bin	\N	\N	4096	fde157d0	3f705fb6a410004f4f86283694e3694e49701af6	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk4_ic14.bin	\N	\N	4096	0d5b47d0	922621c23f33fe756cb6baa12e5465c4e64f2dda	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk4_ic15.bin	\N	\N	4096	8549b8f8	375bc6f7e15564d5cf7e00c44e2651793c56d6ca	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk4_ic16.bin	\N	\N	4096	062e0be2	45aaf315a62f37460e32d3ba99caaacf4c994810	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk5_ic50.bin	\N	\N	2048	e7d4315b	b99e4ea07292a0eabaa6098037c92a5678627cec	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk5_ic51.bin	\N	\N	2048	96e87858	4e9ccb055919c8acf5837e062857647d5363af60	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk4_ic51.bin	\N	\N	2048	d2a64006	3f20b59ce1954f65535cd5603ca9271586428e35	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk4_ic52.bin	\N	\N	2048	cc4a0b6f	251b24d60083d516c4ba686d75b41e04d10f7198	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk5_ic7.bin	\N	\N	32	ad782a73	ddf44f74a20f10ed976c434a885857dade1f86d7	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk5_ic6.bin	\N	\N	32	7dc9d450	9b2d1dfb3270a562d14bd54bfb3405a9095becc0	\N	\N	\N	\N	\N	\N	
