game	System16_(last_beta)_-_v0.82	aburner	\N	\N	\N	\N	\N	After Burner II	1988	Sega	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12091.b2	\N	\N	65536	8409a243	bcbb9510a6499d8147543d6befa5a49f4ac055d9	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12092.b3	\N	\N	65536	5c2f0d90	e0fbc0f841e4607ad232931368b16e81440a75c4	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12093.b4	\N	\N	65536	4891e7bb	1be04fcabe9bfa8cf746263a5bcca67902a021a0	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12094.b5	\N	\N	65536	615e4927	d23f164973afa770714e284a77ddf10f18cc596b	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12095.b6	\N	\N	65536	e774ec2c	a4aa15ec7be5539a740ad02ff720458018dbc536	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12096.b7	\N	\N	65536	0cd59d6e	caf754a461feffafcfe7bfc6e89da76c4db257c5	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12097.b8	\N	\N	65536	e645902c	497cfcf6c25cc2e042e16dbcb1963d2223def15a	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12124.a14	\N	\N	65536	dacefb6f	789a5a99ad9419aee9da5397bcea34452ea8b4b3	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12125.a15	\N	\N	65536	9fc36df7	b39ccc687489e9781181197505fc78aa5cf7ea55	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12126.a16	\N	\N	65536	a693fd94	38e5446f41b6793a8e4134fdd92b02b86e3589f7	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12127.a10	\N	\N	32768	0bb901bb	c81b198df8e3b0ec568032c76addf0d1a1711194	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12258.a5	\N	\N	131072	01f5898c	2422b4199ce5b63482f7fa1c790c90fc70a2b872	\N	\N	\N	\N	\N	\N	
game_rom	System16_(last_beta)_-_v0.82	wb3	epr12259.a7	\N	\N	131072	54927c7e	09a4c25b40aba2056c79b5c2e6e8cb7e6c05bc16	\N	\N	\N	\N	\N	\N	
