game	nonmame	sfzch	\N	\N	\N	\N	\N	CPS Changer (Street Fighter ZERO)	1995	Capcom	\N	\N	\N	
game_rom	nonmame	sfach	sfz07	sfz07	\N	524288	bb2c734d	97a06935f86f31755d2ffdc5b56bef53944bdecd	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz08	sfz08	\N	524288	454f7868	eecccba7542d893bc41676246a20aa4914b79bbc	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz10	sfz10	\N	524288	2a7d675e	0144ba34a29fb08b41c780ce65bb06d25724e88f	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz11	sfz11	\N	524288	e35546c8	7b08aa3413494d12c5c550263a5f00b64b98e6ab	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz12	sfz12	\N	524288	f122693a	71ce901d8d30207e506b6a8d6a4e0fcf3a1b0eac	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz13	sfz13	\N	524288	7cf942c8	a7109facb97a8a11ddf1b4e07de6ff3164d713a1	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz14	sfz14	\N	524288	09038c81	3461d70902fbfb92ce40f804be6388276a01d153	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz15	sfz15	\N	524288	1aa17391	b4d0f760a430b7fc4443b6c94da2659315c5b926	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz16	sfz16	\N	524288	19a5abd6	73ba1de15c883fdc69fd7dccdb58d00ca512d4ea	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz17	sfz17	\N	524288	248b3b73	95810a17b1caf6372b33ed3e4ee8a7e51482c70d	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz09	sfz09	\N	65536	c772628b	ebc5b7c173caf1e151f733f23c1b20abec24e16d	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz18	sfz18	\N	131072	61022b2d	6369d0c1d08a30ee19b94e52ab1463a7784b9de5	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz19	sfz19	\N	131072	3b5886d5	7e1b7d40ef77b5df628dd663d45a9a13c742cf58	\N	\N	\N	\N	\N	\N	
game	nonmame	wofh	\N	\N	wof	wof	\N	Warriors of Fate (Hack)	1992	Capcom	\N	\N	\N	
game_rom	nonmame	wofh	tk2_23h.rom	\N	\N	1048576	3703a650	6cb8d6f99df5e2e5cf04aee8737bb585f9328ffd	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	wofh	sgyx-1.160	\N	\N	2097152	a60be9f6	2298a4b6a2c83b76dc106a1efa19606b298d378a	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	wofh	sgyx-2.160	\N	\N	2097152	6ad9d048	d47212d28d0a1ce349e4c59e5d0d99c541b3458e	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	wofh	tk2_qa.rom	tk2_qa.rom	\N	131072	c9183a0d	d8b1d41c572f08581f8ab9eb878de77d6ea8615d	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	wofh	tk2_q1.rom	tk2_q1.rom	\N	524288	611268cf	83ab059f2110fb25fdcff928d56b790fc1f5c975	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	wofh	tk2_q2.rom	tk2_q2.rom	\N	524288	20f55ca9	90134e9a9c4749bb65c728b66ea4dac1fd4d88a4	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	wofh	tk2_q3.rom	tk2_q3.rom	\N	524288	bfcf6f52	2a85ff3fc89b4cbabd20779ec12da2e116333c7c	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	wofh	tk2_q4.rom	tk2_q4.rom	\N	524288	36642e88	8ab25b19e2b67215a5cb1f3aa81b9d26009cfeb8	\N	\N	\N	\N	\N	\N	
game	nonmame	knightsh	\N	\N	knights	knights	\N	Knights of the Round (Hack)	1991	Capcom	\N	\N	\N	
game_rom	nonmame	knightsh	kre_23h.rom	\N	\N	524288	fa2ff63d	f3800102aadeccd13ed49c88039732453266283a	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kre_22h.rom	\N	\N	524288	1438d070	4f6fad844c3e8eb960bb6cb85ac570979c0ae973	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kr_09.rom	kr_09.rom	\N	65536	5e44d9ee	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kr_18.rom	kr_18.rom	\N	131072	da69d15f	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kr_19.rom	kr_19.rom	\N	131072	bfc654e9	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kr_gfx1.rom	kr_gfx1.rom	\N	524288	9e36c1a4	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kr_gfx3.rom	kr_gfx3.rom	\N	524288	c5832cae	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kr_gfx2.rom	kr_gfx2.rom	\N	524288	f095be2d	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kr_gfx4.rom	kr_gfx4.rom	\N	524288	179dfd96	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kr_gfx5.rom	kr_gfx5.rom	\N	524288	1f4298d2	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kr_gfx7.rom	kr_gfx7.rom	\N	524288	37fa8751	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kr_gfx6.rom	kr_gfx6.rom	\N	524288	0200bc3d	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	knightsh	kr_gfx8.rom	kr_gfx8.rom	\N	524288	0bb2b4e7	\N	\N	\N	\N	\N	\N	\N	
game	nonmame	dinoh	\N	\N	dino	dino	\N	Cadillacs and Dinosaurs (Hack)	1993	Capcom	\N	\N	\N	
game_rom	nonmame	dinoh	cda_23h.rom	\N	\N	524288	8e2a9cf0	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cda_22h.rom	\N	\N	524288	f72cd219	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cda_21h.rom	\N	\N	524288	bc275b76	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cda_20h.rom	\N	\N	524288	8987c975	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_gfx01.rom	cd_gfx01.rom	\N	524288	8da4f917	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_gfx03.rom	cd_gfx03.rom	\N	524288	6c40f603	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_gfx02.rom	cd_gfx02.rom	\N	524288	09c8fc2d	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_gfx04.rom	cd_gfx04.rom	\N	524288	637ff38f	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_gfx05.rom	cd_gfx05.rom	\N	524288	470befee	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_gfx07.rom	cd_gfx07.rom	\N	524288	22bfb7a3	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_gfx06.rom	cd_gfx06.rom	\N	524288	e7599ac4	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_gfx08.rom	cd_gfx08.rom	\N	524288	211b4b15	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_q.rom	cd_q.rom	\N	131072	605fdb0b	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_q1.rom	cd_q1.rom	\N	524288	60927775	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_q2.rom	cd_q2.rom	\N	524288	770f4c47	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_q3.rom	cd_q3.rom	\N	524288	2f273ffc	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	dinoh	cd_q4.rom	cd_q4.rom	\N	524288	2c67821d	\N	\N	\N	\N	\N	\N	\N	
game	nonmame	sf2turyu	\N	\N	sf2ce	sf2ce	\N	Street Fighter II' - Champion Edition (non-MAME, Turyu)	1992	hack	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_01.bin	s92_01.bin	\N	524288	03b0d852	f370f25c96ad2b94f8c53d6b7139100285a25bef	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_02.bin	s92_02.bin	\N	524288	840289ec	2fb42a242f60ba7e74009b5a90eb26e035ba1e82	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_03.bin	s92_03.bin	\N	524288	cdb5f027	4c7d944fef200fdfcaf57758b901b5511188ed2e	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_04.bin	s92_04.bin	\N	524288	e2799472	27d3796429338d82a8de246a0ea06dd487a87768	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_05.bin	s92_05.bin	\N	524288	ba8a2761	4b696d66c51611e43522bed752654314e76d33b6	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_06.bin	s92_06.bin	\N	524288	e584bfb5	ebdf1f5e2638eed3a65dda82b1ed9151a355f4c9	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_07.bin	s92_07.bin	\N	524288	21e3f87d	4a4961bb68c3a1ce15f9d393d9c03ecb2466cc29	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_08.bin	s92_08.bin	\N	524288	befc47df	520390420da3a0271ba90b0a933e65143265e5cf	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_10.bin	s92_10.bin	\N	524288	960687d5	2868c31121b1c7564e9767b9a19cdbf655c7ed1d	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_11.bin	s92_11.bin	\N	524288	978ecd18	648a59706b93c84b4206a968ecbdc3e834c476f6	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_12.bin	s92_12.bin	\N	524288	d6ec9a0a	ed6143f8737013b6ef1684e37c05e037e7a80dae	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_13.bin	s92_13.bin	\N	524288	ed2c67f6	0083c0ffaf6fe7659ff0cf822be4346cd6e61329	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	u222-f83.040	\N	\N	1048576	47468198	d68d6342da9b53163f36f44517f6dadf35e2a279	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	u196-99d.040	\N	\N	1048576	47d34191	6718fdc8a0dafebca7c35553cc270d16ce3f5d3e	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	u221-59e.010	\N	\N	262144	5507bac9	7797ca13cb02db469dcba00a07b1517c3586423e	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	u195-472.010	\N	\N	262144	7755a20a	60ed4009c9c767a375a754c06c124ef81ba45f5a	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_09.bin	s92_09.bin	\N	65536	08f6b60e	8258fcaca4ac419312531eec67079b97f471179c	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_18.bin	s92_18.bin	\N	131072	7f162009	346bf42992b4c36c593e21901e22c87ae4a7d86d	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu	s92_19.bin	s92_19.bin	\N	131072	beade53f	277c397dc12752719ec6b47d2224750bd1c07f79	\N	\N	\N	\N	\N	\N	
game	nonmame	sf2turyu1	\N	\N	sf2ce	sf2ce	\N	Street Fighter II' - Champion Edition (Turyu Alternate)	1992	hack	\N	\N	\N	
game_rom	nonmame	sf2turyu1	tl4m1	\N	\N	524288	afc7bd18	ef7af7fb3563073b96563274ec48783feb2be757	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	tl4m2	\N	\N	524288	882cd1c4	0cb971756352b1022ecd309b1bc3688c1f1acbd8	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	221.rom	\N	\N	131072	d1707134	5bfdf7bc57bdb85183647ebb175346070dd102ee	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	195.rom	\N	\N	131072	cd1d5666	8befd2c324eb29bdad6fc8fb2554cdfaf9808f9b	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_01.bin	s92_01.bin	\N	524288	03b0d852	f370f25c96ad2b94f8c53d6b7139100285a25bef	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_02.bin	s92_02.bin	\N	524288	840289ec	2fb42a242f60ba7e74009b5a90eb26e035ba1e82	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_03.bin	s92_03.bin	\N	524288	cdb5f027	4c7d944fef200fdfcaf57758b901b5511188ed2e	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_04.bin	s92_04.bin	\N	524288	e2799472	27d3796429338d82a8de246a0ea06dd487a87768	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_05.bin	s92_05.bin	\N	524288	ba8a2761	4b696d66c51611e43522bed752654314e76d33b6	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_06.bin	s92_06.bin	\N	524288	e584bfb5	ebdf1f5e2638eed3a65dda82b1ed9151a355f4c9	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_07.bin	s92_07.bin	\N	524288	21e3f87d	4a4961bb68c3a1ce15f9d393d9c03ecb2466cc29	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_08.bin	s92_08.bin	\N	524288	befc47df	520390420da3a0271ba90b0a933e65143265e5cf	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_10.bin	s92_10.bin	\N	524288	960687d5	2868c31121b1c7564e9767b9a19cdbf655c7ed1d	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_11.bin	s92_11.bin	\N	524288	978ecd18	648a59706b93c84b4206a968ecbdc3e834c476f6	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_12.bin	s92_12.bin	\N	524288	d6ec9a0a	ed6143f8737013b6ef1684e37c05e037e7a80dae	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_13.bin	s92_13.bin	\N	524288	ed2c67f6	0083c0ffaf6fe7659ff0cf822be4346cd6e61329	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_09.bin	s92_09.bin	\N	65536	08f6b60e	8258fcaca4ac419312531eec67079b97f471179c	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_18.bin	s92_18.bin	\N	131072	7f162009	346bf42992b4c36c593e21901e22c87ae4a7d86d	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2turyu1	s92_19.bin	s92_19.bin	\N	131072	beade53f	277c397dc12752719ec6b47d2224750bd1c07f79	\N	\N	\N	\N	\N	\N	
game	nonmame	sf2toryu	\N	\N	sf2ce	sf2ce	\N	Street Fighter II' - Champion Edition (Tulong)	1992	hack	\N	\N	\N	
game_rom	nonmame	sf2toryu	tl4mt.1	\N	\N	524288	158635ca	878b56064861993ac92fbd88eb1117d3680fe7d7	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	tl4m.2	\N	\N	524288	882cd1c4	0cb971756352b1022ecd309b1bc3688c1f1acbd8	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	u221t.1m	\N	\N	131072	1073b7b6	81ca1eab65ceac69520584bb23a684ccb9d92f89	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	u195t.1m	\N	\N	131072	db7e1f72	1ca99a3b425ac137f3c104cf4deb50d9431dacdd	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_01.bin	s92_01.bin	\N	524288	03b0d852	f370f25c96ad2b94f8c53d6b7139100285a25bef	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_02.bin	s92_02.bin	\N	524288	840289ec	2fb42a242f60ba7e74009b5a90eb26e035ba1e82	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_03.bin	s92_03.bin	\N	524288	cdb5f027	4c7d944fef200fdfcaf57758b901b5511188ed2e	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_04.bin	s92_04.bin	\N	524288	e2799472	27d3796429338d82a8de246a0ea06dd487a87768	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_05.bin	s92_05.bin	\N	524288	ba8a2761	4b696d66c51611e43522bed752654314e76d33b6	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_06.bin	s92_06.bin	\N	524288	e584bfb5	ebdf1f5e2638eed3a65dda82b1ed9151a355f4c9	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_07.bin	s92_07.bin	\N	524288	21e3f87d	4a4961bb68c3a1ce15f9d393d9c03ecb2466cc29	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_08.bin	s92_08.bin	\N	524288	befc47df	520390420da3a0271ba90b0a933e65143265e5cf	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_10.bin	s92_10.bin	\N	524288	960687d5	2868c31121b1c7564e9767b9a19cdbf655c7ed1d	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_11.bin	s92_11.bin	\N	524288	978ecd18	648a59706b93c84b4206a968ecbdc3e834c476f6	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_12.bin	s92_12.bin	\N	524288	d6ec9a0a	ed6143f8737013b6ef1684e37c05e037e7a80dae	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_13.bin	s92_13.bin	\N	524288	ed2c67f6	0083c0ffaf6fe7659ff0cf822be4346cd6e61329	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_09.bin	s92_09.bin	\N	65536	08f6b60e	8258fcaca4ac419312531eec67079b97f471179c	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_18.bin	s92_18.bin	\N	131072	7f162009	346bf42992b4c36c593e21901e22c87ae4a7d86d	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sf2toryu	s92_19.bin	s92_19.bin	\N	131072	beade53f	277c397dc12752719ec6b47d2224750bd1c07f79	\N	\N	\N	\N	\N	\N	
game	nonmame	csclubjr	\N	\N	csclub	csclub	\N	Capcom Sports Club (970722 Japan, Rent version)	1997	Capcom	\N	\N	\N	
game_rom	nonmame	csclubjr	cscj.03	\N	\N	524288	ec4ddaa2	f84af8bd01cc994ecd6ac24e829e2bd33817d862	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	cscj.04	\N	\N	524288	60c632bb	0d42c33aa476d2cc4efcdad78667353b88225966	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	cscj.05	\N	\N	524288	ad042003	1e167c88f3b0617c38c9f43bdc816045ac0296e0	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	cscj.06	\N	\N	524288	169e4d40	6540d89df5e76189d32b696be7626087fe26e33b	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.07	csc.07	\N	524288	01b05caa	5b84487da68e6b6f2889c76bf9e070e25941988c	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.73	\N	\N	524288	335f07c3	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.74	\N	\N	524288	ab215357	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.75	\N	\N	524288	a2367381	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.76	\N	\N	524288	728aac1f	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.63	\N	\N	524288	3711b8ca	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.64	\N	\N	524288	828a06d8	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.65	\N	\N	524288	86ee4569	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.66	\N	\N	524288	c24f577f	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.83	\N	\N	524288	0750d12a	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.84	\N	\N	524288	90a92f39	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.85	\N	\N	524288	d08ab012	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.86	\N	\N	524288	41652583	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.93	\N	\N	524288	a756c7f7	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.94	\N	\N	524288	fb7ccc73	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.95	\N	\N	524288	4d014297	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.96	\N	\N	524288	6754b1ef	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.01	csc.01	\N	131072	ee162111	ce8d4bd32bb10ee8b0274ba6fcef05a583b39d48	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.51	\N	\N	524288	5a52afd5	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.52	\N	\N	524288	1408a811	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.53	\N	\N	524288	4fb9f57c	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.54	\N	\N	524288	9a8f40ec	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.55	\N	\N	524288	91529a91	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.56	\N	\N	524288	9a345334	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.57	\N	\N	524288	aedc27f2	\N	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	csclubjr	csc.58	\N	\N	524288	2300b7b3	\N	\N	\N	\N	\N	\N	\N	
game	nonmame	bngbeadn	\N	\N	bangbead	bangbead	\N	Bang Bead (decrypted C) (non-MAME)	2000	Visco	\N	\N	\N	
game_rom	nonmame	bngbeadn	bgn_c1.rom	\N	\N	8388608	c50a91c3	47ef41369b057b07bf143196e929ac5ab3679d33	\N	\N	\N	\N	\N	\N	
