game	OldSpark_v0.3	eyes	\N	\N	\N	\N	\N	Eyes (Digitrex Techstar)	1982	Digitrex Techstar (Rock-ola license)	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jb5	\N	\N	4096	e2d66faf	3dec0796642856359de57afb896cc668c0245b40	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jb6	\N	\N	4096	49e0bdfd	8d89d9cd7134b153264fdc49d2c68e8c14004b0d	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jb7	\N	\N	2048	83d71302	9292088d26ba29fbf8817df03461b8bb6bf27639	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jbl	\N	\N	2048	9a091b0a	19b88f802ee80ff8901ef99e3688f2869f1a69c5	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jbm	\N	\N	2048	8a0fc082	58b72a3161950a2fb71cdab3f30bb3abb19c7978	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jbn	\N	\N	2048	155186e0	717ddaecc52a4ef03a01fcddb520acdbfb0d722a	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jbi	\N	\N	2048	7749b111	55071ce04708bd52177644298f76ae79d23f6ac9	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jbj	\N	\N	2048	06e8d7df	d04f1503d9fde5aae92652cb9d2eb16bd6a0fe9c	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jbk	\N	\N	2048	b8dbddf3	043de444890a93459789dc99c43ef88ff66b79e4	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	l06_prom.bin	\N	\N	32	6a0c7d87	140335d85c67c75b65689d4e76d29863c209cf32	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	jumpshot	\N	\N	\N	\N	\N	Jump Shot	1985	Bally Midway	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpshot	6e	\N	\N	4096	f00def9a	465a7f368e61a1e6614d6eab0fa2c6319920eaa5	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpshot	6f	\N	\N	4096	f70deae2	a8a8369e865b62cb9ed66d3de2396c6a5fced549	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpshot	6h	\N	\N	4096	894d6f68	8693ffc29587cdd1be0b42cede53f8f450a2c7fa	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpshot	6j	\N	\N	4096	f15a108a	db5c8394f688c6f889cadddeeae4fbca63c29a4c	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpshot	5e	\N	\N	4096	d9fa90f5	3c37fe077a77baa802230dddbc4bb2c05985d2bb	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpshot	5f	\N	\N	4096	2ec711c1	fcc3169f48eb7d4af533ad0169701e4230ff5a1f	\N	gfx2	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpshot	prom.7f	\N	\N	32	872b42f3	bbcd392ba3d2a5715e92fa0f7a7cf1e7e6e655a2	\N	proms	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpshot	prom.4a	\N	\N	256	0399f39f	e98f08da4666cab44e01acb760a1bd2fc858bc0d	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	levers	\N	\N	\N	\N	\N	Levers	1983	Rock-ola	\N	\N	\N	
game_rom	OldSpark_v0.3	levers	g96059.a8	\N	\N	4096	9550627a	3da9a614622d5b880852fe2bb2e8e4a60afb2d34	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	levers	g96060.d8	\N	\N	4096	5ac64646	459755932a033095eff72d78d1e916932964c5cc	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	levers	g96061.e8	\N	\N	4096	9db8e520	1ff10e221e45cc4afb77571a171937f8501aa509	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	levers	g96062.h8	\N	\N	4096	7c8e8b3a	ad281f801e818ea529be8ec43096212e834f69ef	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	levers	g96063.j8	\N	\N	4096	fa61e793	7aad77f3de05a7bd3dcb0c9c97a3cccd1136f352	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	levers	g96064.l8	\N	\N	4096	f797f389	b961f0506defa9884ac47b2316884318e1e90bff	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	levers	g95948.n1	\N	\N	2048	d8a0c692	dd64623f4072bcb8c528b5b7b95a7bd858b79d6c	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	levers	g95949.s1	\N	\N	2048	3660a552	bebfd30f90da55d6d42945717b9b38d5b0c9623a	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	levers	g95946.j1	\N	\N	2048	73b61b2d	fdb75eea1778daa6f9c48243361e418044b471f8	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	levers	g95947.m1	\N	\N	2048	72ff67e2	dcc12f17a857271c253d06d5ac170b9d6bb6a2bd	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	levers	g960lev.clr	\N	\N	32	01febbbe	11b1dab7983ba29e830ccb7f14eb1a99465c9e81	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	lizwiz	\N	\N	\N	\N	\N	Lizard Wizard	1985	Techstar (Sunn license)	\N	\N	\N	
game_rom	OldSpark_v0.3	lizwiz	6e.cpu	\N	\N	4096	32bc1990	467c9d70e07f403b6b9118aebe4e6d0abb40a5c1	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	lizwiz	6f.cpu	\N	\N	4096	ef24b414	12fce48008c4f9387df0c84f3b0d7c5a1b35d898	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	lizwiz	6h.cpu	\N	\N	4096	30bed83d	8c2458f98320c6887580c71632b544da0a582ba2	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	lizwiz	6j.cpu	\N	\N	4096	dd09baeb	f91447ec1f06bf95106e6872d80dcb82e1d42ffb	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	lizwiz	wiza	\N	\N	4096	f6dea3a6	ec0b123fd2e6de6681ca14f35fda249b2c2ec44f	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	lizwiz	wizb	\N	\N	4096	f27fb5a8	3ea384a1064302709d97fc16b347d3c012e90ac7	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	lizwiz	5e.cpu	\N	\N	4096	45059e73	c960cd5720bfa21db73e1000fe8be7d5baf2a3a1	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	lizwiz	5f.cpu	\N	\N	4096	d2469717	194c8f816e5ff7614b3db4f355223667105738fa	\N	gfx2	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	lizwiz	7f.cpu	\N	\N	32	7549a947	4f2c3e7d6c38f0b9a90317f91feb3f86c9a0d0a5	\N	proms	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	lizwiz	4a.cpu	\N	\N	256	5fdca536	3a09b29374031aaa3722932aff974a467b3bb201	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	mooncrst	\N	\N	\N	\N	\N	Moon Cresta (Nichibutsu)	1980	Nichibutsu	\N	\N	\N	
game_comment	OldSpark_v0.3	mooncrst	 mooncrst is only included to support the required merging	
game_rom	OldSpark_v0.3	mooncrst	mc1	\N	\N	2048	7d954a7a	a93ee403cfd7887538ad12d33f6dd6c71bea2a32	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	mc2	\N	\N	2048	44bb7cfa	349c2e23a9fce73f95bb8168d369082fa129fe3d	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	mc3	\N	\N	2048	9c412104	1b40054ebb1ace965a8522119bb23f09797bc5f6	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	mc4	\N	\N	2048	7e9b1ab5	435f603c0c3e788a509dd144a7916a34e791ae44	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	mc5.7r	\N	\N	2048	16c759af	3b48050411f65f9d3fb41ff22901e22d82bf1cf6	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	mc6.8d	\N	\N	2048	69bcafdb	939c8c6ed1cd4660a3d99b8f17ed99cbd7e1352a	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	mc7.8e	\N	\N	2048	b50dbc46	4fa084fd1ba5f78e7703e684c57af15ca7a844e4	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	mc8	\N	\N	2048	18ca312b	39219059003b949e38305553fea2d33071062c64	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	mcs_b	\N	\N	2048	fb0f1f81	38a6679a8b69bc1870a0e67e692131c42f9535c8	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	mcs_d	\N	\N	2048	13932a15	b8885c555c6ad7021be55c6925a0a0872c1b6abd	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	mcs_a	\N	\N	2048	631ebb5a	5bc9493afa76c55858b8c8849524cbc77dc838fc	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	mcs_c	\N	\N	2048	24cfd145	08c6599db170dd6ee364c44f70a0f5c0f881b6ef	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrst	l06_prom.bin	\N	\N	32	6a0c7d87	140335d85c67c75b65689d4e76d29863c209cf32	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	mooncrsu	\N	\N	mooncrst	mooncrst	\N	Moon Cresta (Nichibutsu, unencrypted)	1980	Nichibutsu USA	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	smc1f	\N	\N	2048	389ca0d6	51cf6d190a0ebf23b70c2bcf1ccaa4705e29cd09	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	smc2f	\N	\N	2048	410ab430	d89abff6ac4afbf69377a1d63043d629a634aab7	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	smc3f	\N	\N	2048	a6b4144b	2b27ad54d716286c0dc9476d47df182ae01bcfd7	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	smc4f	\N	\N	2048	4cc046fe	465eaacd50967d768babadd09ab9cad35380f6bf	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	e5	\N	\N	2048	06d378a6	99dbe9fc7f95f8fdce86eb5c32bd1ca1bea0ca3c	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	bepr199	\N	\N	2048	6e84a927	82e8e825d157c3c947a3a222bca059a735169c7d	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	e7	\N	\N	2048	b45af1e8	d7020774707234acdaef5c655f667d5ee9e54a13	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	smc8f	\N	\N	2048	f42164c5	e0d1680f193889568edf005786e2767d4fb086f4	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	mcs_b	mcs_b	\N	2048	fb0f1f81	38a6679a8b69bc1870a0e67e692131c42f9535c8	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	mcs_d	mcs_d	\N	2048	13932a15	b8885c555c6ad7021be55c6925a0a0872c1b6abd	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	mcs_a	mcs_a	\N	2048	631ebb5a	5bc9493afa76c55858b8c8849524cbc77dc838fc	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	mcs_c	mcs_c	\N	2048	24cfd145	08c6599db170dd6ee364c44f70a0f5c0f881b6ef	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mooncrsu	l06_prom.bin	l06_prom.bin	\N	32	6a0c7d87	140335d85c67c75b65689d4e76d29863c209cf32	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	mrtnt	\N	\N	\N	\N	\N	Mr. TNT	1983	Telko	\N	\N	\N	
game_rom	OldSpark_v0.3	mrtnt	tnt.1	\N	\N	4096	0e836586	5037b7c618f05bc3d6a33694729ae575b9aa7dbb	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mrtnt	tnt.2	\N	\N	4096	779c4c5b	5ecac4f5b64b306c73d8f57d5260b586789b3055	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mrtnt	tnt.3	\N	\N	4096	ad6fc688	e5729e4e42a5b9b3a26de8a44b3a78b49c8b1d8e	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mrtnt	tnt.4	\N	\N	4096	d77557b3	689746653b1e19fbcddd0d71db2b86d1019235aa	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mrtnt	tnt.5	\N	\N	4096	3038cc0e	f8f5927ea4cbfda8fa7546abd766ba2e8b020004	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mrtnt	tnt.6	\N	\N	4096	97634d8b	4c0fa4bc44bbb4b4614b5cc05e811c469c0e78e8	\N	gfx2	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mrtnt	mrtnt04.bin	\N	\N	256	3eb3a8e4	19097b5f60d1030f8b82d9f1d3a241f93e5c75d6	\N	\N	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mrtnt	mrtnt08.bin	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	\N	\N	\N	\N	\N	
game	OldSpark_v0.3	mspacman	\N	\N	\N	\N	\N	Ms. Pac-Man	1981	Midway	\N	\N	\N	
game_comment	OldSpark_v0.3	mspacman	 mspacman is only included to support the required merging	
game_rom	OldSpark_v0.3	mspacman	pacman.6e	\N	\N	4096	c1e6ab10	e87e059c5be45753f7e9f33dff851f16d6751181	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacman	pacman.6f	\N	\N	4096	1a6fb2d4	674d3a7f00d8be5e38b1fdc208ebef5a92d38329	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacman	pacman.6h	\N	\N	4096	bcdd1beb	8e47e8c2c4d6117d174cdac150392042d3e0a881	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacman	pacman.6j	\N	\N	4096	817d94e3	d4a70d56bb01d27d094d73db8667ffb00ca69cb9	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacman	u5	\N	\N	2048	f45fbbcd	b26cc1c8ee18e9b1daa97956d2159b954703a0ec	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacman	u6	\N	\N	4096	a90e7000	e4df96f1db753533f7d770aa62ae1973349ea4cf	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacman	u7	\N	\N	4096	c82cd714	1d8ac7ad03db2dc4c8c18ade466e12032673f874	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacman	5e	\N	\N	4096	5c281d01	5e8b472b615f12efca3fe792410c23619f067845	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacman	5f	\N	\N	4096	615af909	fd6a1dde780b39aea76bf1c4befa5882573c2ef4	\N	gfx2	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacman	82s123.7f	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	proms	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacman	82s126.4a	\N	\N	256	3eb3a8e4	19097b5f60d1030f8b82d9f1d3a241f93e5c75d6	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	mspacmab	\N	\N	mspacman	mspacman	\N	Ms. Pac-Man (bootleg)	1981	bootleg	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacmab	boot1	\N	\N	4096	d16b31b7	bc2247ec946b639dd1f00bfc603fa157d0baaa97	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacmab	boot2	\N	\N	4096	0d32de5e	13ea0c343de072508908be885e6a2a217bbb3047	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacmab	boot3	\N	\N	4096	1821ee0b	5ea4d907dbb2690698db72c4e0b5be4d3e9a7786	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacmab	boot4	\N	\N	4096	165a9dd8	3022a408118fa7420060e32a760aeef15b8a96cf	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacmab	boot5	\N	\N	4096	8c3e6de6	fed6e9a2b210b07e7189a18574f6b8c4ec5bb49b	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacmab	boot6	\N	\N	4096	368cb165	387010a0c76319a1eab61b54c9bcb5c66c4b67a1	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacmab	5e	5e	\N	4096	5c281d01	5e8b472b615f12efca3fe792410c23619f067845	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacmab	5f	5f	\N	4096	615af909	fd6a1dde780b39aea76bf1c4befa5882573c2ef4	\N	gfx2	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacmab	82s123.7f	82s123.7f	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	proms	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	mspacmab	82s126.4a	82s126.4a	\N	256	3eb3a8e4	19097b5f60d1030f8b82d9f1d3a241f93e5c75d6	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	puckman	\N	\N	\N	\N	\N	PuckMan (Japan set 1)	1980	Namco	\N	\N	\N	
game_rom	OldSpark_v0.3	puckman	namcopac.6e	\N	\N	4096	fee263b3	87117ba5082cd7a615b4ec7c02dd819003fbd669	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	puckman	namcopac.6f	\N	\N	4096	39d1fc83	326dbbf94c6fa2e96613dedb53702f8832b47d59	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	puckman	namcopac.6h	\N	\N	4096	02083b03	7e1945f6eb51f2e51806d0439f975f7a2889b9b8	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	puckman	namcopac.6j	\N	\N	4096	7a36fe55	01b4c38108d9dc4e48da4f8d685248e1e6821377	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	puckman	pacman.5e	\N	\N	4096	0c944964	06ef227747a440831c9a3a613b76693d52a2f0a9	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	puckman	pacman.5f	\N	\N	4096	958fedf9	4a937ac02216ea8c96477d4a15522070507fb599	\N	gfx2	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	puckman	82s123.7f	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	proms	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	puckman	82s126.4a	\N	\N	256	3eb3a8e4	19097b5f60d1030f8b82d9f1d3a241f93e5c75d6	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	pacman	\N	\N	puckman	puckman	\N	Pac-Man (Midway)	1980	[Namco] (Midway license)	\N	\N	\N	
game_rom	OldSpark_v0.3	pacman	pacman.6e	\N	\N	4096	c1e6ab10	e87e059c5be45753f7e9f33dff851f16d6751181	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	pacman	pacman.6f	\N	\N	4096	1a6fb2d4	674d3a7f00d8be5e38b1fdc208ebef5a92d38329	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	pacman	pacman.6h	\N	\N	4096	bcdd1beb	8e47e8c2c4d6117d174cdac150392042d3e0a881	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	pacman	pacman.6j	\N	\N	4096	817d94e3	d4a70d56bb01d27d094d73db8667ffb00ca69cb9	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	pacman	pacman.5e	pacman.5e	\N	4096	0c944964	06ef227747a440831c9a3a613b76693d52a2f0a9	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	pacman	pacman.5f	pacman.5f	\N	4096	958fedf9	4a937ac02216ea8c96477d4a15522070507fb599	\N	gfx2	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	pacman	82s123.7f	82s123.7f	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	proms	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	pacman	82s126.4a	82s126.4a	\N	256	3eb3a8e4	19097b5f60d1030f8b82d9f1d3a241f93e5c75d6	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	phoenix	\N	\N	\N	\N	\N	Phoenix (Amstar)	1980	Amstar	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic45	\N	\N	2048	9f68086b	fc3cef299bf03bf0586c4047c6b96ca666846220	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic46	\N	\N	2048	273a4a82	6f3019a074e73ff50ceb92f655fcf15659f34919	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic47	\N	\N	2048	3d4284b9	6e69f8f0d537fe89140cd95d2398531d7e93d102	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic48	\N	\N	2048	cb5d9915	49bcf55a5721cfcc02c3b811a4b601e35ea576db	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic49	\N	\N	2048	a105e4e7	b35142a91b6b7fdf7535202671793393c9f4685f	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic50	\N	\N	2048	ac5e9ec1	0402e5241d99759d804291998efd43f37ce99917	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic51	\N	\N	2048	2eab35b4	849bf8273317cc869bdd67e50c68399ee8ece81d	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic52	\N	\N	2048	aff8e9c5	e4164f85ec12d4d9bcbffba27ab1f51b3599f6d0	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic23	\N	\N	2048	3c7e623f	e7ff5fc371664af44785c079e92eeb2d8530187b	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic24	\N	\N	2048	59916d3b	71aec70a8e096ed1f0c2297b3ae7dca1b8ecc38d	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic39	\N	\N	2048	53413e8f	d772358505b973b10da840d204afb210c0c746ec	\N	gfx2	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	phoenix	ic40	\N	\N	2048	0be2ba91	af9243ee23377b632b9b7d0b84d341d06bf22480	\N	gfx2	\N	\N	\N	\N	
