game	CottAGE_v0.12	1942	\N	\N	\N	\N	\N	1942 (set 1)	1984	Capcom	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	2-a5.bin	\N	\N	8192	1bd3d8bb	ef4dce605eb4dc8035985a415315ec61c21419c6	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	2-a6.bin	\N	\N	8192	658f02c4	f087d69e49e38cf3107350cde18fcf85a8fa04f0	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	2-l1.bin	\N	\N	16384	2528bec6	29f7719f18faad6bd1ec6735cc24e69168361470	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	2-l2.bin	\N	\N	16384	f89287aa	136fff6d2a4f48a488fc7c620213761459c3ada0	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	2-n1.bin	\N	\N	16384	024418f8	145b8d5d6c8654cd090955a98f6dd8c8dbafe7c1	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	2-n2.bin	\N	\N	16384	e2c7e489	d4b5d575c021f58f6966df189df94e08c5b3621c	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	f01_sb-0.bin	\N	\N	256	6047d91b	1ce025f9524c1033e48c5294ee7d360f8bfebe8d	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	k06_sb-1.bin	\N	\N	256	712ac508	5349d722ab6733afdda65f6e0a98322f0d515e86	\N	\N	\N	\N	\N	\N	
game	CottAGE_v0.12	1942a	\N	\N	1942	1942	\N	1942 (set 2)	1984	Capcom	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	01d_sb-2.bin	01d_sb-2.bin	\N	256	8bb8b3df	49de2819c4c92057fedcb20425282515d85829aa	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	01m_sb-9.bin	01m_sb-9.bin	\N	256	4921635c	aee37d6cdc36acf0f11ff5f93e7b16e4b12f6c39	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	02d_sb-3.bin	02d_sb-3.bin	\N	256	3b0c99af	38f30ac1e48632634e409f328ee3051b987de7ad	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	03k_sb-8.bin	03k_sb-8.bin	\N	256	f6fad943	b0a24ea7805272e8ebf72a99b08907bc00d5f82f	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	06d_sb-4.bin	06d_sb-4.bin	\N	256	4858968d	20b5dbcaa1a4081b3139e7e2332d8fe3c9e55ed6	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	08e_sb-5.bin	08e_sb-5.bin	\N	256	93ab8153	a792f24e5c0c3c4a6b436102e7a98199f878ece1	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	09e_sb-6.bin	09e_sb-6.bin	\N	256	8ab44f7d	f74680a6a987d74b3acb32e6396f20e127874149	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	1-c11.bin	\N	\N	16384	bd87f06b	821f85cf157f81117eeaba0c3cf0337eac357e58	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	1-f2.bin	1-f2.bin	\N	8192	6ebca191	0dbddadde54a0ab66994c4a8726be05c6ca88a0e	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	1-n3.bin	\N	\N	16384	612975f2	f3744335862dd4c53925cc32792badd4a378c837	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	1-n4.bin	1-n4.bin	\N	16384	a60ac644	f37862db3cf5e6cc9ab3276f3bc45fd629fd70dd	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	1-n5.bin	1-n5.bin	\N	16384	835f7b24	24b66827f08c43fbf5b9517d638acdfc38e1b1e7	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	1-n6.bin	1-n6.bin	\N	8192	821c6481	06becb6bf8b4bde3a458098498eecad566a87711	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	1-n7.bin	1-n7.bin	\N	16384	5df525e1	70cd2910e2945db76bd6ebfa0ff09a5efadc2d0b	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	10e_sb-7.bin	10e_sb-7.bin	\N	256	f4ade9a4	62ad31d31d183cce213b03168daa035083b2f28e	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	2-a1.bin	2-a1.bin	\N	8192	3884d9eb	5cbd9215fa5ba5a61208b383700adc4428521aed	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	2-a2.bin	2-a2.bin	\N	8192	999cf6e0	5b8b685038ec98b781908b92eb7fb9506db68544	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	2-a3.bin	2-a3.bin	\N	8192	8edb273a	85fdd4c690ed31e6396e3c16aa02140ee7ea2d61	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	2-a4.bin	2-a4.bin	\N	8192	3a2726c3	187c92ef591febdcbd1d42ab850e0cbb62c00873	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	2-a5.bin	2-a5.bin	\N	8192	1bd3d8bb	ef4dce605eb4dc8035985a415315ec61c21419c6	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	2-a6.bin	2-a6.bin	\N	8192	658f02c4	f087d69e49e38cf3107350cde18fcf85a8fa04f0	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	2-l1.bin	2-l1.bin	\N	16384	2528bec6	29f7719f18faad6bd1ec6735cc24e69168361470	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	2-l2.bin	2-l2.bin	\N	16384	f89287aa	136fff6d2a4f48a488fc7c620213761459c3ada0	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	2-n1.bin	2-n1.bin	\N	16384	024418f8	145b8d5d6c8654cd090955a98f6dd8c8dbafe7c1	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	2-n2.bin	2-n2.bin	\N	16384	e2c7e489	d4b5d575c021f58f6966df189df94e08c5b3621c	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	f01_sb-0.bin	f01_sb-0.bin	\N	256	6047d91b	1ce025f9524c1033e48c5294ee7d360f8bfebe8d	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942a	k06_sb-1.bin	k06_sb-1.bin	\N	256	712ac508	5349d722ab6733afdda65f6e0a98322f0d515e86	\N	\N	\N	\N	\N	\N	
game	CottAGE_v0.12	1942b	\N	\N	1942	1942	\N	1942 (set 3)	1984	Capcom	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	01d_sb-2.bin	01d_sb-2.bin	\N	256	8bb8b3df	49de2819c4c92057fedcb20425282515d85829aa	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	01m_sb-9.bin	01m_sb-9.bin	\N	256	4921635c	aee37d6cdc36acf0f11ff5f93e7b16e4b12f6c39	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	02d_sb-3.bin	02d_sb-3.bin	\N	256	3b0c99af	38f30ac1e48632634e409f328ee3051b987de7ad	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	03k_sb-8.bin	03k_sb-8.bin	\N	256	f6fad943	b0a24ea7805272e8ebf72a99b08907bc00d5f82f	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	06d_sb-4.bin	06d_sb-4.bin	\N	256	4858968d	20b5dbcaa1a4081b3139e7e2332d8fe3c9e55ed6	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	08e_sb-5.bin	08e_sb-5.bin	\N	256	93ab8153	a792f24e5c0c3c4a6b436102e7a98199f878ece1	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	09e_sb-6.bin	09e_sb-6.bin	\N	256	8ab44f7d	f74680a6a987d74b3acb32e6396f20e127874149	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	1-f2.bin	1-f2.bin	\N	8192	6ebca191	0dbddadde54a0ab66994c4a8726be05c6ca88a0e	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	10e_sb-7.bin	10e_sb-7.bin	\N	256	f4ade9a4	62ad31d31d183cce213b03168daa035083b2f28e	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	2-a1.bin	2-a1.bin	\N	8192	3884d9eb	5cbd9215fa5ba5a61208b383700adc4428521aed	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	2-a2.bin	2-a2.bin	\N	8192	999cf6e0	5b8b685038ec98b781908b92eb7fb9506db68544	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	2-a3.bin	2-a3.bin	\N	8192	8edb273a	85fdd4c690ed31e6396e3c16aa02140ee7ea2d61	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	2-a4.bin	2-a4.bin	\N	8192	3a2726c3	187c92ef591febdcbd1d42ab850e0cbb62c00873	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	2-a5.bin	2-a5.bin	\N	8192	1bd3d8bb	ef4dce605eb4dc8035985a415315ec61c21419c6	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	2-a6.bin	2-a6.bin	\N	8192	658f02c4	f087d69e49e38cf3107350cde18fcf85a8fa04f0	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	2-l1.bin	2-l1.bin	\N	16384	2528bec6	29f7719f18faad6bd1ec6735cc24e69168361470	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	2-l2.bin	2-l2.bin	\N	16384	f89287aa	136fff6d2a4f48a488fc7c620213761459c3ada0	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	2-n1.bin	2-n1.bin	\N	16384	024418f8	145b8d5d6c8654cd090955a98f6dd8c8dbafe7c1	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	2-n2.bin	2-n2.bin	\N	16384	e2c7e489	d4b5d575c021f58f6966df189df94e08c5b3621c	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	f01_sb-0.bin	f01_sb-0.bin	\N	256	6047d91b	1ce025f9524c1033e48c5294ee7d360f8bfebe8d	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	k06_sb-1.bin	k06_sb-1.bin	\N	256	712ac508	5349d722ab6733afdda65f6e0a98322f0d515e86	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	srb-03.n3	\N	\N	16384	d9dafcc3	a089a9bc55fb7d6d0ac53f91b258396d5d62677a	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	srb-04.n4	\N	\N	16384	da0cf924	856fbb302c9a4ec7850a26ab23dab8467f79bba4	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	srb-05.n5	\N	\N	16384	d102911c	35ba1d82bd901940f61d8619273463d02fc0a952	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	srb-06.n6	\N	\N	8192	466f8248	2ccc8fc59962d3001fbc10e8d2f20a254a74f251	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942b	srb-07.n7	\N	\N	16384	0d31038c	b588eaf6fddd66ecb2d9832dc197f286f1ccd846	\N	\N	\N	\N	\N	\N	
game	CottAGE_v0.12	1943	\N	\N	\N	\N	\N	1943 - The Battle of Midway (US)	1987	Capcom	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.01	\N	\N	32768	c686cc5c	5efb2d9df737564d599f71b71a6438f7624b27c3	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.02	\N	\N	65536	d8880a41	2f9b6a3922efa05eed66c63284bace5f337304ac	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.03	\N	\N	65536	3f0ee26c	8da74fe91a6be3f23fc625f2a433f1f79c424994	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.04	\N	\N	32768	46cb9d3d	96fd0e714b91fe13a2ca0d185ada9e4b4baa0c0b	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.06	\N	\N	32768	97acc8af	c9fa07cb61f6905408b355edabfe453fb652ff0d	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.07	\N	\N	32768	d78f7197	6367c7e80e80d4a0d33d7840b5c843c63c80123e	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.08	\N	\N	32768	1a626608	755c27a07728fd686168e9d9e4dee3d8f274892a	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.09	\N	\N	32768	92408400	3ab299bad1ba115efead53ebd92254abe7a092ba	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.10	\N	\N	32768	8438a44a	873629b00cf3f6d8976a7fdafe63cd16e47b7491	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.11	\N	\N	32768	6c69351d	c213d5c3e76a5749bc32539604716dcef6dcb694	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.12	\N	\N	32768	5e7efdb7	fef271a38dc1a9e45a0c6e27e28e713c77c8f8c9	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.13	\N	\N	32768	1143829a	2b3a65e354a205c05a87f783e9938b64bc62396f	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.14	\N	\N	32768	4d3c6401	ce4f6dbf8fa030ad45cbb5afd58df27fed2d4618	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.15	\N	\N	32768	6b1a0443	32337c840ccd6815fd5844c194365c58d708f6dc	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.16	\N	\N	32768	23c908c2	42b83ff5781be9181802a21ff1b23c17ab1bc5a2	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.17	\N	\N	32768	46bcdd07	38feda668be25d1adc04aa36afc73b07c1545f89	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.18	\N	\N	32768	e6ae7ba0	959c306dc28b9be2adc54b3d46312d26764c7b8b	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.19	\N	\N	32768	868ababc	1c7be905f53c63bad25fbbd9b3cf82d2c7749bc3	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.20	\N	\N	32768	0917e5d4	62dd277bc1fa54cfe168ae2380bc147bd17f4205	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.21	\N	\N	32768	9bfb0d89	f1bae7ec46edcf46c7af84c054e89b322f8c8972	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.22	\N	\N	32768	04f3c274	932780c04abe285e1ec67b726b145175f73eafe0	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.23	\N	\N	32768	a52aecbd	45b0283d84d394c16c35802463ca95d70d1062d4	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.24	\N	\N	32768	11134036	88da112ab9fc7e0d8f0e901f273715b950ae588c	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	1943.25	\N	\N	32768	092cf9c1	19fe3c714b1d52cbb21dea25cdee5af841f525db	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.01	\N	\N	256	74421f18	5b8b59f6f4e5ad358611de50608f47f41a5b0e51	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.02	\N	\N	256	ac27541f	1796c4c9041dfe28e6319576f21df1dbcb8d12bf	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.03	\N	\N	256	251fb6ff	d1118159b3d429d841e4efa938728ebedadd7ec5	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.04	\N	\N	256	91a8a2e1	9583c87eff876f04bc2ccf7218cd8081f1bcdb94	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.05	\N	\N	256	206713d0	fa609f6d675af18c379838583505724d28bcff0e	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.06	\N	\N	256	0eaf5158	bafd4108708f66cd7b280e47152b108f3e254fc9	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.07	\N	\N	256	b56f30c3	9f5e6db464d21457a33ec8bdfdff069632b791db	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.08	\N	\N	256	c2010a9e	be9852500209066e2f0ff2770e0c217d1636a0b5	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.09	\N	\N	256	aeea4af7	98f4570ee061e9aa58d8ed2d2f8ae59ce2ec5795	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.10	\N	\N	256	33c2491c	13da924e4b182759c4aae49034f3a7cbe556ea65	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.11	\N	\N	256	405aae37	94a06f81b775c4e49d57d42fc064d3072a253bbd	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943	bmprom.12	\N	\N	256	c18aa136	684f04d9a5b94ae1db5fb95763e65271f4cf8e01	\N	\N	\N	\N	\N	\N	
game	CottAGE_v0.12	1943j	\N	\N	1943	1943	\N	1943 - The Battle of Midway (Japan)	1987	Capcom	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.04	1943.04	\N	32768	46cb9d3d	96fd0e714b91fe13a2ca0d185ada9e4b4baa0c0b	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.06	1943.06	\N	32768	97acc8af	c9fa07cb61f6905408b355edabfe453fb652ff0d	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.07	1943.07	\N	32768	d78f7197	6367c7e80e80d4a0d33d7840b5c843c63c80123e	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.08	1943.08	\N	32768	1a626608	755c27a07728fd686168e9d9e4dee3d8f274892a	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.09	1943.09	\N	32768	92408400	3ab299bad1ba115efead53ebd92254abe7a092ba	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.10	1943.10	\N	32768	8438a44a	873629b00cf3f6d8976a7fdafe63cd16e47b7491	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.11	1943.11	\N	32768	6c69351d	c213d5c3e76a5749bc32539604716dcef6dcb694	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.12	1943.12	\N	32768	5e7efdb7	fef271a38dc1a9e45a0c6e27e28e713c77c8f8c9	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.13	1943.13	\N	32768	1143829a	2b3a65e354a205c05a87f783e9938b64bc62396f	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.14	1943.14	\N	32768	4d3c6401	ce4f6dbf8fa030ad45cbb5afd58df27fed2d4618	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.15	1943.15	\N	32768	6b1a0443	32337c840ccd6815fd5844c194365c58d708f6dc	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.16	1943.16	\N	32768	23c908c2	42b83ff5781be9181802a21ff1b23c17ab1bc5a2	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.17	1943.17	\N	32768	46bcdd07	38feda668be25d1adc04aa36afc73b07c1545f89	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.18	1943.18	\N	32768	e6ae7ba0	959c306dc28b9be2adc54b3d46312d26764c7b8b	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.19	1943.19	\N	32768	868ababc	1c7be905f53c63bad25fbbd9b3cf82d2c7749bc3	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.20	1943.20	\N	32768	0917e5d4	62dd277bc1fa54cfe168ae2380bc147bd17f4205	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.21	1943.21	\N	32768	9bfb0d89	f1bae7ec46edcf46c7af84c054e89b322f8c8972	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.22	1943.22	\N	32768	04f3c274	932780c04abe285e1ec67b726b145175f73eafe0	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.23	1943.23	\N	32768	a52aecbd	45b0283d84d394c16c35802463ca95d70d1062d4	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.24	1943.24	\N	32768	11134036	88da112ab9fc7e0d8f0e901f273715b950ae588c	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943.25	1943.25	\N	32768	092cf9c1	19fe3c714b1d52cbb21dea25cdee5af841f525db	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943jap.001	\N	\N	32768	f6935937	6fe8885d734447c2a667cf80dd545200aad6c767	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943jap.002	\N	\N	65536	af971575	af1d8ce73e8671b7b41248ce6486c9b5aaf6a233	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	1943jap.003	\N	\N	65536	300ec713	f66d2356b413a418c887b4085a5315475c7a8bba	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	bmprom.01	bmprom.01	\N	256	74421f18	5b8b59f6f4e5ad358611de50608f47f41a5b0e51	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	bmprom.02	bmprom.02	\N	256	ac27541f	1796c4c9041dfe28e6319576f21df1dbcb8d12bf	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	bmprom.03	bmprom.03	\N	256	251fb6ff	d1118159b3d429d841e4efa938728ebedadd7ec5	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	bmprom.04	bmprom.04	\N	256	91a8a2e1	9583c87eff876f04bc2ccf7218cd8081f1bcdb94	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	bmprom.05	bmprom.05	\N	256	206713d0	fa609f6d675af18c379838583505724d28bcff0e	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	bmprom.06	bmprom.06	\N	256	0eaf5158	bafd4108708f66cd7b280e47152b108f3e254fc9	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	bmprom.07	bmprom.07	\N	256	b56f30c3	9f5e6db464d21457a33ec8bdfdff069632b791db	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	bmprom.08	bmprom.08	\N	256	c2010a9e	be9852500209066e2f0ff2770e0c217d1636a0b5	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	bmprom.09	bmprom.09	\N	256	aeea4af7	98f4570ee061e9aa58d8ed2d2f8ae59ce2ec5795	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1943j	bmprom.10	bmprom.10	\N	256	33c2491c	13da924e4b182759c4aae49034f3a7cbe556ea65	\N	\N	\N	\N	\N	\N	
