game	AMOAD_I_-_XXII	invaders	\N	\N	\N	\N	\N	Space Invaders [AMOAD01]	1978	Midway	\N	\N	\N	
game	AMOAD_I_-_XXII	bombjack	\N	\N	\N	\N	\N	Bomb Jack (set 2) [AMOAD09]	1984	Tehkan	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	09_j01b.bin	\N	\N	8192	c668dc30	51dd6a2688b42e9f28f0882bd76f75be7ec3222a	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	10_l01b.bin	\N	\N	8192	52a1e5fb	e1cdc4b4efbc6c7a1e4fa65019486617f2acba1b	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	11_m01b.bin	\N	\N	8192	b68a062a	43bae56494ac0202aaa8f1ed5c1ed1bff775b2b8	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	12_n01b.bin	\N	\N	8192	1d3ecee5	8b3c49e21ea4952cae7042890d1be2115f7d6fda	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	13_r01b.bin	\N	\N	8192	bcafdd29	d243eb1249e885aa75fc910fce6e7744770d6e82	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	01_h03t.bin	\N	\N	8192	8407917d	318face9f7a7ab6c7eeac773995040425e780aaf	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	03_e08t.bin	\N	\N	4096	9f0470d5	94ef52ef47b4399a03528fe3efeac9c1d6983446	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	04_h08t.bin	\N	\N	4096	81ec12e6	e29ba193f21aa898499187603b25d2e226a07c7b	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	05_k08t.bin	\N	\N	4096	e87ec8b1	a66808ef2d62fca2854396898b86bac9be5f17a3	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	06_l08t.bin	\N	\N	8192	51eebd89	515128a3971fcb97b60c5b6bdd2b03026aec1921	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	07_n08t.bin	\N	\N	8192	9dd98e9d	6db6006a6e20ff7c243d88293ca53681c4703ea5	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	08_r08t.bin	\N	\N	8192	3155ee7d	e7897dca4c145f10b7d975b8ef0e4d8aa9354c25	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	16_m07b.bin	\N	\N	8192	94694097	de71bcd67f97d05527f2504fc8430be333fb9ec2	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	15_l07b.bin	\N	\N	8192	013f58f2	20c64593ab9fcb04cefbce0cd5d17ce3ff26441b	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	14_j07b.bin	\N	\N	8192	101c858d	ed1746c15cdb04fae888601d940183d5c7702282	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	bombjack	02_p04t.bin	\N	\N	4096	398d4a02	ac18a8219f99ba9178b96c9564de3978e39c59fd	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	galaxian	\N	\N	\N	\N	\N	Galaxian (Midway) [AMOAD10]	1979	[Namco] (Midway license)	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaxian	galaxian.u	\N	\N	2048	745e2d61	e65f74e35b1bfaccd407e168ea55678ae9b68edf	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaxian	galaxian.v	\N	\N	2048	9c999a40	02fdcd95d8511e64c0d2b007b874112d53e41045	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaxian	galaxian.w	\N	\N	2048	b5894925	0046b9ed697a34d088de1aead8bd7cbe526a2396	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaxian	galaxian.y	\N	\N	2048	6b3ca10b	18d8714e5ef52f63ba8888ecc5a25b17b3bf17d1	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaxian	galaxian.z	\N	\N	2048	cb24f797	e6bb977ded0654c2c7388aad188059e1e0647908	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaxian	galaxian.1j	\N	\N	2048	84decf98	2e565cb6057b1816a6b4541e6dfadd3c3762fa36	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaxian	galaxian.1k	\N	\N	2048	c31ada9e	237ebb48549b34ca59a13cc2706512d957413ec4	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	frogger	\N	\N	\N	\N	\N	Frogger (Sega set 2) [AMOAD11]	1981	[Konami] (Sega license)	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	frogger	frogger.ic5	\N	\N	4096	efab0c79	68c99b6cdcb9396bb473739a62ffc009b4bf57d5	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	frogger	frogger.ic6	\N	\N	4096	aeca9c13	cdf560adbd7f2813e86e378da7781cccf7928a44	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	frogger	frogger.ic7	\N	\N	4096	dd251066	4612e1fe1ab7182a277140b1a1976cc17e0746a5	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	frogger	frogger.ic8	\N	\N	4096	bf293a02	be94e9f5caa74c3de6fd95bd20928f4a9c514227	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	frogger	frogger.608	\N	\N	2048	e8ab0256	f090afcfacf5f13cdfa0dfda8e3feb868c6ce8bc	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	frogger	frogger.609	\N	\N	2048	7380a48f	75582a94b696062cbdb66a4c5cf0bc0bb94f81ee	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	frogger	frogger.610	\N	\N	2048	31d7eb27	2e1d34ae4da385fd7cac94707d25eeddf4604e1a	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	frogger	frogger.606	\N	\N	2048	f524ee30	dd768967add61467baa08d5929001f157d6cd911	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	frogger	frogger.607	\N	\N	2048	05f7d883	78831fd287da18928651a8adb7e578d291493eff	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	galaga	\N	\N	\N	\N	\N	Galaga (Midway) [AMOAD12]	1981	[Namco] (Midway license)	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaga	3200a.bin	\N	\N	4096	3ef0b053	0c04a362b737998c0952a753fb3fd8c8a17e9b46	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaga	3300b.bin	\N	\N	4096	1b280831	f7ea12e61929717ebe43a4198a97f109845a2c62	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaga	3400c.bin	\N	\N	4096	16233d33	a7eb799be5e23058754a92b15e6527bfbb47a354	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaga	3500d.bin	\N	\N	4096	0aaf5c23	3f4b0bb960bf002261e9c1278c88f594c6aa8ab6	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaga	3600e.bin	\N	\N	4096	bc556e76	0d3d68243c4571d985b4d8f7e0ea9f6fcffa2116	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaga	3700g.bin	\N	\N	4096	b07f0aa4	7528644a8480d0be2d0d37069515ed319e94778f	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaga	2600j_4l.bin	\N	\N	4096	58b2f47c	62f1279a784ab2f8218c4137c7accda00e6a3490	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaga	2800l_4d.bin	\N	\N	4096	ad447c80	e697c180178cabd1d32483c5d8889a40633f7857	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	galaga	2700k.bin	\N	\N	4096	dd6f1afc	c340ed8c25e0979629a9a1730edc762bd72d0cff	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	cosmicmo	\N	\N	\N	\N	\N	Cosmic Monsters [AMOAD13]	1979	Universal	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cosmicmo	cosmicmo.1	\N	\N	1024	d6e4e5da	8b4275a3c71ac3fa80d17237dc04de5f586645f4	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cosmicmo	cosmicmo.2	\N	\N	1024	8f7988e6	b6a01d5dcab013350f8f7f3e3ebfc986bb939fe0	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cosmicmo	cosmicmo.3	\N	\N	1024	2d2e9dc8	dd3da4fc752e003e5e7c64bf189288133aed545b	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cosmicmo	cosmicmo.4	\N	\N	1024	26cae456	2f2262340c10e5c29d71317f6eb8072c26655563	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cosmicmo	cosmicmo.5	\N	\N	1024	b13f228e	a0de05aa36435e72c77f5333f3ad964ec448a8f0	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cosmicmo	cosmicmo.6	\N	\N	1024	4ae1b9c4	8eed87eebe68caa775fa679363b0fe3728d98c34	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	cosmicmo	cosmicmo.7	\N	\N	1024	6a13b15b	dc03a6c3e938cfd08d16bd1660899f951ba72ea2	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	phoenix	\N	\N	\N	\N	\N	Phoenix (Amstar) [AMOAD14]	1980	Amstar	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic45	\N	\N	2048	9f68086b	fc3cef299bf03bf0586c4047c6b96ca666846220	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic46	\N	\N	2048	273a4a82	6f3019a074e73ff50ceb92f655fcf15659f34919	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic47	\N	\N	2048	3d4284b9	6e69f8f0d537fe89140cd95d2398531d7e93d102	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic48	\N	\N	2048	cb5d9915	49bcf55a5721cfcc02c3b811a4b601e35ea576db	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic49	\N	\N	2048	a105e4e7	b35142a91b6b7fdf7535202671793393c9f4685f	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic50	\N	\N	2048	ac5e9ec1	0402e5241d99759d804291998efd43f37ce99917	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic51	\N	\N	2048	2eab35b4	849bf8273317cc869bdd67e50c68399ee8ece81d	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic52	\N	\N	2048	aff8e9c5	e4164f85ec12d4d9bcbffba27ab1f51b3599f6d0	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic23	\N	\N	2048	3c7e623f	e7ff5fc371664af44785c079e92eeb2d8530187b	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic24	\N	\N	2048	59916d3b	71aec70a8e096ed1f0c2297b3ae7dca1b8ecc38d	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic39	\N	\N	2048	53413e8f	d772358505b973b10da840d204afb210c0c746ec	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	phoenix	ic40	\N	\N	2048	0be2ba91	af9243ee23377b632b9b7d0b84d341d06bf22480	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	mspacman	\N	\N	\N	\N	\N	Ms. Pac-Man [AMOAD15]	1981	bootleg	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	mspacman	boot1	\N	\N	4096	d16b31b7	bc2247ec946b639dd1f00bfc603fa157d0baaa97	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	mspacman	boot2	\N	\N	4096	0d32de5e	13ea0c343de072508908be885e6a2a217bbb3047	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	mspacman	boot3	\N	\N	4096	1821ee0b	5ea4d907dbb2690698db72c4e0b5be4d3e9a7786	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	mspacman	boot4	\N	\N	4096	165a9dd8	3022a408118fa7420060e32a760aeef15b8a96cf	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	mspacman	boot5	\N	\N	4096	8c3e6de6	fed6e9a2b210b07e7189a18574f6b8c4ec5bb49b	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	mspacman	boot6	\N	\N	4096	368cb165	387010a0c76319a1eab61b54c9bcb5c66c4b67a1	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	mspacman	5e	\N	\N	4096	5c281d01	5e8b472b615f12efca3fe792410c23619f067845	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	mspacman	5f	\N	\N	4096	615af909	fd6a1dde780b39aea76bf1c4befa5882573c2ef4	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	amidar	\N	\N	\N	\N	\N	Amidar (Stern) [AMOAD16]	1982	Konami (Stern license)	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	amidar	amidarus.2c	\N	\N	4096	951e0792	3a68b829c9ffb465bd6582c9ea566e0e947c6c19	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	amidar	amidarus.2e	\N	\N	4096	a1a3a136	330ec857fdf4c1b28e2560a5f63a2432f87f9b2f	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	amidar	amidarus.2f	\N	\N	4096	a5121bf5	fe15b91724758ede43dd332327919f164772c592	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	amidar	amidarus.2h	\N	\N	4096	051d1c7f	3cfa0f728a5c27da0a3fe2579ad226129ccde232	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	amidar	amidarus.2j	\N	\N	4096	351f00d5	6659357f40f888b21be00826246200fd3a8a88ce	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	amidar	amidarus.5c	\N	\N	4096	8ca7b750	4f4c2915503b85abe141d717fd254ee10c9da99e	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	amidar	amidarus.5d	\N	\N	4096	9b5bdc0a	84d953618c8bf510d23b42232a856ac55f1baff5	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	amidar	amidarus.5f	\N	\N	2048	2cfe5ede	0d86a78008ac8653c17fff5be5ebdf1f0a9d31eb	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	amidar	amidarus.5h	\N	\N	2048	57c4fd0d	8764deec9fbff4220d61df621b12fc36c3702601	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	ckong	\N	\N	\N	\N	\N	Crazy Kong (set 2) [AMOAD17]	1981	Falcon	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	7.dat	\N	\N	4096	b27df032	57f9be139c610405e3c2fddd7093dfb1277e450e	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	8.dat	\N	\N	4096	5dc1aaba	42b9e5946ffce7c156d114bde68f37c2c34853c4	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	9.dat	\N	\N	4096	c9054c94	1aa08d2501ee620759fd5c111e12f6d432c25294	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	10.dat	\N	\N	4096	c3beb501	14f49c45fc7c91799034c5a51fca310f0a66b1d7	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	11.dat	\N	\N	4096	ae159192	d467256a3a366e246243e7828ff4a45d4c146e2c	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	12.dat	\N	\N	4096	966bc9ab	4434fc620169ffea1b1f227b61674e1daf79b54b	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	6.dat	\N	\N	4096	2dcedd12	dfdcfc21bcba7c8e148ee54daae511ca78c58e70	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	4.dat	\N	\N	4096	3375b3bd	a00b3c31cff123aab6ac0833aabfdd663302971a	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	5.dat	\N	\N	4096	fa7cbd91	0208d2ebc59f3600005476b6987472685bc99d67	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	3.dat	\N	\N	4096	5655cc11	5195e9b2a60c54280b48b32ee8248090904dbc51	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	2.dat	\N	\N	2048	d1352c31	da726a63a8be830d695afeddc1717749af8c9d47	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	1.dat	\N	\N	2048	a7a2fdbd	529865f8bbfbdbbf34ac39c70ef17e6d5bd0f845	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	14.dat	\N	\N	4096	5f0bcdfb	7f79bf6de117348f606696ed7ea1937bbf926612	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	ckong	13.dat	\N	\N	4096	9003ffbd	fd016056aabc23957643f37230f03842294f795e	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	pacman	\N	\N	\N	\N	\N	Pac-Man (Midway) [AMOAD18]	1980	[Namco] (Midway license)	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pacman	pacman.6e	\N	\N	4096	c1e6ab10	e87e059c5be45753f7e9f33dff851f16d6751181	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pacman	pacman.6f	\N	\N	4096	1a6fb2d4	674d3a7f00d8be5e38b1fdc208ebef5a92d38329	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pacman	pacman.6h	\N	\N	4096	bcdd1beb	8e47e8c2c4d6117d174cdac150392042d3e0a881	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pacman	pacman.6j	\N	\N	4096	817d94e3	d4a70d56bb01d27d094d73db8667ffb00ca69cb9	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pacman	pacman.5e	\N	\N	4096	0c944964	06ef227747a440831c9a3a613b76693d52a2f0a9	\N	\N	\N	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pacman	pacman.5f	\N	\N	4096	958fedf9	4a937ac02216ea8c96477d4a15522070507fb599	\N	\N	\N	\N	\N	\N	
game	AMOAD_I_-_XXII	pengo	\N	\N	\N	\N	\N	Pengo (set 2 not encrypted) [AMOAD19]	1982	Sega	\N	\N	\N	
game_rom	AMOAD_I_-_XXII	pengo	pengo.u8	\N	\N	4096	3dfeb20e	a387b72501da77bf38b58619d2099083a0463e1f	\N	\N	\N	\N	\N	\N	
