game	Xain_D_Sleena_v1.0	xain	\N	\N	\N	\N	\N	Xain'd Sleena (bootleg)	1986	bootleg	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	po-0.bin	\N	\N	32768	252976ae	534c9148d33e453f3541543a8c0eb4afc59c7de8	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pp-0.bin	\N	\N	32768	e6f1e8d5	2ee0227361d1f1358f5b5964dab7e691243cd9ae	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pq-0.bin	\N	\N	32768	785381ed	95bf4eb29830c589a9793a4138e645e5b77f0c06	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pr-0.bin	\N	\N	32768	59754e3d	d1781dbc83965fc84492f7282d6813507ba1e81b	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	p0-0.bin	\N	\N	32768	51ae95ae	e03f7ccb0b33b05547577c60a7f92dc75e24b4d6	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	p1-0.bin	\N	\N	32768	f5f235a3	9f57dd7c5e514afa750edc6da6d263bf1e913c14	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	p2-0.bin	\N	\N	32768	a5318cb8	35fb28c5598e39f22552bb036ae356b78422f080	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	p3-0.bin	\N	\N	32768	84884a2e	5087010a72226e91a084a61b5089c110dba7e933	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	p4-0.bin	\N	\N	32768	59d87a9a	f23cb9a9d6c6249a8a1f8e2acbc235086b008c7b	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	p5-0.bin	\N	\N	32768	5c6c453c	68c0028d15da8f5e53f09e3d154d18cd9f219601	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	p6-0.bin	\N	\N	32768	8d637639	301a7893de8f1bb526f5075e2af8203b8af4b0d3	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	p8-0.bin	\N	\N	32768	7fc9704f	b6f353fb7fec58f68b9e28be2aa29146ac64ffd4	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	p9-0.bin	\N	\N	32768	8ff372a8	0fc396e662419fb9cb5bea11748aa8e0e8d072e6	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pa-0.bin	\N	\N	32768	154f946f	25b776eb9c494e5302795ae79e494cbfc7c104b1	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pk-0.bin	\N	\N	32768	11eb4247	5d2f1fa07b8fb1c6bebfdb02c39282d29813791b	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pl-0.bin	\N	\N	32768	422b536e	d5985c0bd1c840cb6f0da6b177a2caaff6db5a04	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pm-0.bin	\N	\N	32768	828c1b0c	cb9b64073b0ade3885f61545191db4c445e3066b	\N	\N	\N	\N	\N	\N	
