game	Sil_s_Single_Emulator_v2.0	1942	\N	\N	\N	\N	\N	1942 (set 2)	1984	Capcom	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	1942	2-n2.bin	\N	\N	16384	e2c7e489	d4b5d575c021f58f6966df189df94e08c5b3621c	\N	\N	\N	\N	\N	\N	
game	Sil_s_Single_Emulator_v2.0	amidar	\N	\N	\N	\N	\N	Amidar (Stern)	1982	Konami (Stern license)	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	amidar	amidarus.2c	\N	\N	4096	951e0792	3a68b829c9ffb465bd6582c9ea566e0e947c6c19	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	amidar	amidarus.2e	\N	\N	4096	a1a3a136	330ec857fdf4c1b28e2560a5f63a2432f87f9b2f	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	amidar	amidarus.2f	\N	\N	4096	a5121bf5	fe15b91724758ede43dd332327919f164772c592	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	amidar	amidarus.2h	\N	\N	4096	051d1c7f	3cfa0f728a5c27da0a3fe2579ad226129ccde232	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	amidar	amidarus.2j	\N	\N	4096	351f00d5	6659357f40f888b21be00826246200fd3a8a88ce	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	amidar	amidarus.5c	\N	\N	4096	8ca7b750	4f4c2915503b85abe141d717fd254ee10c9da99e	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	amidar	amidarus.5d	\N	\N	4096	9b5bdc0a	84d953618c8bf510d23b42232a856ac55f1baff5	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	amidar	amidarus.5f	\N	\N	2048	2cfe5ede	0d86a78008ac8653c17fff5be5ebdf1f0a9d31eb	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	amidar	amidarus.5h	\N	\N	2048	57c4fd0d	8764deec9fbff4220d61df621b12fc36c3702601	\N	\N	\N	\N	\N	\N	
game	Sil_s_Single_Emulator_v2.0	beastf	\N	\N	\N	\N	\N	Beastie Feastie	1984	Epos Corporation	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	beastf	bf-u2.bin	\N	\N	8192	3afc517b	5b74bca9e9cd4d8bcf94a340f8f0e53fe1dcfc1d	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	beastf	bf-u3.bin	\N	\N	8192	8dbd76d0	058c01e87ad583eb99d5043a821e6c68f1b30267	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	beastf	beastf.5e	\N	\N	4096	5654dc34	fc2336b951a3ab48d4fc4f36a8dd80e79e8ca1a0	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	beastf	beastf.5f	\N	\N	4096	1b30ca61	8495d8a280346246f00c4f1dc42ab5a2a02c5863	\N	\N	\N	\N	\N	\N	
game	Sil_s_Single_Emulator_v2.0	blaster	\N	\N	\N	\N	\N	Blaster	1983	Williams	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.11	\N	\N	8192	6371e62f	dc4173d2ee88757a6ac0838acaee325eadc2c4fb	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.12	\N	\N	8192	9804faac	e61218fe190ad268af48d611d140d8f4cd38e4c7	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.17	\N	\N	4096	bf96182f	e25a02508eecf79ea1ae5d45278a60becc6c7dcc	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.16	\N	\N	4096	54a40b21	663c7b539e6f1f065a4ecae7bb0477c71951223f	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.13	\N	\N	8192	f4dae4c8	211dcbe085a30419d649afe10ca7c4017d909bd7	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.15	\N	\N	16384	1ad146a4	5ab3d9618023b59bc329a9eeef986901867a639b	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.8	\N	\N	16384	f110bbb0	314dea232a3706509399348c7415f933c64cea1b	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.9	\N	\N	16384	5c5b0f8a	224f89c85b2b1ca511d006180b8d994fccbdfb6b	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.10	\N	\N	16384	d47eb67f	5dcde8be1a7b1927b90ffab3219dc47c5b2f20e4	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.6	\N	\N	16384	47fc007e	3a80b9b7ae460e9732f7c1cdd465a5b06ded970f	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.5	\N	\N	16384	15c1b94d	5d97628541eb8933870c3ffd3646b7aaf8af6af5	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.14	\N	\N	16384	aea6b846	04cb4b5eb000471a0cec377a5236ac8c83529528	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.7	\N	\N	16384	7a101181	5f1581911ea7fe3e63ce1b9c50b1d3bf081dbf81	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.1	\N	\N	16384	8d0ea9e7	34f8e2e99748bed29285f7e4929bb920960ab03e	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.2	\N	\N	16384	03c4012c	53f0adc91e5f1ac58b08b3a6d2de8de5a40bebab	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.4	\N	\N	16384	fc9d39fb	126d43a64471bbf4b40aeda8913d50e82d254f9c	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.3	\N	\N	16384	253690fb	06cb2ef95bb06b3618392e298aa690e1f75bc977	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	blaster	blaster.18	\N	\N	4096	c33a3145	6ffe2da7b70c0b576fbc1790a33eecdbb9ee3d02	\N	\N	\N	\N	\N	\N	
game	Sil_s_Single_Emulator_v2.0	cclimber	\N	\N	\N	\N	\N	Crazy Climber (US)	1980	Nichibutsu	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc11	\N	\N	4096	217ec4ff	334604c3a051d57440a9d0bfc34b809418ef1d2d	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc10	\N	\N	4096	b3c26cef	f52cb5482c12a9c5fb56e2e2aec7cab0ed23e5a5	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc09	\N	\N	4096	6db0879c	c0ba1976c1dcd6edadd78073173a26851ae8dd4f	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc08	\N	\N	4096	f48c5fe3	79072bbbf37387998ffd031afe8eb569a16fa9bd	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc07	\N	\N	4096	3e873baf	8870dc5948cdd3c8d2fe9e54a20cf6c311c94e53	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc06	\N	\N	2048	481b64cc	3f35c545fc784ed4f969aba2d7be6e13a5ae32b7	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc04	\N	\N	2048	332347cb	4115ca32af73f1791635b7d9e093bf77088a8222	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc05	\N	\N	2048	2c33b760	2edea8fe13376fbd51a5586d97aba3b30d78e94b	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc03	\N	\N	2048	4e4b3658	0d39a8cb5cd6cf06008be60707f9b277a8a32a2d	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc02	\N	\N	2048	14f3ecc9	a1b5121abfbe8f07580eb3fa6384352d239a3d75	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc01	\N	\N	2048	21c0f9fb	44fad56d302a439257216ddac9fd62b3666589f1	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc13	\N	\N	4096	e0042f75	86cb31b110742a0f7ae33052c88f42d00deb5468	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	cclimber	cc12	\N	\N	4096	5da13aaa	b2d41e69435d09c456648a10e33f5e1fbb0bc64c	\N	\N	\N	\N	\N	\N	
game	Sil_s_Single_Emulator_v2.0	ckong	\N	\N	\N	\N	\N	Crazy Kong (set 2)	1981	Falcon	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	7.dat	\N	\N	4096	b27df032	57f9be139c610405e3c2fddd7093dfb1277e450e	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	8.dat	\N	\N	4096	5dc1aaba	42b9e5946ffce7c156d114bde68f37c2c34853c4	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	9.dat	\N	\N	4096	c9054c94	1aa08d2501ee620759fd5c111e12f6d432c25294	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	10.dat	\N	\N	4096	c3beb501	14f49c45fc7c91799034c5a51fca310f0a66b1d7	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	11.dat	\N	\N	4096	ae159192	d467256a3a366e246243e7828ff4a45d4c146e2c	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	12.dat	\N	\N	4096	966bc9ab	4434fc620169ffea1b1f227b61674e1daf79b54b	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	6.dat	\N	\N	4096	2dcedd12	dfdcfc21bcba7c8e148ee54daae511ca78c58e70	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	4.dat	\N	\N	4096	3375b3bd	a00b3c31cff123aab6ac0833aabfdd663302971a	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	5.dat	\N	\N	4096	fa7cbd91	0208d2ebc59f3600005476b6987472685bc99d67	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	3.dat	\N	\N	4096	5655cc11	5195e9b2a60c54280b48b32ee8248090904dbc51	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	2.dat	\N	\N	2048	d1352c31	da726a63a8be830d695afeddc1717749af8c9d47	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	1.dat	\N	\N	2048	a7a2fdbd	529865f8bbfbdbbf34ac39c70ef17e6d5bd0f845	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	14.dat	\N	\N	4096	5f0bcdfb	7f79bf6de117348f606696ed7ea1937bbf926612	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	ckong	13.dat	\N	\N	4096	9003ffbd	fd016056aabc23957643f37230f03842294f795e	\N	\N	\N	\N	\N	\N	
game	Sil_s_Single_Emulator_v2.0	crush	\N	\N	\N	\N	\N	Crush Roller (Kural Esco - bootleg?)	1981	Kural Esco Electric	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	cr1	\N	\N	2048	f276592e	68ebb7d9f70af868d99ec42c26bc55a54ba1f22c	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	cr5	\N	\N	2048	3d302abe	8ca5cd82d099b55e20f785489158231a1d99a430	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	cr2	\N	\N	2048	25f42e70	66de8203c364fd90e8a2b5749c2e40665b2f5830	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	cr6	\N	\N	2048	98279cbe	84b5e64bdbc25afab9b6f53e1719640e21a6feba	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	cr3	\N	\N	2048	8377b4cb	f828a177f22db9093a00c31e39e16214ce0dc6de	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	cr7	\N	\N	2048	d8e76c8c	7c3d7eb07b9256130141f71eba722f7823fd4c32	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	cr4	\N	\N	2048	90b28fa3	ff58d2dfb016397daabe2996bc3a7b63d28a4cca	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	cr8	\N	\N	2048	10854e1b	b3b9066d9a43796185c00ae12f7bb2bbf42e3a07	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	cra	\N	\N	2048	c7617198	95b204af0345163f93811cc770ee0ca2851a39c1	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	crc	\N	\N	2048	e129d76a	c9256795c6d0929ade1f24b372dadc2a2b88d897	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	crb	\N	\N	2048	d1899f05	dce755511b6262b984a2bca329f454892e486a09	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	crush	crd	\N	\N	2048	d35d1caf	65dd7861e05651485626465dc97215fed58db551	\N	\N	\N	\N	\N	\N	
game	Sil_s_Single_Emulator_v2.0	defender	\N	\N	\N	\N	\N	Defender (Red label)	1980	Williams	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.1	\N	\N	2048	c3e52d7e	a57f5278ffe44248fc73f9925d107f4024ad981a	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.4	\N	\N	2048	9a72348b	ed6ce796702ff32209ced3cb1ba3837dbafa526f	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.2	\N	\N	4096	89b75984	a9481478da38f99efb67f0ecf82d084e14b93b42	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.3	\N	\N	4096	94f51e9b	a24cfc55de56a72758c76fe2a55f1ec6c353b16f	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.9	\N	\N	2048	6870e8a5	67ccc194b1753a18af0c85f5e603355549c4f727	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.12	\N	\N	2048	f1f88938	26e48dfeefa0766837b1e762695b9532dbc8bc5e	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.8	\N	\N	2048	b649e306	9d7bc3c89e5a53c575946f06702c722b864b1ff0	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.11	\N	\N	2048	9deaf6d9	59b018ba0f3fe6eadfd387dc180ac281460358bc	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.7	\N	\N	2048	339e092e	2f89951dbe55d80df43df8dcf497171f73e726d3	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.10	\N	\N	2048	a543b167	9292b94b0d74e57e03aada4852ad1997c34122ff	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.6	\N	\N	2048	65f4efd1	a960fd1559ed74b81deba434391e49fc6ec389ca	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	defender	defend.snd	\N	\N	2048	fefd5b48	ceb0d18483f0691978c604db94417e6941ad7ff2	\N	\N	\N	\N	\N	\N	
game	Sil_s_Single_Emulator_v2.0	digdug	\N	\N	\N	\N	\N	Dig Dug (set 1)	1982	Namco	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.1b	\N	\N	4096	b9198079	1d3fe04020f584ed250e32fdc6f6a3b769342884	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.2	\N	\N	4096	b2acbe49	c8f713e8cfa70d3bc64d3002ff7bffc65ee138e2	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.3	\N	\N	4096	d6407b49	0e71a8f02778286488865e20439776dbb2a8ec78	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.4b	\N	\N	4096	f4cebc16	19b568f92069a1cfe1c07287408efe3b0e253375	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.5b	\N	\N	4096	370ef9b4	746b1fa15f5f2cfd69d8b5a7d6fb8c770abc3b4d	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.6b	\N	\N	4096	361eeb71	372c97c666411c3590d790213ae6fa1ccb5ffa1c	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.7	\N	\N	4096	a41bce72	2b9b74f56aa7939d9d47cf29497ae11f10d78598	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.9	\N	\N	2048	f14a6fe1	0aa63300c2cb887196de590aceb98f3cf06fead4	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.15	\N	\N	4096	e22957c8	4700c63f4f680cb8ab8c44e6f3e1712aabd5daa4	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.14	\N	\N	4096	2829ec99	3e435c1afb2e44487cd7ba28a93ada2e5ccbb86d	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.13	\N	\N	4096	458499e9	578bd839f9218c3cf4feee1223a461144e455df8	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.12	\N	\N	4096	c58252a0	bd79e39e8a572d2b5c205e6de27ca23e43ec9f51	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.11	\N	\N	4096	7b383983	57f1e8f5171d13f9f76bd091d81b4423b59f6b42	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug	dd1.10b	\N	\N	4096	2cf399c2	317c48818992f757b1bd0e3997fa99937f81b52c	\N	\N	\N	\N	\N	\N	
game	Sil_s_Single_Emulator_v2.0	digdug2	\N	\N	\N	\N	\N	Dig Dug II (set 1)	1985	Namco	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug2	ddug2-3.bin	\N	\N	16384	be7ec80b	a053274ffbf3200e9b89a8be1bd91744acb4a823	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug2	ddug2-1.bin	\N	\N	16384	5c77c0d4	56709e5db1686fd996d21c1005accf34e2d863e1	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug2	ddug2-4.bin	\N	\N	8192	737443b1	0e46204089cc6e5ffab0d2a62f9a1728f8c35948	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug2	ddug2-3b.bin	\N	\N	4096	afcb4509	c9a54df22b0b92efbe7417a00200587225906b46	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug2	ddug2-3m.bin	\N	\N	16384	df1f4ad8	004fba630018dbf03c4b0e284c98077e19fface3	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	digdug2	ddug2-3n.bin	\N	\N	16384	ccadb3ea	77d8d8e6039272f73e63c8f76084138ec613365a	\N	\N	\N	\N	\N	\N	
game	Sil_s_Single_Emulator_v2.0	dkong	\N	\N	\N	\N	\N	Donkey Kong (US)	1981	Nintendo of America	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.5e	\N	\N	4096	ba70b88b	d76ebecfea1af098d843ee7e578e480cd658ac1a	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.5c	\N	\N	4096	5ec461ec	acb11a8fbdbb3ab46068385fe465f681e3c824bd	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.5b	\N	\N	4096	1c97d324	c7966261f3a1d3296927e0b6ee1c58039fc53c1f	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.5a	\N	\N	4096	b9005ac0	3fe3599f6fa7c496f782053ddf7bacb453d197c4	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.3h	\N	\N	2048	45a4ed06	144d24464c1f9f01894eb12f846952290e6e32ef	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.3f	\N	\N	2048	4743fe92	6c82b57637c0212a580591397e6a5a1718f19fd2	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.3n	\N	\N	2048	12c8c95d	a57ff5a231c45252a63b354137c920a1379b70a3	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.3p	\N	\N	2048	15e9c5e9	976eb1e18c74018193a35aa86cff482ebfc5cc4e	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.7c	\N	\N	2048	59f8054d	793dba9bf5a5fe76328acdfb90815c243d2a65f1	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.7d	\N	\N	2048	672e4714	92e5d379f4838ac1fa44d448ce7d142dae42102f	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.7e	\N	\N	2048	feaa59ee	ecf95db5a20098804fc8bd59232c66e2e0ed3db4	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dkong	dk.7f	\N	\N	2048	20f2ef7e	3bc482a38bf579033f50082748ee95205b0f673d	\N	\N	\N	\N	\N	\N	
game	Sil_s_Single_Emulator_v2.0	dorunrun	\N	\N	\N	\N	\N	Do! Run Run (set 1)	1984	Universal	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dorunrun	2764.p1	\N	\N	8192	95c86f8e	9fe44911e0aa8d4c7299472a31c401e064d63d17	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dorunrun	2764.l1	\N	\N	8192	e9a65ba7	fbee57d68352fd4062aac55cd1070f001714d0a3	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dorunrun	2764.k1	\N	\N	8192	b1195d3d	095ad2ee1f53be3203830263cb0c9efbe4710c56	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dorunrun	2764.n1	\N	\N	8192	6a8160d1	12101c351bf800319172c459b5e7c69cb5603806	\N	\N	\N	\N	\N	\N	
game_rom	Sil_s_Single_Emulator_v2.0	dorunrun	27128.p7	\N	\N	16384	8b06d461	2434478810c6301197997be76505f5fc6beba5d3	\N	\N	\N	\N	\N	\N	
