game	Mikie	mikie	\N	\N	\N	\N	\N	Mikie	1984	Konami	\N	\N	\N	
game_rom	Mikie	mikiej	03i_d21.bin	03i_d21.bin	\N	256	3556304a	6f4fc3ef6b1b44278e7c8c1034ee4fbef90cf85a	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	02i_d20.bin	02i_d20.bin	\N	256	676a0669	14236a831204d52cdf8c2ef318a565d6c5587ce0	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	12h_d22.bin	12h_d22.bin	\N	256	872be05c	1525303589d7ed909bc6e2827fbaa2c16ad4030b	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	f09_d18.bin	f09_d18.bin	\N	256	7396b374	fedcc421a61d6623dc9c41b0a3e164efeb50ec7c	\N	\N	\N	\N	\N	\N	
game	Mikie	mikiehs	\N	\N	mikie	mikie	\N	Mikie (High School Graffiti)	1984	Konami	\N	\N	\N	
game_rom	Mikie	mikiehs	11c_l14.bin	\N	\N	8192	633f3a6d	9255e0cb8d53773a52cade2fbd2e4c1968164313	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	12a_m13.bin	\N	\N	16384	9c42d715	533ae7c5bde6d341b9138dd439d9ff46fe0767f4	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	12d_m17.bin	\N	\N	16384	cb5c03c9	6bc2f4c5f4f97c2bbcac8ff51358369ce07948e9	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	06e_h10.bin	\N	\N	8192	4ed887d2	953218a3b41019e2e52932dd3522741812c46c75	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	08i_l11.bin	\N	\N	16384	5ba9d86b	2246795dd68a62efb2c70a9177ee97a58ccb2566	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	f01_i01.bin	\N	\N	16384	0c0cab5f	c3eb4c3a432e86f4664329a0de5583cb5de7b6f5	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	f03_i03.bin	\N	\N	16384	694da32f	02bd83d77f42822e42e48977856dfa0e3abfcab0	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	h01_i05.bin	\N	\N	16384	00e357e1	d5b46709083d74950d0deedecb4fd631d0e74afb	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	h03_i07.bin	\N	\N	16384	ceeba6ac	ca5f715dece88540d9ed0e0146cff09f6868d09f	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	01i_d19.bin	01i_d19.bin	\N	256	8b83e7cf	4fce779947f9f318023c7c54a71a4751f6bb8eb1	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	03i_d21.bin	03i_d21.bin	\N	256	3556304a	6f4fc3ef6b1b44278e7c8c1034ee4fbef90cf85a	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	02i_d20.bin	02i_d20.bin	\N	256	676a0669	14236a831204d52cdf8c2ef318a565d6c5587ce0	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	12h_d22.bin	12h_d22.bin	\N	256	872be05c	1525303589d7ed909bc6e2827fbaa2c16ad4030b	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiehs	f09_d18.bin	f09_d18.bin	\N	256	7396b374	fedcc421a61d6623dc9c41b0a3e164efeb50ec7c	\N	\N	\N	\N	\N	\N	
