game	Hoot_20011002	1941	\N	\N	\N	\N	\N	1941 [sound only]	1990	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	aburner	10931.12	\N	\N	131072	6493368b	328aff19ff1d1344e9115f519d3962390c4e5ba4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aburner	11102.13	\N	\N	131072	6c07c78d	3868b1824f43e4f2b4fbcd9274bfb3000c889d12	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aburner	epr10923.bin	\N	\N	65536	6888eb8f	8f8fffb214842a5d356e33f5a97099bc6407384f	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	aburner2	\N	\N	\N	\N	\N	After Burner 2 [sound only]	1987	Sega	\N	\N	\N	
game_rom	Hoot_20011002	aburner2	10930.11	\N	\N	131072	9209068f	01f3dda1c066d00080c55f2c86c506b6b2407f98	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aburner2	10931.12	\N	\N	131072	6493368b	328aff19ff1d1344e9115f519d3962390c4e5ba4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aburner2	11102.13	\N	\N	131072	6c07c78d	3868b1824f43e4f2b4fbcd9274bfb3000c889d12	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aburner2	11112.17	\N	\N	65536	d777fc6d	46ce1c3875437044c0a172960d560d6acd6eaa92	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	actfight	\N	\N	\N	\N	\N	Action Fighter [sound only]	1985	Sega	\N	\N	\N	
game_rom	Hoot_20011002	actfight	10284.12	\N	\N	32768	8ff09116	8b99b6d2499897cfbd037a7e7cf5bc53bce8a63a	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	aircombt	\N	\N	\N	\N	\N	Air Combat [sound only]	1992	Namco	\N	\N	\N	
game_rom	Hoot_20011002	aircombt	ac1snd0.bin	\N	\N	131072	5c1fb84b	20e4d81289dbe58ffcfc947251a6ff1cc1e36436	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aircombt	ac1voi0.bin	\N	\N	524288	f427b119	bd45bbe41c8be26d6c997fcdc226d080b416a2cf	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aircombt	ac1voi1.bin	\N	\N	524288	c9490667	4b6fbe635c32469870a8e6f82742be6a9d4918c9	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aircombt	ac1voi2.bin	\N	\N	524288	1fcb51ba	80fc815e5fad76d20c3795ab1d89b57d9abc3efd	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aircombt	ac1voi3.bin	\N	\N	524288	cd202e06	72a18f5ba402caefef14b8d1304f337eaaa3eb1d	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	ajax	\N	\N	\N	\N	\N	A-Jax [sound only]	1987	Konami	\N	\N	\N	
game_rom	Hoot_20011002	ajax	770c10	\N	\N	262144	7fac825f	581522d7a02dad16d2803ff344b4db133f767e6b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ajax	h03.f16	\N	\N	32768	2ffd2afc	ca2ef684f87bcf9b70b3ec66ec80685edaf04b9b	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	ales	\N	\N	\N	\N	\N	Ales No Tsubasa [sound only]	1986	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	ales	a_11e.rom	\N	\N	32768	a20337a2	649e13a69ad9154657894fa7bf7c6e49b029a506	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	alexkidd	\N	\N	\N	\N	\N	Alex Kidd Lost Stars [sound only]	1986	Sega	\N	\N	\N	
game_rom	Hoot_20011002	alexkidd	10434.12	\N	\N	32768	77141cce	6c5e83527f7e11a5ff5cc4fa75d55618a55e1a58	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	aliensyn	\N	\N	\N	\N	\N	Alien Syndrome [sound only]	1987	Sega	\N	\N	\N	
game_rom	Hoot_20011002	aliensyn	10723.a7	\N	\N	32768	99953526	4a980370923fd5d3dc9e25d42a032c9e78c7ff47	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aliensyn	10724.a8	\N	\N	32768	f971a817	502c95638e4fd5f87e5fc837cb44b39a5d62f4e4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aliensyn	10725.a9	\N	\N	32768	6a50e08f	d34b2ccadb8b07d5ad99cab5c5b5b79642c65574	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aliensyn	10726.a10	\N	\N	32768	d50b7736	b1f8e3b0cf2ffee5382098100cfabe21b383cd51	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	altbeast	\N	\N	\N	\N	\N	Altered Beast [sound only]	1988	Sega	\N	\N	\N	
game_rom	Hoot_20011002	altbeast	11671	\N	\N	32768	2b71343b	8a657f787de2b9d5161ed2c109642a148348af09	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	altbeast	opr11672	\N	\N	131072	bbd7f460	bbc5c2219cb3a827d84062b19affd9780da2a3cf	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	altbeast	opr11673	\N	\N	131072	400c4a36	de4bdfa91734410e0a7f6a16bf8336db172f458a	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	androdun	\N	\N	\N	\N	\N	Andro Dunos [sound only]	1992	Visco	\N	\N	\N	
game_rom	Hoot_20011002	androdun	adun_m1.rom	\N	\N	131072	1a009f8c	7782dfe48e143417f34fba5353e6deb63efeaa8a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	androdun	adun_v1.rom	\N	\N	524288	577c85b3	2c3072401fe73497dca0e9009ae2ba4053fe936d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	androdun	adun_v2.rom	\N	\N	524288	e14551c4	763a9912b9df55defb190af3f29ae034f6dd78d6	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	aof	\N	\N	\N	\N	\N	Art of Fighting [sound only]	1992	SNK	\N	\N	\N	
game_rom	Hoot_20011002	aof	aof_m1.rom	\N	\N	131072	981345f8	5eb6a5a3f633d74a48555808e2562a0ba16d8675	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aof	aof_v2.rom	\N	\N	2097152	3ec632ea	e3f413f580b57f70d2dae16dbdacb797884d3fce	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aof	aof_v4.rom	\N	\N	2097152	4b0f8e23	105da0cc5ba19869c7147fba8b177500758c232b	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	armwar	\N	\N	\N	\N	\N	Powered Gear [sound only]	1994	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	armwar	pwg.01	\N	\N	131072	18a5c0e4	bb1353dd74884aaeec9b5f1d0b284d9cad53c0ff	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	armwar	pwg.02	\N	\N	131072	c9dfffa6	64e71028befe9a2514074be765dd020e1d2ea70b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	armwar	pwg.11	\N	\N	2097152	a78f7433	e47ffba7b9dac9d0dda985c5d966194be18260f7	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	armwar	pwg.12	\N	\N	2097152	77438ed0	733ca6c6a792e66e2aa12c5fc06dd459527afe4b	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	assault	\N	\N	\N	\N	\N	Assault [sound only]	1988	Namco	\N	\N	\N	
game_rom	Hoot_20011002	assault	at1snd0.bin	\N	\N	131072	1d1ffe12	5a49bf1eef981df69abac28132af65670ba01118	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	assault	atvoi1.bin	\N	\N	524288	d36a649e	30173f32c6ec9dda6b8946baa14266e828b0324e	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	aurail	\N	\N	\N	\N	\N	Aurail [sound only]	1990	Sega / Westone	\N	\N	\N	
game_rom	Hoot_20011002	aurail	13448	\N	\N	32768	b5183fb9	c8372b57fa486256d49dc5851d6b17c92de593fb	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	aurail	aurail.a12	\N	\N	131072	d3d9aaf9	0fb3a8cb11033accceb3a43a691fb424cf8b9619	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	avsp	\N	\N	\N	\N	\N	Alien vs Predator [sound only]	1994	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	avsp	avp.01	\N	\N	131072	2d3b4220	2b2d04d4282550fa9f6e1ad8528f20d1f2ac02eb	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	avsp	avp.11	\N	\N	2097152	83499817	e65b0ebd61ddc748842a9d4d92404b5305307623	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	avsp	avp.12	\N	\N	2097152	f4110d49	f27538776cc1ba8213f19f98728ed8c02508d3ac	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	bakutotu	\N	\N	\N	\N	\N	Baraduke 2 [sound only]	1988	Namco	\N	\N	\N	
game_rom	Hoot_20011002	bakutotu	bk1-snd0.bin	\N	\N	65536	c35d7df6	9ea534fc700581171536ad1df60263d31e7239a6	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	bakutotu	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	baraduke	\N	\N	\N	\N	\N	Baraduke [sound only]	1985	Namco	\N	\N	\N	
game_rom	Hoot_20011002	baraduke	pl1-mcu.bin	\N	\N	4096	6ef08fb3	4842590d60035a0059b0899eb2d5f58ae72c2529	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	baraduke	prg4.3b	\N	\N	16384	abda0fe7	f7edcb5f9fa47bb38a8207af5678cf4ccc243547	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	batcirj	\N	\N	\N	\N	\N	Battle Circuit [sound only]	1997	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	batcirj	btc.01	\N	\N	131072	1e194310	3b29de0aca9dbca59d6b50fb2509e2a913c6b0af	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	batcirj	btc.02	\N	\N	131072	01aeb8e6	50a5d1cce0caf7c5143d4904431e8f41e2a57464	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	batcirj	btc.11	\N	\N	2097152	c27f2229	df2459493af40937b6656a16fad43ff51bed2204	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	batcirj	btc.12	\N	\N	2097152	418a2e33	0642ddff2ab9255f154419da24ba644ed63f34ab	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	batrider	\N	\N	\N	\N	\N	Armed Police Batrider [sound only]	1998	Raizing/8ing	\N	\N	\N	
game_rom	Hoot_20011002	batrider	rom5u829.bin	\N	\N	1048576	4274daf6	85557b4707d529e5914f03c7a856864f5c24950e	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	batrider	rom6u827.bin	\N	\N	1048576	2a1c2426	8abc3688ffc5ebb94b8d5118d4fa0908f07fe791	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	batrider	snd_u077.bin	\N	\N	262144	56682696	a372450d9a6d535123dfc31d8116074b168ab646	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	battleg	\N	\N	\N	\N	\N	Battle Garrega [sound only]	1996	Raizing/8ing	\N	\N	\N	
game_rom	Hoot_20011002	battleg	rom5.bin	\N	\N	1048576	f6d49863	3a3c354852adad06e8a051511abfab7606bce382	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	battleg	snd.bin	\N	\N	131072	68632952	fb834db83157948e2b420b6051102a9c6ac3969b	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	berabohm	\N	\N	\N	\N	\N	Beraboh-Man [sound only]	1988	Namco	\N	\N	\N	
game_rom	Hoot_20011002	berabohm	bm1-snd0.bin	\N	\N	65536	d5d53cb1	af5db529550382dab61197eb46e02110efc4c21b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	berabohm	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	blazer	\N	\N	\N	\N	\N	Blazer [sound only]	1987	Namco	\N	\N	\N	
game_rom	Hoot_20011002	blazer	bz1_snd0.bin	\N	\N	65536	6c3a580b	2b76ea0005245e30eb72fba3b044a885e47d588d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	blazer	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	blazstar	\N	\N	\N	\N	\N	Blazing Star [sound only]	1998	Yumekobo	\N	\N	\N	
game_rom	Hoot_20011002	blazstar	bstar_m1.rom	\N	\N	131072	d31a3aea	e23abfeb23052f0358edcf2c83401025fe632511	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	blazstar	bstar_v1.rom	\N	\N	4194304	1b8d5bf7	67fc1f7e36e92a89cd1d415eb31a2892f57b0d04	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	blazstar	bstar_v2.rom	\N	\N	4194304	74cf0a70	b00451a2a30de2517ae3eca35eb1fe985b950eb8	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	blswhstl	\N	\N	\N	\N	\N	Bells And Whistles [sound only]	1991	Konami	\N	\N	\N	
game_rom	Hoot_20011002	blswhstl	060_e04.r16	\N	\N	1048576	c680395d	acde593a5ec501e89c8aaca6c4fbacf707a727e1	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	blswhstl	060_j01.rom	\N	\N	65536	f9d9a673	8e5631c20dc37913cc7fa84f7ef786ff1ef85f09	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	breakers	\N	\N	\N	\N	\N	Breakers [sound only]	1996	Visco	\N	\N	\N	
game_rom	Hoot_20011002	breakers	break_m1.rom	\N	\N	131072	3951a1c1	1e6442a7ea82ada9503d71045dd93e12bd05254f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	breakers	break_v1.rom	\N	\N	4194304	7f9ed279	acd0558960ec29bfc3e3ee99d00e503bebff8513	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	breakers	break_v2.rom	\N	\N	4194304	1d43e420	26d09b8b18b4b802dbda4d6f06626c24d0b7c512	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	burnforc	\N	\N	\N	\N	\N	Burning Force [sound only]	1989	Namco	\N	\N	\N	
game_rom	Hoot_20011002	burnforc	busnd0.bin	\N	\N	131072	fabb1150	61e3133adf8d593419f70a854ff91dd5011de3b3	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	burnforc	buvoi1.bin	\N	\N	524288	99d8a239	1ebc586048e757ac0ac68dc9cc171f4849e67cef	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	cameltru	\N	\N	\N	\N	\N	Camel Try [sound only]	1989	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	cameltru	c38-03.bin	\N	\N	131072	59fa59a7	161f11b96a47c8431c33e300f6a509bf804309af	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cameltru	c38-08.bin	\N	\N	65536	7ff78873	6574f1c707b8911fa957dd057e1cddc7a1cea99b	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	captcomm	\N	\N	\N	\N	\N	Captain Commando [sound only]	1991	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	captcomm	cc_09.rom	\N	\N	65536	698e8b58	b7a3d905a7ed2c430426ca2e185e3d7e75e752a1	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	captcomm	cc_18.rom	\N	\N	131072	6de2c2db	9a1eaba8d104f59a5e61f89679bb5de0c0c64364	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	captcomm	cc_19.rom	\N	\N	131072	b99091ae	b19197c7ad3aeaf5f41c26bf853b0c9b502ecfca	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	cawing	\N	\N	\N	\N	\N	Carrier Airwing [sound only]	1990	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	cawing	ca_18.rom	\N	\N	131072	4a613a2c	06e10644fc60925b85d2ca0888c9fa057bfe996a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cawing	ca_19.rom	\N	\N	131072	74584493	5cfb15f1b9729323707972646313aee8ab3ac4eb	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cawing	ca_9.rom	\N	\N	65536	96fe7485	10466889dfc6bc8afd3075385e241a16372efbeb	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	chplft	\N	\N	\N	\N	\N	Choplifter [sound only]	1985	Sega	\N	\N	\N	
game_rom	Hoot_20011002	chplft	7130.126	\N	\N	32768	346af118	ef579818a45b8ebb276d5832092b26e232d5a737	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	citybomb	\N	\N	\N	\N	\N	City Bomber [sound only]	1987	Konami	\N	\N	\N	
game_rom	Hoot_20011002	citybomb	787e01.1k	\N	\N	524288	edc34d01	b1465d1a7364a7cebc14b96cd01dc78e57975972	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	citybomb	787e02.4h	\N	\N	32768	f4591e46	c17c1a24bf1866fbba388521a4b7ea0975bda587	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	cosmognj	\N	\N	\N	\N	\N	Cosmo Gangs The Video [sound only]	1991	Namco	\N	\N	\N	
game_rom	Hoot_20011002	cosmognj	co1snd0.bin	\N	\N	131072	6bfa619f	71e57adf320034d6cacd9f4a9e93891c8143542f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cosmognj	co1voi1.bin	\N	\N	524288	b5ba8f15	9e54b9ba1cd44353782adf337376dff9eec4e937	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cosmognj	co1voi2.bin	\N	\N	524288	b566b105	b5530b0f3dea0135f28419044aee923d855f382c	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	cotton	\N	\N	\N	\N	\N	Cotton [sound only]	1989	Sega	\N	\N	\N	
game_rom	Hoot_20011002	cotton	s-prog.rom	\N	\N	32768	6a57b027	8f9de548df203605bb4ab9eececf09739b55adf1	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cotton	speech0.rom	\N	\N	131072	4d21153f	173ddd9633f255c39ca508c37d0562e374704e7b	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	crazycop	\N	\N	\N	\N	\N	Crazy Cop [sound only]	1988	Konami	\N	\N	\N	
game_rom	Hoot_20011002	crazycop	878c04.rom	\N	\N	262144	9e982d1c	a5b611c67b0f2ac50c679707931ee12ebbf72ebe	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	crazycop	878h01.rom	\N	\N	32768	96feafaa	8b6547e610cb4fa1c1f5bf12cb05e9a12a353903	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	crfight2	\N	\N	\N	\N	\N	Crime Fighters II [sound only]	1991	Konami	\N	\N	\N	
game_rom	Hoot_20011002	crfight2	081a03	\N	\N	1048576	14b6baea	fe15ee57f19f5acaad6c1642d51f390046a7468a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	crfight2	081b02	\N	\N	65536	4c604d9b	22d979f5dbde7912dd927bf5538fdbfc5b82905e	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	csclubj	\N	\N	\N	\N	\N	Capcom Sport Club [sound only]	1997	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	csclubj	csc.01	\N	\N	131072	ee162111	ce8d4bd32bb10ee8b0274ba6fcef05a583b39d48	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	csclubj	csc.11	\N	\N	2097152	a027b827	6d58a63efc7bd5d07353d9b55826c01a3c416c33	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	csclubj	csc.12	\N	\N	2097152	cb7f6e55	b64e6b663fd09e887d2dc0f4b545e88688c0af55	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	cuebrick	\N	\N	\N	\N	\N	Cuebrick [sound only]	1989	Konami	\N	\N	\N	
game_rom	Hoot_20011002	cuebrick	903-d03.10a	\N	\N	32768	455e855a	cfdd54a5071862653ee94c0455301f4a7245fbd8	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	cybotsj	\N	\N	\N	\N	\N	Cyberbots [sound only]	1995	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	cybotsj	cyb.01	\N	\N	131072	9c0fb079	06d260875a76da08d56ea2b2ae277e8c2dbae6e3	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cybotsj	cyb.02	\N	\N	131072	51cb0c4e	c322957558d8d3e9dad090aebbe485978cbce8f5	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cybotsj	cyb.11	\N	\N	2097152	362ccab2	28e537067d4846f22657ee37166d18b8f05f4da1	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cybotsj	cyb.12	\N	\N	2097152	7066e9cc	eb6a9d4998b3311344d73bae88d661d81609c492	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	cybrsled	\N	\N	\N	\N	\N	Cybersled [sound only]	1993	Namco	\N	\N	\N	
game_rom	Hoot_20011002	cybrsled	cy1_voi3.rom	\N	\N	524288	c902b4a4	816357ec1a02a7ebf817ac1182e9c50ce5ca71f6	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cybrsled	cys_snd0.rom	\N	\N	131072	3dddf83b	e16119cbef176b6f8f8ace773fcbc201e987823f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cybrsled	cys_voi0.rom	\N	\N	524288	99d7ce46	b75f4055c3ce847daabfacda22df14e3f80c4fb9	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cybrsled	cys_voi1.rom	\N	\N	524288	2b335f06	2b2cd407c34388b56496f84a414daa153780b098	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	cybrsled	cys_voi2.rom	\N	\N	524288	10cd15f0	9b721654ed97a13287373c1b2854ac9aeddc271f	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	dadtod	\N	\N	\N	\N	\N	Dungeons & Dragons - Tower Of Doom [sound only]	1993	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	dadtod	dad.01	\N	\N	131072	3f5e2424	4aa744576bc6752c43a90a27a816ebd90076b248	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dadtod	dad.11	\N	\N	2097152	0c499b67	a8ebd8a1cd6dece8344b7cb0439d85843fb97616	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dadtod	dad.12	\N	\N	2097152	2f0b5a4e	8d1ebbb811aa469b0f0d29d719d2b9af28fb63a2	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	daiskiss	\N	\N	\N	\N	\N	Dai Kissu [sound only]	1996	Konami	\N	\N	\N	
game_rom	Hoot_20011002	daiskiss	535a08.9c	\N	\N	131072	449416a7	c79bf0d68c8639f67eb17f24f1bc10dd867a4c37	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	daiskiss	535a09.7c	\N	\N	131072	8ec57ab4	bd8e12c796d42d2cb27c1e47dc6253bfb74a2887	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	daiskiss	535a22.9g	\N	\N	2097152	7ee59acb	782bf15f205e9fe7bd069f6445eb8187837dee32	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	dangseed	\N	\N	\N	\N	\N	Dangerous Seed [sound only]	1989	Namco	\N	\N	\N	
game_rom	Hoot_20011002	dangseed	dr1-snd0.bin	\N	\N	131072	bcbbb21d	0ec3e43b94733af69c0a68fd6f5ce5cda916aef7	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	dangseed	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	darius2	\N	\N	\N	\N	\N	Darius 2 [sound only]	1989	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	darius2	c07-10	\N	\N	524288	4bbe0ed9	081b73c4e4d4fa548445e5548573099bcb1e9213	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	darius2	c07-11	\N	\N	524288	3c815699	0471ff5b0c0da905267f2cee52fd68c8661cccc9	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	darius2	c07-12	\N	\N	524288	e0b71258	0258e308b643d723475824752ebffc4ea29d1ac4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	darius2	c07-28	\N	\N	131072	da304bc5	689b4f329d9a640145f82e12dff3dd1fcf8a28c8	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	dduxbl	\N	\N	\N	\N	\N	Dynamite Dux [sound only]	1989	bootleg	\N	\N	\N	
game_rom	Hoot_20011002	dduxbl	dduxb01.bin	\N	\N	32768	0dbef0d7	8b9afb2fcb946cec467b1e691c267194b503f841	\N	\N	\N	\N	\N	\N	
