game	CPSE_v0.02	ssf2	\N	\N	\N	\N	\N	Super Street Fighter 2: The New Challengers (US 930911) [sound only]	1993	Capcom	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.q01	ssf.q01	\N	524288	a6f9da5c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.q02	ssf.q02	\N	524288	8c66ae26	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.q03	ssf.q03	\N	524288	695cc2ca	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.q04	ssf.q04	\N	524288	9d9ebe32	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.q05	ssf.q05	\N	524288	4770e7b7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.q06	ssf.q06	\N	524288	4e79c951	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.q07	ssf.q07	\N	524288	cdd14313	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2j	ssf.q08	ssf.q08	\N	524288	6f5a088c	\N	\N	\N	\N	\N	\N	\N	
game	CPSE_v0.02	ssf2jr1	\N	\N	ssf2	ssf2	\N	Super Street Fighter 2: The New Challengers (Japan 930911) [sound only]	1993	Capcom	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssfj.03a	\N	\N	524288	0bbf1304	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssfj.04a	\N	\N	524288	013bd55c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssfj.05	\N	\N	524288	0918d19a	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssfj.06	\N	\N	524288	d808a6cd	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssfj.07	\N	\N	524288	eb6a9b1b	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssfjx.03a	\N	\N	524288	c1b1d0c1	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssfjx.04a	\N	\N	524288	f866d34a	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssfjx.05	\N	\N	524288	7282bb56	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssfjx.06	\N	\N	524288	cc027506	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssfjx.07	\N	\N	524288	2af7cab2	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.13	ssf.13	\N	2097152	cf94d275	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.15	ssf.15	\N	2097152	5eb703af	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.17	ssf.17	\N	2097152	ffa60e0f	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.19	ssf.19	\N	2097152	34e825c5	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.14	ssf.14	\N	1048576	b7cc32e7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.16	ssf.16	\N	1048576	8376ad18	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.18	ssf.18	\N	1048576	f5b1b336	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.20	ssf.20	\N	1048576	459d5c6b	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.01	ssf.01	\N	131072	eb247e8c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.q01	ssf.q01	\N	524288	a6f9da5c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.q02	ssf.q02	\N	524288	8c66ae26	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.q03	ssf.q03	\N	524288	695cc2ca	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.q04	ssf.q04	\N	524288	9d9ebe32	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.q05	ssf.q05	\N	524288	4770e7b7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.q06	ssf.q06	\N	524288	4e79c951	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.q07	ssf.q07	\N	524288	cdd14313	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr1	ssf.q08	ssf.q08	\N	524288	6f5a088c	\N	\N	\N	\N	\N	\N	\N	
game	CPSE_v0.02	ssf2jr2	\N	\N	ssf2	ssf2	\N	Super Street Fighter 2: The New Challengers (Japan 930910) [sound only]	1993	Capcom	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssfj.03	\N	\N	524288	7eb0efed	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssfj.04	\N	\N	524288	d7322164	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssfj.05	\N	\N	524288	0918d19a	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssfj.06	\N	\N	524288	d808a6cd	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssfj.07	\N	\N	524288	eb6a9b1b	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssfjx.03	\N	\N	524288	c3eca34c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssfjx.04	\N	\N	524288	4e1080c2	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssfjx.05	\N	\N	524288	7282bb56	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssfjx.06	\N	\N	524288	cc027506	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssfjx.07	\N	\N	524288	2af7cab2	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.13	ssf.13	\N	2097152	cf94d275	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.15	ssf.15	\N	2097152	5eb703af	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.17	ssf.17	\N	2097152	ffa60e0f	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.19	ssf.19	\N	2097152	34e825c5	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.14	ssf.14	\N	1048576	b7cc32e7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.16	ssf.16	\N	1048576	8376ad18	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.18	ssf.18	\N	1048576	f5b1b336	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.20	ssf.20	\N	1048576	459d5c6b	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.01	ssf.01	\N	131072	eb247e8c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.q01	ssf.q01	\N	524288	a6f9da5c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.q02	ssf.q02	\N	524288	8c66ae26	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.q03	ssf.q03	\N	524288	695cc2ca	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.q04	ssf.q04	\N	524288	9d9ebe32	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.q05	ssf.q05	\N	524288	4770e7b7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.q06	ssf.q06	\N	524288	4e79c951	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.q07	ssf.q07	\N	524288	cdd14313	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2jr2	ssf.q08	ssf.q08	\N	524288	6f5a088c	\N	\N	\N	\N	\N	\N	\N	
game	CPSE_v0.02	ssf2tb	\N	\N	ssf2	ssf2	\N	Super Street Fighter 2: The Tournament Battle (World 931119) [sound only]	1993	Capcom	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssfe.3tc	\N	\N	524288	496a8409	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssfe.4tc	\N	\N	524288	4b45c18b	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssfe.5t	\N	\N	524288	6a9c6444	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssfe.6tb	\N	\N	524288	e4944fc3	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssfe.7t	\N	\N	524288	2c9f4782	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssfex.3tc	\N	\N	524288	9b2cda8c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssfex.4tc	\N	\N	524288	62d26dc2	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssfex.5t	\N	\N	524288	3ae42ff3	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssfex.6tb	\N	\N	524288	f12e7228	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssfex.7t	\N	\N	524288	4d51f760	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.13	ssf.13	\N	2097152	cf94d275	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.15	ssf.15	\N	2097152	5eb703af	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.17	ssf.17	\N	2097152	ffa60e0f	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.19	ssf.19	\N	2097152	34e825c5	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.14	ssf.14	\N	1048576	b7cc32e7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.16	ssf.16	\N	1048576	8376ad18	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.18	ssf.18	\N	1048576	f5b1b336	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.20	ssf.20	\N	1048576	459d5c6b	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.01	ssf.01	\N	131072	eb247e8c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.q01	ssf.q01	\N	524288	a6f9da5c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.q02	ssf.q02	\N	524288	8c66ae26	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.q03	ssf.q03	\N	524288	695cc2ca	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.q04	ssf.q04	\N	524288	9d9ebe32	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.q05	ssf.q05	\N	524288	4770e7b7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.q06	ssf.q06	\N	524288	4e79c951	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.q07	ssf.q07	\N	524288	cdd14313	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tb	ssf.q08	ssf.q08	\N	524288	6f5a088c	\N	\N	\N	\N	\N	\N	\N	
game	CPSE_v0.02	ssf2tbj	\N	\N	ssf2	ssf2	\N	Super Street Fighter 2: The Tournament Battle (Japan 930910) [sound only]	1993	Capcom	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssfj.3t	\N	\N	524288	980d4450	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssfj.4t	\N	\N	524288	b4dc1906	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssfj.5t	\N	\N	524288	a7e35fbc	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssfj.6t	\N	\N	524288	cb592b30	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssfj.7t	\N	\N	524288	1f239515	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.13	ssf.13	\N	2097152	cf94d275	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.15	ssf.15	\N	2097152	5eb703af	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.17	ssf.17	\N	2097152	ffa60e0f	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.19	ssf.19	\N	2097152	34e825c5	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.14	ssf.14	\N	1048576	b7cc32e7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.16	ssf.16	\N	1048576	8376ad18	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.18	ssf.18	\N	1048576	f5b1b336	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.20	ssf.20	\N	1048576	459d5c6b	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.01	ssf.01	\N	131072	eb247e8c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.q01	ssf.q01	\N	524288	a6f9da5c	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.q02	ssf.q02	\N	524288	8c66ae26	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.q03	ssf.q03	\N	524288	695cc2ca	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.q04	ssf.q04	\N	524288	9d9ebe32	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.q05	ssf.q05	\N	524288	4770e7b7	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.q06	ssf.q06	\N	524288	4e79c951	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.q07	ssf.q07	\N	524288	cdd14313	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ssf2tbj	ssf.q08	ssf.q08	\N	524288	6f5a088c	\N	\N	\N	\N	\N	\N	\N	
game	CPSE_v0.02	ecofghtr	\N	\N	\N	\N	\N	Eco Fighters (World 931203) [sound only]	1993	Capcom	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uece.03	\N	\N	524288	ec2c1137	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uece.04	\N	\N	524288	b35f99db	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uece.05	\N	\N	524288	d9d42d31	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uece.06	\N	\N	524288	9d9771cf	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uecex.03	\N	\N	524288	e0ff3d51	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uecex.04	\N	\N	524288	b9f998e8	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uecex.05	\N	\N	524288	12410260	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uecex.06	\N	\N	524288	d5b4b1a2	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uec.13	\N	\N	2097152	dcaf1436	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uec.15	\N	\N	2097152	2807df41	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uec.17	\N	\N	2097152	8a708d02	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uec.19	\N	\N	2097152	de7be0ef	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uec.14	\N	\N	1048576	1a003558	\N	\N	\N	\N	\N	\N	\N	
game_rom	CPSE_v0.02	ecofghtr	uec.16	\N	\N	1048576	4ff8a6f9	\N	\N	\N	\N	\N	\N	\N	
