game	MMSnd_v0.36b10	4dwarrio	\N	\N	\N	\N	\N	4D Warriors [sound only]	1985	Coreland / Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	blockgal	bg.120	\N	\N	8192	d848faff	5974cc0c3090800ca79f580a620f5b6615f5d039	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	bloxeed	\N	\N	\N	\N	\N	Bloxeed [sound only]	1989	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	bloxeed	sound0.rom	\N	\N	131072	6f2fc63c	3cce22c8f80013f05b5a2d36c42a61a81e4d6cbd	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	brain	\N	\N	\N	\N	\N	Brain [sound only]	1986	Coreland / Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	brain	brain.120	\N	\N	32768	c7e50278	9709a59004c6bc39173d0cb94f3602c358367976	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	bullfgtj	\N	\N	\N	\N	\N	Bullfight [sound only]	1984	Sega / Coreland	\N	\N	\N	
game_rom	MMSnd_v0.36b10	bullfgtj	6077	\N	\N	8192	02a37602	1b67b0d80a228f7faf054bfd79aff120d92c8166	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	charon	\N	\N	\N	\N	\N	Charon [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	charon	s_pro	\N	\N	32768	8aa61955	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	charon	s0	\N	\N	131072	82a24191	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	charon	s1	\N	\N	131072	e033bccf	\N	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	cheqflag	\N	\N	\N	\N	\N	Chequered Flag [sound only]	1988	Konami	\N	\N	\N	
game_rom	MMSnd_v0.36b10	cheqflag	717e01.rom	\N	\N	32768	966b8ba8	ab7448cb61fa5922b1d8ae5f0d0f42d734ed4f93	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	cheqflag	717e03.rom	\N	\N	524288	ebe73c22	fad3334e5e91bf8d11b74ffdbbfd57567e6f6f8c	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	cheqflag	717e09.rom	\N	\N	524288	d74e857d	00c851c857650d67fc4caccea4461d99be4acb3c	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	chplft	\N	\N	\N	\N	\N	Choplifter [sound only]	1985	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	chplft	7130.126	\N	\N	32768	346af118	ef579818a45b8ebb276d5832092b26e232d5a737	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	dakkochn	\N	\N	\N	\N	\N	DakkoChan Jansoh [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	dakkochn	epr11229.126	\N	\N	32768	c11648d0	c2df3d767d497c3365ae70748c4790f4ee394958	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	darius	\N	\N	\N	\N	\N	Darius [sound only]	1986	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darius	a96_56.18	\N	\N	65536	292ef55c	67bfe3693e43daece06d4795645d54cd66419e5b	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darius	a96_57.33	\N	\N	65536	33ceb730	05070ea503ac57ff8445145d6f97115f7aad90a5	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	darius2	\N	\N	\N	\N	\N	Darius II [sound only]	1989	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darius2	c07-10	\N	\N	524288	4bbe0ed9	081b73c4e4d4fa548445e5548573099bcb1e9213	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darius2	c07-11	\N	\N	524288	3c815699	0471ff5b0c0da905267f2cee52fd68c8661cccc9	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darius2	c07-12	\N	\N	524288	e0b71258	0258e308b643d723475824752ebffc4ea29d1ac4	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darius2	c07-28	\N	\N	131072	da304bc5	689b4f329d9a640145f82e12dff3dd1fcf8a28c8	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	darius2a	\N	\N	\N	\N	\N	Darius II (dual screen) [sound only]	1989	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darius2a	c07-10.bin	\N	\N	524288	4bbe0ed9	081b73c4e4d4fa548445e5548573099bcb1e9213	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darius2a	c07-11.bin	\N	\N	524288	3c815699	0471ff5b0c0da905267f2cee52fd68c8661cccc9	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darius2a	c07-12.bin	\N	\N	524288	e0b71258	0258e308b643d723475824752ebffc4ea29d1ac4	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darius2a	c07-17.bin	\N	\N	131072	ae16c905	70ba5aacd8a8e00b94719e3955abad8827c67aa8	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	darkedge	\N	\N	\N	\N	\N	Dark Edge [sound only]	1993	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darkedge	mpr15240.bin	\N	\N	1048576	867d59e8	fb1c0d26dbb1bde9d8bc86419cd911b8e37bf923	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darkedge	mpr15241.bin	\N	\N	1048576	8eccc4fe	119724b9b6d2b51ad4f065ebf74d200960090e68	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darkedge	mpr15242.bin	\N	\N	1048576	ffb7d917	bfeae1a2bd7250edb695b7034f6b1f851f6fd48a	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	darkedge	epr15243.bin	\N	\N	131072	08ca5f11	c2c48d2f02770941a93794f82cb407d6264904d2	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	dduxbl	\N	\N	\N	\N	\N	Dynamite Dux (bootleg) [sound only]	1989	bootleg	\N	\N	\N	
game_rom	MMSnd_v0.36b10	dduxbl	dduxb01.bin	\N	\N	32768	0dbef0d7	8b9afb2fcb946cec467b1e691c267194b503f841	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	devilwld	\N	\N	\N	\N	\N	Devil World [sound only]	1987	Konami	\N	\N	\N	
game_rom	MMSnd_v0.36b10	devilwld	dw-ic5a.rom	\N	\N	131072	d4992dfb	c65bef07b6adb9ab6328d679595450945dbf6a88	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	devilwld	dw-ic7c.rom	\N	\N	131072	e5947501	9ec7319bd97711981db60af6f477c2ba2ec7e6b8	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	devilwld	dw-m03.rom	\N	\N	32768	7201983c	06d089406d2f702e8d51ffdfbf34e4727a28d506	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	dinorex	\N	\N	\N	\N	\N	Dino Rex [sound only]	1992	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	dinorex	drex_07m.rom	\N	\N	1048576	28262816	6df9a31a2edf1dfc23070b41b1da2c0a9e91d1b0	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	dinorex	drex_08m.rom	\N	\N	524288	377b8b7b	4905ac3b9b52c70afe5f451f860fb9acd81a1dbb	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	dinorex	drex_12.rom	\N	\N	65536	8292c7c1	2ff20726f6cc6d98d860d96b8eb3c10f46b87d58	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	dumpmtmt	\N	\N	\N	\N	\N	Dump Matsumoto [sound only]	1986	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	dumpmtmt	epr-0007.bin	\N	\N	32768	e923f80d	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	dumpmtmt	epr-0008.bin	\N	\N	32768	4c439750	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	dumpmtmt	epr-0009.bin	\N	\N	32768	285cdf9d	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	dumpmtmt	epr-0010.bin	\N	\N	32768	0563c86a	\N	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	dumpmtmt	epr-0011.bin	\N	\N	32768	a7d6c394	\N	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	endracer	\N	\N	\N	\N	\N	Enduro Racer [sound only]	1985	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	endracer	er7680	\N	\N	32768	627b3c8c	806fe7dce619ad19c09178061be4607d2beba14d	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	endracer	er7681	\N	\N	32768	bc0c4d12	3de71bde4c23e3c31984f20fc4bc7e221354c56f	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	endracer	er7682	\N	\N	32768	c4efbf48	2bcbc4757d98f291fcaec467abc36158b3f59be3	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	endrcbl	\N	\N	\N	\N	\N	Enduro Racer (bootleg set 2) [sound only]	1985	bootleg	\N	\N	\N	
game_rom	MMSnd_v0.36b10	endrcbl	enduro.a14	\N	\N	32768	627b3c8c	806fe7dce619ad19c09178061be4607d2beba14d	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	endrcbl	enduro.a15	\N	\N	32768	bc0c4d12	3de71bde4c23e3c31984f20fc4bc7e221354c56f	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	endrcbl	enduro.a16	\N	\N	32768	d2cb6eb5	80c5fab16ec4ddfa67fae94808026b2e6285b7f1	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	endurob1	\N	\N	\N	\N	\N	Enduro Racer (bootleg set 1) [sound only]	1985	bootleg	\N	\N	\N	
game_rom	MMSnd_v0.36b10	endurob1	10.f2	\N	\N	32768	bc0c4d12	3de71bde4c23e3c31984f20fc4bc7e221354c56f	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	endurob1	11.e2	\N	\N	32768	627b3c8c	806fe7dce619ad19c09178061be4607d2beba14d	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	endurob1	12.16e	\N	\N	16384	755bfdad	2942f3da5a45a3ac7bba6a73142663fd975f4379	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	endurob1	13.16d	\N	\N	16384	81c82fc9	99eae7edc62d719993c46a703f9daaf332e236e9	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	eswatbl	\N	\N	\N	\N	\N	E-Swat - Cyber Police (bootleg) [sound only]	1989	bootleg	\N	\N	\N	
game_rom	MMSnd_v0.36b10	eswatbl	ic8.bin	\N	\N	32768	7efecf23	2b87af7cfaab5942a3f7b38c987fcba01d3475ab	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	exelizer	\N	\N	\N	\N	\N	Exerizer [sound only]	1987	Jaleco	\N	\N	\N	
game_rom	MMSnd_v0.36b10	exelizer	exelizer.06	\N	\N	32768	0b283bf5	5b14d0beea689ee7e9174017e5a127435df4fbe3	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	fantzone	\N	\N	\N	\N	\N	Fantasy Zone (Japan New Ver.) [sound only]	1986	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	fantzone	epr7535.fz	\N	\N	32768	bc1374fa	ed2c87ae024dc251e175239f1bccc728fc096548	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	flicky	\N	\N	\N	\N	\N	Flicky [sound only]	1984	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	flicky	epr5869	\N	\N	8192	6d220d4e	fe02a7a94a1ad046fc775a7f67f460c8d0f6dca6	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	fntzonej	\N	\N	\N	\N	\N	Fantasy Zone (Old Ver.) [sound only]	1986	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	fntzonej	7535.12	\N	\N	32768	0cb2126a	42b18a81bed58ef59eaad929007eef89ad273dbb	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	forgottn	\N	\N	\N	\N	\N	Forgotten Worlds (US) [sound only]	1988	Capcom	\N	\N	\N	
game_rom	MMSnd_v0.36b10	forgottn	lw-03u	\N	\N	131072	807d051f	720e4733787b9b11f4d1cdce0892b69475802844	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	forgottn	lw-04u	\N	\N	131072	e6cd098e	667f6e5736f76a1c4c450c4e2035574ea89d7910	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	forgottn	lwu00	\N	\N	65536	59df2a63	dfe1fffc7a17179a80a2ae623e93b30a7d6df20d	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	fpointbl	\N	\N	\N	\N	\N	Flash Point [sound only]	1989	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	fpointbl	epr12592.bin	\N	\N	32768	9a8c11bb	399f8e9bdd7aaa4d25817fa9cd4bbf413e5baebe	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	fullthr	\N	\N	\N	\N	\N	Full Throttle [sound only]	1987	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	fullthr	b14-25	\N	\N	65536	9eab28ef	9a90f2c1881f4664d6d6241f3bc57faeaf150ffc	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	fullthr	b14-28	\N	\N	65536	df11d0ae	259e1e6cc7ab100bfdb60e3d7a6bb46acb6fe2ea	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	g-loc	\N	\N	\N	\N	\N	G-Loc [sound only]	1990	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	g-loc	epr13033	\N	\N	65536	6df5e827	ec260886a27ba00690490500fcf4ebf07fb35205	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	g-loc	mpr13034	\N	\N	524288	cd22d95d	857aa320df0b3fb44fc8a5526ba5ee82cc74fe63	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	g-loc	mpr13035	\N	\N	524288	009fa13e	c7b224b471696b12332fc7c403c127b19c297df7	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	g-loc	mpr13036	\N	\N	524288	7890c26c	97e0678bb571de5cf732804f8909e5cbd24980f1	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	gardia	\N	\N	\N	\N	\N	Gardia [sound only]	1986	Sega / Coreland	\N	\N	\N	
game_rom	MMSnd_v0.36b10	gardia	epr10243.120	\N	\N	32768	726a3fdb	291691637c422db20cd147f4b42a38513d1b185d	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	gforce	\N	\N	\N	\N	\N	Galaxy Force II [sound only]	1988	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	gforce	11465	\N	\N	524288	e1436dab	363f4c111de38cb1d82b245e4fcc65308f506e6a	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	gforce	11516	\N	\N	131072	19d0e17f	7171131226cf1fe260a2db310fad2ec264adca26	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	gforce	11516a	\N	\N	65536	0497785c	f077e71efdc96d6eb3f1a1f989650466554fb13a	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	gforce	11517	\N	\N	131072	0b05d376	8d0c0be2fd9dbc714c82c7cd1c439d5ff65e1317	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	gngcps	\N	\N	\N	\N	\N	Ghouls'n Ghosts [sound only]	1988	Capcom	\N	\N	\N	
game_rom	MMSnd_v0.36b10	gngcps	dmu.26	\N	\N	65536	3692f6e5	61b8438d60a39b4cf5062dff0a53228e8a4e4b5f	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	goldnaxe	\N	\N	\N	\N	\N	Golden Axe [sound only]	1989	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	goldnaxe	ga12384.bin	\N	\N	65536	50eb5a56	d59ba04254000de5577e8a58d0b51c73112a4c80	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	goldnaxe	ga12390.bin	\N	\N	32768	399fc5f5	6f290b36dc71ff4759598e2a9c185a8945a3c9e7	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	gprider	\N	\N	\N	\N	\N	GP Rider [sound only]	1990	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	gprider	epr13388.bin	\N	\N	65536	706581e4	51c9dbf2bf0d6b8826de24cd33596f5c95136870	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	gprider	opr13389.bin	\N	\N	131072	4e4c758e	181750dfcdd6d5b28b063c980c251991163d9474	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	gprider	opr13390.bin	\N	\N	131072	8c93cd05	bb08094abac6c104eddf14f634e9791f03122946	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	gprider	opr13391.bin	\N	\N	131072	8c30c867	0d735291b1311890938f8a1143fae6af9feb2a69	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	growl	\N	\N	\N	\N	\N	Growl [sound only]	1990	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	growl	growl_04.rom	\N	\N	1048576	2d97edf2	d3a995303facdad4f8e1fdda04eaaec4440ff371	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	growl	growl_05.rom	\N	\N	524288	e29c0828	f541d724f118130bb7a8f9e790582c68779cc6b6	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	growl	growl_12.rom	\N	\N	65536	bb6ed668	e8c3a15ccbc788ac57d42bd2cabcdb2db6305489	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	hang-on	\N	\N	\N	\N	\N	Hang-On [sound only]	1985	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	hang-on	6831.rom	\N	\N	32768	cfef5481	c04b302fee58f0e59a097b2be2b61e5d03df7c91	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	hang-on	6832.rom	\N	\N	32768	4165aea5	be05c6d295807af2f396a1ff72d5a3d2a1e6054d	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	hang-on	6833.rom	\N	\N	16384	3b942f5f	4384b5c090954e69de561dde0ef32104aa11399a	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	harrier	\N	\N	\N	\N	\N	Space Harrier [sound only]	1985	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	harrier	7231	\N	\N	32768	871c6b14	6d04ddc32fdf1db409cb519890821bd10fc9e58b	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	harrier	7232	\N	\N	32768	4b59340c	a01ba8580b65dd17bfd92560265e502d95d3ff16	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	harrier	7233	\N	\N	16384	504e76d9	302af9101da01c97ca4be6acd21fb5b8e8f0b7ef	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	harrier	7234	\N	\N	16384	d6397933	b85bb47efb6c113b3676b10ab86f1798a89d45b4	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	hotchase	\N	\N	\N	\N	\N	Hot Chase [sound only]	1988	Konami	\N	\N	\N	
game_rom	MMSnd_v0.36b10	hotchase	763e08	\N	\N	524288	054a9a63	45d7926c9e7af47c041ba9b733e334bccd730a6d	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	hotchase	763e09	\N	\N	524288	c39857db	64b135a9ccf9e1dd50789cdd5c6bc03da8decfd0	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	hotchase	763e10.rom	\N	\N	262144	ca409210	703d7619c4bd33d2ff5fad127d98c82906fede33	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	hotchase	763e11.rom	\N	\N	262144	9d99a5a7	96e37bbb259e0a91d124c26b6b1a9b70de2e19a4	\N	\N	\N	\N	\N	\N	
